2025-01-28 19:05:47.631254 INFO::Writing function arguments to log file
2025-01-28 19:05:47.637 DEBUG::Function arguments
2025-01-28 19:05:47.639518 DEBUG::Output folder: ../intermediate_files/maaslin/Q1/genus/healthy vs Grouppost_ltx
2025-01-28 19:05:47.641875 DEBUG::Min Abundance: 0.000000
2025-01-28 19:05:47.644129 DEBUG::Min Prevalence: 0.000000
2025-01-28 19:05:47.647322 DEBUG::Normalization: TSS
2025-01-28 19:05:47.650975 DEBUG::Transform: LOG
2025-01-28 19:05:47.653954 DEBUG::Analysis method: LM
2025-01-28 19:05:47.656786 DEBUG::Max significance: 0.050000
2025-01-28 19:05:47.659535 DEBUG::Random effects:
2025-01-28 19:05:47.66186 DEBUG::Fixed effects: Group,Country
2025-01-28 19:05:47.66389 DEBUG::Correction method: BH
2025-01-28 19:05:47.667305 DEBUG::Standardize: TRUE
2025-01-28 19:05:47.669504 DEBUG::Cores: 1
2025-01-28 19:05:47.671871 INFO::Verifying options selected are valid
2025-01-28 19:05:47.677537 INFO::Determining format of input files
2025-01-28 19:05:47.684522 INFO::Input format is data samples as columns and metadata samples as rows
2025-01-28 19:05:47.697238 DEBUG::Transformed data so samples are rows
2025-01-28 19:05:47.70152 DEBUG::A total of 211 samples were found in both the data and metadata
2025-01-28 19:05:47.703556 DEBUG::Reordering data/metadata to use same sample ordering
2025-01-28 19:05:47.710636 INFO::Formula for fixed effects: expr ~  Group + Country
2025-01-28 19:05:47.717622 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-01-28 19:05:47.724254 INFO::Filter data based on min abundance and min prevalence
2025-01-28 19:05:47.729376 INFO::Total samples in data: 211
2025-01-28 19:05:47.733768 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-01-28 19:05:47.746132 INFO::Total filtered features: 0
2025-01-28 19:05:47.753827 INFO::Filtered feature names from abundance and prevalence filtering:
2025-01-28 19:05:47.770852 INFO::Total filtered features with variance filtering: 0
2025-01-28 19:05:47.776535 INFO::Filtered feature names from variance filtering:
2025-01-28 19:05:47.782623 INFO::Running selected normalization method: TSS
2025-01-28 19:05:47.800494 INFO::Applying z-score to standardize continuous metadata
2025-01-28 19:05:47.81364 INFO::Running selected transform method: LOG
2025-01-28 19:05:47.837983 INFO::Running selected analysis method: LM
2025-01-28 19:05:47.848745 INFO::Fitting model to feature number 1, Actinomyces
2025-01-28 19:05:47.862382 INFO::Fitting model to feature number 2, Bifidobacterium
2025-01-28 19:05:47.880194 INFO::Fitting model to feature number 3, Rothia
2025-01-28 19:05:47.894343 INFO::Fitting model to feature number 4, Atopobium
2025-01-28 19:05:47.911151 INFO::Fitting model to feature number 5, Olsenella
2025-01-28 19:05:47.923034 INFO::Fitting model to feature number 6, Collinsella
2025-01-28 19:05:47.939435 INFO::Fitting model to feature number 7, f__Coriobacteriales_Incertae_Sedis.g__uncultured
2025-01-28 19:05:47.953065 INFO::Fitting model to feature number 8, Adlercreutzia
2025-01-28 19:05:47.969733 INFO::Fitting model to feature number 9, Eggerthella
2025-01-28 19:05:47.98174 INFO::Fitting model to feature number 10, Enterorhabdus
2025-01-28 19:05:47.998949 INFO::Fitting model to feature number 11, Gordonibacter
2025-01-28 19:05:48.010741 INFO::Fitting model to feature number 12, Senegalimassilia
2025-01-28 19:05:48.030686 INFO::Fitting model to feature number 13, Slackia
2025-01-28 19:05:48.043173 INFO::Fitting model to feature number 14, f__Eggerthellaceae.g__uncultured
2025-01-28 19:05:48.065477 INFO::Fitting model to feature number 15, Bacteroides
2025-01-28 19:05:48.078363 INFO::Fitting model to feature number 16, Barnesiella
2025-01-28 19:05:48.10076 INFO::Fitting model to feature number 17, Coprobacter
2025-01-28 19:05:48.116304 INFO::Fitting model to feature number 18, f__Barnesiellaceae.g__uncultured
2025-01-28 19:05:48.136928 INFO::Fitting model to feature number 19, Butyricimonas
2025-01-28 19:05:48.151743 INFO::Fitting model to feature number 20, Odoribacter
2025-01-28 19:05:48.172915 INFO::Fitting model to feature number 21, Muribaculaceae
2025-01-28 19:05:48.189626 INFO::Fitting model to feature number 22, Alloprevotella
2025-01-28 19:05:48.209189 INFO::Fitting model to feature number 23, Paraprevotella
2025-01-28 19:05:48.224476 INFO::Fitting model to feature number 24, Prevotella_7
2025-01-28 19:05:48.241667 INFO::Fitting model to feature number 25, Prevotella_9
2025-01-28 19:05:48.255669 INFO::Fitting model to feature number 26, Prevotellaceae_NK3B31_group
2025-01-28 19:05:48.271941 INFO::Fitting model to feature number 27, Alistipes
2025-01-28 19:05:48.284831 INFO::Fitting model to feature number 28, Rikenellaceae_RC9_gut_group
2025-01-28 19:05:48.301179 INFO::Fitting model to feature number 29, Parabacteroides
2025-01-28 19:05:48.313516 INFO::Fitting model to feature number 30, Tannerellaceae
2025-01-28 19:05:48.330567 INFO::Fitting model to feature number 31, Gastranaerophilales
