feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Odoribacter	Group	post_ltx	-2.77088387849757	0.351469442170209	211	117	1.76187644666419e-13	6.34275520799108e-11
Bifidobacterium	Country	NO	-3.5319959176686	0.480478020017706	211	179	4.43019070728627e-12	7.97434327311529e-10
f__Ruminococcaceae.g__uncultured	Group	post_ltx	-2.3765297908356	0.344907645966874	211	118	6.5047725089299e-11	7.80572701071588e-09
Christensenellaceae_R.7_group	Group	post_ltx	-2.88666469205083	0.426989835840463	211	119	1.3617593753842e-10	1.22558343784578e-08
Actinomyces	Country	NO	-2.75349611895168	0.411651312358239	211	130	2.03924034614149e-10	1.46825304922187e-08
Collinsella	Country	NO	-3.28716409622221	0.506098390640395	211	166	6.00377439217719e-10	3.60226463530631e-08
Intestinimonas	Group	post_ltx	-2.38885693984627	0.377192437660124	211	138	1.45713386662709e-09	7.49383131408218e-08
Lachnospiraceae_UCG.010	Group	post_ltx	-2.61497526101089	0.41502156871174	211	144	1.73757446922614e-09	7.81908511151763e-08
Colidextribacter	Group	post_ltx	-2.3157255086102	0.386219753964248	211	149	8.83379482585673e-09	3.53351793034269e-07
Clostridia_UCG.014	Group	post_ltx	-2.25453274876275	0.38163675201863	211	84	1.4010293565233e-08	5.04370568348389e-07
Escherichia.Shigella	Group	post_ltx	2.61915330404948	0.456773625196931	211	147	3.42041717809656e-08	1.02612515342897e-06
Haemophilus	Group	post_ltx	2.43951181640792	0.424216368832609	211	155	3.14285397981235e-08	1.02612515342897e-06
Streptococcus	Country	NO	-2.04009551335551	0.358715532411004	211	205	4.33825680970736e-08	1.18989590633562e-06
Lachnoclostridium	Group	post_ltx	-1.59861819971152	0.281720880229165	211	204	4.62737296908297e-08	1.18989590633562e-06
o__Rhodospirillales.f__uncultured.g__uncultured	Group	post_ltx	-2.56344319318751	0.478621044337558	211	92	2.24630173777506e-07	5.05417890999389e-06
f__Enterobacteriaceae.g__unassigned	Group	post_ltx	2.67574381195894	0.498495649393065	211	53	2.12159571004035e-07	5.05417890999389e-06
Barnesiella	Group	post_ltx	-2.86963504041573	0.564101571358803	211	126	8.10457281246319e-07	1.62091456249264e-05
f__Oscillospiraceae.g__unassigned	Group	post_ltx	-1.70631792782925	0.334790259252371	211	73	7.74824336868782e-07	1.62091456249264e-05
Coprococcus	Group	post_ltx	-2.10658792476061	0.417367586173004	211	178	9.7598218831308e-07	1.84922940943531e-05
Alistipes	Group	post_ltx	-2.34095438755067	0.466886461570079	211	177	1.13966901263602e-06	2.05140422274483e-05
Oscillibacter	Group	post_ltx	-1.88823007985226	0.377495043833668	211	151	1.20466892172269e-06	2.06514672295317e-05
UCG.005	Group	post_ltx	-2.13546749930278	0.4283527897307	211	114	1.30138298281701e-06	2.1295357900642e-05
Parabacteroides	Group	post_ltx	-2.49498755751728	0.501854868316174	211	165	1.38674654211744e-06	2.17055980505338e-05
Enterococcus	Group	post_ltx	2.12627058397889	0.431575836546989	211	63	1.70348310135578e-06	2.55522465203367e-05
X.Clostridium._innocuum_group	Country	NO	-1.89731020183764	0.392311313083289	211	98	2.57149286820183e-06	3.70294973021063e-05
Veillonella	Group	post_ltx	2.12558653381205	0.443586470888761	211	174	3.14091478853728e-06	4.3489589379747e-05
Family_XIII_UCG.001	Group	post_ltx	-0.964187398915518	0.203547348407381	211	55	4.01442727515661e-06	5.35256970020882e-05
Erysipelotrichaceae_UCG.003	Group	post_ltx	-2.16346636845603	0.460185198934908	211	142	4.70211413790827e-06	6.04557532016777e-05
Family_XIII_AD3011_group	Group	post_ltx	-1.53857639428258	0.332022929203647	211	101	6.32518199933784e-06	7.85195006814352e-05
Peptostreptococcus	Country	NO	-1.40428512888043	0.305301521892152	211	54	7.34674202236245e-06	8.81609042683493e-05
f__Christensenellaceae.g__unassigned	Group	post_ltx	-1.11293472100994	0.244564430920422	211	35	9.08636437798921e-06	0.000105519070196004
o__Lactobacillales.f__unassigned.g__unassigned	Country	NO	-1.49679036441584	0.335004909514859	211	106	1.29590501215255e-05	0.000145789313867162
Rothia	Country	NO	-1.58846926100496	0.356731888084788	211	106	1.38211343762891e-05	0.000150776011377699
X.Clostridium._innocuum_group	Group	post_ltx	1.69913713269568	0.39102408382815	211	98	2.17390957329959e-05	0.000217390957329959
Gemella	Country	NO	-1.68798151693646	0.388394102807861	211	104	2.16754862356253e-05	0.000217390957329959
Hungatella	Group	post_ltx	1.39521400107089	0.320556982604147	211	69	2.11022994762292e-05	0.000217390957329959
Sphingobium	Group	post_ltx	1.01988496120419	0.236310932636902	211	47	2.45799399635291e-05	0.000239156172618121
f__Lachnospiraceae.g__unassigned	Group	post_ltx	-1.32276605594665	0.307378527340056	211	207	2.58865589032458e-05	0.000245241084346539
Sphingobium	Country	NO	-1.00610273199875	0.237088854914275	211	47	3.31265616200386e-05	0.000305783645723434
Gordonibacter	Country	NO	-0.90772350276959	0.216204348676297	211	40	3.98308545200384e-05	0.000358477690680346
GCA.900066575	Group	post_ltx	-1.3645852800515	0.326958213412074	211	112	4.40630673082289e-05	0.000386895225145424
Butyricimonas	Group	post_ltx	-1.54886090844328	0.372582234214163	211	101	4.70998299521718e-05	0.000403712828161473
Streptococcus	Group	post_ltx	1.44958115347547	0.357538535693874	211	205	7.10493996949497e-05	0.000594832183492602
Defluviitaleaceae_UCG.011	Group	post_ltx	-0.447348148369618	0.110925015681117	211	16	7.73385324639857e-05	0.000618708259711886
Acidaminococcus	Country	NO	-1.89097549049149	0.468528177566935	211	50	7.63968785868999e-05	0.000618708259711886
Atopobium	Country	NO	-1.23396477722857	0.311227378497625	211	54	0.000100993319729532	0.000790382502231122
X.Clostridium._methylpentosum_group	Country	NO	0.660652462575098	0.166952983126677	211	36	0.000104073365444697	0.0007929534836554
f__Peptococcaceae.g__uncultured	Group	post_ltx	-0.869190312155307	0.21987769947522	211	29	0.000105727131154053	0.0007929534836554
Lachnospiraceae_NK4A136_group	Group	post_ltx	-1.75138461968019	0.443687078462891	211	120	0.000108103178038475	0.000794227430486757
Family_XIII_UCG.001	Country	NO	0.797065377943233	0.204217414811247	211	55	0.000128307577270364	0.000923814556346618
Senegalimassilia	Country	NO	-1.30242704124068	0.336090326830729	211	85	0.000142755829188195	0.00100768820603432
Gastranaerophilales	Group	post_ltx	-1.63515154362127	0.422675744750848	211	68	0.00014643869910282	0.00101380637840414
Lachnospiraceae_UCG.004	Group	post_ltx	-1.67169357632452	0.433409272625783	211	161	0.0001530100645863	0.00103931364624656
Enterorhabdus	Group	post_ltx	-0.799523949361663	0.208016699001309	211	39	0.000161099106760842	0.00107399404507228
Lachnospiraceae_UCG.003	Country	NO	0.880894584059614	0.230606717073021	211	22	0.000176234336078017	0.00115353383614702
Erysipelatoclostridium	Country	NO	1.66671988057341	0.438078554888288	211	100	0.000186719982711095	0.00119664831173295
CAG.352	Group	post_ltx	-1.27439318011553	0.335301258241247	211	28	0.000189469316024383	0.00119664831173295
X.Eubacterium._brachy_group	Country	NO	-0.882179797999877	0.23259976911226	211	51	0.000195303831892965	0.00121223068071496
Bilophila	Group	post_ltx	-1.70544000981075	0.452762967372382	211	136	0.000215304003727525	0.00131371934477812
Holdemania	Group	post_ltx	-1.0613550666185	0.284211344286196	211	68	0.000242950527802181	0.00145770316681309
f__Coriobacteriales_Incertae_Sedis.g__uncultured	Group	post_ltx	-0.882724083662417	0.24056484633237	211	36	0.000308948883429778	0.00179389674249548
Eisenbergiella	Country	NO	0.963273349461666	0.262269250186991	211	50	0.000305046745387443	0.00179389674249548
Dielma	Group	post_ltx	-0.627672259541425	0.172389197989204	211	22	0.000342754005043208	0.00195859431453262
f__Peptococcaceae.g__uncultured	Country	NO	0.798439485279609	0.220601524474812	211	29	0.000370864787308022	0.00208611442860762
Christensenellaceae_R.7_group	Country	NO	1.54432778444237	0.428395462325051	211	119	0.000390843334334366	0.00216467077477495
CAG.56	Group	post_ltx	-1.58452216793823	0.442068390475446	211	106	0.00042101600672378	0.00223836624254385
Hungatella	Country	NO	1.15421084596569	0.321612238131907	211	69	0.000414249718979501	0.00223836624254385
Marvinbryantia	Group	post_ltx	-1.19967948180107	0.334810196112725	211	127	0.000422802512480505	0.00223836624254385
Clostridia_vadinBB60_group	Group	post_ltx	-0.933528908565564	0.260897808173612	211	49	0.00043052500519183	0.00224621741839216
Holdemanella	Country	NO	-1.46226249118385	0.41203632491766	211	49	0.000478234789276036	0.00245949320199104
Angelakisella	Group	post_ltx	-0.192485297059593	0.0547727602713443	211	9	0.00054105743097792	0.00266822842674043
Dialister	Group	post_ltx	1.71339385953888	0.487155640638247	211	96	0.000535537011989634	0.00266822842674043
Haemophilus	Country	NO	-1.4959020915226	0.425612865220055	211	155	0.000540195084025761	0.00266822842674043
Faecalibacterium	Group	post_ltx	-1.61015041582512	0.463161574729994	211	192	0.000618504844785258	0.0030089424881445
Adlercreutzia	Group	post_ltx	-1.2489254170818	0.360742946740133	211	86	0.000650501490030642	0.00312240715214708
Escherichia.Shigella	Country	NO	1.57259161616619	0.458277298238175	211	147	0.000723935976562933	0.0034291704152981
Clostridium_sensu_stricto_1	Group	post_ltx	1.82231207710035	0.532317074960914	211	119	0.000744841302552717	0.00348237492102569
Campylobacter	Group	post_ltx	0.776296723738168	0.230388990367286	211	34	0.000897407824429098	0.00414188226659584
UCG.002	Group	post_ltx	-1.64540694909488	0.490033191860502	211	147	0.000934389253467947	0.00425797634491723
CAG.56	Country	NO	1.48662508918949	0.443523654712424	211	106	0.000953460717787352	0.00429057323004309
f__Barnesiellaceae.g__uncultured	Group	post_ltx	-0.411968457374017	0.124411685269741	211	23	0.001094693706015	0.00486530536006669
Alloprevotella	Group	post_ltx	-0.930779834679073	0.282062602258092	211	16	0.00113791523191885	0.00499572540842424
Lachnospiraceae_ND3007_group	Group	post_ltx	-1.49539182337484	0.455819345866298	211	140	0.0012142828798164	0.00526676911727595
TM7x	Country	NO	-0.748556367903342	0.229616583655944	211	43	0.00130150459127772	0.00557787681976167
Mogibacterium	Country	NO	-0.917811987435512	0.282989056724717	211	45	0.00137653093124248	0.00583001335585052
Fusicatenibacter	Group	post_ltx	-1.57990085776617	0.494221504119693	211	178	0.00160655126430808	0.00672509831570823
Muribaculaceae	Group	post_ltx	-0.852260507886337	0.267170098814156	211	36	0.00164296207871037	0.00679846377397395
Anaerotruncus	Country	NO	0.665289750559526	0.211469500133012	211	57	0.00189751889588543	0.0077625773013495
Slackia	Country	NO	-1.34921526092647	0.431097402969823	211	81	0.00200098984294076	0.00809389149953564
Romboutsia	Country	NO	-1.28235335539128	0.41931799098808	211	97	0.00251937969271042	0.0100775187708417
Phascolarctobacterium	Group	post_ltx	-1.78537389588083	0.588414254383658	211	104	0.00271911879891943	0.0107569534902307
f__Ruminococcaceae.g__uncultured	Country	NO	1.04829032669676	0.346043062506599	211	118	0.0027612439508942	0.0108048676339338
Methylobacterium.Methylorubrum	Group	post_ltx	0.560316095496289	0.186389858833037	211	26	0.00297135487617023	0.0115020188754977
X.Clostridium._methylpentosum_group	Group	post_ltx	-0.497709652241418	0.166405186626942	211	36	0.00311680398850339	0.0119366961261832
Marvinbryantia	Country	NO	1.00211724193365	0.335912372416383	211	127	0.00319275560543638	0.0119979352973366
Sellimonas	Group	post_ltx	1.22968726530247	0.412745083281248	211	81	0.00323277701067125	0.0119979352973366
UCG.010	Group	post_ltx	-0.790907034639043	0.265193057507615	211	38	0.00320164251571122	0.0119979352973366
Ligilactobacillus	Group	post_ltx	0.792963569567602	0.267147823805815	211	34	0.00334613538983698	0.0122919259218501
Paraprevotella	Group	post_ltx	-1.1201342670824	0.379700127484667	211	56	0.00354122456815561	0.0128771802478386
Lactococcus	Country	NO	-0.660461329698516	0.224527730984024	211	31	0.00363572810756867	0.0129590308784626
f__Oscillospiraceae.g__uncultured	Group	post_ltx	-1.14766031093316	0.389809266206237	211	144	0.00360654313928558	0.0129590308784626
Faecalitalea	Group	post_ltx	0.920112990663736	0.3132635918095	211	38	0.00368529435786509	0.0130069212630533
Aggregatibacter	Group	post_ltx	0.56103390317099	0.192136339302207	211	29	0.00388637205071207	0.0135834362937509
Lachnospiraceae_UCG.004	Country	NO	1.25002539193851	0.434836031534622	211	161	0.00446431377322535	0.0154533938303954
Gordonibacter	Group	post_ltx	-0.615255883509318	0.215494951436342	211	40	0.00473835866036789	0.0160885498593425
Coprobacter	Group	post_ltx	-1.3248541371146	0.464580219688974	211	100	0.00478678587696819	0.0160885498593425
X.Ruminococcus._gnavus_group	Group	post_ltx	1.56236981825716	0.546879185963309	211	128	0.00471259075707358	0.0160885498593425
Corynebacterium	Country	NO	-0.703415432738901	0.246900223533499	211	36	0.00482656495780274	0.0160885498593425
X.Eubacterium._siraeum_group	Country	NO	0.808258899324666	0.286720836677324	211	47	0.00528303101861048	0.0174485428137594
f__Eggerthellaceae.g__uncultured	Group	post_ltx	-0.897660588531425	0.319868596522005	211	52	0.00548666560339235	0.0177945911461374
Sutterella	Group	post_ltx	-1.61356098073033	0.574401176666923	211	154	0.00544130486654727	0.0177945911461374
Pseudoflavonifractor	Group	post_ltx	-0.583711591771263	0.20850813661865	211	31	0.00560045611128072	0.0180014660719737
Senegalimassilia	Group	post_ltx	-0.933644659882769	0.334987566633309	211	85	0.00581051238549078	0.0183426485221809
Lachnospiraceae_FCS020_group	Group	post_ltx	-0.887680869557891	0.319153055040078	211	129	0.0059104089682583	0.0183426485221809
Intestinimonas	Country	NO	1.05317016723359	0.378434133915301	211	138	0.0058823283653908	0.0183426485221809
Klebsiella	Group	post_ltx	1.2369255517818	0.444703116342562	211	42	0.00590866385583323	0.0183426485221809
Parvimonas	Country	NO	-0.779500191141633	0.281930547400239	211	44	0.0062063678632035	0.0190965165021646
Fusobacterium	Group	post_ltx	1.38724588496605	0.502464247263317	211	89	0.00627977132416469	0.0191586243788075
Lactobacillus	Group	post_ltx	0.74726710873368	0.274107379633271	211	29	0.00695366337628746	0.0210362925669201
X.Eubacterium._hallii_group	Group	post_ltx	-1.05067358495879	0.386881997201067	211	184	0.0071687812833444	0.0215063438500332
Collinsella	Group	post_ltx	-1.36361108483745	0.504437809788696	211	166	0.00743470804205122	0.0219384827470364
Coprobacter	Country	NO	-1.26044427073826	0.466109591599491	211	100	0.00741420180314672	0.0219384827470364
Enterorhabdus	Country	NO	-0.550092031156568	0.208701478255545	211	39	0.00902692570883479	0.0262072036708107
Parasutterella	Group	post_ltx	-1.29216853479706	0.490228239234506	211	109	0.0090252072413317	0.0262072036708107
Lachnospira	Country	NO	1.12688344528707	0.428462181513018	211	141	0.00917511961707192	0.0264243444971671
Lacticaseibacillus	Group	post_ltx	0.496353331012852	0.189060592476991	211	19	0.00929850954111921	0.0265671701174834
Anaerofustis	Country	NO	-0.326875755732753	0.12507227326537	211	28	0.00961692816390016	0.0272605837716855
X.Eubacterium._hallii_group	Country	NO	-1.01196007521402	0.388155590940379	211	184	0.00979250875319067	0.0275414308683488
Oribacterium	Country	NO	-0.505669321652157	0.194301632170931	211	29	0.00992063243057785	0.0276854858527754
Pseudomonas	Group	post_ltx	0.742705382437226	0.287179387564652	211	48	0.0103862591925474	0.0287619485332082
X.Ruminococcus._torques_group	Group	post_ltx	-1.11143007450647	0.43041517917361	211	198	0.0105029413910652	0.0288630450441486
UCG.009	Group	post_ltx	-0.424785261588616	0.165525404428893	211	30	0.0109823136554417	0.0299517645148409
