feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Rikenellaceae_RC9_gut_group	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Izemoplasmatales	Abiotrophia	Granulicatella	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Anaerofustis	Defluviitaleaceae_UCG.011	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Oribacterium	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Angelakisella	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Pseudomonas	Akkermansia	Corynebacterium	Leucobacter	Cutibacterium	Dysgonomonas	Parasediminibacterium	Campylobacter	Faecalitalea	Enterococcus	Vagococcus	Staphylococcus	Clostridium_sensu_stricto_5	Allisonella	Asticcacaulis	Pseudochrobactrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Comamonas	Aeromonas	Klebsiella	f__Enterobacteriaceae.g__unassigned	Morganella	Proteus	Providencia	Actinobacillus	Shewanella	f__Yersiniaceae.g__unassigned	Halomonas	Dyella
Cah8-300-IL	5	211	8	4	0	2131	0	0	2	49	8	294	41	64	4611	209	35	0	69	73	113	745	56	0	596	0	196	46	1334	0	64	107	33	8	0	231	0	13	0	170	0	0	0	0	0	0	0	2	60	7	0	0	36	0	13	0	0	2	3	142	94	2812	455	559	1633	11	0	225	10	51	0	338	16	60	118	25	0	0	15	259	43	0	485	0	0	0	0	6	0	168	9	0	0	0	0	1230	998	3	53	3	78	13	3	28	28	29	0	461	0	21	23	55	6	0	2	2	0	1846	11	51	16	4	390	893	6	12	4	27	0	0	33	0	0	14	10	2	16	4	0	0	6	0	39	220	0	0	13	0	6	13	10	730	0	25	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-301-IL	26	13	2	2	0	327	0	76	12	0	0	0	0	0	6135	392	66	0	40	78	0	0	0	0	0	30	40	0	134	0	21	26	0	0	0	0	0	113	0	0	44	12	0	2	0	0	9	0	165	8	19	36	70	23	87	2	4	0	0	19	9	571	352	656	388	0	0	36	16	0	0	1668	0	4	16	47	0	0	63	276	7	0	398	0	0	0	0	2	3	86	0	0	0	11	639	410	1515	0	21	0	45	9	9	0	34	30	0	69	36	81	2	47	0	0	92	0	0	2567	0	36	98	0	8	426	8	0	0	20	15	0	19	12	0	8	0	12	14	12	0	63	2	0	0	220	0	0	3	4	2	49	0	431	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0
Cah8-302-IL	34	0	23	7	0	46	0	0	53	3	28	36	10	0	5960	315	198	0	131	190	0	0	185	0	0	0	168	0	517	0	0	19	0	0	0	0	157	38	349	0	12	0	0	0	0	0	3	6	188	34	0	23	17	3	82	0	0	0	0	0	0	284	0	54	141	57	1789	12	15	0	2	691	0	7	38	5	0	0	30	37	29	6	27	20	297	0	0	0	8	42	0	0	0	0	0	1975	1438	0	33	0	126	291	28	0	120	2	3	62	74	54	11	145	5	8	0	0	0	859	0	29	4	0	8	109	235	0	2	7	0	8	4	0	21	5	0	0	0	0	0	13	0	0	0	435	0	0	10	0	5	194	24	286	3462	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-IL	0	286	0	2	0	1179	0	50	0	0	8	0	0	0	3111	156	0	0	14	32	0	0	0	0	2	0	344	0	79	0	0	28	0	0	0	206	0	36	0	402	0	0	25	0	15	0	0	0	128	0	68	0	210	86	36	7	28	0	13	802	82	1222	178	749	242	0	0	644	26	0	0	222	160	37	55	43	9	0	22	12	28	0	279	0	0	0	0	127	0	261	0	33	0	25	0	125	245	66	24	3	34	6	21	12	22	0	0	230	19	156	15	46	0	0	1050	0	6	4035	0	26	2	0	122	717	19	0	3	13	23	0	101	0	0	4	9	0	0	0	55	0	158	0	0	116	0	0	4	0	0	0	212	49	0	2	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-305-IL	4	340	4	0	0	1653	0	7	222	0	0	0	0	0	8451	0	127	0	0	25	0	0	0	0	0	0	103	0	0	0	0	11	0	0	0	0	72	304	0	823	20	0	0	0	0	0	0	0	36	0	0	2	0	0	0	0	0	0	0	60	981	2393	0	380	769	0	0	293	0	0	6	797	470	0	122	0	0	0	49	0	0	0	27	2	120	42	0	22	0	340	0	34	0	0	1118	960	252	13	66	0	122	29	19	0	71	0	0	0	0	4	0	29	0	0	0	0	0	1571	0	30	0	0	7	107	6	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	241	0	0	5	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-307-IL	4	0	0	0	0	165	4	7	87	0	19	0	313	0	4335	650	21	3	216	89	57	2885	0	0	6	0	655	0	95	0	0	99	0	4	0	31	11	0	0	75	12	8	0	0	0	0	0	0	101	0	0	0	258	68	0	13	52	0	0	143	4	187	137	331	276	4	0	0	38	0	0	506	0	0	0	2	0	0	63	308	3	0	156	0	0	0	0	0	0	18	3	0	0	0	62	495	3395	0	17	0	33	24	21	18	128	0	0	703	13	1175	12	260	3	0	244	0	0	1826	16	38	107	4	30	150	21	29	17	16	0	10	162	60	0	34	6	0	0	0	68	0	71	1	0	189	32	0	2	3620	0	358	0	1756	68	16	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-308-IL	0	19	3	0	0	145	15	7	20	0	30	0	0	0	4937	622	3	9	0	55	0	0	0	0	0	0	472	0	151	0	4	40	0	4	0	0	20	0	0	0	9	24	0	6	0	0	0	3	48	0	0	3	30	0	0	0	217	3	0	33	3	166	33	1040	103	0	0	29	3	0	0	381	0	0	18	4	0	0	32	6	0	0	22	93	0	0	8	3	0	0	0	0	0	0	142	1298	664	0	23	4	44	219	13	0	176	0	5	119	50	14	9	138	0	0	30	0	0	3613	0	81	176	5	49	68	2	0	2	15	0	0	6	0	0	6	8	0	0	0	224	0	177	1136	24	206	0	0	0	0	0	68	545	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0
Cah8-309-IL	0	547	2	0	0	1393	6	0	0	24	0	0	13	0	4437	21	0	7	9	30	5	0	0	0	0	0	87	0	4	0	0	0	0	0	0	0	0	720	0	135	0	0	0	0	0	0	0	0	225	0	2	0	42	0	19	0	0	0	0	638	84	1511	0	585	296	0	0	650	10	0	0	161	24	13	423	6	0	0	26	0	8	0	122	0	0	0	0	86	0	89	0	21	0	102	0	3913	710	7	271	0	0	8	8	0	18	0	0	21	5	9	7	0	2	0	0	0	0	2154	0	54	0	0	189	484	0	0	0	5	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	40	0	0	0	0	0	0	33	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run06-192	10	134	11	0	0	0	0	17	43	0	24	0	0	259	5249	20	57	0	34	52	98	0	243	0	0	0	270	0	25	0	271	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	356	0	0	2	22	0	0	0	7	0	0	23	324	2735	341	92	360	0	0	305	7	0	0	333	75	28	81	39	0	0	65	2	32	0	276	0	3	0	0	124	0	771	0	10	0	37	0	297	334	14	89	0	10	20	9	138	0	0	0	45	52	41	14	20	0	0	0	0	0	5520	0	21	0	0	137	794	0	5	3	8	0	0	40	0	0	10	0	0	3	0	33	0	9	0	0	162	0	13	387	0	0	7	114	22	0	20	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run06-57	0	0	7	0	0	0	0	23	213	0	5	0	0	0	7343	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	63	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	70	1404	0	111	0	99	0	32	0	0	166	725	451	0	0	0	0	5	0	0	0	0	3774	58	0	0	0	274	26	0	0	0	0	30	1576	1251	1118	61	28	0	0	121	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1478	0	42	0	0	117	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	214	0	76	0	29	0	0	0	0	128	0	8	0	0	0	0	0	15	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	2	0	0	0	0
