2025-01-30 15:17:15.676836 INFO::Writing function arguments to log file
2025-01-30 15:17:15.681673 DEBUG::Function arguments
2025-01-30 15:17:15.68375 DEBUG::Output folder: ../intermediate_files/maaslin/Q1/genus/healthy vs Grouppre_ltx
2025-01-30 15:17:15.686763 DEBUG::Min Abundance: 0.000000
2025-01-30 15:17:15.69031 DEBUG::Min Prevalence: 0.000000
2025-01-30 15:17:15.692063 DEBUG::Normalization: TSS
2025-01-30 15:17:15.694263 DEBUG::Transform: LOG
2025-01-30 15:17:15.695727 DEBUG::Analysis method: LM
2025-01-30 15:17:15.697285 DEBUG::Max significance: 0.050000
2025-01-30 15:17:15.698864 DEBUG::Random effects: Patient
2025-01-30 15:17:15.701007 DEBUG::Fixed effects: Group,Country
2025-01-30 15:17:15.702506 DEBUG::Correction method: BH
2025-01-30 15:17:15.704916 DEBUG::Standardize: TRUE
2025-01-30 15:17:15.706016 DEBUG::Cores: 1
2025-01-30 15:17:15.707878 INFO::Verifying options selected are valid
2025-01-30 15:17:15.71033 INFO::Determining format of input files
2025-01-30 15:17:15.712361 INFO::Input format is data samples as columns and metadata samples as rows
2025-01-30 15:17:15.718776 DEBUG::Transformed data so samples are rows
2025-01-30 15:17:15.720758 DEBUG::A total of 411 samples were found in both the data and metadata
2025-01-30 15:17:15.721558 DEBUG::Reordering data/metadata to use same sample ordering
2025-01-30 15:17:15.723541 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-01-30 15:17:15.725532 INFO::Formula for fixed effects: expr ~  Group + Country
2025-01-30 15:17:15.727413 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-01-30 15:17:15.729743 INFO::Filter data based on min abundance and min prevalence
2025-01-30 15:17:15.731814 INFO::Total samples in data: 411
2025-01-30 15:17:15.734022 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-01-30 15:17:15.739605 INFO::Total filtered features: 0
2025-01-30 15:17:15.741551 INFO::Filtered feature names from abundance and prevalence filtering:
2025-01-30 15:17:15.747653 INFO::Total filtered features with variance filtering: 0
2025-01-30 15:17:15.749817 INFO::Filtered feature names from variance filtering:
2025-01-30 15:17:15.751685 INFO::Running selected normalization method: TSS
2025-01-30 15:17:15.759139 INFO::Applying z-score to standardize continuous metadata
2025-01-30 15:17:15.764003 INFO::Running selected transform method: LOG
2025-01-30 15:17:15.77535 INFO::Running selected analysis method: LM
2025-01-30 15:17:15.779441 INFO::Fitting model to feature number 1, Actinomyces
2025-01-30 15:17:15.831191 INFO::Fitting model to feature number 2, Bifidobacterium
2025-01-30 15:17:15.886621 INFO::Fitting model to feature number 3, Rothia
2025-01-30 15:17:15.939792 INFO::Fitting model to feature number 4, Atopobium
2025-01-30 15:17:15.998107 INFO::Fitting model to feature number 5, Collinsella
2025-01-30 15:17:16.052778 INFO::Fitting model to feature number 6, f__Coriobacteriales_Incertae_Sedis.g__uncultured
2025-01-30 15:17:16.110585 INFO::Fitting model to feature number 7, Adlercreutzia
2025-01-30 15:17:16.16629 INFO::Fitting model to feature number 8, Eggerthella
2025-01-30 15:17:16.235317 INFO::Fitting model to feature number 9, Enterorhabdus
2025-01-30 15:17:16.294552 INFO::Fitting model to feature number 10, Gordonibacter
2025-01-30 15:17:16.353694 INFO::Fitting model to feature number 11, Senegalimassilia
2025-01-30 15:17:16.410846 INFO::Fitting model to feature number 12, Slackia
2025-01-30 15:17:16.467097 INFO::Fitting model to feature number 13, f__Eggerthellaceae.g__uncultured
2025-01-30 15:17:16.521957 INFO::Fitting model to feature number 14, Bacteroides
2025-01-30 15:17:16.578691 INFO::Fitting model to feature number 15, Barnesiella
2025-01-30 15:17:16.636304 INFO::Fitting model to feature number 16, Coprobacter
2025-01-30 15:17:16.692165 INFO::Fitting model to feature number 17, f__Barnesiellaceae.g__uncultured
2025-01-30 15:17:16.752504 INFO::Fitting model to feature number 18, Butyricimonas
2025-01-30 15:17:16.800604 INFO::Fitting model to feature number 19, Odoribacter
2025-01-30 15:17:16.856425 INFO::Fitting model to feature number 20, Muribaculaceae
2025-01-30 15:17:16.913282 INFO::Fitting model to feature number 21, Alloprevotella
2025-01-30 15:17:16.978253 INFO::Fitting model to feature number 22, Paraprevotella
2025-01-30 15:17:17.035135 INFO::Fitting model to feature number 23, Prevotella
2025-01-30 15:17:17.091107 INFO::Fitting model to feature number 24, Prevotella_7
2025-01-30 15:17:17.145694 INFO::Fitting model to feature number 25, Prevotella_9
2025-01-30 15:17:17.276539 INFO::Fitting model to feature number 26, Prevotellaceae_NK3B31_group
2025-01-30 15:17:17.336203 INFO::Fitting model to feature number 27, Alistipes
2025-01-30 15:17:17.390029 INFO::Fitting model to feature number 28, Parabacteroides
2025-01-30 15:17:17.44802 INFO::Fitting model to feature number 29, Tannerellaceae
2025-01-30 15:17:17.503573 INFO::Fitting model to feature number 30, Gastranaerophilales
2025-01-30 15:17:17.560479 INFO::Fitting model to feature number 31, Bilophila
2025-01-30 15:17:17.615331 INFO::Fitting model to feature number 32, Desulfovibrio
2025-01-30 15:17:17.666825 INFO::Fitting model to feature number 33, f__Desulfovibrionaceae.g__uncultured
2025-01-30 15:17:17.719515 INFO::Fitting model to feature number 34, Catenibacterium
2025-01-30 15:17:17.781665 INFO::Fitting model to feature number 35, Erysipelatoclostridium
2025-01-30 15:17:17.837567 INFO::Fitting model to feature number 36, Erysipelotrichaceae_UCG.003
2025-01-30 15:17:17.895464 INFO::Fitting model to feature number 37, Dielma
2025-01-30 15:17:17.954015 INFO::Fitting model to feature number 38, Holdemanella
2025-01-30 15:17:18.010531 INFO::Fitting model to feature number 39, Holdemania
2025-01-30 15:17:18.065965 INFO::Fitting model to feature number 40, Merdibacter
2025-01-30 15:17:18.123713 INFO::Fitting model to feature number 41, Turicibacter
2025-01-30 15:17:18.180178 INFO::Fitting model to feature number 42, X.Clostridium._innocuum_group
2025-01-30 15:17:18.237347 INFO::Fitting model to feature number 43, Lactococcus
2025-01-30 15:17:18.293547 INFO::Fitting model to feature number 44, Streptococcus
2025-01-30 15:17:18.351604 INFO::Fitting model to feature number 45, o__Lactobacillales.f__unassigned.g__unassigned
2025-01-30 15:17:18.407697 INFO::Fitting model to feature number 46, RF39
2025-01-30 15:17:18.464207 INFO::Fitting model to feature number 47, Gemella
2025-01-30 15:17:18.518986 INFO::Fitting model to feature number 48, Christensenellaceae_R.7_group
2025-01-30 15:17:18.567589 INFO::Fitting model to feature number 49, f__Christensenellaceae.g__unassigned
2025-01-30 15:17:18.62263 INFO::Fitting model to feature number 50, Clostridia_UCG.014
2025-01-30 15:17:18.756712 INFO::Fitting model to feature number 51, Clostridia_vadinBB60_group
2025-01-30 15:17:18.814493 INFO::Fitting model to feature number 52, Clostridium_sensu_stricto_1
2025-01-30 15:17:18.872865 INFO::Fitting model to feature number 53, Agathobacter
2025-01-30 15:17:18.92916 INFO::Fitting model to feature number 54, Anaerostipes
2025-01-30 15:17:18.985604 INFO::Fitting model to feature number 55, Blautia
2025-01-30 15:17:19.041364 INFO::Fitting model to feature number 56, CAG.56
2025-01-30 15:17:19.098572 INFO::Fitting model to feature number 57, Coprococcus
2025-01-30 15:17:19.153774 INFO::Fitting model to feature number 58, Dorea
2025-01-30 15:17:19.21197 INFO::Fitting model to feature number 59, Eisenbergiella
2025-01-30 15:17:19.269864 INFO::Fitting model to feature number 60, Frisingicoccus
2025-01-30 15:17:19.328499 INFO::Fitting model to feature number 61, Fusicatenibacter
2025-01-30 15:17:19.385238 INFO::Fitting model to feature number 62, GCA.900066575
2025-01-30 15:17:19.443219 INFO::Fitting model to feature number 63, Howardella
2025-01-30 15:17:19.491375 INFO::Fitting model to feature number 64, Hungatella
2025-01-30 15:17:19.545021 INFO::Fitting model to feature number 65, Lachnoclostridium
2025-01-30 15:17:19.598593 INFO::Fitting model to feature number 66, Lachnospira
2025-01-30 15:17:19.657145 INFO::Fitting model to feature number 67, Lachnospiraceae_FCS020_group
2025-01-30 15:17:19.713562 INFO::Fitting model to feature number 68, Lachnospiraceae_ND3007_group
2025-01-30 15:17:19.77406 INFO::Fitting model to feature number 69, Lachnospiraceae_NK4A136_group
2025-01-30 15:17:19.83102 INFO::Fitting model to feature number 70, Lachnospiraceae_UCG.004
2025-01-30 15:17:19.887944 INFO::Fitting model to feature number 71, Lachnospiraceae_UCG.010
2025-01-30 15:17:19.942457 INFO::Fitting model to feature number 72, Marvinbryantia
2025-01-30 15:17:19.998765 INFO::Fitting model to feature number 73, Roseburia
2025-01-30 15:17:20.055457 INFO::Fitting model to feature number 74, Sellimonas
2025-01-30 15:17:20.112623 INFO::Fitting model to feature number 75, Tuzzerella
2025-01-30 15:17:20.234727 INFO::Fitting model to feature number 76, Tyzzerella
2025-01-30 15:17:20.297252 INFO::Fitting model to feature number 77, X.Eubacterium._eligens_group
2025-01-30 15:17:20.370446 INFO::Fitting model to feature number 78, X.Eubacterium._hallii_group
2025-01-30 15:17:20.432952 INFO::Fitting model to feature number 79, X.Eubacterium._ruminantium_group
2025-01-30 15:17:20.488374 INFO::Fitting model to feature number 80, X.Eubacterium._ventriosum_group
2025-01-30 15:17:20.545905 INFO::Fitting model to feature number 81, X.Eubacterium._xylanophilum_group
2025-01-30 15:17:20.600306 INFO::Fitting model to feature number 82, X.Ruminococcus._gauvreauii_group
2025-01-30 15:17:20.650559 INFO::Fitting model to feature number 83, X.Ruminococcus._gnavus_group
2025-01-30 15:17:20.706577 INFO::Fitting model to feature number 84, X.Ruminococcus._torques_group
2025-01-30 15:17:20.759238 INFO::Fitting model to feature number 85, f__Lachnospiraceae.g__unassigned
2025-01-30 15:17:20.815598 INFO::Fitting model to feature number 86, Monoglobus
2025-01-30 15:17:20.873772 INFO::Fitting model to feature number 87, Butyricicoccus
2025-01-30 15:17:20.928622 INFO::Fitting model to feature number 88, UCG.009
2025-01-30 15:17:20.986462 INFO::Fitting model to feature number 89, Colidextribacter
2025-01-30 15:17:21.044266 INFO::Fitting model to feature number 90, Flavonifractor
2025-01-30 15:17:21.101459 INFO::Fitting model to feature number 91, Intestinimonas
2025-01-30 15:17:21.15946 INFO::Fitting model to feature number 92, NK4A214_group
2025-01-30 15:17:21.217403 INFO::Fitting model to feature number 93, Oscillibacter
2025-01-30 15:17:21.276055 INFO::Fitting model to feature number 94, Oscillospira
