feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinomyces	Country	NO	-3.5872704561547	0.409190063603224	143	70	5.55770867794499e-15	2.04523679348376e-12
Clostridia_UCG.014	Group	pre_ltx	-3.26024809836266	0.40650315555638	143	62	3.7953141054197e-13	6.98337795397224e-11
Morganella	Group	pre_ltx	2.30734371472579	0.313161033747993	143	40	1.36598426096725e-11	1.67560736011982e-09
Erysipelotrichaceae_UCG.003	Group	pre_ltx	-3.52414223451586	0.504539386050566	143	106	1.05740447580225e-10	9.72812117738071e-09
Parabacteroides	Group	pre_ltx	-3.27059171047932	0.48685881221346	143	115	4.28050031808976e-10	3.15044823411407e-08
o__Rhodospirillales.f__uncultured.g__uncultured	Group	pre_ltx	-3.41020811604355	0.518278277694597	143	63	8.72009571998868e-10	5.34832537492639e-08
f__Ruminococcaceae.g__uncultured	Group	pre_ltx	-2.33154986675892	0.358036822231317	143	96	1.23436355757849e-09	6.48922555984121e-08
Christensenellaceae_R.7_group	Group	pre_ltx	-2.92580876150906	0.465584064993267	143	94	3.91418806395284e-09	1.80052650941831e-07
Coprococcus	Group	pre_ltx	-2.75739844811897	0.472864328336193	143	124	3.63654857905856e-08	1.48694430788172e-06
Clostridium_sensu_stricto_5	Group	pre_ltx	1.67881385703841	0.290484507009964	143	32	4.66769658561812e-08	1.71771234350747e-06
Lachnoclostridium	Group	pre_ltx	-1.95447977230879	0.34192627947965	143	138	6.31693003928263e-08	2.11330023132364e-06
Gastranaerophilales	Group	pre_ltx	-2.51197196530668	0.450992308526694	143	46	1.26175281946221e-07	3.86937531301745e-06
Hungatella	Group	pre_ltx	2.32736221943767	0.426296959263054	143	51	2.11265554317888e-07	5.98044030684483e-06
Morganella	Country	NO	1.70779827090828	0.316523766039145	143	40	2.84054773394519e-07	7.46658261494163e-06
Oscillibacter	Group	pre_ltx	-2.05186148863117	0.383773751539764	143	101	3.55719801411117e-07	8.72699246128606e-06
Pseudomonas	Group	pre_ltx	2.02903475641412	0.380565565495638	143	48	3.80860664501426e-07	8.7597952835328e-06
Enterococcus	Group	pre_ltx	2.46089496702324	0.466456646359269	143	22	4.91513209378094e-07	1.06398153559493e-05
Rothia	Country	NO	-1.81190705054241	0.346958171094448	143	58	6.2629826472932e-07	1.28043200789105e-05
Butyricimonas	Group	pre_ltx	-2.03154287141215	0.391861292488825	143	71	7.43093894238886e-07	1.40204018666051e-05
Intestinimonas	Group	pre_ltx	-2.21420027800747	0.427553980037848	143	109	7.61978362315496e-07	1.40204018666051e-05
Barnesiella	Group	pre_ltx	-2.57188921112859	0.506398475574518	143	91	1.19121735733212e-06	2.08746660713438e-05
Alistipes	Group	pre_ltx	-2.60113183422821	0.525071935788591	143	124	2.06601373001502e-06	3.45587751202512e-05
Holdemania	Group	pre_ltx	-1.52227310010059	0.309192511068901	143	46	2.35992693496462e-06	3.77588309594339e-05
Enterococcus	Country	NO	-2.27954455556125	0.471465471398456	143	22	3.46020905223504e-06	5.30565388009373e-05
Collinsella	Group	pre_ltx	-2.99600871725283	0.625848221239294	143	110	4.25002820968242e-06	6.25604152465253e-05
Gordonibacter	Country	NO	-1.02632927604397	0.216421766095653	143	24	5.14606169121961e-06	7.28365654757238e-05
Odoribacter	Group	pre_ltx	-1.97972281762159	0.419467507596406	143	101	5.66561680600068e-06	7.72202586891945e-05
f__Lachnospiraceae.g__unassigned	Group	pre_ltx	-1.39811201528836	0.297719440232294	143	136	6.25903720501239e-06	8.22616318373057e-05
CAG.56	Group	pre_ltx	-2.96157948968648	0.637774740158116	143	77	7.80574619956918e-06	9.57504867147152e-05
Providencia	Group	pre_ltx	1.17868564930649	0.253507653049894	143	28	7.61508812542007e-06	9.57504867147152e-05
Peptostreptococcus	Country	NO	-1.38101637975252	0.302400528796268	143	33	1.0751886526315e-05	0.000126225054032921
Clostridium_sensu_stricto_5	Country	NO	1.3393815471454	0.293603738097277	143	32	1.09760916550366e-05	0.000126225054032921
Lachnospiraceae_UCG.010	Group	pre_ltx	-2.3149821942247	0.51322478471312	143	113	1.35610301673341e-05	0.00015122603338118
Agathobacter	Group	pre_ltx	-2.38008455931379	0.532892140050982	143	104	1.62629305695776e-05	0.00017602230734131
f__Enterobacteriaceae.g__unassigned	Group	pre_ltx	2.00008863751633	0.45037163566707	143	34	1.8036936901153e-05	0.000189645507989266
Senegalimassilia	Group	pre_ltx	-1.66426170086789	0.376020200021235	143	55	1.91702615737163e-05	0.000195962673864655
X.Clostridium._methylpentosum_group	Group	pre_ltx	-0.858286292354482	0.198403650701525	143	25	2.86918718497859e-05	0.000285367806505978
Clostridia_vadinBB60_group	Group	pre_ltx	-1.46519992643791	0.339817373911127	143	43	3.03708203584623e-05	0.000294117418208266
Bilophila	Group	pre_ltx	-1.87085633925382	0.435204955044622	143	95	3.19780703272756e-05	0.000301741791806088
Colidextribacter	Group	pre_ltx	-1.6822168005372	0.395388016993415	143	111	3.81096497306296e-05	0.000350608777521792
UCG.009	Group	pre_ltx	-0.674138494455877	0.159279219482773	143	18	4.15947960739991e-05	0.000373338657444675
f__Oscillospiraceae.g__uncultured	Group	pre_ltx	-1.85565039383898	0.440262624972127	143	98	4.4570931205058e-05	0.000390526254368128
Phascolarctobacterium	Group	pre_ltx	-2.72131182509952	0.655439996412683	143	68	5.701563564582e-05	0.000487947765527018
Halomonas	Group	pre_ltx	1.02915877642414	0.250467015956604	143	22	6.73348888316343e-05	0.000563164524773669
Proteus	Group	pre_ltx	1.27399236746515	0.31403393381118	143	20	8.22662814207972e-05	0.000672755368063408
Sutterella	Group	pre_ltx	-2.60319937057175	0.648232697307324	143	103	9.61983201040448e-05	0.000769586560832359
UCG.005	Group	pre_ltx	-2.13086554856054	0.539926156758411	143	91	0.000124962725253866	0.000978431550923886
GCA.900066575	Group	pre_ltx	-1.47970830687352	0.381457884935519	143	92	0.000160760651049635	0.00123249832471387
Christensenellaceae_R.7_group	Country	NO	1.81171871788323	0.47058352022836	143	94	0.000179063273945827	0.00129279423683972
Dorea	Group	pre_ltx	-1.32680220706306	0.344642945991208	143	128	0.000179164418692462	0.00129279423683972
Dialister	Group	pre_ltx	2.25796921090613	0.586227502806095	143	69	0.000177908302418876	0.00129279423683972
Mogibacterium	Country	NO	-1.03933342812519	0.270916808668305	143	20	0.00018825496163032	0.00133226588230688
Shewanella	Group	pre_ltx	0.940284210590031	0.247651567148398	143	18	0.000217638671535022	0.00151115153065827
X.Clostridium._innocuum_group	Country	NO	-1.29394263357049	0.341450419617996	143	40	0.000223480780908296	0.00152298013656024
Marvinbryantia	Group	pre_ltx	-1.51524928837844	0.402846949684589	143	90	0.000247627406724043	0.00165685246680814
Staphylococcus	Country	NO	-0.658144625969047	0.175241005093647	143	14	0.000252798721132099	0.00166124873886808
Eggerthella	Country	NO	-1.97531840781842	0.532245568187952	143	71	0.000296707902970759	0.00191558786479367
X.Eubacterium._fissicatena_group	Country	NO	-0.77888024843446	0.211417014340267	143	26	0.000327098567842789	0.0020753840166577
Aeromonas	Group	pre_ltx	0.971296323344708	0.264927749128611	143	19	0.000348590238206399	0.00213802012766591
Providencia	Country	NO	0.940372157370214	0.256229825603619	143	28	0.000343942381629992	0.00213802012766591
Coprobacter	Group	pre_ltx	-1.91419196946489	0.526484357134529	143	64	0.000388446311701117	0.00234341381485264
Lactococcus	Country	NO	-0.866069357771079	0.240335904344295	143	18	0.000435257556666575	0.00258346420731128
Veillonella	Group	pre_ltx	1.80416452283231	0.506967489500581	143	110	0.00050931821025429	0.00292857970896217
Vagococcus	Group	pre_ltx	0.87861323406595	0.246734635438012	143	18	0.000505377142350978	0.00292857970896217
Streptococcus	Country	NO	-1.61449472063102	0.455161627749799	143	136	0.000530433682039904	0.00300307069216438
f__Oscillospiraceae.g__unassigned	Group	pre_ltx	-1.47026899906639	0.417670811260142	143	59	0.000582379669451038	0.00324720785390882
Faecalibacterium	Country	NO	1.69708231117117	0.485504955339576	143	134	0.000634142268322982	0.00348305007078892
UCG.010	Group	pre_ltx	-0.97410670977951	0.279374723386396	143	30	0.000653548277351186	0.00353684950095936
Burkholderia.Caballeronia.Paraburkholderia	Group	pre_ltx	0.759142672700624	0.221024076026644	143	17	0.000780924470830057	0.004127388653876
Comamonas	Group	pre_ltx	0.918308291299115	0.26748726032403	143	17	0.000785101102639457	0.004127388653876
X.Ruminococcus._torques_group	Group	pre_ltx	-1.66896533624182	0.489226030009761	143	132	0.000844924690440639	0.00432255943968128
Family_XIII_AD3011_group	Group	pre_ltx	-1.59707574852634	0.468751413252016	143	82	0.000857464236675906	0.00432255943968128
Pseudomonas	Country	NO	1.31070079738933	0.384652089609689	143	48	0.000856270002500293	0.00432255943968128
Bifidobacterium	Country	NO	-2.20910514597169	0.651102008735002	143	117	0.00089960922431343	0.00441408259396456
Enterorhabdus	Group	pre_ltx	-0.795395206476001	0.234390233511852	143	26	0.000897807903178963	0.00441408259396456
Family_XIII_UCG.001	Group	pre_ltx	-0.929731969840304	0.279221028590951	143	52	0.00111135181112075	0.00538128245384786
