feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Campylobacter	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lacticaseibacillus	Lactobacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	TM7x	Methylobacterium.Methylorubrum	f__Xanthobacteraceae.g__unassigned	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Sphingopyxis	Neisseria	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Aggregatibacter	Haemophilus	Pseudomonas	Akkermansia	Leucobacter	Cutibacterium	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Dysgonomonas	Alloprevotella	Parasediminibacterium	Dielma	Vagococcus	Clostridium_sensu_stricto_5	Howardella	Tyzzerella	Pseudoflavonifractor	CAG.352	f__Peptococcaceae.g__uncultured	Asticcacaulis	Pseudochrobactrum	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Comamonas	Aeromonas	Morganella	Proteus	Providencia	Shewanella	f__Yersiniaceae.g__unassigned	Halomonas	Dyella
run02-49	32	246	0	2	0	0	0	2205	0	0	108	115	0	4190	33	61	0	0	0	0	327	0	0	5	0	16	0	0	0	591	0	81	0	0	0	7	0	0	0	0	0	0	0	0	447	10	17	0	0	0	0	21	245	106	1138	366	794	2560	0	0	0	0	54	39	0	0	0	346	3	0	150	0	64	0	0	0	188	0	0	0	173	4253	971	6	203	0	132	8	0	0	0	0	0	0	0	0	2	0	0	4184	116	49	0	0	0	0	0	0	7	0	0	0	0	0	0	0	75	0	0	0	0	0	0	13	0	263	0	60	0	0	0	0	5	0	0	28	350	147	0	0	41	0	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-50	0	411	0	2	0	0	0	807	37	7	0	100	0	2354	0	0	0	0	0	0	0	169	129	0	172	85	0	0	59	0	0	0	12	7	78	7	0	5	0	0	0	0	0	0	78	0	0	0	45	265	15	4	1961	69	1485	0	91	325	0	80	11	0	66	0	6	64	12	4	0	22	115	3	0	2	109	0	381	30	85	10	0	753	735	132	8	72	5	14	11	26	26	804	0	158	0	52	9	3	12	2229	0	68	28	1669	972	4	38	0	16	223	0	13	13	0	0	0	527	0	46	0	138	0	0	0	0	6	0	0	0	0	0	0	0	0	0	150	0	633	0	0	0	2	7	0	0	0	0	11	0	0	0	0	0	0	0	60	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-51	0	20	0	0	0	0	0	1540	0	0	0	0	0	2530	4	0	0	0	217	0	2923	0	58	0	0	3	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	320	503	3012	318	129	436	0	457	75	0	712	0	29	0	9	85	50	9	10	0	0	0	413	0	268	0	0	171	0	517	883	0	110	15	0	0	0	4	0	6	22	0	0	2	0	0	0	2060	0	28	0	0	1250	0	0	0	0	0	0	0	0	0	3	0	0	0	0	17	0	0	10	70	0	22	0	0	0	11	0	0	9	0	0	107	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-52	0	254	0	0	0	0	0	557	33	8	0	0	42	3334	96	135	0	94	0	0	0	133	27	0	12	0	7	0	0	238	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	0	0	0	53	14	0	0	64	9	1611	108	546	247	0	61	35	2	169	6	20	34	23	16	0	7	1705	24	0	0	3	0	108	6	0	47	59	782	449	2	91	18	20	14	36	24	9	273	27	39	2	31	0	0	0	894	0	39	0	27	369	13	0	0	5	11	0	15	0	0	2	0	10	0	0	0	153	0	0	0	0	0	0	9	0	0	0	36	4	0	0	15	110	517	0	116	0	0	6	0	1573	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	38	0	0	0	0	0	0	0
run02-54	39	144	0	12	22	25	0	2087	0	135	0	0	11	5438	548	0	0	0	0	0	79	480	120	3	21	401	0	0	0	321	0	651	0	0	0	5	0	0	0	0	0	0	0	0	125	5	9	0	0	0	0	0	100	17	488	0	168	972	0	75	0	0	214	0	0	4	0	283	387	0	291	6	10	0	2	0	97	0	0	0	437	3878	303	0	51	16	14	0	0	10	7	49	0	0	0	12	0	0	0	868	0	12	37	14	1909	10	0	0	4	27	0	37	0	4	8	9	14	5	0	696	0	0	0	184	0	44	587	7	0	0	0	0	5	0	0	0	1187	24	956	0	0	11	36	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
run02-55	2	194	0	4	0	41	84	837	9	0	112	62	0	2780	303	65	58	61	128	0	1397	551	336	0	117	47	270	10	20	0	0	50	4	3	5	0	3	0	0	0	10	0	0	0	326	0	0	0	45	116	6	176	456	7	1899	0	203	164	0	117	15	0	165	80	46	29	4	0	6	17	410	158	0	0	27	0	83	16	0	0	0	605	1207	4	7	13	4	0	123	18	36	486	37	189	47	83	0	0	2	2127	0	23	80	476	822	4	15	2	24	133	0	33	0	0	18	0	187	0	172	419	84	245	0	143	90	7	0	5	0	0	0	255	0	0	0	26	142	0	0	0	0	0	30	3	36	0	0	12	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-56	6	962	0	0	2	0	0	0	0	142	0	0	0	1570	0	0	0	0	0	2	0	0	2296	3	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	75	0	0	0	0	34	0	0	0	0	0	0	59	0	200	3039	0	0	279	0	0	0	0	686	39	0	0	0	0	0	0	936	71	0	0	0	0	0	0	0	0	1192	0	713	0	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	7	0	291	0	0	0	2	828	0	0	0	0	0	0	0	0	0	0	0	0	31	242	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-57	0	757	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	5368	81	0	0	0	0	0	30	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	40	0	0	0	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	3	0	0	666	0	249	9533	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1126	26	0	0	0	0	0
run02-58	197	30	0	15	3	0	0	1530	0	12	0	158	0	4826	271	525	83	98	0	0	0	173	54	6	122	146	0	85	0	0	0	1023	0	0	0	5	10	0	0	0	0	0	0	0	166	11	7	4	0	0	0	1479	0	33	1037	0	0	363	0	25	0	0	252	0	0	0	0	0	0	0	2525	0	0	0	59	0	72	0	0	26	243	2113	335	3	47	0	15	6	0	18	0	0	0	0	0	0	0	0	0	1606	0	76	0	0	1753	0	0	0	0	0	0	0	0	3	0	0	0	2	0	612	27	12	0	0	1	164	0	18	0	0	0	193	0	0	0	0	321	567	240	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0
run02-59	203	1647	3	172	14	0	0	1252	0	72	70	109	0	3295	201	12	61	40	0	0	0	67	103	6	0	0	0	0	0	0	9	12	0	0	0	33	2	0	3	0	0	0	0	0	1988	222	57	0	0	0	0	32	0	192	940	0	78	2025	0	0	0	23	383	205	0	8	0	0	0	0	903	0	0	0	0	0	107	4	0	198	319	2209	713	0	2	0	33	0	0	36	0	52	0	0	0	5	5	0	0	13	0	28	0	0	66	0	0	0	0	0	0	0	0	9	5	49	151	3	82	0	185	0	0	0	2	681	0	1443	48	32	0	0	10	0	37	0	318	208	21	155	0	0	250	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
