feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Lactobacillus	Ligilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	Muribaculaceae	Prevotella	Tannerellaceae	f__Christensenellaceae.g__unassigned	Howardella	Tyzzerella	CAG.352	Family_XIII_UCG.001	Veillonellaceae	Ralstonia
run02-102	0.00115138592750533	0.00533049040511727	0	0	0	0.0642217484008529	0	0.00490405117270789	0	0	0	0.241791044776119	0.0206396588486141	0	0	0	0	0	0.00447761194029851	0.0202558635394456	0.00251599147121535	0.000767590618336887	0.0182515991471215	0	0	0	0.0155223880597015	0	0.0364179104477612	0	0	0.000341151385927505	0.000170575692963753	0	0	0.00554371002132196	0	0.000170575692963753	8.52878464818763e-05	0	0	0	0.000341151385927505	0.00170575692963753	0	0.0113859275053305	0	0.00434968017057569	0.0279317697228145	0	0.00217484008528785	0	0	0.00533049040511727	0	0	0	0	0.00818763326226013	0.0155650319829424	0	0.00976545842217484	0	0.000639658848614073	8.52878464818763e-05	0.00307036247334755	0	0	0	0.0270788912579957	0.175692963752665	0.00908315565031983	0	0.00174840085287846	0.000511727078891258	0.000852878464818763	8.52878464818763e-05	0	0.000170575692963753	0.000213219616204691	0.000810234541577825	0	0	0	0.000170575692963753	0	0	0	0.029637526652452	0	0.000127931769722815	0.000511727078891258	0.000127931769722815	0.0567164179104478	0.000213219616204691	0	0	0	0	0.00046908315565032	0	0.00110874200426439	0.000255863539445629	0	0.031044776119403	0	0.00643923240938166	0	0.00183368869936034	0.000511727078891258	0	8.52878464818763e-05	0	0.0573134328358209	0.00170575692963753	0.0318123667377399	0	0.00119402985074627	0	0	0	0	0	0	0.00127931769722815	0	0	0	0.0281023454157783	0
run02-103	0.000830004668776262	0.00871504902215075	0.000259376458992582	0	0.00575815738963532	0.0454946309072989	0.000207501167194065	0	0.00435752451107537	0.00197126108834362	0	0.112828759661773	0.0161332157493386	0.00321626809150801	0.0031643927997095	0.00155625875395549	0.00191938579654511	0	0.0711729003475645	0.023810758935519	0.0154069616641594	0.00788504435337449	0.00290501634071692	0.0139025782020024	0.00477252684546351	0.000778129376977745	0.000207501167194065	0	0.00197126108834362	0.00124500700316439	0.000155625875395549	0.000103750583597033	0.000518752917985164	0	0.000622503501582196	0.020594490844011	0.000311251750791098	0	0	0.00269751517352285	0.00342376925870208	0.000311251750791098	0.0255226435648701	0.0216319966799813	0.000311251750791098	0.0731441614359081	0	0.00643253618301603	0.00638066089121751	0	0.00534315505524719	0.000830004668776262	0	0.00643253618301603	0.00228251283913472	0.00280126575711988	0.00103750583597033	0.000207501167194065	0.000207501167194065	0	0.00114125641956736	0.0273901540696166	0.0050837785962546	0	0.00337189396690356	0.00363127042589615	0.00124500700316439	0.000207501167194065	0	0	0.0305545468693261	0.0597084608600923	0.000207501167194065	0.000415002334388131	0.00114125641956736	0.000103750583597033	0	0.00591378326503087	0.000622503501582196	0.00212688696373917	0.0212169943455932	0.00119313171136588	0.0100638066089122	0.00124500700316439	0.00368314571769466	0.000155625875395549	0	0.000103750583597033	0.0881361207656793	0	0.000830004668776262	0.00352751984229911	0.0321108056232816	0.038180214763708	0.000155625875395549	0.00207501167194065	0	0.00129688229496291	0.00202313638014214	0.00674378793380713	0	0.00166000933755252	0.0236551330601235	0.00798879493697152	0.028427659905587	0.00534315505524719	0.0088706748975463	0.00840379727135965	0.00057062820978368	0	0.0121906935726513	0	0.00134875758676143	0.00643253618301603	0	0	0	0.00529127976344867	0	0.000933755252373295	0	0	0	0	0.00124500700316439	0	0	0.000259376458992582	0	0
run02-104	0.0016772643068142	0.0835878435888449	0	0.000250337956240925	0	0	0	0.0173734541631202	0	0	0	0.112627046512792	0	0	0	0	0	0	0	0	0.160792069293546	0	0	0	0	0.00796074700846142	0	0	0	0	0	0.0115405797827067	0	0.00433084664296801	0	0.00848645671656737	0	0	0	0	0	0	0.00673409102288089	0	0.0220798077404496	0.188704751414409	0	0	0.0158714264256747	0	0	0	0	0.038151504531117	0.00340459620487658	0	0	0	0	0	0	0.0653882741701297	0.00588294197166174	0	0	0	0	0	0	0.0742252040254343	0	0.0462123867220748	0	0.000525709708105943	0	0.000826115255595053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000325439343113203	0	0	0	0	0	0	0	0	0	0	0	0.00240324437991288	0.000475642116857758	0	0.0335703199319081	0	0	0.0650878686226406	0	0	0.00020027036499274	0	0	0	0.00170229810243829	0.0182246032143394	0.00137685875932509	0	0	0	0	0	0	0	0	0	0	0	0
run02-105	0	0.0265519425675676	0	0.000527871621621622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000950168918918919	0	0	0	0	0.344436233108108	0	0	0.000580658783783784	0	0	0	0	0	0	0.000105574324324324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110853040540541	0	0	0	0.001953125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211148648648649	0.0405933277027027	0	0.0143581081081081	0.568306587837838	0	0	0.000211148648648649	0	0	0	0	0	0	0	0	0	0	0.000105574324324324
run02-106	0.00160814794961136	0.000857678906459394	0	0.000482444384883409	0	0.0591798445456982	0	0.000214419726614849	0	0.00316269096756902	0	0.249798981506299	0.00991691235593675	0.0195121951219512	0.00246582685607076	0.00348432055749129	0	0	0	0.00707585097829	0.00112570356472795	0.00391316001072099	0.00787992495309569	0	0.00235861699276333	0.000268024658268561	0	0	0.0330206378986867	0	0	0.000428839453229697	0.000107209863307424	0	0	0.00326990083087644	0.000482444384883409	0	0	0	0	0	0.0313588850174216	0	0.000696864111498258	0.042079871348164	0	0	0.00948807290270705	0	0.000804073974805682	0	0	0.00943446797105334	0	0	0	0	0	0	0	0.152130796033235	0	0	0.000911283838113106	0.00230501206110962	0	0	0.00075046904315197	0.017689627445725	0.08491021173948	0.0101849370142053	0	0.00192977753953364	0	0.000643259179844546	0.000107209863307424	0	0.000643259179844546	0	0	0	0	0	0	0	0	0	0.0613776467435004	0	0.00284106137764674	0	0	0.09906191369606	0	0	0	0	0	0	0	0	0	0	0.018440096488877	0.00123291342803538	0	0	0.00519967837041008	0.000696864111498258	0.00461002412221924	0	0	0.0151165907263468	0.00911283838113106	0.00402036987402841	0	0.00144733315465023	0.000160814794961136	0	0	0	0	0	0	0	0	0	0	0
run02-107	0.0136852394916911	0.079960899315738	0.000195503421309873	0.00905832518735745	0	0.0621700879765396	0	0.00241120886282177	0.00345389377647442	0.00534376018246986	0	0.140697295536005	0.00729879439556859	0.000782013685239492	0.00104268491365266	0.000325839035516455	0	0	0	0.00110785272075595	0.00065167807103291	0	0	0	0	0.00293255131964809	0	0.000260671228413164	0	0	0	0.00136852394916911	0	0	0.000130335614206582	0.0985988921472792	0.00677745193874226	0.00175953079178886	0	0	0	0	0	0	0.00677745193874226	0.0336265884652981	0	0.00260671228413164	0.0716845878136201	0	0	0	0.000716845878136201	0.00853698273053112	0.0050830889540567	0	0	0	0	0	0	0.0566308243727599	0	0	0	0.00540892798957315	0	0	0.00593027044639948	0.0104920169436298	0.0843271423916585	0.0183121537960248	0	0	0	0.000586510263929619	0	0	0.00110785272075595	0	0.000847181492342783	0	0	0	0	0	0	0	0.000391006842619746	0	0.00123818833496253	0	0	0.00319322254806126	0	0	0	0	0	0	0	0	0.00755946562398175	0.00247637666992506	0	0.0130335614206582	0	0.000325839035516455	0.0537634408602151	0.103747148908439	0	0.000325839035516455	0	0.0179863147605083	0.0198110133594005	0.000325839035516455	0.00984033887259694	0.0112740306288693	0.00202020202020202	0	0	0	0	0	0	0	0	0	0	0
run02-108	0	0.0282750444576171	0	0	0.000829875518672199	0.119205690574985	0	0.00978067575577949	0	0	0	0.0850326022525193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313574392412567	0.00228215767634855	0	0.00145228215767635	0	0.000918790752815649	0	0	0.0103734439834025	0.00963248369887374	0	0.000918790752815649	0.0012448132780083	0	0	0	0.0011262596324837	0	0.00257854179016005	0.0563722584469472	0.00628334321280379	0.0125074096028453	0.0261410788381743	0	0.00382335506816835	0	0.0002371072910492	0.0192056905749852	0	0.00163011262596325	0	0	0	0.000652045050385299	0	0.0582394783639597	0.000592768227622999	0	0.00020746887966805	0.00764671013633669	0.0033195020746888	0	0.00619442797866034	0.00903971547125074	0.0382335506816835	0.0809721398933017	0	0.00133372851215175	0.00174866627148785	0.0010669828097214	0	0	0	0.00210432720806165	0.00382335506816835	0	0.00737996443390634	0	0.00168938944872555	0.0004742145820984	0	0	0.13248369887374	0	0.00216360403082395	0	0.0131001778304683	0.131861292234736	0	0	0.0011262596324837	0	0	0.0032009484291642	0	0	0.00797273266152934	0.000740960284528749	0	0	0.00423829282750445	0	0.00317131001778305	0.000978067575577949	0	0.00957320687611144	0	0.00281564908120925	0.0168938944872555	0	0	0.0104623592175459	0.000859513930053349	0	0	0	0	0	0	0	0	0.000889152341434499	0	0.0015411973918198
run02-109	0.0105332123777845	0.00755972180223768	0	0.0062997681685314	0	0.0406713032960387	0.000151194436044754	0	0.00362866646507409	0.00151194436044754	0.000907166616268521	0.107902429190606	0.0697510331619796	0.00221751839532305	0	0.0111883882673118	0	0.000151194436044754	0.0272653966334039	0.0480798306622316	0.0215200080637033	0.00811410140106844	0.012045156738232	0.00705574034875517	0	0.000755972180223768	0.0022679165406713	0	0	0	0.000251990726741256	0.000151194436044754	0	0	0	0.033514766656587	0.00468702751738736	0.00277189799415381	0.000100796290696502	0.010029230924302	0.000604777744179014	0.00367906461042234	0.000151194436044754	0.00473742566273561	0.0021671202499748	0.0253502671101703	0.00156234250579579	0.0170345731277089	0.0131539159358936	0	0.0109867956859188	0.000302388872089507	0	0.00463662937203911	0.000201592581393005	0.000705574034875517	0.000806370325572019	0.000907166616268521	0.00246950912206431	0.00826529583711319	0.000352787017437758	0.0148674528777341	0	0	0.000201592581393005	0.0042334442092531	0.000100796290696502	0.000100796290696502	0.00277189799415381	0	0.0259046467090011	0.0273661929241004	0	0.00136074992440278	0.000604777744179014	0.00473742566273561	0.00110875919766153	0	0.00231831468601955	0.000100796290696502	0.0434432012901925	0.00826529583711319	0.00957564761616773	0	0.00377986090111884	0	0	0	0.0401673218425562	0	0.000604777744179014	0.00176393508718879	0.00735812922084467	0.123828243120653	0.000604777744179014	0.000705574034875517	0.000705574034875517	0.000957564761616773	0	0.00841649027315795	0	0.00337667573833283	0.00670295333131741	0.000907166616268521	0	0.0222255820985788	0.00322548130228808	0.000201592581393005	0.0065013607499244	0.00136074992440278	0.0214192117730068	0	0.000251990726741256	0.0256022578369116	0	0.0273157947787521	0	0.00201592581393005	0	0.00221751839532305	0	0	0	0	0.00156234250579579	0	0	0	0	0
run02-110	0.000124587304553666	0.00342615087522581	0.000124587304553666	0	0	0.0274715006540833	0	0.00367532548433315	0	0.00367532548433315	0	0.200274092070018	0.0064162461845138	0.00118357939325983	0	0	0	0	0	0.00759982557777363	0.0129570796735813	0	0.0067900080981748	0	0	0.000311468261384165	0.026848564131315	0	0.0967420419859216	0	0.000124587304553666	0.00174422226375132	0.000436055565937831	0	0	0.00224257148196599	0	0	0	0	0	0	0.00417367470254781	0.00211798417741232	0.00890799227558712	0.0654083348906746	0	0.00255403974335015	0.0565626362673644	0	0.00554413505263814	0.00130816669781349	0.000311468261384165	0.0193733258580951	0.00429826200710148	0.00105899208870616	0.00865881766647979	0.00330156357067215	0.00379991278888681	0	0.000249174609107332	0.0166946988101912	0	0.000809817479598829	0.00193110322058182	0.0136423098486264	0.00118357939325983	0	0	0.0226125957764904	0.0211175481218464	0.0282190244814053	0.00161963495919766	0.00330156357067215	0	0.00168192861147449	0.000685230175045163	0	0	0	0.0104653335825079	0.000934404784152495	0.00236715878651965	0	0.000373761913660998	0.000124587304553666	0	0	0.0845324861396624	0	0.00249174609107332	0	0.0101538653211238	0.0146390082850558	0.00105899208870616	0	0	0.000249174609107332	0	0.000809817479598829	0	0.000809817479598829	0.0616084221017878	0.000747523827321996	0.00417367470254781	0.0112128574098299	0	0.00323926991839532	0.00105899208870616	0.00218027782968915	0.00423596835482464	0.000498349218214664	0.000311468261384165	0.0140160717622874	0.0201208496854171	0	0	0.00112128574098299	0.0128324923690276	0.0247305799539027	0	0	0	0.00560642870491497	0	0	0	0	0	0
run02-111	0.000593151792936101	0.0113238069560528	0	0	0	0.00938258290644379	0.00242653006201132	0	0	0.00771097330816932	0	0.237584254516042	0.0690212995416554	0.00517659746562416	0.00269614451334592	0	0	0	0	0.0285791318414667	0.00452952278242114	0.00134807225667296	0.00221083850094365	0	0	0	0.0260447559989215	0	0	0	0	0.00215691561067673	0	0	0	0.0106767322728498	0	0	0	0.00188730115934214	0	0	0	0.0427069290913993	0.0110002696144513	0.10358587220275	0	0.00738743596656781	0.0142356430304664	0.00032353734160151	0	0.000916689134537611	0	0.00420598544081963	0.000215691561067673	0.000539228902669183	0.00350498786734969	0.00366675653815044	0.00275006740361283	0.0102453491507145	0.00161768670800755	0.0344567268805608	0	0	0.00506875168509032	0.0248584524130493	0.00032353734160151	0	0	0.00183337826907522	0.059423025074144	0.00463736856295497	0.00399029387975196	0.00280399029387975	0.00409813966028579	0.00339714208681585	0.00269614451334592	0	0.00895119978430844	0.000593151792936101	0.0117551900781882	0.00102453491507145	0.00253437584254516	0	0.00479913723375573	0.000161768670800755	0	0	0.138258290644379	0	0.000485306012402265	0.00145591803720679	0.00318145052574818	0.00221083850094365	0.000215691561067673	0	0	0.000808843354003775	0	0.00431383122135346	0	0	0.000269614451334592	0.00097061202480453	0	0	0.00388244809921812	0.000107845780533837	0.000431383122135346	0	0	0.000215691561067673	0.00032353734160151	0.00550013480722567	0.0288487462928013	0	0	0.000862766244270693	0	0	0	0	0	0	0	0	0	0	0	0
