feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Lactobacillus	Ligilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	Muribaculaceae	Prevotella	Tannerellaceae	f__Christensenellaceae.g__unassigned	Howardella	Tyzzerella	CAG.352	Family_XIII_UCG.001	Veillonellaceae	Ralstonia
run02-102	-9.76241280012663	-7.55151601762801	-15.2053350812757	-16.4412096916722	-14.8073549220576	-3.96079424761817	-16.3488145861129	-7.67181025134573	-15.328341840598	-15.419696888306	-14.9881964876243	-2.04816728246051	-5.59843706501551	-14.6470086384416	-14.5884218511995	-15.3473445394315	-15.3596809373508	-16.2200003719044	-7.80305478462398	-5.62551659907179	-8.63465725292826	-10.3473753008478	-5.77583331588895	-15.3457517402327	-15.1899789486325	-16.4237888970089	-6.0095056620914	-15.7638520853917	-4.77920804266961	-15.0174609038594	-14.9918760990034	-11.5173003022901	-12.5173003022901	-14.8143321153684	-15.0038106846081	-7.49493248926165	-16.0073485310372	-12.5173003022901	-13.5173003022901	-15.7941619914236	-15.1079253874636	-15.0126827296502	-11.5173003022901	-9.19537220740274	-15.2154571622267	-6.45660437060255	-13.5458091373666	-7.84487496031861	-5.16194920586529	-15.5415806599912	-8.84487496031861	-15.2445868230971	-17.4232964984145	-7.55151601762801	-15.358616863683	-14.9992953870234	-15.4391382795318	-14.9160100518163	-6.93233780156894	-6.00554764852272	-15.0536713855952	-6.67809651419316	-15.77169578985	-10.6104097066816	-13.5173003022901	-8.34737530084779	-15.2445868230971	-15.5068240947932	-15.3043513216632	-5.20668752063057	-2.50887168021952	-6.78259068206426	-15.9918760990034	-9.15974829767202	-10.9323378015689	-10.1953722074027	-13.5173003022901	-15.545326509599	-12.5173003022901	-12.1953722074027	-10.2693727888465	-14.677132344649	-15.9438197077127	-16.0427922282289	-12.5173003022901	-15.4793697750621	-15.7322999422698	-15.7665547890901	-5.07643113467923	-15.545326509599	-12.9323378015689	-10.9323378015689	-12.9323378015689	-4.14008977190155	-12.1953722074027	-16.035615318962	-16.2953384719256	-15.3199425538831	-14.775095822586	-11.0578686836528	-14.5330863421676	-9.81686058414901	-11.9323378015689	-15.7097031163223	-5.0095056620914	-15.0214137930081	-7.27889556296502	-16.119528831748	-9.091035547588	-10.9323378015689	-14.8275411901725	-13.5173003022901	-14.5659945590822	-4.12498287951134	-9.19537220740274	-4.97426848203486	-17.2543643285809	-9.7099453802325	-16.7665547890901	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-9.61040970668158	-14.5556675918407	-15.2019707283731	-14.8584667346833	-5.15316564728205	-16.4232964984145
run02-103	-10.2345929279075	-6.8422755051287	-11.9126648330201	-16.4412096916722	-7.44017706155735	-4.45815989546272	-12.2345929279075	-15.419696888306	-7.8422755051287	-8.98666541446387	-14.9881964876243	-3.147793242284	-5.95382215777686	-8.28039661752058	-8.30385559034457	-9.32770233229894	-9.02513956227851	-16.2200003719044	-3.81252816173465	-5.39224258449365	-6.02027380710669	-6.98666541446387	-8.42723800584985	-6.16850373744969	-7.71103097185045	-10.3277023322989	-12.2345929279075	-15.7638520853917	-8.98666541446387	-9.6496304271863	-12.6496304271863	-13.2345929279075	-10.9126648330201	-14.8143321153684	-10.6496304271863	-5.6015977307645	-11.6496304271863	-16.1439013303685	-15.082065857738	-8.53415320976637	-8.190198808549	-11.6496304271863	-5.29207842256822	-5.53068935446279	-11.6496304271863	-3.7731134806213	-13.5458091373666	-7.28039661752058	-7.29207842256822	-15.5415806599912	-7.54809240072424	-10.2345929279075	-17.4232964984145	-7.28039661752058	-8.77516130927016	-8.47970542574399	-9.9126648330201	-12.2345929279075	-12.2345929279075	-15.6686357256463	-9.77516130927016	-5.190198808549	-7.61988308379225	-16.0115330268357	-8.212225114879	-8.10530991096249	-9.6496304271863	-12.2345929279075	-15.3043513216632	-15.3091565721617	-5.032469104077	-4.06592080977523	-12.2345929279075	-11.2345929279075	-9.77516130927016	-13.2345929279075	-16.0046593890271	-7.40170291374272	-10.6496304271863	-8.87704092328937	-5.55863589496571	-9.71103097185044	-6.63468008572033	-9.6496304271863	-8.08484580840278	-12.6496304271863	-15.7322999422698	-13.2345929279075	-3.50412279072324	-15.545326509599	-10.2345929279075	-8.14713008665712	-4.96079732869319	-4.71103097185045	-12.6496304271863	-8.9126648330201	-16.2953384719256	-9.59073673813273	-8.94919070904521	-7.212225114879	-14.5330863421676	-9.23459292790746	-5.40170291374272	-6.96780638721256	-5.13656084494693	-7.54809240072424	-6.81674041302156	-6.89474292502283	-10.7751613092702	-15.8240637375449	-6.35807598134246	-15.0445648828126	-9.53415320976637	-7.28039661752058	-15.7367190187677	-15.1981380524011	-17.2543643285809	-7.56216758593596	-16.7665547890901	-10.0646679264651	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-9.6496304271863	-14.5556675918407	-15.2019707283731	-11.9126648330201	-15.4763981434162	-16.4232964984145
run02-104	-9.21967423494623	-3.58056304734089	-15.2053350812757	-11.9638353305166	-14.8073549220576	-14.1798572681417	-16.3488145861129	-5.84697157282574	-15.328341840598	-15.419696888306	-14.9881964876243	-3.15037477382496	-16.0797972561315	-14.6470086384416	-14.5884218511995	-15.3473445394315	-15.3596809373508	-16.2200003719044	-14.775095822586	-14.8646214416175	-2.63673184429734	-14.7387783901839	-15.0064137457106	-15.3457517402327	-15.1899789486325	-6.97288047011965	-14.8693689266963	-15.7638520853917	-14.3549724769604	-15.0174609038594	-14.9918760990034	-6.43714048497467	-15.677132344649	-7.85113519776728	-15.0038106846081	-6.88062196226766	-16.0073485310372	-16.1439013303685	-15.082065857738	-15.7941619914236	-15.1079253874636	-15.0126827296502	-7.21430106284738	-15.2019707283731	-5.50112857984648	-2.40579734573965	-13.5458091373666	-15.1763679683644	-5.9774243952646	-15.5415806599912	-14.9992953870234	-15.2445868230971	-17.4232964984145	-4.71211623791068	-8.19830058415366	-14.9992953870234	-15.4391382795318	-14.9160100518163	-15.6215940390175	-15.6686357256463	-15.0536713855952	-3.93482424385757	-7.409246478839	-16.0115330268357	-15.5418831054422	-14.4549739531104	-15.2445868230971	-15.5068240947932	-15.3043513216632	-3.75194703597064	-15.3066313617125	-4.43557658775823	-15.9918760990034	-10.8934460026252	-16.0073485310372	-10.2413693060456	-16.0046593890271	-15.545326509599	-15.5976452303714	-15.8621045777549	-15.8353596218082	-14.677132344649	-15.9438197077127	-16.0427922282289	-15.4140245098782	-15.4793697750621	-15.7322999422698	-15.7665547890901	-13.8884578775115	-15.545326509599	-11.5853237072629	-14.9918760990034	-14.9679467058127	-14.5837487864884	-15.3353903546939	-16.035615318962	-16.2953384719256	-15.3199425538831	-14.775095822586	-15.1247675358225	-14.5330863421676	-15.7638520853917	-8.70080092468285	-11.0378359119604	-13.2664937563122	-4.89666990349953	-15.5976452303714	-16.119528831748	-3.94146751748819	-15.8240637375449	-14.8275411901725	-12.285763425404	-14.5659945590822	-14.595257481449	-15.7367190187677	-9.19830058415366	-5.77796878520531	-9.50440371187934	-16.7665547890901	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-15.2503971210871	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-16.4232964984145
run02-105	-16.4412096916722	-5.23503877582342	-15.2053350812757	-10.8875252707416	-14.8073549220576	-14.1798572681417	-16.3488145861129	-15.419696888306	-15.328341840598	-15.419696888306	-14.9881964876243	-13.5617652636277	-16.0797972561315	-14.6470086384416	-14.5884218511995	-15.3473445394315	-15.3596809373508	-16.2200003719044	-14.775095822586	-14.8646214416175	-15.190827797067	-14.7387783901839	-15.0064137457106	-15.3457517402327	-15.1899789486325	-16.4237888970089	-14.8693689266963	-10.0395283641866	-14.3549724769604	-15.0174609038594	-14.9918760990034	-16.6731158050904	-1.53769117928434	-14.8143321153684	-15.0038106846081	-10.7500217469917	-16.0073485310372	-16.1439013303685	-15.082065857738	-15.7941619914236	-15.1079253874636	-15.0126827296502	-13.2094533656289	-15.2019707283731	-15.2154571622267	-13.0571456169107	-13.5458091373666	-15.1763679683644	-14.4693662409167	-15.5415806599912	-14.9992953870234	-15.2445868230971	-17.4232964984145	-13.7347801728356	-15.358616863683	-14.9992953870234	-15.4391382795318	-14.9160100518163	-15.6215940390175	-15.6686357256463	-15.0536713855952	-15.6686357256463	-15.77169578985	-16.0115330268357	-15.5418831054422	-14.4549739531104	-15.2445868230971	-15.5068240947932	-15.3043513216632	-15.3091565721617	-9.81713594285019	-14.2637337852733	-15.9918760990034	-15.4968225768984	-9	-16.0073485310372	-16.0046593890271	-15.545326509599	-15.5976452303714	-15.8621045777549	-15.8353596218082	-14.677132344649	-15.9438197077127	-16.0427922282289	-15.4140245098782	-15.4793697750621	-15.7322999422698	-15.7665547890901	-13.8884578775115	-15.545326509599	-14.3205467295386	-14.9918760990034	-14.9679467058127	-14.5837487864884	-15.3353903546939	-16.035615318962	-16.2953384719256	-15.3199425538831	-14.775095822586	-15.1247675358225	-14.5330863421676	-15.7638520853917	-15.4428139376752	-15.7097031163223	-13.2664937563122	-15.0214137930081	-15.5976452303714	-16.119528831748	-16.0089319017818	-15.8240637375449	-14.8275411901725	-12.2094533656289	-4.62261357766712	-14.595257481449	-6.12199052437861	-0.815258655609519	-17.2543643285809	-15.4069135982823	-12.2094533656289	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-15.2503971210871	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-13.2094533656289
run02-106	-9.28038414409562	-10.1872747397041	-15.2053350812757	-11.0173497382618	-14.8073549220576	-4.07875028292597	-16.3488145861129	-12.1872747397041	-15.328341840598	-8.3046316903423	-14.9881964876243	-2.0011605001625	-6.65589327918783	-5.67948009950545	-8.66371278364713	-8.16490692667569	-15.3596809373508	-16.2200003719044	-14.775095822586	-7.14288062034569	-9.79495731692538	-7.99745018082413	-6.98760239486778	-15.3457517402327	-8.72784312106685	-11.8653466448168	-14.8693689266963	-15.7638520853917	-4.92048819900924	-15.0174609038594	-14.9918760990034	-11.1872747397041	-13.1872747397041	-14.8143321153684	-15.0038106846081	-8.25653740214126	-11.0173497382618	-16.1439013303685	-15.082065857738	-15.7941619914236	-15.1079253874636	-15.0126827296502	-4.99498192523338	-15.2019707283731	-10.4868350215631	-4.57072589592515	-13.5458091373666	-15.1763679683644	-6.71966918962115	-15.5415806599912	-10.2803841440956	-15.2445868230971	-17.4232964984145	-6.72784312106685	-15.358616863683	-14.9992953870234	-15.4391382795318	-14.9160100518163	-15.6215940390175	-15.6686357256463	-15.0536713855952	-2.71661586564359	-15.77169578985	-16.0115330268357	-10.0998118984538	-8.76100998500204	-15.2445868230971	-15.5068240947932	-10.3799198176465	-5.82095252545833	-3.55791811962453	-6.61741913137319	-15.9918760990034	-9.01734973826183	-16.0073485310372	-10.602312238983	-13.1872747397041	-15.545326509599	-10.602312238983	-15.8621045777549	-15.8353596218082	-14.677132344649	-15.9438197077127	-16.0427922282289	-15.4140245098782	-15.4793697750621	-15.7322999422698	-15.7665547890901	-4.02614285671984	-15.545326509599	-8.45935428514094	-14.9918760990034	-14.9679467058127	-3.33552569828808	-15.3353903546939	-16.035615318962	-16.2953384719256	-15.3199425538831	-14.775095822586	-15.1247675358225	-14.5330863421676	-15.7638520853917	-15.4428139376752	-15.7097031163223	-5.76100998500204	-9.66371278364713	-15.5976452303714	-16.119528831748	-7.58736189751701	-10.4868350215631	-7.76100998500204	-15.0445648828126	-14.5659945590822	-6.04772338730535	-6.77788380356644	-7.95845604920826	-17.2543643285809	-9.43238723754067	-12.602312238983	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-15.2503971210871	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-16.4232964984145
run02-107	-6.19123550768772	-3.64456149169094	-12.3205185246327	-6.78653995263034	-14.8073549220576	-4.00763556934834	-16.3488145861129	-8.6960276597249	-8.17756057079065	-7.54792902073576	-14.9881964876243	-2.82933349733134	-7.09812610329624	-10.3205185246327	-9.90548102535385	-11.5835529304665	-15.3596809373508	-16.2200003719044	-14.775095822586	-9.81801818410351	-10.5835529304665	-14.7387783901839	-15.0064137457106	-15.3457517402327	-15.1899789486325	-8.41362792902417	-14.8693689266963	-11.9054810253538	-14.3549724769604	-15.0174609038594	-14.9918760990034	-9.51316360257509	-15.677132344649	-14.8143321153684	-12.9054810253538	-3.34228475313711	-7.20504130721276	-9.15059352319038	-15.082065857738	-15.7941619914236	-15.1079253874636	-15.0126827296502	-16.0439244156132	-15.2019707283731	-7.20504130721276	-4.89425376993059	-13.5458091373666	-8.58355293046649	-3.80219321694183	-15.5415806599912	-14.9992953870234	-15.2445868230971	-10.4460494067166	-6.8720580238164	-7.6200788064916	-14.9992953870234	-15.4391382795318	-14.9160100518163	-15.6215940390175	-15.6686357256463	-15.0536713855952	-4.14226865853945	-15.77169578985	-16.0115330268357	-15.5418831054422	-7.53044159400692	-15.2445868230971	-15.5068240947932	-7.39768638515515	-6.57456414723923	-3.56785912336134	-5.77105470513292	-15.9918760990034	-15.4968225768984	-16.0073485310372	-10.7355560239115	-16.0046593890271	-15.545326509599	-9.81801818410351	-15.8621045777549	-10.2050413072128	-14.677132344649	-15.9438197077127	-16.0427922282289	-15.4140245098782	-15.4793697750621	-15.7322999422698	-15.7665547890901	-11.3205185246327	-15.545326509599	-9.65755351191026	-14.9918760990034	-14.9679467058127	-8.29077118123864	-15.3353903546939	-16.035615318962	-16.2953384719256	-15.3199425538831	-14.775095822586	-15.1247675358225	-14.5330863421676	-15.7638520853917	-7.04750003022628	-8.65755351191026	-13.2664937563122	-6.26162483557912	-15.5976452303714	-11.5835529304665	-4.21723071622067	-3.2688564048102	-14.8275411901725	-11.5835529304665	-14.5659945590822	-5.79695656857568	-5.65755351191026	-11.5835529304665	-6.66707628602877	-6.47085279771712	-8.95128471496697	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-15.2503971210871	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-16.4232964984145
run02-108	-16.4412096916722	-5.14432689716942	-15.2053350812757	-16.4412096916722	-10.2348174311173	-3.06847498686958	-16.3488145861129	-6.67585013892911	-15.328341840598	-15.419696888306	-14.9881964876243	-3.55584010040626	-16.0797972561315	-14.6470086384416	-14.5884218511995	-15.3473445394315	-15.3596809373508	-16.2200003719044	-14.775095822586	-14.8646214416175	-15.190827797067	-14.7387783901839	-15.0064137457106	-15.3457517402327	-15.1899789486325	-16.4237888970089	-4.9950484410609	-8.77538581248003	-14.3549724769604	-9.42746250905972	-14.9918760990034	-10.0879760427881	-15.677132344649	-14.8143321153684	-6.5909612413426	-6.69787644525911	-16.0073485310372	-10.0879760427881	-9.64985493039617	-15.7941619914236	-15.1079253874636	-15.0126827296502	-9.79424483973134	-15.2019707283731	-8.5992288573262	-4.14887082231436	-7.31425189861173	-6.32107316446774	-5.25753750761741	-15.5415806599912	-8.03094509775167	-15.2445868230971	-12.0421723531749	-5.7023223502903	-15.358616863683	-9.26081263965027	-15.4391382795318	-14.9160100518163	-15.6215940390175	-10.5827407345376	-15.0536713855952	-4.10185875602896	-10.7202442582876	-16.0115330268357	-12.2348174311173	-7.03094509775167	-8.23481743111732	-15.5068240947932	-7.33481322109405	-6.78950692072468	-4.70901700286431	-3.62643058488484	-15.9918760990034	-9.55031925684525	-9.15952930381309	-9.87224735173262	-16.0046593890271	-15.545326509599	-15.5976452303714	-8.89242523367025	-8.03094509775167	-14.677132344649	-7.08217042110685	-16.0427922282289	-9.20928233901019	-11.0421723531749	-15.7322999422698	-15.7665547890901	-2.91611323710425	-15.545326509599	-8.85234779429491	-14.9918760990034	-6.2542697937835	-2.92290696999914	-15.3353903546939	-16.035615318962	-9.79424483973134	-15.3199425538831	-14.775095822586	-8.28728485101146	-14.5330863421676	-15.7638520853917	-6.9707099906183	-10.3983161634002	-13.2664937563122	-15.0214137930081	-7.88230101639654	-16.119528831748	-8.30070536677378	-9.99777823381647	-14.8275411901725	-6.706781998481	-14.5659945590822	-8.47231674484398	-5.88735424412282	-15.1981380524011	-17.2543643285809	-6.57864797990375	-10.1841913580474	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-15.2503971210871	-14.5556675918407	-15.2019707283731	-10.1352817575664	-15.4763981434162	-9.34173263503384
run02-109	-6.56891069883139	-7.04745114041639	-15.2053350812757	-7.31048554625018	-14.8073549220576	-4.61984496763449	-12.6913073301911	-15.419696888306	-8.10634482946996	-9.36937923530375	-10.10634482947	-3.21220075052676	-3.84164160327555	-8.81683821227497	-14.5884218511995	-6.48185396456217	-15.3596809373508	-12.6913073301911	-5.19678504708546	-4.37842437490676	-5.53817757129178	-6.94535295279765	-6.37540302293152	-7.1469868139673	-15.1899789486325	-10.3693792353038	-8.7844167345826	-15.7638520853917	-14.3549724769604	-15.0174609038594	-11.9543417360249	-12.6913073301911	-15.677132344649	-14.8143321153684	-15.0038106846081	-4.89905930052372	-7.73711101980424	-8.49491011738761	-13.2762698309123	-6.63964521036862	-10.6913073301911	-8.08644527203225	-12.6913073301911	-7.72168097923463	-8.85000507621017	-5.30185524110674	-9.3220735205254	-5.87539039463009	-6.24836383434239	-15.5415806599912	-6.50808550613534	-11.6913073301911	-17.4232964984145	-7.75270787485526	-12.2762698309123	-10.4689149088547	-10.2762698309123	-10.10634482947	-8.66155998679706	-6.91871782629419	-11.4689149088547	-6.07169868666307	-15.77169578985	-16.0115330268357	-12.2762698309123	-7.88395240813351	-13.2762698309123	-13.2762698309123	-8.49491011738761	-15.3091565721617	-5.27064528171839	-5.19146144310791	-15.9918760990034	-9.5213823287488	-10.6913073301911	-7.72168097923463	-9.81683821227497	-15.545326509599	-8.75270787485526	-13.2762698309123	-4.52472577182317	-6.91871782629419	-6.70641422258132	-16.0427922282289	-8.04745114041639	-15.4793697750621	-15.7322999422698	-15.7665547890901	-4.6378339169218	-15.545326509599	-10.6913073301911	-9.1469868139673	-7.08644527203225	-3.01358768855011	-10.6913073301911	-10.4689149088547	-10.4689149088547	-10.0283423174687	-14.775095822586	-6.89256553843822	-14.5330863421676	-8.2101806404545	-7.22098739541108	-10.10634482947	-13.2664937563122	-5.49163498535475	-8.27626983091227	-12.2762698309123	-7.26504257548902	-9.5213823287488	-5.54495079988721	-15.0445648828126	-11.9543417360249	-5.28758514414011	-15.7367190187677	-5.1941207895584	-17.2543643285809	-8.95434173602491	-16.7665547890901	-8.81683821227497	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-9.3220735205254	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-16.4232964984145
run02-110	-12.9705553143225	-8.18919560079786	-12.9705553143225	-16.4412096916722	-14.8073549220576	-5.185920468765	-16.3488145861129	-8.08791226496068	-15.328341840598	-8.08791226496068	-14.9881964876243	-2.31995229210721	-7.2840547871393	-9.72262780087893	-14.5884218511995	-15.3473445394315	-15.3596809373508	-16.2200003719044	-14.775095822586	-7.03981797675963	-6.27011559618143	-14.7387783901839	-7.20237098954559	-15.3457517402327	-15.1899789486325	-11.6486272194352	-5.21901125523342	-15.7638520853917	-3.36971319993522	-15.0174609038594	-12.9705553143225	-9.16320039226492	-11.1632003922649	-14.8143321153684	-15.0038106846081	-8.80063031288021	-16.0073485310372	-16.1439013303685	-15.082065857738	-15.7941619914236	-15.1079253874636	-15.0126827296502	-7.90446612386475	-8.88309247307218	-6.81068397754413	-3.93438170176903	-13.5458091373666	-8.61300330970444	-4.1440068270316	-15.5415806599912	-7.49482188335612	-9.57823789154376	-11.6486272194352	-5.68978454419192	-7.86203085754435	-9.88309247307218	-6.85161424159901	-8.24263485975932	-8.03981797675963	-15.6686357256463	-11.9705553143225	-5.90446612386475	-15.77169578985	-10.2701155961814	-9.01635900393564	-6.19576825472135	-9.72262780087893	-15.5068240947932	-15.3043513216632	-5.46672957632677	-5.56541385118617	-5.14718807427628	-9.27011559618143	-8.24263485975932	-16.0073485310372	-9.21566781215905	-10.5111236956852	-15.545326509599	-15.5976452303714	-15.8621045777549	-6.57823789154376	-10.063664718714	-8.72262780087893	-16.0427922282289	-11.3855928136014	-12.9705553143225	-15.7322999422698	-15.7665547890901	-3.56435030890366	-15.545326509599	-8.64862721943516	-14.9918760990034	-6.62182716009144	-6.09403836775752	-9.88309247307218	-16.035615318962	-16.2953384719256	-11.9705553143225	-14.775095822586	-10.2701155961814	-14.5330863421676	-10.2701155961814	-4.02072860356341	-10.3855928136014	-7.90446612386475	-6.47870221799284	-15.5976452303714	-8.27011559618143	-9.88309247307218	-8.84127229737755	-7.88309247307218	-10.9705553143225	-11.6486272194352	-6.15677412310548	-5.63516495962859	-15.1981380524011	-17.2543643285809	-9.80063031288021	-6.2840547871393	-5.33756011717956	-14.1013684035272	-16.4232964984145	-14.3596809373508	-7.47870221799284	-15.2503971210871	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-16.4232964984145
run02-111	-10.7193110287531	-6.46449712972425	-15.2053350812757	-16.4412096916722	-14.8073549220576	-6.73579915154164	-8.6868895510607	-15.419696888306	-15.328341840598	-7.01887131061198	-14.9881964876243	-2.07348886768949	-3.85681455250301	-7.59378014666922	-8.53488645761565	-15.3473445394315	-15.3596809373508	-16.2200003719044	-14.775095822586	-5.12889409793981	-7.78642522461161	-9.53488645761565	-8.82119064277229	-15.3457517402327	-15.1899789486325	-16.4237888970089	-5.2628632685546	-15.7638520853917	-14.3549724769604	-15.0174609038594	-14.9918760990034	-8.85681455250301	-15.677132344649	-14.8143321153684	-15.0038106846081	-6.54938602731076	-16.0073485310372	-16.1439013303685	-15.082065857738	-9.0494596304454	-15.1079253874636	-15.0126827296502	-16.0439244156132	-4.54938602731076	-6.50631730541888	-3.27110084372484	-13.5458091373666	-7.08071056442984	-6.13434852803192	-11.5937801466692	-14.9992953870234	-10.09127980614	-17.4232964984145	-7.89334042852812	-12.1787426473904	-10.856814552503	-8.15637483436192	-8.09127980614003	-8.50631730541888	-6.60888703905942	-9.27185205178185	-4.85907052644338	-15.77169578985	-16.0115330268357	-7.62415379571273	-5.33011970696103	-11.5937801466692	-15.5068240947932	-15.3043513216632	-9.09127980614003	-4.07283413881921	-7.75247789268827	-7.96928928176142	-8.47830292924928	-7.93081513394679	-8.20146272389046	-8.53488645761565	-15.545326509599	-6.80370321604345	-10.7193110287531	-6.41055832261345	-9.93081513394679	-8.62415379571273	-16.0427922282289	-7.70300921642397	-12.5937801466692	-15.7322999422698	-15.7665547890901	-2.85456210077163	-15.545326509599	-11.0088176459481	-9.4238551452269	-8.29609959802853	-8.82119064277229	-12.1787426473904	-16.035615318962	-16.2953384719256	-10.2718520517819	-14.775095822586	-7.85681455250301	-14.5330863421676	-15.7638520853917	-11.856814552503	-10.0088176459481	-13.2664937563122	-15.0214137930081	-8.00881764594806	-13.1787426473904	-11.1787426473904	-15.8240637375449	-14.8275411901725	-12.1787426473904	-11.5937801466692	-7.50631730541888	-5.11534756610186	-15.1981380524011	-17.2543643285809	-10.1787426473904	-16.7665547890901	-15.4543314274174	-14.1013684035272	-16.4232964984145	-14.3596809373508	-14.8944072743409	-15.2503971210871	-14.5556675918407	-15.2019707283731	-14.8584667346833	-15.4763981434162	-16.4232964984145
