2025-01-28 19:04:50.047814 INFO::Writing function arguments to log file
2025-01-28 19:04:50.056017 DEBUG::Function arguments
2025-01-28 19:04:50.059049 DEBUG::Output folder: ../intermediate_files/maaslin/Q1/genus/pre_ltx vs Grouppost_ltx
2025-01-28 19:04:50.062252 DEBUG::Min Abundance: 0.000000
2025-01-28 19:04:50.065286 DEBUG::Min Prevalence: 0.000000
2025-01-28 19:04:50.069297 DEBUG::Normalization: TSS
2025-01-28 19:04:50.073739 DEBUG::Transform: LOG
2025-01-28 19:04:50.077776 DEBUG::Analysis method: LM
2025-01-28 19:04:50.080878 DEBUG::Max significance: 0.050000
2025-01-28 19:04:50.08349 DEBUG::Random effects:
2025-01-28 19:04:50.086113 DEBUG::Fixed effects: Group,Country
2025-01-28 19:04:50.089023 DEBUG::Correction method: BH
2025-01-28 19:04:50.093545 DEBUG::Standardize: TRUE
2025-01-28 19:04:50.097491 DEBUG::Cores: 1
2025-01-28 19:04:50.10147 INFO::Verifying options selected are valid
2025-01-28 19:04:50.112007 INFO::Determining format of input files
2025-01-28 19:04:50.119938 INFO::Input format is data samples as columns and metadata samples as rows
2025-01-28 19:04:50.137453 DEBUG::Transformed data so samples are rows
2025-01-28 19:04:50.144111 DEBUG::A total of 208 samples were found in both the data and metadata
2025-01-28 19:04:50.147926 DEBUG::Reordering data/metadata to use same sample ordering
2025-01-28 19:04:50.155603 INFO::Formula for fixed effects: expr ~  Group + Country
2025-01-28 19:04:50.163409 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-01-28 19:04:50.172194 INFO::Filter data based on min abundance and min prevalence
2025-01-28 19:04:50.179249 INFO::Total samples in data: 208
2025-01-28 19:04:50.185086 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-01-28 19:04:50.203747 INFO::Total filtered features: 0
2025-01-28 19:04:50.21515 INFO::Filtered feature names from abundance and prevalence filtering:
2025-01-28 19:04:50.244592 INFO::Total filtered features with variance filtering: 0
2025-01-28 19:04:50.253129 INFO::Filtered feature names from variance filtering:
2025-01-28 19:04:50.261538 INFO::Running selected normalization method: TSS
2025-01-28 19:04:50.286126 INFO::Applying z-score to standardize continuous metadata
2025-01-28 19:04:50.302855 INFO::Running selected transform method: LOG
2025-01-28 19:04:50.328065 INFO::Running selected analysis method: LM
2025-01-28 19:04:50.343837 INFO::Fitting model to feature number 1, Actinomyces
2025-01-28 19:04:50.358202 INFO::Fitting model to feature number 2, Bifidobacterium
2025-01-28 19:04:50.380234 INFO::Fitting model to feature number 3, Corynebacterium
2025-01-28 19:04:50.393941 INFO::Fitting model to feature number 4, Rothia
2025-01-28 19:04:50.415609 INFO::Fitting model to feature number 5, Atopobium
2025-01-28 19:04:50.429935 INFO::Fitting model to feature number 6, Libanicoccus
2025-01-28 19:04:50.451101 INFO::Fitting model to feature number 7, Olsenella
2025-01-28 19:04:50.462365 INFO::Fitting model to feature number 8, Collinsella
2025-01-28 19:04:50.480588 INFO::Fitting model to feature number 9, Adlercreutzia
2025-01-28 19:04:50.492203 INFO::Fitting model to feature number 10, Eggerthella
2025-01-28 19:04:50.511866 INFO::Fitting model to feature number 11, Senegalimassilia
2025-01-28 19:04:50.52328 INFO::Fitting model to feature number 12, Slackia
2025-01-28 19:04:50.541825 INFO::Fitting model to feature number 13, f__Eggerthellaceae.g__uncultured
2025-01-28 19:04:50.553564 INFO::Fitting model to feature number 14, Bacteroides
2025-01-28 19:04:50.572142 INFO::Fitting model to feature number 15, Barnesiella
2025-01-28 19:04:50.584976 INFO::Fitting model to feature number 16, Coprobacter
2025-01-28 19:04:50.605653 INFO::Fitting model to feature number 17, Butyricimonas
2025-01-28 19:04:50.61885 INFO::Fitting model to feature number 18, Odoribacter
2025-01-28 19:04:50.637594 INFO::Fitting model to feature number 19, Paraprevotella
2025-01-28 19:04:50.651645 INFO::Fitting model to feature number 20, Prevotella_7
2025-01-28 19:04:50.671083 INFO::Fitting model to feature number 21, Prevotella_9
2025-01-28 19:04:50.686355 INFO::Fitting model to feature number 22, Alistipes
2025-01-28 19:04:50.710625 INFO::Fitting model to feature number 23, Parabacteroides
2025-01-28 19:04:50.725638 INFO::Fitting model to feature number 24, Campylobacter
2025-01-28 19:04:50.749858 INFO::Fitting model to feature number 25, Gastranaerophilales
2025-01-28 19:04:50.771864 INFO::Fitting model to feature number 26, Bilophila
2025-01-28 19:04:50.795411 INFO::Fitting model to feature number 27, Desulfovibrio
2025-01-28 19:04:50.814293 INFO::Fitting model to feature number 28, f__Desulfovibrionaceae.g__uncultured
2025-01-28 19:04:50.837827 INFO::Fitting model to feature number 29, Erysipelatoclostridium
2025-01-28 19:04:50.85648 INFO::Fitting model to feature number 30, Erysipelotrichaceae_UCG.003
2025-01-28 19:04:50.880409 INFO::Fitting model to feature number 31, Faecalitalea
2025-01-28 19:04:50.894957 INFO::Fitting model to feature number 32, Holdemanella
2025-01-28 19:04:50.916967 INFO::Fitting model to feature number 33, Holdemania
2025-01-28 19:04:50.935498 INFO::Fitting model to feature number 34, Merdibacter
2025-01-28 19:04:50.964439 INFO::Fitting model to feature number 35, Turicibacter
2025-01-28 19:04:50.989232 INFO::Fitting model to feature number 36, X.Clostridium._innocuum_group
2025-01-28 19:04:51.018645 INFO::Fitting model to feature number 37, f__Erysipelotrichaceae.g__unassigned
2025-01-28 19:04:51.036209 INFO::Fitting model to feature number 38, Enterococcus
2025-01-28 19:04:51.063036 INFO::Fitting model to feature number 39, Lacticaseibacillus
2025-01-28 19:04:51.083387 INFO::Fitting model to feature number 40, Lactobacillus
2025-01-28 19:04:51.107165 INFO::Fitting model to feature number 41, Ligilactobacillus
2025-01-28 19:04:51.123276 INFO::Fitting model to feature number 42, Limosilactobacillus
2025-01-28 19:04:51.14607 INFO::Fitting model to feature number 43, f__Lactobacillaceae.g__unassigned
2025-01-28 19:04:51.158778 INFO::Fitting model to feature number 44, Lactococcus
2025-01-28 19:04:51.182982 INFO::Fitting model to feature number 45, Streptococcus
2025-01-28 19:04:51.200223 INFO::Fitting model to feature number 46, o__Lactobacillales.f__unassigned.g__unassigned
2025-01-28 19:04:51.223553 INFO::Fitting model to feature number 47, Gemella
