feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
Cah8-297-CE	0.105626765153161	0.24653486856398	0.0132956767325657	0.00490984140777754	0.615728872474473	0	0.00686508798609602	0.00703888768194656
Cah8-297-RE	0.115977617648243	0.228654240972586	0.0103055432551025	0.00169075319029025	0.625981240690793	0	0.00692403687452196	0.0104665673684634
Cah8-298-RE	0.0553203368538594	0.165774903456939	0	0	0.769320243800307	0	0.00958451588889406	0
Cah8-299-CE	0.0715623944224331	0.299210663718173	0	0.0047913019441629	0.601001259252434	6.14269480020885e-05	0.0224822629687644	0.000890690746030284
Cah8-300-CE	0.103589844648077	0.280487404341971	0.0024304529181857	0.00581338062863336	0.575261930567872	0.000262751666830886	0.0317929516865373	0.000361283541892469
Cah8-301-RE	0.0319719847189376	0.36092414044024	0.00313807531380753	0.00218300891395307	0.552346734582499	0	0.0494360560305621	0
Cah8-302-CE	0.00890662296483665	0.348070825465816	0	0.00124692721507713	0.492393743988029	0	0.14938188036624	0
Cah8-302-RE	0.0183602267771478	0.33388573920628	0	0.00344526820758831	0.500566942869603	0	0.143741822939381	0
Cah8-303-CE	0.0781508403522941	0.209184262143764	0	0.000538440829198877	0.691781085342871	0	0.015499403869082	0.00484596746278989
Cah8-303-RE	0.0861190757294653	0.206173047731489	0	0.000539720020239501	0.684466183167482	0	0.0166301231236296	0.00607185022769438
Cah8-304-CE	0.0177433719257382	0.282626567102829	0	0.00503528122216894	0.504589984243338	0.106768514078235	0.0713160238405152	0.0119202575871754
Cah8-304-RE	0.0198298008991651	0.27504816955684	0	0.00373314065510597	0.523000963391137	0.0936897880539499	0.0719332048811818	0.0127649325626204
Cah8-305-CE	0.155948756976154	0.358193810248605	0	0.000443937087772704	0.484271943176053	0	0.00114155251141553	0
Cah8-305-RE2	0.0164911468580025	0.41262585348918	0.000405045712301817	0.00225668325425298	0.498090498784863	0	0.0699861127184354	0.000144659182964935
Cah8-308-CE	0.0154445812086044	0.341832248988922	0.000293066057089268	0.00193423597678917	0.576871226774515	0	0.0633022683312819	0.000322372662798195
run02-102	0.0763284203372552	0.288535870534766	0.000764558467485027	0.0181795013379773	0.523849976638491	0.000509705644990018	0.091831967039035	0
run02-103	0.0672570725707257	0.236359163591636	0.00747847478474785	0.0204674046740467	0.638474784747847	0	0.0278474784747847	0.00211562115621156
run02-104	0.102256611847834	0.271738860000498	0	0	0.604483367750603	0	0.0215211604010649	0
run02-105	0.0251298128735182	0	0	0	0.327373371215832	0	0.64749681591065	0
run02-106	0.0650393617583346	0.289163628678607	0.00385692397104665	0.0100914038146563	0.583452211126961	0.00121519522375442	0.0471812754266392	0
run02-107	0.175642673521851	0.149807197943445	0	0	0.505591259640103	0.106748071979434	0.0622107969151671	0
run02-108	0.148894562442284	0.0784127329023847	0	0	0.656445217013417	0.000896300722472704	0.115351186919442	0
run02-109	0.0721536624203822	0.28796775477707	0.00801154458598726	0.018859474522293	0.533787818471338	0.00134355095541401	0.0756867038216561	0.00218949044585987
run02-110	0.041818744200433	0.226848128673059	0	0.00674296319208166	0.644478812248685	0.00216517166718218	0.0533869471079493	0.0245592329106093
run02-111	0.0316435259928964	0.346894844473146	0.00134538800990206	0.00220643633623937	0.582122484124421	0	0.0357873210633947	0
run02-112	0.350714360204401	0.137240588173949	0	0.0270622588382522	0.414016060068829	0.000782146209198039	0.00604859735113151	0.0641359891542392
run02-113	0.202026789745648	0.210555360457533	0	0.00637134400240807	0.541413736015652	0.000200672252044349	0.0392314252746701	0.000200672252044349
run02-114	0.111420502008831	0.218743784557858	0	0.00155137435856637	0.553959982497315	0	0.114324356577429	0
run02-115	0.111291858435169	0.21568005078559	0	0.010395175368989	0.601491826694176	0.00190445960958578	0.059236629106491	0
run02-116	0.150085535069378	0.289412659190268	0	0.00547424444022049	0.458544003041247	0	0.0964835582588861	0
run02-117	0.0168481691919192	0.234809027777778	0.0426530934343434	0.00852272727272727	0.549518623737374	0	0.0331439393939394	0.114504419191919
run02-118	0.0633505598621878	0.197545219638243	0	0.00714900947459087	0.470973298880276	0.0214470284237726	0.23953488372093	0
run02-119	0.0629949604031678	0.224862011039117	0.0356771458283337	0.00423966082713383	0.589392848572114	0	0.080033597312215	0.00279977601791857
run02-120	0.102544589774078	0.253032104637336	0	0.0143638525564804	0.581498216409037	0.000760998810939358	0.0478002378121284	0
run02-121	0.013213673671868	0.223865788761613	0	0.0059980156940561	0.643185712997204	0	0.113736808875259	0
run02-122	0.0294701809007461	0.183745772719953	0.000375758226421171	0	0.521069300552901	0	0.265338987599979	0
run02-124	0.0644492368944924	0.217028865295289	0	0.00472793629727936	0.661745189117452	0.000912408759124088	0.0511363636363636	0
run02-125	0.193492542613636	0.183238636363636	0	0.00355113636363636	0.554243607954545	0	0.0647638494318182	0.000710227272727273
run02-126	0.0344949673764605	0.0352536543422184	0	0	0.70431439987861	0.0207374437307167	0.205199534671994	0
run02-127	0.0422425032594524	0.289830508474576	0	0.00147761842677097	0.616949152542373	0.00221642764015645	0.047283789656671	0
run02-128	0.260497775305895	0.175437986651835	0	0	0.538932146829811	0	0.0251320912124583	0
run02-129	0.00208924041187882	0	0	0	0.996318957369547	0	0.00159180221857434	0
run02-130	0.127972123531019	0.213412134462968	0	0.00228887674227931	0.594902978955999	0	0.0592716589232031	0.00215222738453129
run02-131	0.0332085561497326	0.214385026737968	0	0.0020855614973262	0.651122994652406	0.000374331550802139	0.0988235294117647	0
run02-132	0.0649703338548278	0.247926321693184	0	0	0.565988723912979	0	0.121114620539009	0
run02-133	0.128285501996842	0.261864957741246	0	0.00164855577226711	0.540819169685149	0	0.0673818148044952	0
run02-134	0.197073491532855	0.220200580917411	0	0.0027401764673645	0.544363457006631	0.00010960705869458	0.0355126870170439	0
run02-135	0.0721987315010571	0.294186046511628	0	0	0.558985200845666	0.0588266384778013	0.0158033826638478	0
run02-136	0.104849137931034	0.217618534482759	0	0	0.661422413793103	0	0.0161099137931034	0
run02-137	0.128717006348146	0.138030404276646	0	0.00146174406949549	0.647886735716672	0	0.0839041095890411	0
run02-138	0.0715231113826105	0.252087151293016	0	0.00167990226023213	0.65444919568316	0	0.0135919364691509	0.00666870291183058
run02-145	0.104359997926279	0.133236559697237	0	0.00124423246409871	0.710560423039038	0.00181450567681062	0.0487842811965369	0
