feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
Cah8-300-IL	-3.24514850714754	-1.71427927636886	-8.70509235552247	-7.49563898989352	-0.858230828235766	-14.8022134158237	-12.1201298548013	-5.10146601053628	-10.1815303994655	-15.0466124692581
Cah8-301-IL	-5.44533116591148	-1.52902141797057	-9.89221753122967	-9.58409523586733	-0.757546748576418	-12.2845349540084	-13.2845349540084	-4.78070921601267	-14.3756277600259	-15.0466124692581
Cah8-302-IL	-6.45777210108657	-1.55951480454427	-14.7334920443003	-10.2154691368369	-1.08185369909586	-14.8022134158237	-12.1414685553931	-2.5099276880516	-11.6560417282228	-15.0466124692581
Cah8-303-IL	-3.63567232237855	-2.396978088713	-14.7334920443003	-9.45767402040055	-0.491168568494814	-14.8022134158237	-15.0036496670859	-6.22610995316586	-8.17756610120782	-15.0466124692581
Cah8-305-IL	-3.41439127528556	-1.45136450632013	-14.7334920443003	-11.0797271924707	-0.891700384653111	-14.8022134158237	-15.0036496670859	-9.83871909296694	-14.3756277600259	-15.0466124692581
Cah8-307-IL	-5.57494252106134	-1.65701512260229	-14.7334920443003	-8.11485418666691	-1.17177041365628	-2.97958073187956	-15.0036496670859	-3.69806690543811	-6.55818073037718	-15.0466124692581
Cah8-308-IL	-6.32162624426572	-1.61308342748466	-12.2224930522465	-8.76306143360917	-0.772828513770274	-14.8022134158237	-15.0036496670859	-3.77954955639774	-14.3756277600259	-15.0466124692581
Cah8-309-IL	-3.39712013376511	-2.1846252799637	-14.7334920443003	-15.0529076283133	-0.587793820428274	-14.8022134158237	-15.0036496670859	-5.66204545437599	-14.3756277600259	-15.0466124692581
run02-49	-3.29454961851739	-2.52935900038733	-14.7334920443003	-10.7002229507993	-0.589658079796875	-8.6558288314408	-12.7002229507993	-4.13416891262816	-14.3756277600259	-12.3782948559119
run02-50	-3.77536097290322	-2.90034774974175	-6.84694805515224	-7.86382187371663	-0.435880541207151	-14.8022134158237	-15.0036496670859	-4.61500132710254	-14.3756277600259	-15.0466124692581
run02-51	-3.70200192191138	-1.82635776579121	-14.7334920443003	-12.7262181593322	-0.660128968874426	-14.8022134158237	-15.0036496670859	-6.9274763675793	-14.3756277600259	-15.0466124692581
run02-52	-4.13325770060467	-2.04966179179569	-10.363678495697	-11.1412860743606	-0.8744995336657	-10.7787159949759	-15.0036496670859	-4.19041778169148	-3.32933804100252	-15.0466124692581
run02-54	-3.35802109746595	-1.92884474734394	-10.2389164845415	-5.98377548086536	-0.901613163767242	-11.8238789852627	-15.0036496670859	-3.5142402297733	-14.3756277600259	-13.0462714065991
run02-55	-3.95003996125407	-1.89494784236036	-7.49752775655656	-6.01474565064188	-0.689842584974592	-12.0459643812526	-15.0036496670859	-5.47004702013445	-8.53500246197522	-15.0466124692581
run02-56	-3.63939429627981	-1.84355573414301	-14.7334920443003	-15.0529076283133	-0.687790430509464	-14.8022134158237	-15.0036496670859	-5.63680650179066	-14.3756277600259	-12.1759653128987
run02-57	-4.54226605986656	-13.1365906637914	-14.7334920443003	-15.0529076283133	-1.68434942336059	-14.8022134158237	-15.0036496670859	-0.63077910987181	-14.3756277600259	-15.0466124692581
run02-58	-3.64592626603154	-2.01724238788107	-7.64444733710563	-6.72343563325246	-0.788404557279439	-10.4052596732262	-13.5751846746685	-3.66979766965039	-14.3756277600259	-11.9902221739474
run02-59	-2.66413862083988	-2.56880017668342	-14.7334920443003	-15.0529076283133	-0.874095897275735	-3.9040778252298	-8.87562137918057	-4.0855444485548	-14.3756277600259	-11.8756213791806
run02-60	-2.95628428462802	-2.92089976675728	-14.7334920443003	-15.0529076283133	-0.494356653186653	-9.89292222363059	-15.0036496670859	-5.1492097970238	-14.3756277600259	-15.0466124692581
run02-61	-4.14348447494535	-1.69309304340676	-7.63798670739202	-5.92508481811628	-0.884807666693582	-14.8022134158237	-15.0036496670859	-3.83684361426768	-9.78637854728469	-15.0466124692581
run02-62	-5.14209756491983	-2.00075959304703	-14.7334920443003	-8.23628000397654	-0.645128734308999	-9.56970373770173	-15.0036496670859	-4.41427830595454	-5.01880307305421	-15.0466124692581
run02-63	-4.54872635158544	-1.78424448532361	-10.2230363379019	-9.4294872153693	-0.60894001497001	-14.8022134158237	-15.0036496670859	-6.79901005539578	-14.3756277600259	-15.0466124692581
run02-64	-1.8090759814091	-2.96365301851797	-14.7334920443003	-5.90064322099217	-1.26255287690877	-13.3559704412967	-10.4490798456882	-3.62719959175407	-3.82069506467593	-11.3559704412967
run02-65	-2.57876369919305	-2.02175782133023	-14.7334920443003	-7.28215190607939	-0.84983213305933	-11.0293858356994	-15.0036496670859	-5.37730913911973	-11.5148126628697	-12.2517782570359
run02-66	-3.41755453675946	-2.26965253434825	-14.7334920443003	-10.9599415770974	-0.742185781835401	-14.8022134158237	-15.0036496670859	-3.31188365134408	-14.3756277600259	-15.0466124692581
run02-67	-3.95515421508892	-1.86038991240348	-14.7334920443003	-7.41780075436779	-0.723672570563009	-9.21194005692123	-12.7665289085989	-4.41448548280343	-14.3756277600259	-15.0466124692581
run02-68	-2.59105835260834	-2.14554370887062	-14.7334920443003	-7.8554181559087	-0.860998160260374	-14.8022134158237	-15.0036496670859	-4.23414195579946	-14.3756277600259	-15.0466124692581
run02-69	-5.58328096240092	-2.25269172204388	-5.22519934793415	-7.17758132770141	-0.837037554646698	-13.4443678683963	-15.0036496670859	-5.29462074889163	-2.73399189719184	-15.0466124692581
run02-70	-3.96053962461902	-2.04944414395603	-14.7334920443003	-7.22306879667392	-0.669899349023818	-5.14060663648194	-15.0036496670859	-5.03042371873152	-14.3756277600259	-15.0466124692581
run02-71	-5.33512759264222	-3.73608990670934	-14.7334920443003	-15.0529076283133	-0.914960946809595	-7.36369674483899	-15.0036496670859	-1.46718269087015	-8.92009009336338	-15.0466124692581
run02-72	-2.78535075226892	-2.36174773367693	-14.7334920443003	-8.67750480462054	-0.68246157810432	-12.4500943085175	-15.0036496670859	-4.85514771922369	-14.3756277600259	-13.0350568092386
run02-73	-7.44229446155381	-1.88904082055999	-14.7334920443003	-9.20032167124785	-0.683462948620913	-13.2877845124982	-15.0036496670859	-3.32705851765913	-14.3756277600259	-12.702822011777
run02-74	-4.31867889839118	-4.78125478643338	-14.7334920443003	-15.0529076283133	-0.805074478109328	-14.8022134158237	-15.0036496670859	-1.55197450737465	-14.3756277600259	-12.7470390710955
run02-76	-3.82277836423741	-1.93461622342642	-14.7334920443003	-7.42145124498947	-0.732326840076211	-9.61409632293186	-13.0064137457106	-4.1040386312246	-14.3756277600259	-11.199058823653
run02-77	-2.45627063659664	-2.55681740543597	-14.7334920443003	-8.68059394607439	-0.854469219996948	-14.8022134158237	-15.0036496670859	-3.44473926493138	-11.0025220409618	-15.0466124692581
run02-78	-4.51767837534809	-4.00359936078345	-14.7334920443003	-15.0529076283133	-0.639396458369339	-5.08545111477174	-9.00706321608702	-2.18819430601238	-14.3756277600259	-9.70750293422811
run02-79	-4.01064080726053	-1.34885579259255	-14.7334920443003	-11.0190694293311	-1.03714544201377	-10.43410692861	-15.0036496670859	-4.13642637996927	-14.3756277600259	-15.0466124692581
run02-80	-2.90731355493911	-2.20620839727535	-14.7334920443003	-15.0529076283133	-0.671428513732527	-13.1956028971201	-12.1956028971201	-5.51964586417833	-14.3756277600259	-15.0466124692581
run02-81	-4.27134100155571	-5.82878532389062	-14.7334920443003	-15.0529076283133	-1.0218476672129	-14.8022134158237	-10.0767128373342	-1.19359962500882	-14.3756277600259	-15.0466124692581
run02-82	-2.83315492814497	-1.97035645383898	-14.7334920443003	-8.85854620376982	-0.799939442828978	-14.8022134158237	-11.9960497275198	-5.36961059082244	-8.14805282096481	-15.0466124692581
run02-83	-5.40504039986506	-1.75707894662531	-12.9710944380362	-10.1637395159785	-0.810907861435488	-10.386131937315	-15.0036496670859	-3.20043054511939	-14.3756277600259	-15.0466124692581
run02-84	-4.17508460350256	-1.63984414593672	-14.7334920443003	-15.0529076283133	-0.744417007734446	-14.8022134158237	-15.0036496670859	-5.21933151659173	-14.3756277600259	-15.0466124692581
run02-85	-3.45841212926095	-1.77485325328613	-14.7334920443003	-11.1666338592993	-0.822337951383483	-14.8022134158237	-15.0036496670859	-4.2978113045243	-14.3756277600259	-15.0466124692581
run02-86	-2.61119313555116	-2.1067403525235	-14.7334920443003	-8.78899015464904	-0.82723354583718	-14.8022134158237	-15.0036496670859	-4.7066798011643	-14.3756277600259	-15.0466124692581
run02-87	-3.80847256836855	-1.64610400464109	-14.7334920443003	-15.0529076283133	-0.959063225391591	-3.68000970935413	-15.0036496670859	-5.9027999509167	-14.3756277600259	-15.0466124692581
run02-88	-3.04546629277608	-1.95725410767003	-14.7334920443003	-15.0529076283133	-0.730350069875259	-14.8022134158237	-15.0036496670859	-5.74838578200928	-14.3756277600259	-15.0466124692581
run02-89	-2.91510502369774	-2.30469189531963	-14.7334920443003	-9.26785071057489	-0.655652377058943	-14.8022134158237	-15.0036496670859	-5.13482529194411	-12.7272823292122	-15.0466124692581
run02-90	-3.80820440662299	-1.7819485075856	-14.7334920443003	-9.54589116803285	-0.709840812974782	-14.8022134158237	-15.0036496670859	-5.68195271760888	-7.47550184014145	-15.0466124692581
run02-91	-4.36199176896117	-2.00994724483605	-14.7334920443003	-15.0529076283133	-2.75282957336868	-4.06467622855542	-15.0036496670859	-1.40035922685606	-3.10615286453158	-15.0466124692581
run02-92	-4.25512252990836	-3.03087931288397	-7.71085492846535	-8.69067704652772	-0.730353263919342	-10.86060204797	-8.73131903102506	-2.23992400583462	-10.6906770465277	-12.86060204797
run03-49	-5.64954449696011	-2.11236604998032	-14.7334920443003	-15.0529076283133	-0.431133244442038	-14.8022134158237	-15.0036496670859	-7.13141350471716	-14.3756277600259	-15.0466124692581
run03-50	-4.23891393899467	-2.46669961910134	-14.7334920443003	-11.5273955507889	-0.626906065954242	-4.72865375903599	-10.2054674559015	-3.65497717243751	-14.3756277600259	-11.7904299566227
run03-51	-4.30963581625547	-4.69027061140217	-14.7334920443003	-15.0529076283133	-0.317511311204924	-14.8022134158237	-15.0036496670859	-3.20575467242859	-14.3756277600259	-15.0466124692581
run03-52	-4.15054688394719	-1.65088929318683	-14.7334920443003	-7.25658852135751	-1.00272100992571	-7.37104724594243	-13.1392315707194	-3.17922963865127	-14.3756277600259	-8.33187664866175
run03-53	-2.8589845315415	-4.00256598188051	-14.7334920443003	-15.0529076283133	-0.351758749368165	-14.8022134158237	-11.8525295094042	-5.97688984778012	-14.3756277600259	-15.0466124692581
run03-54	-3.68149967343228	-1.58012951390213	-14.7334920443003	-7.65925993488932	-0.902132222584905	-6.56174342897506	-10.5712037582241	-5.20074576940911	-14.3756277600259	-6.77473715230926
run03-57	-4.38665413470926	-1.78399621186649	-14.7334920443003	-15.0529076283133	-0.804842312333331	-14.8022134158237	-15.0036496670859	-3.50406595353733	-9.64215486785764	-15.0466124692581
run03-58	-3.16951001652908	-2.16795488536536	-11.1782498660932	-9.7632123668144	-0.702178765133288	-14.8022134158237	-15.0036496670859	-4.79935295907681	-6.13872150190661	-15.0466124692581
run03-59	-5.09491561159275	-1.76668853468718	-14.7334920443003	-10.5073892306146	-0.709506675466332	-10.0126245388651	-11.5073892306146	-3.99025672583661	-11.2663811311108	-15.0466124692581
run03-60	-9.96246761990144	-3.63321111144976	-14.7334920443003	-11.3954270271775	-0.441958064948697	-14.8022134158237	-15.0036496670859	-2.45878908817497	-14.3756277600259	-15.0466124692581
run03-61	-6.83850362062827	-14.1365906637914	-14.7334920443003	-15.0529076283133	-0.609818519191318	-8.66857861918596	-15.0036496670859	-3.95246838761829	-1.89712990781232	-11.1015380264621
run03-62	-2.97653788713829	-2.57226681872852	-10.0480002496949	-8.72607215480755	-0.553287499225999	-14.8022134158237	-11.8553551717525	-5.66059831733027	-14.3756277600259	-15.0466124692581
run03-63	-4.29428105036606	-2.30513115195239	-14.7334920443003	-15.0529076283133	-0.485382753656874	-14.8022134158237	-15.0036496670859	-4.9486243539177	-14.3756277600259	-15.0466124692581
run03-64	-3.56610347346984	-3.09102651957341	-14.7334920443003	-8.92035285541508	-0.507518415295808	-11.3353903546939	-15.0036496670859	-3.43704090041573	-14.3756277600259	-15.0466124692581
run03-66	-4.5625742689703	-2.03166756883183	-7.6531768177512	-5.69725788621532	-1.06487860446679	-2.96667629056798	-15.0036496670859	-3.68355046679472	-7.61364845356457	-15.0466124692581
run03-67	-3.17593970540604	-1.5578890353527	-7.49402573399901	-9.34817486753556	-0.926352781849042	-14.8022134158237	-15.0036496670859	-6.05143510473903	-9.52505262961964	-15.0466124692581
run03-68	-4.45117466587391	-2.20224045708497	-6.21517951279247	-7.55016376050528	-0.868765608369575	-14.8022134158237	-15.0036496670859	-4.02280523636019	-3.19688324691546	-15.0466124692581
run03-69	-4.69488019279919	-1.32504876408855	-14.7334920443003	-8.48121186428638	-1.02885331409055	-14.8022134158237	-15.0036496670859	-3.86240820974982	-10.6975297712131	-15.0466124692581
run03-70	-3.57565267707629	-1.45361745515792	-14.7334920443003	-15.0529076283133	-1.08955659592176	-7.2428503589411	-15.0036496670859	-3.74633588524157	-14.3756277600259	-15.0466124692581
run03-71	-2.80535159598289	-1.82812728288277	-14.7334920443003	-9.64315470917283	-0.921580777942393	-11.6431547091728	-15.0036496670859	-4.45333015029281	-14.3756277600259	-12.4911516157278
run03-72	-2.25962311007706	-2.56820966772526	-14.7334920443003	-8.70826413958544	-0.944317126782151	-10.3910739637047	-15.0036496670859	-3.32555153618527	-14.3756277600259	-15.0466124692581
run03-73	-3.674625532743	-1.73546713158601	-14.7334920443003	-15.0529076283133	-0.995509273349632	-12.8064824933518	-15.0036496670859	-3.06277006674501	-14.3756277600259	-15.0466124692581
run03-74	-3.47219998070957	-4.20562086783236	-8.6798799041473	-8.78175951816651	-0.587362992191599	-4.23995459986148	-5.56188269474885	-3.19679701744536	-14.3756277600259	-8.78175951816651
run03-75	-2.30947210455494	-2.3183230221372	-14.7334920443003	-15.0529076283133	-0.835188006474953	-14.8022134158237	-15.0036496670859	-4.74640770646803	-14.3756277600259	-15.0466124692581
run03-76	-4.13579567412209	-1.99720247983966	-9.08495199670761	-7.13453402555817	-0.656874810811255	-6.05600062301149	-11.7094428616154	-4.87444518448868	-14.3756277600259	-15.0466124692581
run03-77	-5.45404901265796	-1.31753343323266	-14.7334920443003	-15.0529076283133	-1.04363597584634	-11.5660540381711	-13.1510165388922	-3.46714467026964	-14.3756277600259	-15.0466124692581
run03-78	-4.20841781465192	-1.56831154321001	-14.7334920443003	-11.6135592777883	-0.788699954621246	-13.0285967770671	-10.0285967770671	-5.13580101134438	-14.3756277600259	-15.0466124692581
run03-79	-4.50047718139631	-12.682043589274	-14.7334920443003	-15.0529076283133	-0.758468494647857	-14.8022134158237	-12.682043589274	-1.45643445525403	-14.3756277600259	-15.0466124692581
run03-80	-5.38459157701434	-1.62933814078655	-14.7334920443003	-4.35041446169626	-0.891421552212679	-10.0508541798373	-15.0036496670859	-3.97078979090817	-14.3756277600259	-15.0466124692581
run03-82	-3.0321855823417	-1.41975869403651	-13.7334920443003	-12.1485295435792	-1.15123243085536	-13.7334920443003	-15.0036496670859	-4.40818658921065	-7.31563952941443	-15.0466124692581
run03-83	-1.86931945568949	-2.08750607260167	-14.7334920443003	-15.0529076283133	-1.09210680052923	-10.3259108119268	-15.0036496670859	-5.61272260104367	-14.3756277600259	-10.4413880293467
run03-84	-3.34184482246248	-2.37448709120916	-14.7334920443003	-7.28169825009883	-0.63736124210906	-7.52183225382255	-11.9255544398736	-4.44442775013694	-11.5105169405947	-7.10963750431253
run03-85	-1.85045637658589	-2.78245717315987	-14.7334920443003	-15.0529076283133	-0.867845832158596	-14.8022134158237	-15.0036496670859	-5.08867853865555	-14.3756277600259	-15.0466124692581
run03-86	-1.00214335953981	-8.16308757138876	-14.7334920443003	-15.0529076283133	-1.01485441128937	-14.8022134158237	-12.1327139223452	-8.85969542793882	-14.3756277600259	-15.0466124692581
run03-87	-4.24192367811924	-1.73287863664296	-14.7334920443003	-8.52037313633972	-0.904743499371627	-14.8022134158237	-15.0036496670859	-3.19169820901178	-14.3756277600259	-15.0466124692581
run03-88	-14.0529076283133	-1.16989794642931	-14.7334920443003	-5.99513825302141	-0.98033024532044	-14.8022134158237	-15.0036496670859	-4.92771032550112	-12.7024973851023	-15.0466124692581
run03-89	-3.33129004715223	-1.98426292472442	-14.7334920443003	-7.06417776043414	-0.825875758872388	-14.8022134158237	-15.0036496670859	-3.71840292359241	-11.6033365715422	-15.0466124692581
run03-90	-4.70746763708402	-1.88104980049834	-14.7334920443003	-10.939779537618	-0.582527459207481	-12.3992111562553	-15.0036496670859	-5.5226942096903	-14.3756277600259	-15.0466124692581
run03-92	-3.65955220098592	-2.33714883182613	-14.7334920443003	-7.11068904089149	-0.598615942512965	-6.95090859685472	-15.0036496670859	-4.60818870036231	-9.58317681235424	-7.65717739379801
run04-52	-2.48608401082936	-2.55322067979844	-14.7334920443003	-7.79719830702143	-0.655389734918233	-9.97652200646599	-15.0036496670859	-6.65459391157863	-14.3756277600259	-10.2566299256587
run04-53	-7.48291997155967	-1.93355682510281	-14.7334920443003	-8.40045781136769	-0.516607738266013	-9.31404305955022	-12.418379719365	-5.12743931696128	-14.3756277600259	-11.7403078142523
run04-54	-3.50842462153709	-2.08492554351005	-14.7334920443003	-4.4583839390375	-0.755356182079642	-14.8022134158237	-15.0036496670859	-4.69786218178977	-14.3756277600259	-15.0466124692581
run04-67	-8.40576295384371	-5.06771519359307	-14.7334920443003	-15.0529076283133	-0.094103918073601	-14.8022134158237	-15.0036496670859	-5.04071846121506	-14.3756277600259	-15.0466124692581
run04-68	-3.87073961551808	-2.95993651210101	-14.7334920443003	-15.0529076283133	-0.404027518460686	-12.0531339689226	-15.0036496670859	-4.41288903270027	-14.3756277600259	-12.3161683747564
run04-69	-6.43856183809956	-2.16882833877858	-14.7334920443003	-15.0529076283133	-0.401815354035801	-14.8022134158237	-15.0036496670859	-6.76818432477693	-14.3756277600259	-15.0466124692581
run04-70	-2.79505257459437	-2.07839127048878	-14.7334920443003	-15.0529076283133	-0.76283601062166	-6.94180615166698	-15.0036496670859	-5.52813032784636	-14.3756277600259	-15.0466124692581
run04-71	-3.63034272473493	-2.18513779413236	-9.23925754720053	-8.47675686092719	-0.592505993455226	-11.0466124692581	-11.0466124692581	-5.22165372872961	-8.00221834989968	-14.0466124692581
run04-72	-2.2529791738587	-3.2973592854492	-8.08497296495323	-15.0529076283133	-0.634710586520368	-14.8022134158237	-15.0036496670859	-4.61743954781896	-14.3756277600259	-15.0466124692581
run04-74	-4.91924545395191	-3.19511176654991	-14.7334920443003	-6.6235448591978	-1.58569061976401	-1.94367967226211	-12.6896340496556	-2.15435867303476	-5.07247272654626	-15.0466124692581
run04-75	-6.22317458185487	-2.38376581987027	-14.7334920443003	-15.0529076283133	-0.665393189942951	-4.41447907270292	-12.0717975222842	-3.09237232695273	-14.3756277600259	-13.0717975222842
run04-76	-3.09357008356268	-2.66786181682925	-10.2640515729737	-6.83406373222885	-0.511206365141311	-10.433976574416	-11.433976574416	-6.24415201553596	-14.3756277600259	-15.0466124692581
run04-77	-3.81742504767878	-3.33124986999074	-14.7334920443003	-10.1854949242109	-0.527819195023768	-4.50179846990435	-7.14987101448015	-3.57225796949453	-14.3756277600259	-15.0466124692581
run04-78	-4.17148670783793	-2.51104914652375	-14.7334920443003	-15.0529076283133	-0.476529862243154	-11.0327804370063	-15.0036496670859	-4.39760649033142	-8.87358184215709	-11.6177429377275
run05-64	-8.73103999774957	-2.72672331776645	-6.77620631379771	-15.0529076283133	-0.272563155427224	-14.8022134158237	-15.0036496670859	-6.70169603616743	-14.3756277600259	-15.0466124692581
run05-73	-5.9507265044586	-2.21376091029239	-7.44642166708267	-5.5824832166587	-1.01234949843949	-2.67383216318574	-15.0036496670859	-3.55047282175608	-8.01702887482675	-15.0466124692581
run05-75	-3.52846453891814	-2.52078380183651	-14.7334920443003	-7.3409627642517	-0.57090459456183	-13.2478533598602	-13.2478533598602	-4.07667656220845	-11.9259252649729	-15.0466124692581
run06-90	-3.14314645026115	-2.14865197140904	-14.7334920443003	-8.88411397498485	-0.61958449420414	-14.8022134158237	-15.0036496670859	-6.91108102258513	-14.3756277600259	-15.0466124692581
run06-93	-3.54690201613302	-2.33932116403106	-10.9577066662897	-8.63577857140231	-0.546902016133022	-14.8022134158237	-15.0036496670859	-5.11640441230873	-10.9577066662897	-15.0466124692581
run06-94	-4.621466544029	-2.53338738591309	-14.7334920443003	-12.3114645154484	-0.779839377025821	-11.7265020147273	-10.9895364205611	-2.33776714914309	-7.53010480192378	-15.0466124692581
run06-95	-2.62198096027381	-2.02150106921092	-14.7334920443003	-9.00856201350342	-0.833874066035151	-11.0789513413948	-9.94144781764489	-5.2410080995038	-11.4008794362822	-15.0466124692581
run06-96	-3.32869805800527	-2.45795202613185	-14.7334920443003	-10.9286109001924	-0.846628230866725	-9.34364839947125	-10.7586858987501	-2.64610159395157	-14.3756277600259	-15.0466124692581
run07-Cah7-55	-5.37794913249052	-2.40583609024176	-14.7334920443003	-11.0348614750907	-0.548209258272046	-14.8022134158237	-11.494293093728	-3.28544910299338	-14.3756277600259	-15.0466124692581
