feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-2.12877712479338	0.272884035752516	143	143	1.2812270011763e-12	2.5624540023526e-11
Cyanobacteria	Group	pre_ltx	-2.367951108429	0.459395584978483	143	48	8.49695250142756e-07	5.6646350009517e-06
Desulfobacterota	Group	pre_ltx	-2.36975570377528	0.457767228700125	143	103	7.6883205164354e-07	5.6646350009517e-06
Patescibacteria	Country	NO	-0.6375063800266	0.1984456129959	143	27	0.00163296764501029	0.00653187058004117
Proteobacteria	Country	NO	1.09410060913306	0.338248873058183	143	143	0.00151985230681514	0.00653187058004117
Bacteroidota	Group	pre_ltx	-0.693052694246112	0.282858738758574	143	141	0.0155124578943022	0.0389156369642547
Cyanobacteria	Country	NO	1.18048183217436	0.464328588135136	143	48	0.0120990623096407	0.0389156369642547
Patescibacteria	Group	pre_ltx	-0.480804786351042	0.196337336959604	143	27	0.0155662547857019	0.0389156369642547
Desulfobacterota	Country	NO	0.933705797976697	0.462682746519687	143	103	0.0454990475597442	0.101108994577209
Proteobacteria	Group	pre_ltx	-0.472495271788729	0.334655334341922	143	143	0.16020223934265	0.291276798804819
Verrucomicrobiota	Group	pre_ltx	-0.888842540921908	0.619658203727194	143	67	0.153685885756695	0.291276798804819
Bacteroidota	Country	NO	0.371623575167656	0.285896084124548	143	141	0.195786640992508	0.326311068320847
Campylobacterota	Group	pre_ltx	0.250697561980041	0.20813718399852	143	11	0.230435505111634	0.354516161710206
Fusobacteriota	Group	pre_ltx	-0.351743506177783	0.409309713490303	143	43	0.391612203436367	0.559446004909095
Verrucomicrobiota	Country	NO	0.471347401086163	0.626312111546477	143	67	0.452968338681399	0.603957784908532
Campylobacterota	Country	NO	0.113522442920026	0.210372167135613	143	11	0.590311728152773	0.737889660190967
Firmicutes	Group	pre_ltx	-0.0328408023780437	0.0832731722766294	143	143	0.693904788224839	0.816358574382164
Fusobacteriota	Country	NO	0.116692905092812	0.413704893101772	143	43	0.778307926593206	0.864786585103562
Actinobacteriota	Group	pre_ltx	-0.048511078935365	0.269984929722509	143	143	0.857663054300325	0.897312626149658
Firmicutes	Country	NO	-0.0108821176496879	0.0841673620231947	143	143	0.897312626149658	0.897312626149658
