feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
Cah8-300-IL	0.105466117558967	0.304754773493074	0.00239610632721827	0.00554099588169225	0.551628603519281	0	0.000224634968176713	0.0291276675402471	0.000861100711344066	0
Cah8-301-IL	0.0229504910803768	0.346512327119663	0.00105231509320505	0.00130286630587292	0.591501302866306	0.000200440970134295	0.000100220485067148	0.0363800360793746	0	0
Cah8-302-IL	0.0113767153607791	0.339265161575919	0	0.00084108012394865	0.472421425409473	0	0.000221336874723329	0.175564409030544	0.00030987162461266	0
Cah8-303-IL	0.0804550995530272	0.189861844778545	0	0.00142218610321008	0.711448598130841	0	0	0.0133583908980089	0.00345388053636733	0
Cah8-305-IL	0.093792002688172	0.365675403225806	0	0.000462029569892473	0.538978494623656	0	0	0.00109206989247312	0	0
Cah8-307-IL	0.0209785311525934	0.31709452596925	0	0.0036073267257381	0.443876300213638	0.126781774244388	0	0.0770496970546002	0.0106118446397927	0
Cah8-308-IL	0.0125026156099602	0.326898932831136	0.000209248796819418	0.0023017367650136	0.585268884703913	0	0	0.0728185812931576	0	0
Cah8-309-IL	0.0949215761285386	0.219969395562357	0	0	0.665359602142311	0	0	0.0197494261667942	0	0
run06-192	0.0228032419066807	0.276935757131737	0.012408993085764	0	0.675946700856266	9.1579284765786e-05	0	0.00746371170841156	0.00435001602637483	0
run06-57	0.0114364768273	0.339405118745677	0	0	0.640996080239797	0	0	0.00816232418722619	0	0
run06-58	0.0190988318190247	0.20013597873787	0	0	0.653748686569009	0.00061808517213672	0	0.0710797947957229	0.0553186229062365	0
run06-59	0.0287124916115425	0.17304189435337	0	0.00206116383855814	0.773559582015147	9.58680855143323e-05	0	0.0143322787843927	0.00819672131147541	0
run06-60	0.0219268025777165	0.173306853645686	0	0	0.775098285575325	0.00514732703765249	0.000729542414785393	0.0237911887488348	0	0
run06-61	0.143827807925578	0.205800538100233	0	0.00246249258972137	0.638834420174199	9.12034292489398e-05	9.12034292489398e-05	0.00880113092252269	9.12034292489398e-05	0
run06-63	0.0425503534747232	0.100506869414432	0	0	0.856809390422836	0	0	0.000133386688008537	0	0
run06-66	0.0709117221418234	0.238543174143753	0	0.000542691751085384	0.652134587554269	0	0	0.037867824409069	0	0
run06-67	0.0394122337396059	0.197288985078027	0	0	0.747294680487527	0	0	0.01600410069484	0	0
run06-69	0.00409080857964178	0	0	0	0.971880297781381	0	0	0.0240288936389769	0	0
run06-70	0.244986873708317	0.0012288443277663	0	0	0.58386862537005	0	0	0.169915656593867	0	0
run06-71	0.0202066142550841	0.280358651159769	0	0.00402832824377883	0.572672340978494	0.00266389448378923	0	0.093106360860243	0.0269638100188422	0
run06-72	0.239018011056292	0.0918979967901088	0	0.00309100636034001	0.61291089579742	0	0	0.0479700410152767	0.00511204898056233	0
run06-73	0.0177756803523675	0	0	0	0.980965864401447	0	0.000419485082061769	0.000838970164123538	0	0
run06-74	0.0717530360619264	0.200797255956244	0	0	0.713080559933253	0	0	0.000278112542875684	0	0.0140910355057013
