feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
Cah8-297-CE	-3.24295264408252	-2.02013638683689	-6.2328989794186	-7.67010785969606	-0.699632874557342	-15.8344463596196	-7.18650607393415	-7.15043681922662
Cah8-297-RE	-3.10808168628944	-2.12876041705726	-6.60043563144931	-9.20811820867054	-0.675808671543979	-15.8344463596196	-7.17417087674721	-6.57806781842085
Cah8-298-RE	-4.17604624847227	-2.59270248008463	-16.0209220818313	-15.0076230091737	-0.378343823139453	-15.8344463596196	-6.70507872103471	-15.5083312572928
Cah8-299-CE	-3.80465453011578	-1.74076650181698	-16.0209220818313	-7.70536655079518	-0.734560081130039	-13.9907687696574	-5.47506893137338	-10.1327877745299
Cah8-300-CE	-3.27104551844579	-1.83399210872845	-8.68455909760735	-7.4264069131533	-0.797709095546875	-11.8940124632363	-4.97514922596171	-11.434580844599
Cah8-301-RE	-4.96704788496523	-1.47023245365089	-8.31590430725959	-8.83946626331661	-0.856353894514534	-15.8344463596196	-4.33829253901045	-15.5083312572928
Cah8-302-CE	-6.81090576149022	-1.52254719929656	-16.0209220818313	-9.64740702920734	-1.02211566282694	-15.8344463596196	-2.74292293130591	-15.5083312572928
Cah8-302-RE	-5.76727231140176	-1.58257361998213	-16.0209220818313	-8.18116798629105	-0.998365075400887	-15.8344463596196	-2.79844820728494	-15.5083312572928
Cah8-303-CE	-3.67759480323476	-2.25715377954161	-16.0209220818313	-10.8589245679493	-0.531612526760637	-15.8344463596196	-6.01164346147896	-7.68899956650701
Cah8-303-RE	-3.53752335387005	-2.27807234824142	-16.0209220818313	-10.8555011762772	-0.54694882963757	-15.8344463596196	-5.91005733989925	-7.36364807994749
Cah8-304-CE	-5.81657598632094	-1.82303100845824	-16.0209220818313	-7.63371192917113	-0.98681652477187	-3.22744183438212	-3.80962992070807	-6.39044077815876
Cah8-304-RE	-5.65618599749436	-1.86224379299504	-16.0209220818313	-8.065394417971	-0.935114490903988	-3.41596438337169	-3.79719830702143	-6.29167027379468
Cah8-305-CE	-2.6808560414474	-1.48118768777231	-16.0209220818313	-11.1373571389859	-1.04611067363955	-15.8344463596196	-9.77478705960117	-15.5083312572928
Cah8-305-RE2	-5.92216445692906	-1.27709387731757	-11.2696276439236	-8.79158034711891	-1.00552020342453	-15.8344463596196	-3.83678751200123	-12.7550544710938
Cah8-308-CE	-6.01675543803617	-1.54863958534645	-11.736486494786	-9.01402047031493	-0.793678788543249	-15.8344463596196	-3.98159899262256	-11.5989829710361
run06-101	-2.09983819933559	-2.66327874438418	-16.0209220818313	-8.33421446821519	-0.765458284610961	-15.8344463596196	-5.83730814415923	-15.5083312572928
run06-102	-4.86975010063282	-12.1033697773925	-16.0209220818313	-15.0076230091737	-0.523700281413265	-10.6439381587552	-1.89239409966613	-15.5083312572928
run06-103	-4.46471042087102	-2.34774235383936	-16.0209220818313	-15.0076230091737	-0.399393220500641	-15.8344463596196	-13.5888317327002	-15.5083312572928
run06-104	-7.76380990728029	-12.407666097055	-16.0209220818313	-15.0076230091737	-1.38183442872299	-15.8344463596196	-0.709612612891481	-15.5083312572928
run06-106	-4.28894617525753	-1.78916180529163	-16.0209220818313	-9.79197682089869	-0.693944737938162	-15.8344463596196	-4.63614664934216	-15.5083312572928
run06-107	-4.56163767910731	-2.54609842242104	-16.0209220818313	-15.0076230091737	-0.386662571469477	-12.634886661138	-5.54742381988761	-15.5083312572928
run06-109	-8.89449529408715	-13.407666097055	-16.0209220818313	-15.0076230091737	-0.040953466058893	-15.8344463596196	-5.27166460777555	-15.5083312572928
run06-112	-2.1072555679989	-3.29582156715403	-16.0209220818313	-7.72109918870718	-0.735257251703845	-15.8344463596196	-4.10292964259611	-8.67927901301256
run06-113	-5.17617524478233	-13.407666097055	-16.0209220818313	-15.0076230091737	-0.0417057811220255	-15.8344463596196	-10.2229961015353	-15.5083312572928
run06-114	-3.07338855940865	-2.258667807728	-16.0209220818313	-15.0076230091737	-0.573932172334349	-15.8344463596196	-14.5888317327002	-11.1130909834424
run06-116	-3.73152585419808	-1.85776203819815	-8.76818432477693	-7.94875657041875	-0.642846831597834	-15.8344463596196	-8.94875657041875	-15.5083312572928
run06-117	-4.80911437799447	-2.56760077917195	-11.5871915075298	-6.68030091192131	-0.413748593978919	-15.8344463596196	-5.48128299895868	-6.32040496683493
run06-118	-4.65789402317501	-2.00026738857289	-16.0209220818313	-8.90582153661859	-0.933511814279719	-15.8344463596196	-6.02263520160134	-2.5616242778902
run06-121	-3.03300192229521	-2.2853357244949	-16.0209220818313	-15.0076230091737	-0.6891794728812	-15.8344463596196	-4.25201170423701	-15.5083312572928
run06-123	-5.36943997838179	-1.40432789051573	-16.0209220818313	-6.55220532559752	-0.847307927773913	-12.9951488214463	-5.3549038852239	-7.16225880728151
run06-124	-3.15888073309288	-2.44531476794503	-16.0209220818313	-15.0076230091737	-0.554004089807921	-15.8344463596196	-5.42340651693532	-15.5083312572928
run06-125	-2.58529891089894	-2.33171598040972	-16.0209220818313	-15.0076230091737	-0.679485355311246	-15.8344463596196	-6.59610566585552	-15.5083312572928
run06-126	-4.22084196977305	-3.87240221922323	-16.0209220818313	-15.0076230091737	-0.569916206673533	-10.539158811108	-2.2950328678243	-15.5083312572928
run06-128	-4.33239147898736	-1.82842110058808	-16.0209220818313	-15.0076230091737	-1.14974324096378	-15.8344463596196	-2.19989731805117	-11.1828908927455
run06-129	-3.07384366077071	-3.83552799447305	-16.0209220818313	-7.72579227149416	-0.44371740291007	-5.57604515198947	-4.4850009393322	-7.47786475805057
run06-130	-2.75890462802176	-2.52356195605701	-16.0209220818313	-7.7447122808545	-0.587517559019918	-15.8344463596196	-6.92992715332141	-15.5083312572928
run06-131	-3.47846628800163	-2.28124959489158	-16.0209220818313	-8.51499216402675	-0.739023190229186	-10.9930394608314	-3.32770354364622	-8.59094101726005
run06-132	-3.33989868513596	-2.71001297076545	-10.9619505045923	-10.4144627092898	-0.475502212703466	-15.8344463596196	-5.17053712640375	-12.3404621278461
run06-133	-4.60944585284668	-2.65912101187087	-16.0209220818313	-9.14638683870489	-0.617653676674068	-10.4943101421252	-2.8354495277355	-7.281316418791
