feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-3.11449939009063	0.263003780357435	600	592	3.23227001158525e-26	5.1716320185364e-25
Proteobacteria	Group	post_ltx	1.51622606954719	0.258369615407431	600	598	1.3359726209167e-08	1.06877809673336e-07
Fusobacteriota	Group	post_ltx	1.60159314085921	0.443868251087534	600	243	0.000369544633477915	0.00163030617912195
Proteobacteria	Country	NO	0.905936332652537	0.252945915270774	600	598	0.000407576544780487	0.00163030617912195
Firmicutes	Group	post_ltx	-0.233882215192232	0.0666544625806935	600	600	0.000529950515389481	0.00169584164924634
Firmicutes	Country	NO	-0.158809745330665	0.0652665029714252	600	600	0.0156356101744692	0.0416949604652512
Cyanobacteria	Group	post_ltx	0.684889554131111	0.400642631603349	600	115	0.0885492412693581	0.202398265758533
Fusobacteriota	Country	NO	-0.643309091487466	0.434620407855324	600	243	0.140036419713809	0.280072839427618
Verrucomicrobiota	Country	NO	0.651304426959736	0.561737846073394	600	232	0.247328288048018	0.439694734307588
Desulfobacterota	Group	post_ltx	0.530968803154577	0.534248310185209	600	318	0.321207785370924	0.513932456593479
Actinobacteriota	Group	post_ltx	-0.214717651920379	0.268615992486313	600	592	0.424810775435693	0.522844031305468
Cyanobacteria	Country	NO	-0.319701578590646	0.392250226915433	600	115	0.415787676668088	0.522844031305468
Desulfobacterota	Country	NO	-0.478789054847125	0.522999987264059	600	318	0.360788625888941	0.522844031305468
Bacteroidota	Country	NO	0.253756903950612	0.363233421196372	600	583	0.485422349418344	0.55476839933525
Verrucomicrobiota	Group	post_ltx	-0.233668972502568	0.573812368282053	600	232	0.68417705254238	0.729788856045205
Bacteroidota	Group	post_ltx	0.0495519820865903	0.371051435600436	600	583	0.893865788194825	0.893865788194825
