feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-49	2713	4611	5	0	16	17689	66	4	1516	0
run02-50	1446	2652	0	172	85	14637	0	0	808	0
run02-51	1562	5732	0	0	3	12864	0	0	167	0
run02-52	901	3819	0	12	7	8624	9	0	866	1573
run02-54	2475	6665	3	21	401	13584	7	0	2221	0
run02-55	1368	5685	0	117	327	13107	5	0	477	57
run02-56	1114	3868	3	0	0	8618	0	0	279	0
run02-57	773	2	0	0	0	5604	0	0	11632	0
run02-58	1950	6030	6	122	231	14133	18	2	1918	0
run02-59	3557	3800	6	0	0	12301	1506	48	1328	0
run02-60	2940	3013	0	0	0	16198	24	0	643	0
run02-61	1499	8193	0	133	436	14347	0	0	1854	30
run02-62	538	4747	0	0	63	12148	25	0	891	586
run02-63	766	5205	0	15	26	11755	0	0	161	0
run02-64	5984	2688	8	0	351	8740	2	15	1697	1484
run02-65	2449	3603	3	0	94	8118	7	0	352	5
run02-66	2237	4957	0	0	12	14290	0	0	2407	0
run02-67	1797	7676	0	0	163	16878	47	4	1307	0
run02-68	3267	4449	0	0	85	10838	0	0	1046	0
run02-69	465	4678	0	596	154	12480	2	0	568	3351
run02-70	1142	4295	0	0	119	11175	504	0	544	0
run02-71	408	1236	0	0	0	8735	100	0	5957	34
run02-72	2435	3266	2	0	41	10460	3	0	580	0
run02-73	115	5400	3	0	34	12454	2	0	1993	0
run02-74	689	500	2	0	0	7869	0	0	4689	0
run02-76	1163	4305	7	0	96	9906	21	2	957	0
run02-77	4486	4184	0	0	60	13616	0	0	2261	12
run02-78	876	1251	24	0	0	12882	591	39	4403	0
run02-79	1030	6518	0	0	8	8090	12	0	944	0
run02-80	2501	4066	0	0	0	11781	2	4	409	0
run02-81	727	247	0	0	0	6914	0	13	6138	0
run02-82	2866	5212	0	0	44	11731	0	5	494	72
run02-83	379	4751	0	2	14	9154	12	0	1747	0
run02-84	1225	7101	0	0	0	13209	0	0	594	0
run02-85	1673	5374	0	0	8	10400	0	0	935	0
run02-86	2389	3389	0	0	33	8227	0	0	559	0
run02-87	1106	4951	0	0	0	7971	1209	0	259	0
run02-88	2038	4333	0	0	0	10142	0	0	313	0
run02-89	1798	2745	0	0	22	8609	0	0	386	2
run02-90	1334	5434	0	0	25	11425	0	0	364	105
run02-91	1005	5131	0	0	0	3066	1235	0	7829	2400
run02-92	779	1820	2	71	36	8966	8	35	3149	9
run03-49	486	5642	0	0	0	18094	0	0	174	0
run03-50	938	3204	5	0	6	11469	668	15	1406	0
run03-51	884	679	0	0	0	14067	0	0	1900	0
run03-52	1016	5746	56	0	118	9005	109	2	1992	0
run03-53	3568	1615	0	0	0	20285	0	7	411	0
run03-54	2253	9668	264	0	143	15468	306	19	786	0
run03-57	1337	8121	0	0	0	16009	0	0	2465	35
run03-58	2318	4641	0	9	24	12819	0	0	749	296
run03-59	937	9411	0	0	22	19583	31	11	2015	13
run03-60	27	2171	0	0	10	19830	0	0	4900	0
run03-61	288	0	15	0	0	21598	81	0	2129	8849
run03-62	1883	2492	0	14	35	10100	0	4	293	0
run03-63	1001	3974	0	0	0	14029	0	0	636	0
run03-64	2618	3639	0	0	64	21812	12	0	2863	0
run03-66	920	5317	0	108	419	10392	2781	0	1692	111
run03-67	3750	11511	0	188	52	17833	0	0	511	46
run03-68	1131	5376	0	333	132	13548	0	0	1522	2698
run03-69	1090	11268	0	0	79	13836	0	0	1941	17
run03-70	2617	11392	0	0	0	14662	206	0	2325	0
run03-71	4118	8107	5	0	36	15197	9	0	1314	0
run03-72	5328	4302	0	0	61	13259	19	0	2545	0
run03-73	1683	6454	0	0	0	10779	3	0	2572	0
run03-74	1626	978	41	44	41	12010	955	382	1968	0
run03-75	5886	5850	0	0	0	16354	0	0	1087	0
run03-76	1143	5033	0	37	143	12744	302	6	685	0
run03-77	415	7299	0	0	0	8825	6	2	1645	0
run03-78	1356	8453	0	0	8	14511	3	24	713	0
run03-79	871	3	0	0	0	11654	0	3	7184	0
run03-80	584	7886	0	0	1196	13152	23	0	1556	0
run03-82	3330	10182	0	2	6	12265	2	0	1283	171
run03-83	4567	3926	12	0	0	7827	13	0	341	0
run03-84	2302	4501	169	0	150	15005	127	6	1072	8
run03-85	2963	1553	0	0	0	5855	0	0	314	0
run03-86	6726	47	0	0	0	6667	0	3	29	0
run03-87	621	3535	0	0	32	6276	0	0	1286	0
run03-88	0	5925	0	0	209	6757	0	0	438	2
run03-89	2473	6291	0	0	186	14042	0	0	1891	8
run03-90	827	5866	0	0	11	14429	4	0	470	0
run03-92	1214	3036	76	0	111	10131	124	0	629	20
run04-52	3057	2918	14	0	77	10874	17	0	170	0
run04-53	153	7165	8	0	81	19132	43	5	783	0
run04-54	3145	8436	0	0	1628	21202	0	0	1379	0
run04-67	89	900	0	0	0	28278	0	0	917	0
run04-68	1743	3277	5	0	0	19270	6	0	1197	0
run04-69	470	9066	0	0	0	30856	0	0	374	0
run04-70	4694	7714	0	0	0	19200	265	0	706	0
run04-71	2733	7442	2	56	95	22445	16	16	907	132
run04-72	6437	3121	0	113	0	19762	0	0	1250	0
run04-74	655	2164	0	0	201	6603	5152	3	4452	589
run04-75	461	6599	4	0	0	21715	1615	8	4038	0
run04-76	2593	3483	0	18	194	15530	16	8	292	0
run04-77	826	1157	0	0	10	8077	514	82	979	0
run04-78	1744	5513	10	0	0	22586	15	0	1491	67
run05-64	73	4686	0	283	0	25679	0	0	298	0
run05-73	423	5640	0	150	546	12970	4100	0	2233	101
run05-75	1686	3390	0	0	120	13097	2	2	1153	5
run06-192	498	6048	0	271	0	14762	2	0	163	95
run06-57	248	7360	0	0	0	13900	0	0	177	0
run06-58	309	3238	0	0	0	10577	10	0	1150	895
run06-59	599	3610	0	0	43	16138	2	0	299	171
run06-60	541	4276	0	0	0	19124	127	18	587	0
run06-61	3154	4513	0	0	54	14009	2	2	193	2
run06-63	638	1507	0	0	0	12847	0	0	2	0
run06-66	1176	3956	0	0	9	10815	0	0	628	0
run06-67	692	3464	0	0	0	13121	0	0	281	0
run06-69	111	0	0	0	0	26371	0	0	652	0
run06-70	4386	22	0	0	0	10453	0	0	3042	0
run06-71	311	4315	0	0	62	8814	41	0	1433	415
run06-72	4021	1546	0	0	52	10311	0	0	807	86
run06-73	339	0	0	0	0	18708	0	8	16	0
run06-74	774	2166	152	0	0	7692	0	0	3	0
run06-75	226	73	0	0	0	8617	0	0	4536	0
run06-78	1237	4344	0	0	0	6376	0	0	1005	0
run06-80	213	5296	0	0	104	6014	8	0	398	39
run06-82	1554	2889	0	0	0	8127	0	0	597	0
run06-83	2309	4071	0	0	0	7906	2	0	267	0
run06-85	113	1987	0	0	0	12950	2	0	15	37
run06-87	269	1128	0	0	0	8768	0	4	2289	0
run07-Cah7-51	2746	7990	0	65	132	19111	0	0	39	0
run07-Cah7-53	4476	11113	0	0	0	8888	0	0	1276	0
run04-51	697	3777	0	0	0	14026	0	0	1074	0
run03-91	1891	2006	0	12	0	12091	5	0	572	0
run02-75	923	0	0	0	0	10107	4	0	5949	0
run06-81	252	1091	0	0	2	12944	3	0	1069	249
4002.I.1.lib30	236	3576	0	607	212	21918	0	0	1070	0
4004.I.1.lib30	184	6623	0	0	0	13356	49	0	1985	0
4012.1.rerun.lib32	207	6351	0	141	357	16075	0	0	875	5952
4013.1.lib27	937	6275	0	19	60	17703	0	0	476	3360
4019.1.rerun.lib32	136	15823	7	0	182	17341	67	9	2147	0
4021.1.rerun.lib32	71	348	7	0	0	16224	0	6	578	0
4023.1.lib29	70	4273	0	0	0	10032	157	0	1583	0
4024.1.rerun.lib32	652	720	0	0	0	12728	0	0	19	19
4027.1.rerun.lib32	140	11080	0	0	0	16626	0	0	1694	0
4029.1.rerun.lib32	895	1146	0	0	0	1390	0	0	10962	0
4031.1.lib29	199	7546	6	0	0	20335	2	0	482	0
4032.1.lib29	280	9809	2	0	0	16906	0	0	259	0
4035.1.lib27	293	3199	0	0	94	10477	0	0	114	0
4036.1.lib29	42	5863	0	0	49	4714	0	0	407	8448
4038.1.lib29	41	8429	0	142	96	12860	5	0	3438	667
4039.1.lib29	65	4234	0	0	0	7425	2	0	9606	0
4042.1.lib27	165	4874	0	0	91	9378	0	0	502	71
4045.1.lib29	718	10481	0	0	32	15073	122	0	4927	505
4047.1.lib29	480	7187	0	0	119	10218	3	0	3104	81
4050.1.lib29	263	15576	0	0	426	11743	5	0	1626	6004
4051.1.rerun.lib32	794	12904	0	0	231	13121	0	0	614	0
4052.1.lib29	821	8709	0	42	707	13897	0	0	3339	5180
4055.1.lib29	576	6205	0	17	873	11827	0	0	3106	1871
4056.1.lib29	350	8385	0	0	153	20110	0	0	480	0
4058.1.rerun.lib32	316	685	25	0	0	37028	0	0	4663	0
4059.1.lib29	52	2180	76	0	0	5018	662	0	3819	46
4060.1.lib27	310	6800	0	0	6	16529	0	0	669	0
4069.1.lib29	221	8512	4	0	0	34960	0	0	5254	0
4070.1.lib27	86	11068	0	0	0	18087	0	0	6001	0
4072.1.lib27	1030	5149	0	0	99	17031	5	0	1473	20
4074.1.lib29	0	8	0	0	0	18063	0	0	5539	0
4075.1.rerun.lib32	407	6538	0	165	99	14343	0	0	378	212
4076.1.lib27	536	1428	3	0	156	7597	3	8	2271	9
4078.1.lib29	451	10923	0	0	0	18608	0	0	19367	0
4082.1.lib29	54	3863	0	0	14	14846	3862	0	554	237
4084.1.lib29	267	6478	0	0	465	21881	0	2	3742	16
4092.1.lib29	59	5448	0	0	0	13962	54	0	534	0
4094.1.lib29	393	10030	0	0	0	30451	0	0	10	0
4095.1.lib29	287	7631	0	0	0	19326	3	0	4635	3
4097.1.lib27	1366	3730	0	50	249	19529	0	0	3086	0
4099.1.lib27	1140	4645	0	90	503	20810	0	0	201	53
4105.1.lib27	533	1173	0	0	11	17848	0	0	285	8
4106.1.lib29	31	5092	0	0	46	10733	0	0	3214	0
