feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-49	0.101915852742299	0.173215627347859	0.000187828700225394	0	0.000601051840721262	0.6645003756574	0.00247933884297521	0.000150262960180316	0.0569496619083396	0
run02-50	0.073030303030303	0.133939393939394	0	0.00868686868686869	0.00429292929292929	0.739242424242424	0	0	0.0408080808080808	0
run02-51	0.0768398268398268	0.281975600157418	0	0	0.000147579693034238	0.632821723730815	0	0	0.00821526957890594	0
run02-52	0.056985642906837	0.241540699512997	0	0.000758965277338562	0.000442729745114161	0.545443045980646	0.000569223958003921	0	0.0547719941812662	0.0994876984377965
run02-54	0.0975292587776333	0.26263939787997	0.000118217283366828	0.000827520983567798	0.0158017102100327	0.535287859084998	0.000275840327855933	0	0.0875201954525752	0
run02-55	0.0647022655252329	0.268883318355957	0	0.00553374639360545	0.0154661117154614	0.61992148701698	0.000236484888615617	0	0.0225606583739299	0.00269592773021804
run02-56	0.0802478029102435	0.278634202564472	0.000216107189165826	0	0	0.620803918743697	0	0	0.0200979685924218	0
run02-57	0.0429182166453834	0.000111043251346399	0	0	0	0.311143190272611	0	0	0.645827549830659	0
run02-58	0.0798852929127407	0.247029905776321	0.000245800901269971	0.00499795165915608	0.0094633346988939	0.578984022941417	0.000737402703809914	8.19336337566571e-05	0.0785743547726342	0
run02-59	0.157766344362636	0.168544309411869	0.000266122593808214	0	0	0.545595671072474	0.0667967710458618	0.00212898075046571	0.0589018007628848	0
run02-60	0.128845648172495	0.132044876851608	0	0	0	0.709878166359891	0.00105180120957139	0	0.0281795074064335	0
run02-61	0.0565831194322814	0.309263173788313	0	0.00502038351200362	0.0164577985807036	0.541559716140722	0	0	0.0699833912124415	0.00113241733353465
run02-62	0.0283187703968839	0.249868407200758	0	0	0.00331613854089904	0.63943573007685	0.00131592799242025	0	0.0468996736498579	0.0308453521423308
run02-63	0.0427264614011602	0.290327978580991	0	0.000836680053547523	0.00145024542614904	0.655678268630076	0	0	0.00898036590807675	0
run02-64	0.285373646811961	0.12818923172302	0.000381515570604225	0	0.0167389956602604	0.416805760885116	9.53788926510563e-05	0.000715341694882922	0.0809289904144213	0.0707711383470838
run02-65	0.16738432096234	0.246257945458274	0.000205044084478163	0	0.00642471464698243	0.554849292597909	0.000478436197115713	0	0.0240585059121044	0.000341740140796938
run02-66	0.0935865790904907	0.207379826799983	0	0	0.000502029034012467	0.59783290800318	0	0	0.100698657072334	0
run02-67	0.0644733065442021	0.275401836969001	0	0	0.00584816303099885	0.605553960964409	0.00168628013777268	0.000143513203214696	0.0468929391504018	0
run02-68	0.165963931927864	0.226009652019304	0	0	0.00431800863601727	0.550571501143002	0	0	0.0531369062738125	0
run02-69	0.0208576298555665	0.209832241858796	0	0.0267336503095003	0.00690768816721988	0.559791872252624	8.97102359379205e-05	0	0.0254777070063694	0.150309500313986
run02-70	0.0642330839754767	0.241577141571517	0	0	0.00669328983632375	0.628550537150571	0.0283480510714888	0	0.0305978963946229	0
run02-71	0.0247723132969035	0.0750455373406193	0	0	0	0.530358227079539	0.00607164541590771	0	0.361687917425622	0.00206435944140862
run02-72	0.145052719366176	0.194555310657056	0.000119139810567701	0	0.00244236611663787	0.623101209269077	0.000178709715851552	0	0.0345505450646333	0
run02-73	0.00574971251437428	0.269986500674966	0.000149992500374981	0	0.00169991500424979	0.622668866556672	9.99950002499875e-05	0	0.0996450177491125	0
