feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-49	-3.29454961851739	-2.52935900038733	-12.3782948559119	-14.7334920443003	-10.7002229507993	-0.589658079796875	-8.6558288314408	-12.7002229507993	-4.13416891262816	-14.4205524036934
run02-50	-3.77536097290322	-2.90034774974175	-15.3254811428331	-6.84694805515224	-7.86382187371663	-0.435880541207151	-14.8022134158237	-15.0036496670859	-4.61500132710254	-14.4205524036934
run02-51	-3.70200192191138	-1.82635776579121	-15.3254811428331	-14.7334920443003	-12.7262181593322	-0.660128968874426	-14.8022134158237	-15.0036496670859	-6.9274763675793	-14.4205524036934
run02-52	-4.13325770060467	-2.04966179179569	-15.3254811428331	-10.363678495697	-11.1412860743606	-0.8744995336657	-10.7787159949759	-15.0036496670859	-4.19041778169148	-3.32933804100252
run02-54	-3.35802109746595	-1.92884474734394	-13.0462714065991	-10.2389164845415	-5.98377548086536	-0.901613163767242	-11.8238789852627	-15.0036496670859	-3.5142402297733	-14.4205524036934
run02-55	-3.95003996125407	-1.89494784236036	-15.3254811428331	-7.49752775655656	-6.01474565064188	-0.689842584974592	-12.0459643812526	-15.0036496670859	-5.47004702013445	-8.53500246197522
run02-56	-3.63939429627981	-1.84355573414301	-12.1759653128987	-14.7334920443003	-15.0529076283133	-0.687790430509464	-14.8022134158237	-15.0036496670859	-5.63680650179066	-14.4205524036934
run02-57	-4.54226605986656	-13.1365906637914	-15.3254811428331	-14.7334920443003	-15.0529076283133	-1.68434942336059	-14.8022134158237	-15.0036496670859	-0.63077910987181	-14.4205524036934
run02-58	-3.64592626603154	-2.01724238788107	-11.9902221739474	-7.64444733710563	-6.72343563325246	-0.788404557279439	-10.4052596732262	-13.5751846746685	-3.66979766965039	-14.4205524036934
run02-59	-2.66413862083988	-2.56880017668342	-11.8756213791806	-14.7334920443003	-15.0529076283133	-0.874095897275735	-3.9040778252298	-8.87562137918057	-4.0855444485548	-14.4205524036934
run02-60	-2.95628428462802	-2.92089976675728	-15.3254811428331	-14.7334920443003	-15.0529076283133	-0.494356653186653	-9.89292222363059	-15.0036496670859	-5.1492097970238	-14.4205524036934
run02-61	-4.14348447494535	-1.69309304340676	-15.3254811428331	-7.63798670739202	-5.92508481811628	-0.884807666693582	-14.8022134158237	-15.0036496670859	-3.83684361426768	-9.78637854728469
run02-62	-5.14209756491983	-2.00075959304703	-15.3254811428331	-14.7334920443003	-8.23628000397654	-0.645128734308999	-9.56970373770173	-15.0036496670859	-4.41427830595454	-5.01880307305421
run02-63	-4.54872635158544	-1.78424448532361	-15.3254811428331	-10.2230363379019	-9.4294872153693	-0.60894001497001	-14.8022134158237	-15.0036496670859	-6.79901005539578	-14.4205524036934
run02-64	-1.8090759814091	-2.96365301851797	-11.3559704412967	-14.7334920443003	-5.90064322099217	-1.26255287690877	-13.3559704412967	-10.4490798456882	-3.62719959175407	-3.82069506467593
run02-65	-2.57876369919305	-2.02175782133023	-12.2517782570359	-14.7334920443003	-7.28215190607939	-0.84983213305933	-11.0293858356994	-15.0036496670859	-5.37730913911973	-11.5148126628697
run02-66	-3.41755453675946	-2.26965253434825	-15.3254811428331	-14.7334920443003	-10.9599415770974	-0.742185781835401	-14.8022134158237	-15.0036496670859	-3.31188365134408	-14.4205524036934
run02-67	-3.95515421508892	-1.86038991240348	-15.3254811428331	-14.7334920443003	-7.41780075436779	-0.723672570563009	-9.21194005692123	-12.7665289085989	-4.41448548280343	-14.4205524036934
