feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Odoribacter	Group	post_ltx	-3.15220388632632	0.405718334326992	304	170	8.57830481497942e-13	7.58048369064016e-11
Haemophilus	Group	post_ltx	3.28442261826284	0.420163134801805	304	231	6.53597559003794e-13	7.58048369064016e-11
Sphingobium	Group	post_ltx	2.20138203802514	0.285536703208266	304	117	1.27047212692293e-12	7.58048369064016e-11
Veillonella	Group	post_ltx	3.31247935029732	0.436354430858897	304	241	2.28149422398072e-12	1.02096866523137e-10
X.Clostridium._methylpentosum_group	Group	post_ltx	-1.22200481316163	0.16265804197013	304	45	4.21410658099734e-12	1.50865015599705e-10
Intestinimonas	Group	post_ltx	-2.75871233426642	0.40129328304415	304	202	1.26233444829455e-10	3.76596443741206e-09
Family_XIII_UCG.001	Group	post_ltx	-1.24152081492805	0.214745782367398	304	75	3.74593998863762e-08	9.57890368523049e-07
Streptococcus	Group	post_ltx	1.97415724027159	0.356455629105698	304	298	1.20193260307185e-07	2.68932419937327e-06
CAG.56	Group	post_ltx	-2.76172592017898	0.522587173270025	304	126	4.05905061433999e-07	8.07300066629842e-06
Lachnoclostridium	Group	post_ltx	-1.60447425501459	0.305950260770853	304	296	4.89339023510501e-07	8.75916852083797e-06
Pseudomonas	Group	post_ltx	1.50288430803094	0.290223908434803	304	84	6.51002256122869e-07	1.05935821678176e-05
Oscillibacter	Group	post_ltx	-1.96223345360229	0.389893081113999	304	228	1.27919207566817e-06	1.90812817953835e-05
f__Ruminococcaceae.g__uncultured	Group	post_ltx	-1.69048059564437	0.342749536874445	304	172	1.99991316968715e-06	2.75372659518461e-05
Clostridia_UCG.014	Group	post_ltx	-2.41392471836091	0.508159604188472	304	108	4.47057154127381e-06	5.71594504205723e-05
Colidextribacter	Group	post_ltx	-2.42101458330104	0.515088601530142	304	219	5.52445154225738e-06	6.59251217376047e-05
Family_XIII_AD3011_group	Group	post_ltx	-1.74623648675121	0.376609215590896	304	147	7.26292904460193e-06	8.12540186864841e-05
