feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	f__Prevotellaceae.g__uncultured	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Solobacterium	Turicibacter	X.Clostridium._innocuum_group	Granulicatella	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Anaerofustis	Defluviitaleaceae_UCG.011	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Oribacterium	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Megamonas	Mitsuokella	Allisonella	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Actinobacillus	Haemophilus	Victivallis	Akkermansia	Corynebacterium	Campylobacter	Faecalicoccus	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Staphylococcus	DTU089	X.Eubacterium._nodatum_group	Anaerococcus	Finegoldia	Peptoniphilus	Veillonellaceae	f__Xanthobacteraceae.g__unassigned	Sphingobium	Neisseria	Klebsiella	f__Enterobacteriaceae.g__unassigned	Aggregatibacter	Pseudomonas
Cah8-297-CE	0.000174802254949089	0.057946947515623	0	0	0	0.000917711838482716	0.0402482192020277	0.000305903946160905	0.000305903946160905	0	0.000874011274745444	0	0.00327754228029542	0.000655508456059083	0.00139841803959271	0.0795787265655727	0.0135034741948171	0	0.000830310711008172	0.00734169470786173	0.00288423720665997	0	0	0.00297163833413451	0	0	0.12319188917537	0	0	0.0116680505178517	0.00568107328584539	0	0.0133723725036053	0.00100511296595726	0	0.0039330507363545	0	0	0.00554997159463357	0	0	0	8.74011274745444e-05	0.000305903946160905	0	0.00100511296595726	0	0	0	0.0026657343879736	8.74011274745444e-05	0.00397675130009177	0	0	0.00349604509898178	0.00611807892321811	0.0153388978717825	0.00104881352969453	0.00493816370231176	0	0.000131101691211817	0.0330813267491151	0.00633658174190447	0.0878818336756544	0.00131101691211817	0.0322947166018442	0.00952672289472534	0	0	0.0210199711576279	0.000874011274745444	0.00131101691211817	0	0.00275313551544815	0.000655508456059083	0.00109251409343181	0.0103133330419962	0.00834680767381899	0.00104881352969453	0.000349604509898178	0.000699209019796355	0	0.00126731634838089	0	0	0	0.00965782458593716	0.000131101691211817	0.00839050823755626	0	0.000305903946160905	0	0.00305903946160905	0	0.0135471747585544	0.019271948608137	0.00257833326049906	0.0007866101472709	0.000437005637372722	0.00109251409343181	0.000305903946160905	0.000349604509898178	0.000611807892321811	0.00161692085827907	0.000131101691211817	0	0.0281868636105406	0.00253463269676179	0.00843420880129354	0.00109251409343181	0.00244723156928724	0	8.74011274745444e-05	0	8.74011274745444e-05	0.137875278591094	0.000524406764847267	0.00249093213302452	0.00039330507363545	0	0.0420836428789931	0.0208451689026788	0	0.000218502818686361	0	0.00410785299130359	0.000655508456059083	0	0.00913341782108989	0.000305903946160905	0	0.00196652536817725	0.000218502818686361	0.00174802254949089	0	8.74011274745444e-05	0.000961412402219989	0	0.0111873443167417	0.000699209019796355	0	0.00537516933968448	0	0.00284053664292269	0	0	0.000655508456059083	0	0	0	0.000262203382423633	0	0.00638028230564174	0	0	0.000262203382423633	0.000874011274745444	0.00498186426604903	0	0	0.000611807892321811	0	0	0	0	0	0	0.000131101691211817	0	0	0	0	0	0	0	0	0	0	0
Cah8-297-RE	0.000121708791431701	0.0575682583471946	0.000202847985719502	0	0	0.00206904945433892	0.0483183901983853	0.000162278388575601	0.000486835165726804	0	0.00125765751146091	0	0.00409752931153394	0.00109537912288531	0.00150107509432431	0.0752160331047913	0.0132256886689115	0	0.000405695971439004	0.00742423627733377	0.00251531502292182	0	0	0.00259645421720962	0	0	0.111322974562863	0	0	0.0121303095460262	0.00559860440585825	0	0.0103858168688385	0.000892531137165808	0	0.000811391942878007	0	0	0.00511176924013145	0	0	0	8.11391942878007e-05	0.000608543957158505	0	0.000933100734309708	0	0	0	0.00409752931153394	0	0.00559860440585825	0	0	0.00466550367154854	0.00782993224877277	0.0181751795204674	0.00109537912288531	0.00499006044869974	8.11391942878007e-05	8.11391942878007e-05	0.0329019432837032	0.00945271613452878	0.0823968517992616	0.00198791026005112	0.0338756136151568	0.00945271613452878	0	0	0.0213801776948355	0.000649113554302406	0.000730252748590206	0	0.00267759341149742	0.000283987180007303	0.00194734066290722	0.00847904580307518	0.00770822345734107	0.000892531137165808	0.000283987180007303	0.00125765751146091	0	0.00137936630289261	0	0	0	0.00989898170311169	0	0.00640999634873626	0.000243417582863402	0.00101423992859751	0	0.00308328938293643	0	0.0123331575317457	0.0192705586433527	0.00283987180007303	0.00117651831717311	0.000202847985719502	0.000892531137165808	0	8.11391942878007e-05	0.00113594872002921	0.00113594872002921	8.11391942878007e-05	0	0.0302649194693497	0.00190677106576332	0.00965556412024829	0.00133879670574871	0.00300215018864863	0	0.000121708791431701	0	0	0.133676822589152	0.000243417582863402	0.00288044139721693	0.000446265568582904	0	0.0387439652724248	0.0182563187147552	0	0.000243417582863402	0	0.00490892125441194	0.00117651831717311	0	0.011805752768875	0.000567974360014605	0	0.00137936630289261	0.000202847985719502	0.00332670696579983	0	0	0.00117651831717311	0	0.0148484725546675	0.00146050549718041	0	0.00620714836301676	0	0.00490892125441194	8.11391942878007e-05	0	0.000730252748590206	8.11391942878007e-05	0	0	0.000202847985719502	0.000162278388575601	0.00600430037729725	0	0	0.000608543957158505	0.000892531137165808	0.00746480587447767	0	0	0.000730252748590206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-298-RE	0.000512151969457119	0.0416239873358786	0.000512151969457119	0	0	0	0	0	0	0	0	0.0127106806965267	0	0	0	0.130272837321911	0	0	0	0	0.00377130086600242	0	0	0	0	0	0	0	0	0	0.0318465406462427	0	0	0	0	0	0	0.00065182977930906	0	0	0	0	0	0.0040506564857063	0	0.00032591488965453	0.000139677809851942	0	0.00321258962659466	0.0098705652295372	0.000232796349753236	0	0	0	0.00111742247881553	0	0.0049352826147686	0	0	0.00186237079802589	0	0.00675109414284384	0.0121985287270696	0.161234751839091	0	0	0.0312412701368843	0.00130365955861812	0.00502840115466989	0.00838066859111649	0.00344538597634789	0	0.00284011546698948	0.00698389049259708	0	0	0	0.00172269298817395	0.00763572027190614	0.0120588509172176	0	0	0.0360368749418009	0.0101964801191917	0.000744948319210355	0	0.00242108203743365	0.000232796349753236	0.00754260173200484	0	0.0040506564857063	0	0	0.00474904553496601	0.0841791600707701	0.0124778843467734	0.000232796349753236	0.00116398174876618	9.31185399012944e-05	0.00386441940590372	0.00703044976254772	0.0100568023093398	0.00111742247881553	0.00856690567091908	0.000139677809851942	0.000232796349753236	0.0122916472669709	0.000698389049259708	0.0193220970295186	0.00419033429555825	0.00670453487289319	0.000186237079802589	0	0	0.000419033429555825	0.150898593910047	0.00428345283545954	0.0108483098985008	0.0176925225812459	0.00279355619703883	0.02230189030636	0.00433001210541019	0.00675109414284384	0	0	0.00102430393891424	0	0.000139677809851942	0.00717012757239967	0.0041437750256076	0	0	0	0	0	0	0	0	0.00372474159605177	0	0	0.00530775677437378	0	0	0	0	0	0.000139677809851942	0	0	0.00707700903249837	0.00251420057733495	0	0	0	0	0	0	0	0	0	0	0	0.00116398174876618	0	0.000279355619703883	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-299-CE	0.000557793616361946	0.000402850945150294	0	0.000247908273938643	0	0	0.0489618841028819	0	0.00158041524635885	0.0123954136969321	0	0.000154942671211652	0	0	0	0.234025410598079	0	0.024295010845987	0.000123954136969321	0.00220018593120545	0.00269600247908274	0	0	0.0111558723272389	0	0.00167338084908584	0	0	0	0.0174155562441896	0.00830492717694453	0	0	0.00483421134180353	0	0	0	0	0.00105361016423923	0.000216919739696312	0.0010226216299969	0	0.00114657576696622	0	0	0	0.000557793616361946	0	0	0.00502014254725751	0	0.000185931205453982	0	0	0.000526805082119616	0	0	0	0	0.000216919739696312	0	0	0.013975828943291	0.0766346451812829	0.00130151843817787	0.00591881004028509	0.0114657576696622	0	0	0.00405949798574527	0	0.0020452432599938	0.000433839479392625	0.0294081189959715	6.19770684846607e-05	9.2965602726991e-05	0.000123954136969321	9.2965602726991e-05	0.00108459869848156	0.0146885652308646	9.2965602726991e-05	0.000123954136969321	0.000340873876665634	0.00300588782150604	0	0	0	0.000371862410907964	0.013789897737837	0	0	0	0.00486519987604586	0.0882553455221568	0.16117136659436	0.0637124264022312	0	0.00136349550666253	0	0.00864580105361016	0.0231484350790208	0.00154942671211652	0	0.00638363805392005	0	0	0.00613572977998141	0.000805701890300589	0.00254105980787109	0	0.00359466997211032	0	0.00096064456151224	0	0.000526805082119616	0.0171986365044933	0	0.000309885342423303	0	0	0	0.00167338084908584	0.00303687635574837	0	0.00185931205453982	0.00151843817787419	0	0	0.00331577316392935	0	0	0	0	6.19770684846607e-05	0	6.19770684846607e-05	0	0.000433839479392625	0.000402850945150294	0	0	0.0123334366284475	0	0	0	0	0	0.000123954136969321	6.19770684846607e-05	0.000278896808180973	0.00502014254725751	0.0176634645181283	0	0	0	0	0	0.00089866749302758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-300-CE	0.000526454330086865	0.00908133719399842	0	0	0	0	0.074921031850487	0	0.000131613582521716	6.58067912608581e-05	0.00230323769413003	0.000131613582521716	0.01227296657015	0.00157936299026059	0.00276388523295604	0.166820215846275	0.00628454856541195	0.000954198473282443	0.000230323769413003	0.00128323242958673	0.00236904448539089	0.00381679389312977	0.0277375625164517	0.00217162411160832	0	0	0.0166820215846275	0	0.00187549355093446	0.00595551460910766	0.0432350618583838	0	0.00243485127665175	0.00444195841010792	0.000921295077652014	0.000460647538826007	0.00927875756778099	0	0.000230323769413003	0	0	0.00490260594893393	0	0	0	0	0	0	9.87101868912872e-05	0.00500131613582522	9.87101868912872e-05	0	0.000131613582521716	0	0.00141484601210845	0	0.000460647538826007	0	0	0	9.87101868912872e-05	0.00523163990523822	0.00292840221110819	0.102132140036852	0.0188536456962359	0.022012371676757	0.0643261384574888	0.000164516978152145	0	0.00845617267702027	0	0.00246775467228218	0	0.011812319031324	0.000559357725717294	0.00217162411160832	0.00348775993682548	0.000756778099499868	0.00111871545143459	0.00707423006054225	0.000855488286391156	0	0.0218149513029745	0	0	0	0.000230323769413003	0	0.00714003685180311	0.000427744143195578	0.000263227165043432	0	0	0	0.0549486707028165	0.038727296657015	0	0.0020400105290866	0	0.00365227691497763	0.000329033956304291	0.000230323769413003	0.00141484601210845	0.00177678336404317	0.000954198473282443	0	0.0174717030797578	0	0.000394840747565149	0.000921295077652014	0.00144774940773888	6.58067912608581e-05	0.000230323769413003	0	0.000131613582521716	0.0710055277704659	0	0.0022703342984996	0.000526454330086865	6.58067912608581e-05	0.0219794682811266	0.0348117925769939	0.000296130560673862	0	0.000296130560673862	0.000855488286391156	0	0	0.00184259015530403	0	0	0.00069097130823901	0.000329033956304291	6.58067912608581e-05	0.000559357725717294	0.000131613582521716	0	0	9.87101868912872e-05	0	0.0012503290339563	0.00743616741247697	0	0	6.58067912608581e-05	0	0	0.000559357725717294	0.000263227165043432	0	0.000427744143195578	0.000329033956304291	0.0302053171887339	0	0	0.000888391682021585	0.00036193735193472	0	0	0	0	0	0	0	0	0	0.000197420373782574	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-301-RE	0	0.00213850213850214	0	0	0	0	0.0215215215215215	0	0.00691600691600692	0.00109200109200109	0	0.000182000182000182	0	0	0	0.304031304031304	0.0235690235690236	0.00218400218400218	0	0.00263900263900264	0.00869050869050869	0	0	0	0	0	0	0.0045955045955046	0	0.00491400491400491	0.0101465101465101	0.000318500318500319	0.00313950313950314	0.00191100191100191	0	0.000273000273000273	0	0	0.00282100282100282	0	0	0	0.00141050141050141	0.000728000728000728	0	0	0	0	0	0.00341250341250341	0	0.000546000546000546	0	0	0.00427700427700428	0.00641550641550642	0.00432250432250432	0.000227500227500228	0.00091000091000091	0	0	0.00218400218400218	0.000728000728000728	0.030985530985531	0.0123305123305123	0.0337155337155337	0.0133770133770134	0	0	0.00268450268450268	0.000455000455000455	0	0	0.0498680498680499	0	0.000318500318500319	0.00282100282100282	0.00218400218400218	0.00304850304850305	0.0174265174265174	0.000546000546000546	0	0.0113295113295113	0	0	0	0.00040950040950041	0	0.00277550277550278	0	0	0	0.00040950040950041	0.0147875147875148	0.0168805168805169	0.0575120575120575	0	0.00127400127400127	0	0.00359450359450359	0.00109200109200109	0.00104650104650105	9.1000091000091e-05	0.00482300482300482	0.00154700154700155	0.000136500136500137	0.00791700791700792	0.00177450177450177	0.0105105105105105	0.000182000182000182	0.00505050505050505	0	0	0.0155155155155155	0	0.139002639002639	0	0.00145600145600146	0.00491400491400491	0	0.00159250159250159	0.0292110292110292	0.000364000364000364	0.000364000364000364	9.1000091000091e-05	0.00131950131950132	0.00118300118300118	0.000273000273000273	0.00177450177450177	0	0	0.00113750113750114	0	0	0.000273000273000273	0	0	0	0	0	0	0.0127400127400127	0	0	0	0	0	0	0	0	0.00627900627900628	0.00182000182000182	0.0411320411320411	0	0.000136500136500137	9.1000091000091e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.1000091000091e-05	9.1000091000091e-05	0	0	0	0	0	0	0	0	0
Cah8-302-CE	0.000106944246399544	0	0	0	0	0	0.00299443889918722	0	0	0.00221018109225724	0.000178240410665906	0.00196064451732497	0.00103379438186226	0.000427776985598175	0	0.260480536147155	0.0167545986025952	0.00941109368315985	0	0.00634535861970626	0.0104805361471553	0	0	0.00923285327249394	0	0	0	0	0	0.0116569228575503	0.0239198631113646	0	0	0.00106944246399544	0	0.000178240410665906	0	0.00559674889490945	0.00206758876372451	0.0201055183231142	0.000106944246399544	0	0.00103379438186226	0	0	0	0.000213888492799087	0	0	0.00139027520319407	0.000142592328532725	0	7.12961642663625e-05	0	0.000178240410665906	0.000142592328532725	0.00352916013118494	0	0	0	0	0	0.000356480821331812	0.0100527591615571	0	0.00160416369599316	0.0051333238271781	0.00185370027092542	0.0680165407101098	0	0.000499073149864537	0	0	0.0341508626835876	0	0.000142592328532725	0.00263795807785541	0	0.00106944246399544	0.00395693711678312	0.000641665478397262	0	0.000784257806929987	0.000962498217595893	0.0195707970911165	0	0	0.00028518465706545	0.00085555397119635	0	0	0	0	0	0.0885498360188222	0.0699415371453016	0	0.00131897903892771	0.000106944246399544	0.00673748752317125	0.0238842150292314	0.00295879081705404	0.000106944246399544	0.0091259090260944	0.00156851561385997	0	0.00249536574932269	0.0041708256095822	0.00206758876372451	0.000534721231997718	0.00834165121916441	0	0.000891202053329531	0.000320832739198631	0.000142592328532725	0.0215314416084415	0	0.00249536574932269	0.000427776985598175	0	0.00028518465706545	0.00374304862398403	0.0128333095679452	0	0.000178240410665906	0.00110509054612862	0	0.000499073149864537	0.000178240410665906	0	0.000641665478397262	0.000178240410665906	0	0	0	0	7.12961642663625e-05	0	0	0	0	0.0373591900755739	0	0	0	0	0	0.000142592328532725	0	0	0.0127263653215457	0.00163981177812634	0.0109796092970198	0.124126621987737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-RE	0.00039316762046219	0.000480538202787122	0.000131055873487397	0	0	0	0.00650910838320737	0	0	0.00349482329299725	0	0.00270848805207287	0.00327639683718492	0.00131055873487397	0	0.243370757066096	0.022235813201695	0.00751387007994408	0	0.00655279367436984	0.0162509283124372	0	0	0.00838757590319339	0	0	0	0	0	0.0106155257524791	0.0195273251496221	0	0	0.00235900572277314	0	0.00109213227906164	0	0.00336376741950985	0.00104844698789917	0.0162072430212747	8.73705823249312e-05	0	0.00109213227906164	0	0	0	0	0	0.000480538202787122	0.00318902625485999	0.000218426455812328	0	0	0	0.00131055873487397	0.00039316762046219	0.00537329081298327	0	8.73705823249312e-05	0	0	0	0.00039316762046219	0.0137608667161767	0	0.0053296055218208	0.0105281551701542	0.0027958586343978	0.0509807347865973	0.000436852911624656	0.0015289851906863	0	8.73705823249312e-05	0.0283954392556026	0	0	0.00275217334323533	0	0.00214057926696081	0.00397536149578437	0.000174741164649862	0	0.00170372635533616	0.00113581757022411	0.0166440959328994	0	0	0	0.00235900572277314	0	0	0	0	0	0.0795946004980123	0.0602420165130401	0	0.00227163514044821	0.000436852911624656	0.00760124066226901	0.0177799135031235	0.00196583810231095	0.000567908785112053	0.0079944082827312	0.000786335240924381	0.000218426455812328	0.00262111746974794	0.00449958498973396	0.00428115853392163	0.000349482329299725	0.00856231706784326	0.000567908785112053	0.000524223493949587	0.000480538202787122	0.000218426455812328	0.0668821807697348	0	0.00244637630509807	0.000262111746974794	0	0.000218426455812328	0.00345113800183478	0.00982919051155476	0	0.000131055873487397	0.00192215281114849	0	0.000305797038137259	0.000480538202787122	0	0.000742649949761915	0	0	0	0	0.000174741164649862	0.000655279367436984	0	0	0	0	0.0327639683718492	0	0	0	0	0	0	0	0	0.0134550696780394	0.00174741164649862	0.0208815691756586	0.10790266917129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-CE	0	0.00907896770205532	0	0	0	0	0.0629346314325452	0	0.00282027507340442	0	0	0.000849945912532839	0	0	0	0.182699737289445	0.00795858445371658	0	0	0.00112038324833874	0.00200896306598671	0	0	0	0	0	0	0	0	0.0125560191624169	0.00378612270128265	0	0	0.000540874671611807	0	0	0.00737907587698965	0	0.00227940040179261	0	0	0.0157626332869726	0	0	0	0.000115901715345387	0	0	0	0.00367022098593726	0	0.00189306135064132	0	7.72678102302581e-05	0.0086539947457889	0.00231803430690774	0.00185442744552619	0.00135218667902952	0.00131355277391439	0	0.00081131200741771	0.050301344459898	0.00177715963529594	0.0633596043888116	0.00459743470870036	0.0365476742389121	0.0132900633596044	0	0	0.0356977283263792	0.000927213722763097	0	0	0.0213645495286664	0.00564055014680884	0.000927213722763097	0.00139082058414465	0.00254983773759852	0.000927213722763097	0.000695410292072323	0.000927213722763097	0	0.00305207850409519	0	0	0	0.00645186215422655	0	0.00645186215422655	0	0.00285890897851955	0	0.000656776386957194	0	0.00413382784731881	0.0101220831401638	0.00363158708082213	0.00204759697110184	0.000231803430690774	0.00135218667902952	0.00038633905115129	0.00208623087621697	0.000540874671611807	0.00154535620460516	0	0	0.0081131200741771	0.00081131200741771	0.00633596043888116	0.000231803430690774	0.00339978365013136	0	0	0.056598670993664	0	0.22469479214959	0	0.00227940040179261	0	0	0.00772678102302581	0.0277391438726626	0.001197651058569	0	0.000115901715345387	0.00038633905115129	0.00158399010972029	0	0.00336114974501623	0	0	0.000618142481842065	0.000579508576726936	0	0	0	0.000927213722763097	0	0.00656776386957194	0	0	0.00610415700819039	0	0	0	0	0	0	0	0	0	0.014062741461907	0.00123628496368413	0	0	0.000154535620460516	0.000734044197187452	0.00413382784731881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-RE	0	0.00900961929277876	0	0	0	0	0.0691301991600054	0	0.00457255114483132	0	0	0.000812897981303346	0	0	0	0.176229508196721	0.00877252404823195	0.000237095244546809	0	0.00145644221650183	0.00220159869936323	0	0	0	0	0	0	0	0	0.0140902316759247	0.00403061915729576	0	0	0.000541931987535564	0	0	0.00989025877252405	0	0.00193063270559545	0	0	0.0202547080341417	0	0	0	0.000406448990651673	0.000135482996883891	0	0	0.00528383687847175	0	0.00331933342365533	0	6.77414984419455e-05	0.00951768053109335	0.0038612654111909	0.00237095244546809	0.0011177347242921	0.000880639479745292	0	0.000508061238314592	0.0408819943097141	0.00243869394391004	0.0675044031973987	0.00470803414171521	0.0326514022490177	0.0117870207288985	0	0	0.0325497900013548	0.000846768730524319	0	0	0.0176805310933478	0.00531770762769272	0.00118547622273405	0.00199837420403739	0.00254030619157296	0.000846768730524319	0.000677414984419455	0.000880639479745292	0	0.00626608860587996	0	0	0	0.00579189811678634	0.000101612247662918	0.00755317707627693	0	0.0026080476900149	0	0.000880639479745292	0	0.0046064218940523	0.00911123154044167	0.00277740143611977	0.00172740821026961	0.0003725782414307	0.00142257146728086	0.000677414984419455	0.00213385720092128	0.000406448990651673	0.00189676195637447	0	0	0.00887413629589487	0.000711285733640428	0.00396287765885381	0.000474190489093619	0.00277740143611977	0	0	0.0541931987535564	0.000135482996883891	0.219584067199566	0.000101612247662918	0.00193063270559545	0	0.000101612247662918	0.00745156482861401	0.0306530280449804	0.00128708847039697	0	0	0.000203224495325837	0.00128708847039697	0	0.00321772117599241	0	0	0.00121934697195502	0.000575802736756537	0	0	0	0.00152418371494377	0	0.00785801381926568	0	0	0.00562254437068148	0	0	0	0	0	0	0	0	0	0.0147337759111232	0.00189676195637447	0	0	6.77414984419455e-05	0.000745156482861401	0.0053515783769137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
