feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Libanicoccus	Olsenella	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	f__Prevotellaceae.g__uncultured	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Solobacterium	Turicibacter	X.Clostridium._innocuum_group	Granulicatella	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Anaerofustis	Defluviitaleaceae_UCG.011	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Oribacterium	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Megamonas	Mitsuokella	Allisonella	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Actinobacillus	Haemophilus	Victivallis	Akkermansia	Alloscardovia	Corynebacterium	Dysgonomonas	Porphyromonas	Campylobacter	f__Erysipelotrichaceae.g__unassigned	Abiotrophia	Enterococcus	Lacticaseibacillus	Lactobacillus	Leuconostoc	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Staphylococcus	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.003	Lactonifactor	Robinsoniella	DTU089	X.Eubacterium._nodatum_group	Anaerococcus	Peptoniphilus	Clostridioides	Anaeroglobus	Veillonellaceae	Sphingobium	Citrobacter	Klebsiella	f__Enterobacteriaceae.g__unassigned	o__Enterobacterales.f__unassigned.g__unassigned	Azotobacter	Pseudomonas
Cah8-297-CE	0.000174558149683613	0.0578660266201178	0	0	0	0.00091643028583897	0.040192013964652	0.000305476761946323	0.000305476761946323	0	0.000872790748418067	0	0.00327296530656775	0.00065459306131355	0.00139646519746891	0.079467597643465	0.0134846170630591	0	0.000829151210997163	0.00733144228671176	0.00288020946977962	0	0	0.00296748854462143	0	0	0.123019855989527	0	0	0.0116517564913812	0.00567313986471743	0	0.0133536984507964	0.00100370936068078	0	0.0039275583678813	0	0	0.00554222125245472	0	0	0	8.72790748418067e-05	0.000305476761946323	0	0.00100370936068078	0	0	0	0.0026620117826751	8.72790748418067e-05	0.0039711979053022	0	0	0.00349116299367227	0.00610953523892647	0.0153174776347371	0.00104734889810168	0.00493126772856208	0	0.00013091861226271	0.0330351298276238	0.00632773292603098	0.0877591097534366	0.0013091861226271	0.0322496181540476	0.00951341915775693	0	0	0.0209906174994545	0.000872790748418067	0.0013091861226271	0	0.00274929085751691	0.00065459306131355	0.00109098843552258	0.0102989308313332	0.00833515164739254	0.00104734889810168	0.000349116299367227	0.000698232598734453	0	0.0012655465852062	0	0	0	0.00964433777001964	0.00013091861226271	0.00837879118481344	0	0.000305476761946323	0	0.00305476761946323	0	0.01352825660048	0.0192450360026184	0.0025747327078333	0.00078551167357626	0.000436395374209033	0.00109098843552258	0.000305476761946323	0.000349116299367227	0.000610953523892647	0.00161466288457342	0.00013091861226271	0	0.0281475016364827	0.00253109317041239	0.00842243072223435	0.00109098843552258	0.00244381409557059	0	8.72790748418067e-05	0	8.72790748418067e-05	0.13768274056295	0.00052367444905084	0.00248745363299149	0.00039275583678813	0	0.0420248745363299	0.0208160593497709	0	0.000218197687104517	0	0.00410211651756491	0.00065459306131355	0	0.0091206633209688	0.000305476761946323	0	0.00196377918394065	0.000218197687104517	0.00174558149683613	0	8.72790748418067e-05	0.000960069823259873	0	0.0111717215797513	0.000698232598734453	0	0.00536766310277111	0	0.00283656993235872	0	0	0.00065459306131355	0	0	0	0.00026183722452542	0	0.00637137246345189	0	0	0.00026183722452542	0.000872790748418067	0.00497490726598298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00200741872136155	0	0	0	0	0.00013091861226271	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-297-RE	0.000121521448535667	0.0574796451573703	0.000202535747559444	0	0	0.00206586462510633	0.0482440150686596	0.000162028598047555	0.000486085794142666	0	0.00125572163486855	0	0.00409122210070077	0.001093693036821	0.00149876453193989	0.0751002551950419	0.0132053307408758	0	0.000405071495118888	0.00741280836067566	0.00251144326973711	0	0	0.00259245756876089	0	0	0.111151618260623	0	0	0.0121116377040548	0.00558998663264066	0	0.0103698302750435	0.000891157289261555	0	0.000810142990237777	0	0	0.00510390083849799	0	0	0	8.10142990237777e-05	0.000607607242678333	0	0.000931664438773443	0	0	0	0.00409122210070077	0	0.00558998663264066	0	0	0.00465832219386722	0.00781787985579455	0.0181472029813262	0.001093693036821	0.00498237938996233	8.10142990237777e-05	8.10142990237777e-05	0.0328512982541419	0.0094381658362701	0.0822700206586462	0.00198485032608255	0.0338234698424272	0.0094381658362701	0	0	0.0213472677927654	0.000648114392190222	0.000729128691213999	0	0.00267347186778466	0.000283550046583222	0.00194434317657066	0.00846599424798477	0.00769635840725888	0.000891157289261555	0.000283550046583222	0.00125572163486855	0	0.00137724308340422	0	0	0	0.00988374448090088	0	0.00640012962287844	0.000243042897071333	0.00101267873779722	0	0.00307854336290355	0	0.0123141734516142	0.0192408960181472	0.00283550046583222	0.00117470733584478	0.000202535747559444	0.000891157289261555	0	8.10142990237777e-05	0.00113420018633289	0.00113420018633289	8.10142990237777e-05	0	0.0302183335358691	0.00190383602705878	0.00964070158382955	0.00133673593389233	0.00299752906387977	0	0.000121521448535667	0	0	0.133471057641674	0.000243042897071333	0.00287600761534411	0.000445578644630777	0	0.0386843277838538	0.01822821728035	0	0.000243042897071333	0	0.00490136509093855	0.00117470733584478	0	0.0117875805079597	0.000567100093166444	0	0.00137724308340422	0.000202535747559444	0.00332158625997489	0	0	0.00117470733584478	0	0.0148256167213513	0.001458257382428	0	0.00619759387531899	0	0.00490136509093855	8.10142990237777e-05	0	0.000729128691213999	8.10142990237777e-05	0	0	0.000202535747559444	0.000162028598047555	0.00599505812775955	0	0	0.000607607242678333	0.000891157289261555	0.00745331551018755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00226840037266578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-298-RE	0.000512151969457119	0.0416239873358786	0.000512151969457119	0	0	0	0	0	0	0	0	0.0127106806965267	0	0	0	0.130272837321911	0	0	0	0	0.00377130086600242	0	0	0	0	0	0	0	0	0	0.0318465406462427	0	0	0	0	0	0	0.00065182977930906	0	0	0	0	0	0.0040506564857063	0	0.00032591488965453	0.000139677809851942	0	0.00321258962659466	0.0098705652295372	0.000232796349753236	0	0	0	0.00111742247881553	0	0.0049352826147686	0	0	0.00186237079802589	0	0.00675109414284384	0.0121985287270696	0.161234751839091	0	0	0.0312412701368843	0.00130365955861812	0.00502840115466989	0.00838066859111649	0.00344538597634789	0	0.00284011546698948	0.00698389049259708	0	0	0	0.00172269298817395	0.00763572027190614	0.0120588509172176	0	0	0.0360368749418009	0.0101964801191917	0.000744948319210355	0	0.00242108203743365	0.000232796349753236	0.00754260173200484	0	0.0040506564857063	0	0	0.00474904553496601	0.0841791600707701	0.0124778843467734	0.000232796349753236	0.00116398174876618	9.31185399012944e-05	0.00386441940590372	0.00703044976254772	0.0100568023093398	0.00111742247881553	0.00856690567091908	0.000139677809851942	0.000232796349753236	0.0122916472669709	0.000698389049259708	0.0193220970295186	0.00419033429555825	0.00670453487289319	0.000186237079802589	0	0	0.000419033429555825	0.150898593910047	0.00428345283545954	0.0108483098985008	0.0176925225812459	0.00279355619703883	0.02230189030636	0.00433001210541019	0.00675109414284384	0	0	0.00102430393891424	0	0.000139677809851942	0.00717012757239967	0.0041437750256076	0	0	0	0	0	0	0	0	0.00372474159605177	0	0	0.00530775677437378	0	0	0	0	0	0.000139677809851942	0	0	0.00707700903249837	0.00251420057733495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116398174876618	0	0	0	0	0.000279355619703883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-299-CE	0.000557759048091225	0.000402825979176996	0	0.000247892910262766	0	0	0.0489588497768964	0	0.00158031730292514	0.0123946455131383	0	0.000154933068914229	0	0	0	0.234010907288052	0	0.0242935052057511	0.000123946455131383	0.00220004957858205	0.00269583539910759	0	0	0.0111551809618245	0	0.00167327714427367	0	0	0	0.0174144769459593	0.00830441249380268	0	0	0.00483391175012395	0	0	0	0	0.00105354486861676	0.000216906296479921	0.00102255825483391	0	0.00114650470996529	0	0	0	0.000557759048091225	0	0	0.00501983143282102	0	0.000185919682697075	0	0	0.000526772434308379	0	0	0	0	0.000216906296479921	0	0	0.0139749628160635	0.0766298958849777	0.00130143777887952	0.00591844323252355	0.0114650470996529	0	0	0.0040592464055528	0	0.00204511650966782	0.000433812592959841	0.0294062964799207	6.19732275656916e-05	9.29598413485374e-05	0.000123946455131383	9.29598413485374e-05	0.0010845314823996	0.0146876549330689	9.29598413485374e-05	0.000123946455131383	0.000340852751611304	0.00300570153693604	0	0	0	0.00037183936539415	0.0137890431333664	0	0	0	0.00486489836390679	0.0882498760535449	0.161161378284581	0.063708477937531	0	0.00136341100644522	0	0.00864526524541398	0.0231470004957858	0.00154933068914229	0	0.00638324243926624	0	0	0.00613534952900347	0.000805651958353991	0.00254090233019336	0	0.00359444719881011	0	0.00096058502726822	0	0.000526772434308379	0.0171975706494794	0	0.000309866137828458	0	0	0	0.00167327714427367	0.00303668815071889	0	0.00185919682697075	0.00151834407535944	0	0	0.0033155676747645	0	0	0	0	6.19732275656916e-05	0	6.19732275656916e-05	0	0.000433812592959841	0.000402825979176996	0	0	0.0123326722855726	0	0	0	0	0	0.000123946455131383	6.19732275656916e-05	0.000278879524045612	0.00501983143282102	0.0176623698562221	0	0	0	0	0	0.000898611799702528	0	0	0	0	0	0	0	0	0	0	6.19732275656916e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-300-CE	0.000526454330086865	0.00908133719399842	0	0	0	0	0.074921031850487	0	0.000131613582521716	6.58067912608581e-05	0.00230323769413003	0.000131613582521716	0.01227296657015	0.00157936299026059	0.00276388523295604	0.166820215846275	0.00628454856541195	0.000954198473282443	0.000230323769413003	0.00128323242958673	0.00236904448539089	0.00381679389312977	0.0277375625164517	0.00217162411160832	0	0	0.0166820215846275	0	0.00187549355093446	0.00595551460910766	0.0432350618583838	0	0.00243485127665175	0.00444195841010792	0.000921295077652014	0.000460647538826007	0.00927875756778099	0	0.000230323769413003	0	0	0.00490260594893393	0	0	0	0	0	0	9.87101868912872e-05	0.00500131613582522	9.87101868912872e-05	0	0.000131613582521716	0	0.00141484601210845	0	0.000460647538826007	0	0	0	9.87101868912872e-05	0.00523163990523822	0.00292840221110819	0.102132140036852	0.0188536456962359	0.022012371676757	0.0643261384574888	0.000164516978152145	0	0.00845617267702027	0	0.00246775467228218	0	0.011812319031324	0.000559357725717294	0.00217162411160832	0.00348775993682548	0.000756778099499868	0.00111871545143459	0.00707423006054225	0.000855488286391156	0	0.0218149513029745	0	0	0	0.000230323769413003	0	0.00714003685180311	0.000427744143195578	0.000263227165043432	0	0	0	0.0549486707028165	0.038727296657015	0	0.0020400105290866	0	0.00365227691497763	0.000329033956304291	0.000230323769413003	0.00141484601210845	0.00177678336404317	0.000954198473282443	0	0.0174717030797578	0	0.000394840747565149	0.000921295077652014	0.00144774940773888	6.58067912608581e-05	0.000230323769413003	0	0.000131613582521716	0.0710055277704659	0	0.0022703342984996	0.000526454330086865	6.58067912608581e-05	0.0219794682811266	0.0348117925769939	0.000296130560673862	0	0.000296130560673862	0.000855488286391156	0	0	0.00184259015530403	0	0	0.00069097130823901	0.000329033956304291	6.58067912608581e-05	0.000559357725717294	0.000131613582521716	0	0	9.87101868912872e-05	0	0.0012503290339563	0.00743616741247697	0	0	6.58067912608581e-05	0	0	0.000559357725717294	0.000263227165043432	0	0.000427744143195578	0.000329033956304291	0.0302053171887339	0	0	0.000888391682021585	0.00036193735193472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197420373782574	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-301-RE	0	0.00213869676010193	0	0	0	0	0.0215234801601747	0	0.00691663633054241	0.00109210047324354	0	0.00018201674554059	0	0	0	0.304058973425555	0.0235711685475064	0.00218420094648708	0	0.00263924281033855	0.00869129959956316	0	0	0	0	0	0	0.00459592282489989	0	0.00491445212959592	0.0101474335638879	0.000318529304696032	0.00313978886057517	0.00191117582817619	0	0.000273025118310885	0	0	0.00282125955587914	0	0	0	0.00141062977793957	0.000728066982162359	0	0	0	0	0	0.00341281397888606	0	0.000546050236621769	0	0	0.00427739352020386	0.00641609028030579	0.00432289770658901	0.000227520931925737	0.000910083727702949	0	0	0.00218420094648708	0.000728066982162359	0.0309883509282854	0.012331634510375	0.0337186021113942	0.0133782307972333	0	0	0.0026847469967237	0.000455041863851474	0	0	0.0498725882781216	0	0.000318529304696032	0.00282125955587914	0.00218420094648708	0.00304878048780488	0.0174281033855115	0.000546050236621769	0	0.0113305424099017	0	0	0	0.000409537677466327	0	0.00277575536949399	0	0	0	0.000409537677466327	0.0147888605751729	0.0168820531488897	0.0575172915908264	0	0.00127411721878413	0	0.00359483072442665	0.00109210047324354	0.00104659628685839	9.10083727702949e-05	0.00482344375682563	0.00154714233709501	0.000136512559155442	0.00791772843101565	0.00177466326902075	0.0105114670549691	0.00018201674554059	0.00505096468875136	0	0	0.0155169275573353	0	0.139015289406625	0	0.00145613396432472	0.00491445212959592	0	0.00159264652348016	0.0292136876592647	0.000364033491081179	0.000364033491081179	9.10083727702949e-05	0.00131962140516928	0.00118310884601383	0.000273025118310885	0.00177466326902075	0	0	0.00113760465962869	0	0	0.000273025118310885	0	0	0	0	0	0	0.0127411721878413	0	0	0	0	0	0	0	0	0.00627957772115035	0.0018201674554059	0.0411357844921733	0	0.000136512559155442	9.10083727702949e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10083727702949e-05	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-CE	0.000106944246399544	0	0	0	0	0	0.00299443889918722	0	0	0.00221018109225724	0.000178240410665906	0.00196064451732497	0.00103379438186226	0.000427776985598175	0	0.260480536147155	0.0167545986025952	0.00941109368315985	0	0.00634535861970626	0.0104805361471553	0	0	0.00923285327249394	0	0	0	0	0	0.0116569228575503	0.0239198631113646	0	0	0.00106944246399544	0	0.000178240410665906	0	0.00559674889490945	0.00206758876372451	0.0201055183231142	0.000106944246399544	0	0.00103379438186226	0	0	0	0.000213888492799087	0	0	0.00139027520319407	0.000142592328532725	0	7.12961642663625e-05	0	0.000178240410665906	0.000142592328532725	0.00352916013118494	0	0	0	0	0	0.000356480821331812	0.0100527591615571	0	0.00160416369599316	0.0051333238271781	0.00185370027092542	0.0680165407101098	0	0.000499073149864537	0	0	0.0341508626835876	0	0.000142592328532725	0.00263795807785541	0	0.00106944246399544	0.00395693711678312	0.000641665478397262	0	0.000784257806929987	0.000962498217595893	0.0195707970911165	0	0	0.00028518465706545	0.00085555397119635	0	0	0	0	0	0.0885498360188222	0.0699415371453016	0	0.00131897903892771	0.000106944246399544	0.00673748752317125	0.0238842150292314	0.00295879081705404	0.000106944246399544	0.0091259090260944	0.00156851561385997	0	0.00249536574932269	0.0041708256095822	0.00206758876372451	0.000534721231997718	0.00834165121916441	0	0.000891202053329531	0.000320832739198631	0.000142592328532725	0.0215314416084415	0	0.00249536574932269	0.000427776985598175	0	0.00028518465706545	0.00374304862398403	0.0128333095679452	0	0.000178240410665906	0.00110509054612862	0	0.000499073149864537	0.000178240410665906	0	0.000641665478397262	0.000178240410665906	0	0	0	0	7.12961642663625e-05	0	0	0	0	0.0373591900755739	0	0	0	0	0	0.000142592328532725	0	0	0.0127263653215457	0.00163981177812634	0.0109796092970198	0.124126621987737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-RE	0.00039316762046219	0.000480538202787122	0.000131055873487397	0	0	0	0.00650910838320737	0	0	0.00349482329299725	0	0.00270848805207287	0.00327639683718492	0.00131055873487397	0	0.243370757066096	0.022235813201695	0.00751387007994408	0	0.00655279367436984	0.0162509283124372	0	0	0.00838757590319339	0	0	0	0	0	0.0106155257524791	0.0195273251496221	0	0	0.00235900572277314	0	0.00109213227906164	0	0.00336376741950985	0.00104844698789917	0.0162072430212747	8.73705823249312e-05	0	0.00109213227906164	0	0	0	0	0	0.000480538202787122	0.00318902625485999	0.000218426455812328	0	0	0	0.00131055873487397	0.00039316762046219	0.00537329081298327	0	8.73705823249312e-05	0	0	0	0.00039316762046219	0.0137608667161767	0	0.0053296055218208	0.0105281551701542	0.0027958586343978	0.0509807347865973	0.000436852911624656	0.0015289851906863	0	8.73705823249312e-05	0.0283954392556026	0	0	0.00275217334323533	0	0.00214057926696081	0.00397536149578437	0.000174741164649862	0	0.00170372635533616	0.00113581757022411	0.0166440959328994	0	0	0	0.00235900572277314	0	0	0	0	0	0.0795946004980123	0.0602420165130401	0	0.00227163514044821	0.000436852911624656	0.00760124066226901	0.0177799135031235	0.00196583810231095	0.000567908785112053	0.0079944082827312	0.000786335240924381	0.000218426455812328	0.00262111746974794	0.00449958498973396	0.00428115853392163	0.000349482329299725	0.00856231706784326	0.000567908785112053	0.000524223493949587	0.000480538202787122	0.000218426455812328	0.0668821807697348	0	0.00244637630509807	0.000262111746974794	0	0.000218426455812328	0.00345113800183478	0.00982919051155476	0	0.000131055873487397	0.00192215281114849	0	0.000305797038137259	0.000480538202787122	0	0.000742649949761915	0	0	0	0	0.000174741164649862	0.000655279367436984	0	0	0	0	0.0327639683718492	0	0	0	0	0	0	0	0	0.0134550696780394	0.00174741164649862	0.0208815691756586	0.10790266917129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-CE	0	0.00907616252124208	0	0	0	0	0.0629151861578866	0	0.00281940367681137	0	0	0.000849683299860961	0	0	0	0.182643287501931	0.00795612544415263	0	0	0.00112003707708945	0.00200834234512591	0	0	0	0	0	0	0	0	0.0125521396570369	0.00378495288119883	0	0	0.000540707554456975	0	0	0.00737679592152016	0	0.0022786961223544	0	0	0.0157577630156033	0	0	0	0.000115865904526495	0	0	0	0.00366908697667233	0	0.00189247644059941	0	7.72439363509964e-05	0.0086513208713116	0.00231731809052989	0.00185385447242391	0.00135176888614244	0.00131314691796694	0	0.000811061331685463	0.0502858025644987	0.00177661053607292	0.0633400278078171	0.00459601421288429	0.0365363818940213	0.0132859570523714	0	0	0.0356866985941604	0.000926927236211957	0	0	0.0213579484010505	0.00563880735362274	0.000926927236211957	0.00139039085431794	0.00254904989958288	0.000926927236211957	0.000695195427158968	0.000926927236211957	0	0.00305113548586436	0	0	0	0.0064498686853082	0	0.0064498686853082	0	0.00285802564498687	0	0.00065657345898347	0	0.00413255059477831	0.0101189556619805	0.00363046500849683	0.00204696431330141	0.000231731809052989	0.00135176888614244	0.000386219681754982	0.0020855862814769	0.000540707554456975	0.00154487872701993	0	0	0.00811061331685463	0.000811061331685463	0.00633400278078171	0.000231731809052989	0.00339873319944384	0	0	0.0565811833771049	0	0.224625366908698	0	0.0022786961223544	0	0	0.00772439363509964	0.0277305731500077	0.00119728101344044	0	0.000115865904526495	0.000386219681754982	0.00158350069519543	0	0.00336011123126835	0	0	0.000617951490807972	0.000579329522632473	0	0	0	0.000926927236211957	0	0.0065657345898347	0	0	0.00610227097172872	0	0	0	0	0	0	0	0	0	0.0140583964158814	0.00123590298161594	0	0	0.000154487872701993	0.000733817395334466	0.00413255059477831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193109840877491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115865904526495	0
Cah8-303-RE	0	0.00900961929277876	0	0	0	0	0.0691301991600054	0	0.00457255114483132	0	0	0.000812897981303346	0	0	0	0.176229508196721	0.00877252404823195	0.000237095244546809	0	0.00145644221650183	0.00220159869936323	0	0	0	0	0	0	0	0	0.0140902316759247	0.00403061915729576	0	0	0.000541931987535564	0	0	0.00989025877252405	0	0.00193063270559545	0	0	0.0202547080341417	0	0	0	0.000406448990651673	0.000135482996883891	0	0	0.00528383687847175	0	0.00331933342365533	0	6.77414984419455e-05	0.00951768053109335	0.0038612654111909	0.00237095244546809	0.0011177347242921	0.000880639479745292	0	0.000508061238314592	0.0408819943097141	0.00243869394391004	0.0675044031973987	0.00470803414171521	0.0326514022490177	0.0117870207288985	0	0	0.0325497900013548	0.000846768730524319	0	0	0.0176805310933478	0.00531770762769272	0.00118547622273405	0.00199837420403739	0.00254030619157296	0.000846768730524319	0.000677414984419455	0.000880639479745292	0	0.00626608860587996	0	0	0	0.00579189811678634	0.000101612247662918	0.00755317707627693	0	0.0026080476900149	0	0.000880639479745292	0	0.0046064218940523	0.00911123154044167	0.00277740143611977	0.00172740821026961	0.0003725782414307	0.00142257146728086	0.000677414984419455	0.00213385720092128	0.000406448990651673	0.00189676195637447	0	0	0.00887413629589487	0.000711285733640428	0.00396287765885381	0.000474190489093619	0.00277740143611977	0	0	0.0541931987535564	0.000135482996883891	0.219584067199566	0.000101612247662918	0.00193063270559545	0	0.000101612247662918	0.00745156482861401	0.0306530280449804	0.00128708847039697	0	0	0.000203224495325837	0.00128708847039697	0	0.00321772117599241	0	0	0.00121934697195502	0.000575802736756537	0	0	0	0.00152418371494377	0	0.00785801381926568	0	0	0.00562254437068148	0	0	0	0	0	0	0	0	0	0.0147337759111232	0.00189676195637447	0	0	6.77414984419455e-05	0.000745156482861401	0.0053515783769137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
