feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Haemophilus	Group	post_ltx	2.61637385193043	0.591486157760607	251	202	1.99343084483719e-05	0.00360810982915531
X.Eubacterium._fissicatena_group	Group	post_ltx	-1.3616424727618	0.336193724281016	251	53	8.63200411921034e-05	0.00781196372788536
Dorea	Group	post_ltx	2.47511245491882	0.664196613618983	251	220	0.000287318868614195	0.00905993221981885
Eisenbergiella	Group	post_ltx	-1.55724252448582	0.414874520319476	251	50	0.000259651577576401	0.00905993221981885
Sphingobium	Group	post_ltx	1.66133542734983	0.440996074229504	251	123	0.000245302808542929	0.00905993221981885
Escherichia.Shigella	Group	post_ltx	3.46976270490577	0.934493767606035	251	180	0.000300329244855873	0.00905993221981885
Sutterella	Group	post_ltx	2.89662450607163	0.811429149830411	251	171	0.000498386868812732	0.0128868604650149
Enterococcus	Group	post_ltx	-2.83225000743286	0.840055774360061	251	100	0.00098065656193836	0.0177498837710843
X.Ruminococcus._torques_group	Group	post_ltx	2.59024897235068	0.761860597452891	251	231	0.000893359686862512	0.0177498837710843
Lactonifactor	Group	post_ltx	-0.335397085729086	0.0987507142238042	251	5	0.00090501340443828	0.0177498837710843
Fusobacterium	Group	post_ltx	2.38415501646836	0.718128081242856	251	113	0.00115760563784636	0.019047874586381
Hungatella	Group	post_ltx	-2.00369363371551	0.623369751451658	251	102	0.00164147205503731	0.0247588701634795
Agathobacter	Group	post_ltx	2.53863796295101	0.812258580262655	251	159	0.00217794995902172	0.0303237648140716
Senegalimassilia	Group	post_ltx	1.97924456780286	0.651980223403854	251	95	0.00288762227694863	0.0348439754751801
Dysgonomonas	Group	post_ltx	-0.199162327662699	0.06546851148617	251	4	0.00281430239548703	0.0348439754751801
Incertae_Sedis	Group	post_ltx	1.31876693701021	0.45764252277826	251	219	0.004610168274173	0.0463578032014062
Finegoldia	Group	post_ltx	0.868660660295305	0.297491339837763	251	58	0.00410535770743544	0.0463578032014062
Alloscardovia	Group	post_ltx	-0.867673675780742	0.299905112793017	251	25	0.00444793420989907	0.0463578032014062
