feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Proteobacteria	Group	post_ltx	1.77400827636149	0.412882412434555	251	249	3.34593124485493e-05	0.000334593124485493
Fusobacteriota	Group	post_ltx	2.31641022544107	0.743411524506548	251	121	0.00224132872069951	0.0112066436034975
Desulfobacterota	Group	post_ltx	2.16075078977526	0.828447513650112	251	151	0.010146911990012	0.0338230399667067
Bacteroidota	Group	post_ltx	1.09880061949088	0.569824355019416	251	244	0.0559905812710429	0.111981162542086
Firmicutes	Group	post_ltx	-0.193439987248148	0.0965255557775206	251	251	0.0471467690602291	0.111981162542086
Cyanobacteria	Group	post_ltx	0.809482492318147	0.598235446034692	251	61	0.178333562061995	0.297222603436659
Actinobacteriota	Group	post_ltx	0.403224137970239	0.366103359449776	251	251	0.27271730832068	0.389596154743829
Patescibacteria	Group	post_ltx	0.299169584192671	0.321942168621745	251	65	0.354412598512734	0.443015748140918
Campylobacterota	Group	post_ltx	0.201474869921959	0.365766710832853	251	46	0.582690518548571	0.582690518548571
Verrucomicrobiota	Group	post_ltx	-0.501024958227228	0.817829848644893	251	81	0.541171512823358	0.582690518548571
