feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-102	0.0763284203372552	0.288535870534766	0	0.000764558467485027	0.0181795013379773	0.523849976638491	0.000509705644990018	0	0.091831967039035	0
run02-103	0.0672570725707257	0.236359163591636	0	0.00747847478474785	0.0204674046740467	0.638474784747847	0	0	0.0278474784747847	0.00211562115621156
run02-104	0.102256611847834	0.271738860000498	0	0	0	0.604483367750603	0	0	0.0215211604010649	0
run02-105	0.0251298128735182	0	0	0	0	0.327373371215832	0	0	0.64749681591065	0
run02-106	0.0650393617583346	0.289163628678607	0	0.00385692397104665	0.0100914038146563	0.583452211126961	0.00121519522375442	0	0.0471812754266392	0
run02-107	0.175405943135871	0.149605288492395	0	0	0	0.504909826070214	0.106604197419935	0.00134779539182337	0.0621269494897632	0
run02-108	0.148894562442284	0.0784127329023847	0	0	0	0.656445217013417	0.000896300722472704	0	0.115351186919442	0
run02-109	0.0721393034825871	0.287910447761194	0.000199004975124378	0.00800995024875622	0.0188557213930348	0.533681592039801	0.00134328358208955	0	0.0756716417910448	0.00218905472636816
run02-110	0.041818744200433	0.226848128673059	0	0	0.00674296319208166	0.644478812248685	0.00216517166718218	0	0.0533869471079493	0.0245592329106093
run02-111	0.0316435259928964	0.346894844473146	0	0.00134538800990206	0.00220643633623937	0.582122484124421	0	0	0.0357873210633947	0
run02-112	0.350659506803608	0.137219123090558	0	0	0.0270580261717324	0.413951305979876	0.000782023877795735	0.000156404775559147	0.00604765132162035	0.0641259579792503
run02-113	0.201895116815402	0.21041812894816	0.000150406096460443	0	0.00636719141682543	0.541060864333701	0.000200541461947258	0.000501353654868144	0.0392058558106889	0.000200541461947258
run02-114	0.111420502008831	0.218743784557858	0	0	0.00155137435856637	0.553959982497315	0	0	0.114324356577429	0
run02-115	0.111278613083667	0.215654381719364	0.000119014559447772	0	0.0103939381917721	0.60142024040941	0.00190423295116436	0	0.0592295790851748	0
run02-116	0.150085535069378	0.289412659190268	0	0	0.00547424444022049	0.458544003041247	0	0	0.0964835582588861	0
run02-117	0.0168481691919192	0.234809027777778	0	0.0426530934343434	0.00852272727272727	0.549518623737374	0	0	0.0331439393939394	0.114504419191919
run02-118	0.0633505598621878	0.197545219638243	0	0	0.00714900947459087	0.470973298880276	0.0214470284237726	0	0.23953488372093	0
run02-119	0.062969774508236	0.224772109387494	0.000119942427634735	0.035662881816728	0.00423796577642731	0.58915720454182	0	0.000279865664481049	0.0800015992323685	0.00279865664481049
run02-120	0.102529960053262	0.252996005326232	0.000142666920296747	0	0.0143618033098726	0.581415255849344	0.000760890241582652	0	0.0477934182994103	0
run02-121	0.0132089081237039	0.223785050942205	0	0	0.00599585249301235	0.642953746280768	0	0.000360652781534578	0.113695789378776	0
run02-122	0.0294701809007461	0.183745772719953	0	0.000375758226421171	0	0.521069300552901	0	0	0.265338987599979	0
run02-124	0.0644438915153023	0.217010865057643	8.29393713195654e-05	0	0.00472754416521523	0.661690304387493	0.000912333084515219	0	0.0511321224185121	0
run02-125	0.193492542613636	0.183238636363636	0	0	0.00355113636363636	0.554243607954545	0	0	0.0647638494318182	0.000710227272727273
run02-126	0.034420106995054	0.0351771474714848	0.000908448571716968	0	0	0.702785908953265	0.0206924396891087	0.00126173412738468	0.204754214191985	0
run02-127	0.0422425032594524	0.289830508474576	0	0	0.00147761842677097	0.616949152542373	0.00221642764015645	0	0.047283789656671	0
run02-128	0.260497775305895	0.175437986651835	0	0	0	0.538932146829811	0	0	0.0251320912124583	0
run02-129	0.00208924041187882	0	0	0	0	0.996318957369547	0	0	0.00159180221857434	0
run02-130	0.127972123531019	0.213412134462968	0	0	0.00228887674227931	0.594902978955999	0	0	0.0592716589232031	0.00215222738453129
run02-131	0.0332085561497326	0.214385026737968	0	0	0.0020855614973262	0.651122994652406	0.000374331550802139	0	0.0988235294117647	0
run02-132	0.0649703338548278	0.247926321693184	0	0	0	0.565988723912979	0	0	0.121114620539009	0
run02-133	0.128285501996842	0.261864957741246	0	0	0.00164855577226711	0.540819169685149	0	0	0.0673818148044952	0
run02-134	0.197030299709605	0.220152320420799	0.000109583036545943	0	0.00273957591364857	0.544244151005424	0.000109583036545943	0.000109583036545943	0.0355049038408854	0
run02-135	0.0721987315010571	0.294186046511628	0	0	0	0.558985200845666	0.0588266384778013	0	0.0158033826638478	0
run02-136	0.104849137931034	0.217618534482759	0	0	0	0.661422413793103	0	0	0.0161099137931034	0
run02-137	0.128717006348146	0.138030404276646	0	0	0.00146174406949549	0.647886735716672	0	0	0.0839041095890411	0
run02-138	0.0715231113826105	0.252087151293016	0	0	0.00167990226023213	0.65444919568316	0	0	0.0135919364691509	0.00666870291183058
run02-145	0.104359997926279	0.133236559697237	0	0	0.00124423246409871	0.710560423039038	0.00181450567681062	0	0.0487842811965369	0
run02-146	0.0653296505344061	0.15936111444698	0	0.00564428966014171	0.00558424402545935	0.742824546655458	0	0	0.0212561546775549	0
run02-147	0.0739429392446634	0.297875615763547	0	0	0	0.622588259441708	0	0	0.0055931855500821	0
run02-148	0.0667645619187469	0.210474791972589	0	0.000538423886441508	0.000978952520802741	0.556142927068037	0.000195790504160548	0	0.0384728340675477	0.126431718061674
run02-150	0.110450700116686	0.276947199533256	0	0.000510501750291715	0.0162995915985998	0.546419194865811	0.000328179696616103	0	0.0490446324387398	0
run02-151	0.0629574887387387	0.252815315315315	0	0.00468046171171171	0.0143581081081081	0.643968186936937	0	0	0.0187570382882883	0.0024634009009009
run02-152	0.10950044603033	0.252508920606601	0	0	0	0.61864406779661	0	0	0.0193465655664585	0
run02-153	0.0468369829683698	0.000709651257096513	0	0	0	0.342254663422547	0	0	0.610198702351987	0
run02-154	0.0680696401328188	0.192946244278919	0	0.00390379610517814	0.0108588351431392	0.665799156421072	0.00103203805079422	0	0.0573902898680786	0
run02-155	0.111979716881471	0.164800338051975	0.00021128248468202	0	0	0.593450242974857	0.0946122966406085	0.000887386435664483	0.0340587365307416	0
run02-156	0.0721094296946524	0.1989067801174	0	0	0	0.684931875706823	0	0	0.0418170068393559	0.00223490764176854
run02-157	0.0564164506245581	0.31831840678765	0	0.00471364600518501	0.015879094979967	0.543306622672637	0	0	0.0600695262785765	0.00129625265142588
run02-158	0.0469483568075117	0.289754211543772	0	0	0.00662800331400166	0.552775476387738	0.000607566970450152	0	0.0650648991991163	0.0382214857774096
run02-159	0.0520144065667141	0.268280425496273	0	0.00100510930563699	0.0014239048496524	0.671329257056705	0	0	0.00594689672501885	0
run02-160	0.373655596265217	0.114584564472285	0	0	0.0199739983453492	0.432100224559745	0.000295473348303983	0	0.00774140172556435	0.0516487412835362
run02-161	0.118432816197739	0.189955298448593	0.000105180120957139	0	0.011359453063371	0.649855377333684	0	0	0.0296607941099132	0.000631080725742835
run02-162	0.0768595041322314	0.234188777729448	0	0	0.000913440626359287	0.595128316659417	0	0	0.0929099608525446	0
run02-163	0.0995754062219319	0.265575242916633	0	0	0.00783865436433412	0.584265534416592	0.00118396341961297	0	0.0415611986608965	0
run02-164	0.147489060220879	0.254052927693269	0	0	0.00629297770368827	0.53836215878308	0	0	0.0538028755990831	0
run02-165	0.0243289907392874	0.210602731125412	0	0.0275466959660964	0.00973159629571496	0.518913828284414	0	0	0.0225239365876628	0.186352221001413
run02-166	0.0614824619457313	0.292720052945069	0	0	0.00668431502316347	0.587954996690933	0.0241561879549967	0	0.0270019854401059	0
run02-169	0.0737994350282486	0.176946013810421	7.84682988072819e-05	0.0315834902699309	0.00663057124921532	0.600517890772128	0.000117702448210923	0	0.0899639045825486	0.0203625235404896
run02-170	0.0426663583280338	0.289934670752154	0	0	0.00531884141758686	0.621205989477944	0.000520321443024802	0	0.0403538185812569	0
run02-171	0.0239138926261881	0.233106201987761	0.000260405364350506	0	0.00399288225337442	0.60917494900395	0.000564211622759429	0.000564211622759429	0.128423245518858	0
run02-172	0.0496894409937888	0.295976235484742	0	0.000540102619497705	0	0.623008371590602	0	0	0.0305157980016203	0.000270051309748852
run02-174	0.0715947273197209	0.295134401654174	0	0	0.00681700697854743	0.485849056603774	0.00174463685706901	0	0.138860170586715	0
run02-175	0.191941122355106	0.19473781048758	0	0	0.00334866605335787	0.540239190432383	0.000220791168353266	0	0.0689604415823367	0.000551977920883165
run02-177	0.0701777355896697	0.305489182023502	0	0	0.000916500278223299	0.558574187424307	0.00209485777879611	0.000687375208667474	0.0620601616968348	0
run02-178	0.181288478452067	0.228122251539138	0	0	0	0.569334506009968	0	0	0.0212547639988273	0
run02-180	0.155325723655168	0.228826385823296	0	0	0.00227029072333985	0.57450968026739	0	0	0.0372390742258939	0.00182884530491266
run02-181	0.0656426358891671	0.29885008698604	0	0	0.0120931811431239	0.57775703313956	0.000339457716298214	0	0.0453176051258115	0
run02-182	0.0733396785109983	0.28489847715736	0	0	0	0.613049915397631	0	0	0.0287119289340102	0
run02-183	0.0675095127040628	0.319790515936337	0	0	0.0160795384804222	0.556892107524242	0.00102287140460701	0.000122744568552842	0.0385827093817765	0
run02-184	0.184339115563157	0.241754214512582	0	0	0.00712598745826207	0.509935662513234	8.14398566658523e-05	8.14398566658523e-05	0.0566821402394332	0
run02-185	0.0578849175176748	0.309210526315789	0	0	0	0.550373134328358	0.0634328358208955	0	0.019098586017282	0
run02-186	0.123790642347343	0.263441712926249	0	0	0	0.588302934179223	0	0	0.0244647105471848	0
run02-97	0.0936276741010469	0.209194355939918	0	0	0.00054619936276741	0.626581702321347	0.00359581247155212	0.000864815657715066	0.0655894401456532	0
run02-98	0.0597077536181221	0.134866811158498	0	0.0104173949521079	0.00293644689925191	0.503880304831154	0	0	0.288191288540866	0
run02-99	0.0740823136818687	0.405172413793103	0	0	0	0.51579532814238	0	0	0.00494994438264739	0
run03-103	0.0849262037261069	0.341813279872801	0.00445888493311673	0	0.00850298987245515	0.448826518267602	0.00515018492274723	0	0.106321938405171	0
run03-104	0.0221838469713071	0.177603613177471	0	0	0	0.525239107332625	0	0.000464930924548353	0.274508501594049	0
run03-105	0.0562158083380494	0.342073822549205	0.0526315789473684	0	0.0523171728604666	0.414764509840911	0.00955794504181601	0	0.0724391624221845	0
run03-106	0.101175867247885	0.245430235539763	0	0.000512839298142789	0.00146525513755083	0.532876662148797	0.000219788270632624	0.000219788270632624	0.110004029451628	0.00809553463496831
run03-107	0.0425585813806206	0.297445640700866	0	0	0.000759974667511083	0.584378298501161	0.000379987333755541	8.44416297234537e-05	0.0731264513405109	0.0012666244458518
run03-108	0.0336059409663471	0.292348185749201	0	0	0.00131603684903177	0.596822711035909	0.000799022372626434	9.40026320736981e-05	0.0742620793382215	0.000752021056589585
run03-109	0.000999875015623047	0.0742407199100112	0	0	0	0.704453609965421	0	0	0.220305795108945	0
run03-110	0.0121152586771447	0	0.000467770605295163	0	0	0.652914210870989	0.00304050893441856	0	0.0955655346618019	0.235896716250351
run03-111	0.10651090877856	0.229900360762756	0	0.00180381377770143	0.00283456450781653	0.63683215942278	0	0.000171791788352517	0.0215598694382409	0.000386531523793163
run03-112	0.0804476093591048	0.279064089521872	0	0	0.000447609359104781	0.578962360122075	0.00130213631739573	0	0.0597761953204476	0
run03-113	0.0801492085895756	0.41274322008267	0	0	0	0.489263030547434	0	0	0.0178445407803206	0
run03-114	0.0962258499326045	0.0938295641755279	0	0	0.00629025011232589	0.687509360491239	0.00138535270330987	0	0.114759622584993	0
run03-115	0.0207808157197337	0.200988947062245	0	0.00607588391183505	0.0230107943895029	0.463512377997544	0.171029668411867	0	0.106134057268438	0.00846745523883395
run03-116	0.124330484330484	0.182735042735043	0	0.000455840455840456	0.0115669515669516	0.58985754985755	0	0	0.0899145299145299	0.00113960113960114
run03-117	0.128949112600339	0.342550997864349	0	0.00931585536490169	0.00125193313204212	0.497717063112158	0	0	0.0193313204212387	0.000883717504970911
run03-118	0.0653240190249703	0.244537752675386	0	0.017167063020214	0.00657699167657551	0.555402794292509	0.000148632580261593	0	0.0595273483947681	0.0513153983353151
run03-119	0.0599177170868347	0.288865546218487	0	0	0.0040703781512605	0.486344537815126	8.75350140056022e-05	0	0.160101540616246	0.000612745098039216
run03-120	0.138911922702527	0.11746043191405	7.21058513898403e-05	0	0.00638136784800087	0.606265998485777	0.000648952662508563	7.21058513898403e-05	0.130187114684357	0
run03-121	0.0741963373418219	0.340276140323299	0	0	0	0.512798344206031	0.00317011187088999	7.85978149807435e-05	0.0694804684429773	0
run03-122	0.139698192141043	0.209950694755715	0.000119527864933513	0	0.000507993425967429	0.617182130584192	0	0	0.0325414612281488	0
