feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-102	-3.71163585558132	-1.7931774102429	-14.7595241355176	-10.3530855476489	-5.78154356269011	-0.932774391806166	-10.9380480483701	-15.3571395900055	-3.44485974135661	-14.8194306895258
run02-103	-3.89417020424369	-2.08094729614412	-14.7595241355176	-7.06304021840617	-5.61052801370866	-0.647298450116076	-15.1515319216358	-15.3571395900055	-5.16630948901787	-8.88470297714765
run02-104	-3.28973396495568	-1.87970720205047	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.72622545035727	-15.1515319216358	-15.3571395900055	-5.53810032100064	-14.8194306895258
run02-105	-5.31445626139151	-13.8871571375214	-14.7595241355176	-14.7872904265596	-15.3571395900055	-1.6109911181494	-15.1515319216358	-15.3571395900055	-0.627054996576527	-14.8194306895258
run02-106	-3.94254308968963	-1.7900419949666	-14.7595241355176	-8.01833357729407	-6.63072930813834	-0.777313601068874	-9.68459618011708	-15.3571395900055	-4.40564177105287	-14.8194306895258
run02-107	-2.51123046462244	-2.74076692001678	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.985902340879553	-3.22966385118327	-9.53518278636689	-4.00863697187105	-14.8194306895258
run02-108	-2.74763702653346	-3.67276824712325	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.607253477433901	-10.1237295200008	-15.3571395900055	-3.11589524601183	-14.8194306895258
run02-109	-3.79307069605136	-1.79630795218339	-12.2949078809537	-6.96399100283904	-5.72885384278256	-0.905948844720765	-9.54002037879019	-15.3571395900055	-3.72410344322916	-8.83547626231636
run02-110	-4.57970645073126	-2.14020133630178	-14.7595241355176	-14.7872904265596	-7.21240156223652	-0.633795165262745	-8.85130287006848	-15.3571395900055	-4.22736913783449	-5.34759068987049
run02-111	-4.98194582355945	-1.52742969533627	-14.7595241355176	-9.53776197862109	-8.82406616377773	-0.780605353013009	-15.1515319216358	-15.3571395900055	-4.80440763800727	-14.8194306895258
run02-112	-1.51185725313766	-2.865446542929	-14.7595241355176	-14.7872904265596	-5.20779958830636	-1.27246702463392	-10.3204997210557	-12.6424278159431	-7.36940932153667	-3.96294771643764
run02-113	-2.30832207788514	-2.24866908694498	-12.6988493341097	-14.7872904265596	-7.29512714805873	-0.886137201882626	-12.2838118348309	-10.9618837399435	-4.67278703752354	-12.2838118348309
