feature	Actinomyces	Bifidobacterium	Rothia	Cutibacterium	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Parasediminibacterium	Gastranaerophilales	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	f__Christensenellaceae.g__uncultured	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Phascolarctobacterium	Dialister	Veillonella	Fusobacterium	Methylobacterium.Methylorubrum	o__Rhodospirillales.f__uncultured.g__uncultured	Methylotenera	Janthinobacterium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Enterorhabdus	f__Barnesiellaceae.g__uncultured	Alloprevotella	Prevotellaceae_NK3B31_group	Rikenellaceae_RC9_gut_group	Tannerellaceae	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Dielma	Holdemanella	f__Erysipelotrichaceae.g__unassigned	Izemoplasmatales	Lactococcus	RF39	Anaerofustis	Defluviitaleaceae_UCG.011	Frisingicoccus	Howardella	Lachnospiraceae_UCG.001	Shuttleworthia	UCG.008	UCG.009	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerofilum	Angelakisella	CAG.352	Caproiciproducens	Paludicola	Phocea	o__Oscillospirales.f__uncultured.g__uncultured	X.Eubacterium._brachy_group	Parvimonas	Peptostreptococcus	Terrisporobacter	Acidaminococcus
4002.III.2.lib30	2	568	0	0	323	0	0	0	0	0	5783	0	0	0	0	0	0	0	0	900	0	0	1083	423	0	50	874	0	0	0	0	8	0	21	0	0	0	0	0	0	0	0	145	2137	15336	0	0	15	0	543	0	30	1868	403	0	0	0	0	0	116	0	113	319	0	0	0	0	0	41	0	0	0	0	529	4453	1342	16	133	32	594	25	0	239	0	0	446	0	0	0	11	15	0	13110	0	0	0	0	411	0	0	0	0	0	0	41	0	0	0	0	0	0	0	155	170	0	0	1058	0	0	0	25	554	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002.V.3.lib30	0	201	0	0	149	0	0	0	0	0	4390	0	0	0	0	0	0	0	0	617	0	0	964	446	0	16	180	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	66	637	4245	0	0	4	0	216	0	21	881	228	0	0	0	0	0	144	0	35	69	0	0	0	0	0	13	0	0	0	0	141	1851	666	13	57	16	130	5	0	85	0	0	260	0	0	0	0	0	0	8191	0	0	0	0	253	0	0	0	0	0	0	25	0	0	0	0	0	0	0	70	223	0	0	1162	0	0	0	27	381	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002.VI.4.lib30	5	150	0	0	71	0	0	0	0	0	4781	0	0	0	0	0	0	0	0	847	0	0	906	324	0	12	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	412	2658	0	0	0	0	176	0	29	798	276	0	0	0	0	0	202	0	23	93	0	0	0	0	0	21	0	0	0	0	72	1448	556	4	43	22	152	6	0	125	0	0	294	0	0	0	0	0	0	7402	0	0	0	0	179	0	0	0	0	0	0	25	0	0	0	0	0	0	0	85	206	0	0	1038	0	0	0	46	161	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.III.2.lib30	19	10	9	0	162	0	14	0	54	175	10182	865	184	99	465	0	0	0	0	1185	909	0	0	0	0	11	203	0	0	0	0	6	4	1659	23	6	23	0	0	0	0	720	76	33	1532	0	223	919	145	111	16	78	392	72	26	8	0	0	179	0	86	8426	12	2	0	0	49	0	182	0	0	0	190	0	296	3573	4	193	64	8	66	11	15	0	749	302	34	18	128	7	0	0	4035	0	18	39	9	97	0	3	0	95	0	12	7	0	3	11	32	233	0	711	0	285	83	0	0	0	0	0	1122	4606	0	7	743	7	0	0	90	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.V.3.lib30	0	13	0	0	44	0	5	0	6	95	3977	261	43	36	109	0	0	0	0	323	255	0	0	0	0	2	27	0	0	0	0	0	0	274	3	2	6	0	0	0	0	264	23	8	479	6	94	320	59	29	11	10	148	22	9	1	0	0	52	0	37	1811	4	2	0	0	14	0	88	0	2	0	38	0	90	1129	0	85	28	0	27	9	18	5	748	146	23	13	72	0	2	0	1862	0	13	7	11	65	0	0	0	19	0	4	0	0	0	2	10	78	0	539	0	251	28	0	0	0	0	0	283	964	2	0	253	0	0	0	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.VI.4.lib30	20	19	7	0	119	0	6	0	27	74	1668	157	22	16	51	0	0	0	0	168	123	0	0	0	0	7	68	0	0	0	0	0	0	497	9	0	5	0	0	0	3	207	31	11	504	0	112	319	40	47	2	12	82	12	6	5	0	0	38	0	27	1575	5	2	0	0	5	0	103	0	2	0	44	0	98	852	4	49	15	0	16	12	7	0	389	55	17	11	54	0	0	0	1308	0	5	8	14	29	0	0	0	31	0	12	4	0	0	5	9	91	0	296	0	118	27	0	0	0	0	0	197	576	0	0	143	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.III.2.lib30	4	43	4	0	116	0	2	0	22	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	0	0	60	0	0	12	0	0	0	0	237	44	219	2359	0	61	179	0	338	0	0	529	1264	2	28	6	0	54	0	6	158	0	0	383	0	33	0	156	0	0	0	0	352	234	648	8	0	0	8	0	0	0	3	5	0	0	0	4	0	0	0	348	0	4	0	5	73	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	5	0	0	0	0	0	11	0	6145	244	0	32	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.V.3.lib30	2	471	4	0	576	9	31	0	190	0	9466	0	0	0	0	0	0	0	0	135	0	0	0	0	0	44	44	0	0	6	0	0	0	252	0	0	199	0	0	115	0	415	347	133	2361	0	266	712	0	474	13	0	463	682	47	130	124	0	322	2	43	1489	4	0	147	0	38	3	301	0	5	12	0	127	129	728	347	22	159	62	10	3	102	31	576	16	8	3	26	0	2	2	6627	0	26	0	408	474	0	0	0	8	0	0	27	0	0	16	7	64	0	0	495	41	0	0	0	0	0	232	0	12065	149	0	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.VI.4.lib30	8	705	12	0	860	12	122	0	204	0	27409	0	0	0	0	0	0	0	0	364	0	0	0	0	0	93	40	0	0	15	0	6	0	346	9	0	440	0	0	176	0	513	546	205	5397	0	486	1425	0	699	27	10	609	1126	108	388	254	0	525	0	110	2456	0	4	211	0	67	0	530	0	12	0	0	288	212	1073	325	79	295	77	28	0	199	109	780	0	12	0	122	0	0	18	6680	0	95	0	912	1506	0	0	9	22	0	0	83	0	0	39	14	112	0	0	906	44	0	0	0	0	0	208	0	17106	157	1	65	3	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009.III.2.lib30	24	0	12	0	2161	0	31	524	0	0	17372	126	0	0	63	57	0	0	0	35	1137	0	26	0	0	0	357	0	0	0	0	0	404	389	4	0	0	0	0	0	0	46	245	863	9251	276	2081	1062	7	546	46	0	990	50	336	95	16	0	156	77	10	6640	0	0	0	0	18	0	677	0	0	0	188	0	706	4049	4	156	27	0	45	20	7	0	174	38	11	2	7	0	0	0	6532	0	15	0	57	6656	0	0	0	0	0	11	0	0	0	21	11	230	0	319	7	48	15	0	0	0	0	0	925	531	0	0	200	46	0	0	0	0	0	0	0	69	0	0	0	0	3	0	0	0	0	0	0	183	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
