feature	Actinomyces	Bifidobacterium	Rothia	Cutibacterium	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Parasediminibacterium	Gastranaerophilales	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	f__Christensenellaceae.g__uncultured	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Phascolarctobacterium	Dialister	Veillonella	Fusobacterium	Methylobacterium.Methylorubrum	o__Rhodospirillales.f__uncultured.g__uncultured	Methylotenera	Janthinobacterium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Enterorhabdus	f__Barnesiellaceae.g__uncultured	Alloprevotella	Prevotellaceae_NK3B31_group	Rikenellaceae_RC9_gut_group	Tannerellaceae	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Dielma	Holdemanella	f__Erysipelotrichaceae.g__unassigned	Izemoplasmatales	Lactococcus	RF39	Anaerofustis	Defluviitaleaceae_UCG.011	Frisingicoccus	Howardella	Lachnospiraceae_UCG.001	Shuttleworthia	UCG.008	UCG.009	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerofilum	Angelakisella	CAG.352	Caproiciproducens	Paludicola	Phocea	o__Oscillospirales.f__uncultured.g__uncultured	X.Eubacterium._brachy_group	Parvimonas	Peptostreptococcus	Terrisporobacter	Acidaminococcus
4002.III.2.lib30	3.6600541688017e-05	0.0103945538393968	0	0	0.00591098748261474	0	0	0	0	0	0.105830466290901	0	0	0	0	0	0	0	0	0.0164702437596076	0	0	0.0198191933240612	0.00774101456701559	0	0.000915013542200425	0.0159944367176634	0	0	0	0	0.000146402166752068	0	0.000384305687724178	0	0	0	0	0	0	0	0	0.00265353927238123	0.0391076787936461	0.280652953663714	0	0	0.000274504062660127	0	0.00993704706829661	0	0.000549008125320255	0.0341849059366079	0.00737500915013542	0	0	0	0	0	0.00212283141790498	0	0.00206793060537296	0.00583778639923871	0	0	0	0	0	0.000750311104604348	0	0	0	0	0.00968084327648049	0.0814911060683698	0.0245589634726594	0.000292804333504136	0.00243393602225313	0.000585608667008272	0.010870360881341	0.000457506771100212	0	0.00437376473171803	0	0	0.00816192079642779	0	0	0	0.000201302979284093	0.000274504062660127	0	0.239916550764951	0	0	0	0	0.00752141131688749	0	0	0	0	0	0	0.000750311104604348	0	0	0	0	0	0	0	0.00283654198082132	0.00311104604348144	0	0	0.019361686552961	0	0	0	0.000457506771100212	0.0101383500475807	0	0.00336724983529756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002.V.3.lib30	0	0.00739459936722831	0	0	0.0054815686851593	0	0	0	0	0	0.161503936428519	0	0	0	0	0	0	0	0	0.0226988448237804	0	0	0.0354646457214333	0.0164079170038996	0	0.000588624825252005	0.00662202928408506	0	0	0	0	0	0	0.000110367154734751	0	0	0	0	0	0	0	0	0.00242807740416452	0.0234346258553454	0.156169523949673	0	0	0.000147156206313001	0	0.00794643514090207	0	0.000772570083143257	0.0324111544404385	0.00838790375984107	0	0	0	0	0	0.00529762342726805	0	0.00128761680523876	0.00253844455889927	0	0	0	0	0	0.000478257670517254	0	0	0	0	0.00518725627253329	0.0680965344713413	0.0245015083511147	0.000478257670517254	0.00209697593996027	0.000588624825252005	0.00478257670517254	0.000183945257891252	0	0.00312706938415128	0	0	0.00956515341034508	0	0	0	0	0	0	0.301339121477448	0	0	0	0	0.00930763004929733	0	0	0	0	0	0	0.000919726289456258	0	0	0	0	0	0	0	0.00257523361047752	0.00820395850194982	0	0	0.0427488779339269	0	0	0	0.000993304392612758	0.0140166286513134	0	0.00371569420940328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002.VI.4.lib30	0.000208524480774043	0.00625573442322129	0	0	0.00296104762699141	0	0	0	0	0	0.19939110851614	0	0	0	0	0	0	0	0	0.0353240470431229	0	0	0.0377846359162566	0.013512386354158	0	0.000500458753857703	0.00558845608474435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375344065393277	0.0171824172157811	0.110851613979481	0	0	0	0	0.00734006172324631	0	0.00120944198848945	0.0332805071315372	0.0115105513387272	0	0	0	0	0	0.00842438902327133	0	0.000959212611560597	0.0038785553423972	0	0	0	0	0	0.00087580281925098	0	0	0	0	0.00300275252314622	0.0603886896321628	0.0231879222620736	0.000166819584619234	0.00179331053465677	0.000917507715405789	0.0063391442155309	0.000250229376928851	0	0.00521311201935107	0	0	0.0122612394695137	0	0	0	0	0	0	0.308699641337893	0	0	0	0	0.00746517641171073	0	0	0	0	0	0	0.00104262240387021	0	0	0	0	0	0	0	0.00354491617315873	0.00859120860789057	0	0	0.0432896822086913	0	0	0	0.00191842522312119	0.00671448828092418	0	0.00442071899240971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.III.2.lib30	0.000400235928547354	0.000210650488709134	0.00018958543983822	0	0.00341253791708797	0	0.000294910684192787	0	0.00113751263902932	0.00368638355240984	0.21448432760364	0.0182212672733401	0.00387596899224806	0.00208543983822042	0.00979524772497472	0	0	0	0	0.0249620829120324	0.0191481294236603	0	0	0	0	0.000231715537580047	0.00427620492079542	0	0	0	0	0.00012639029322548	8.42601954836535e-05	0.0349469160768453	0.000484496124031008	0.00012639029322548	0.000484496124031008	0	0	0	0	0.0151668351870576	0.00160094371418942	0.000695146612740142	0.0322716548702393	0	0.00469750589821368	0.0193587799123694	0.00305443208628244	0.00233822042467139	0.000337040781934614	0.00164307381193124	0.00825749915739805	0.00151668351870576	0.000547691270643748	0.000168520390967307	0	0	0.0037706437478935	0	0.00181159420289855	0.177494101786316	0.000252780586450961	4.21300977418268e-05	0	0	0.00103218739467476	0	0.00383383889450624	0	0	0	0.00400235928547354	0	0.00623525446579036	0.0752654196157735	8.42601954836535e-05	0.00406555443208628	0.00134816312773846	0.000168520390967307	0.00139029322548028	0.000231715537580047	0.000315975733063701	0	0.0157777216043141	0.00636164475901584	0.000716211661611055	0.000379170879676441	0.00269632625547691	0.000147455342096394	0	0	0.0849974721941355	0	0.000379170879676441	0.000821536905965622	0.00018958543983822	0.0020433097404786	0	6.31951466127401e-05	0	0.00200117964273677	0	0.000252780586450961	0.000147455342096394	0	6.31951466127401e-05	0.000231715537580047	0.000674081563869228	0.00490815638692282	0	0.0149772497472194	0	0.00600353892821031	0.00174839905628581	0	0	0	0	0	0.0236349848331648	0.097025615099427	0	0.000147455342096394	0.0156513313110886	0.000147455342096394	0	0	0.0018958543983822	4.21300977418268e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000105325244354567	0	0	0	0	0	0	0.000105325244354567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.V.3.lib30	0	0.000820655261662774	0	0	0.00277760242408939	0	0.000315636639101067	0	0.00037876396692128	0.00599709614292027	0.251057382740989	0.0164762325610757	0.00271447509626917	0.00227258380152768	0.00688087873240326	0	0	0	0	0.0203901268859289	0.0160974685941544	0	0	0	0	0.000126254655640427	0.00170443785114576	0	0	0	0	0	0	0.0172968878227385	0.00018938198346064	0.000126254655640427	0.00037876396692128	0	0	0	0	0.0166656145445363	0.00145192853986491	0.000505018622561707	0.0302379900258822	0.00037876396692128	0.00593396881510006	0.0202007449024683	0.00372451234139259	0.00183069250678619	0.000694400606022347	0.000631273278202134	0.00934284451739158	0.00138880121204469	0.00056814595038192	6.31273278202134e-05	0	0	0.0032826210466511	0	0.00233571112934789	0.114323590682406	0.000252509311280853	0.000126254655640427	0	0	0.000883782589482987	0	0.00555520484817878	0	0.000126254655640427	0	0.00239883845716811	0	0.0056814595038192	0.0712707531090209	0	0.00536582286471814	0.00176756517896597	0	0.00170443785114576	0.00056814595038192	0.00113629190076384	0.000315636639101067	0.0472192412095196	0.00921658986175115	0.00145192853986491	0.000820655261662774	0.00454516760305536	0	0.000126254655640427	0	0.117543084401237	0	0.000820655261662774	0.000441891294741494	0.000694400606022347	0.00410327630831387	0	0	0	0.00119941922858405	0	0.000252509311280853	0	0	0	0.000126254655640427	0.000631273278202134	0.00492393156997664	0	0.034025629695095	0	0.0158449592828736	0.00176756517896597	0	0	0	0	0	0.0178650337731204	0.0608547440186857	0.000126254655640427	0	0.015971213938514	0	0	0	0.00233571112934789	0.00018938198346064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018938198346064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.VI.4.lib30	0.00185804533630621	0.0017651430694909	0.000650315867707172	0	0.0110553697510219	0	0.000557413600891862	0	0.00250836120401338	0.00687476774433296	0.154960981047938	0.0145856558900037	0.00204384986993683	0.00148643626904496	0.00473801560758082	0	0	0	0	0.0156075808249721	0.0114269788182832	0	0	0	0	0.000650315867707172	0.0063173541434411	0	0	0	0	0	0	0.0461724266072092	0.000836120401337793	0	0.000464511334076551	0	0	0	0.000278706800445931	0.0192307692307692	0.00287997027127462	0.00102192493496841	0.0468227424749164	0	0.0104050538833148	0.029635823114084	0.00371609067261241	0.00436640654031958	0.000185804533630621	0.00111482720178372	0.00761798587885544	0.00111482720178372	0.000557413600891862	0.000464511334076551	0	0	0.00353028613898179	0	0.00250836120401338	0.146321070234114	0.000464511334076551	0.000185804533630621	0	0	0.000464511334076551	0	0.00956893348197696	0	0.000185804533630621	0	0.00408769973987365	0	0.00910442214790041	0.0791527313266444	0.000371609067261241	0.0045522110739502	0.00139353400222965	0	0.00148643626904496	0.00111482720178372	0.000650315867707172	0	0.0361389817911557	0.00510962467484207	0.00157933853586027	0.00102192493496841	0.00501672240802676	0	0	0	0.121516164994426	0	0.000464511334076551	0.000743218134522482	0.00130063173541434	0.002694165737644	0	0	0	0.00287997027127462	0	0.00111482720178372	0.000371609067261241	0	0	0.000464511334076551	0.000836120401337793	0.00845410628019324	0	0.0274990709773318	0	0.0109624674842066	0.00250836120401338	0	0	0	0	0	0.0183017465626161	0.0535117056856187	0	0	0.0132850241545894	0	0	0	0.00510962467484207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.III.2.lib30	0.000244081034903588	0.00262387112521357	0.000244081034903588	0	0.00707835001220405	0	0.000122040517451794	0	0.00134244569196973	0	0.114779106663412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122040517451794	0.0020136685379546	0	0	0	0	0	0	0.00366121552355382	0	0	0.000732243104710764	0	0	0	0	0.0144618013180376	0.00268489138393947	0.0133634366609714	0.143946790334391	0	0.00372223578227972	0.0109226263119356	0	0.0206248474493532	0	0	0.0322797168659995	0.0771296070295338	0.000122040517451794	0.00170856724432512	0.000366121552355382	0	0.00329509397119844	0	0.000366121552355382	0.00964120087869173	0	0	0.0233707590920186	0	0.0020136685379546	0	0.00951916036123993	0	0	0	0	0.0214791310715157	0.0142787405418599	0.0395411276543813	0.000488162069807176	0	0	0.000488162069807176	0	0	0	0.000183060776177691	0.000305101293629485	0	0	0	0.000244081034903588	0	0	0	0.0212350500366122	0	0.000244081034903588	0	0.000305101293629485	0.00445447888699048	0	0	0	0	0	0	0	0	0	0	0	0.00109836465706615	0	0	0	0.000305101293629485	0	0	0	0	0	0.000671222845984867	0	0.374969489870637	0.0148889431291189	0	0.0019526482792287	0.000366121552355382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.V.3.lib30	4.63811136105378e-05	0.0109227522552816	9.27622272210756e-05	0	0.0133577607198349	0.00020871501124742	0.000718907260963336	0	0.00440620579300109	0	0.219521810718675	0	0	0	0	0	0	0	0	0.0031307251687113	0	0	0	0	0	0.00102038449943183	0.00102038449943183	0	0	0.000139143340831613	0	0	0	0.00584402031492776	0	0	0.00461492080424851	0	0	0.00266691403260592	0	0.00962408107418659	0.00804712321142831	0.00308434405510076	0.0547529046172399	0	0.00616868811020153	0.0165116764453515	0	0.0109923239256975	0.000301477238468496	0	0.0107372278008395	0.0158159597411934	0.00108995616984764	0.00301477238468496	0.00287562904385334	0	0.00746735929129658	4.63811136105378e-05	0.000997193942626562	0.0345307390830454	9.27622272210756e-05	0	0.00340901185037453	0	0.000881241158600218	6.95716704158067e-05	0.00698035759838594	0	0.000115952784026344	0.000278286681663227	0	0.00294520071426915	0.00299158182787969	0.0168827253542358	0.00804712321142831	0.000510192249715916	0.00368729853203775	0.00143781452192667	0.000231905568052689	6.95716704158067e-05	0.00236543679413743	0.000718907260963336	0.0133577607198349	0.000371048908884302	0.000185524454442151	6.95716704158067e-05	0.000602954476936991	0	4.63811136105378e-05	4.63811136105378e-05	0.153683819948517	0	0.000602954476936991	0	0.00946174717654971	0.0109923239256975	0	0	0	0.000185524454442151	0	0	0.00062614503374226	0	0	0.000371048908884302	0.000162333897636882	0.00148419563553721	0	0	0.0114793256186081	0.000950812829016025	0	0	0	0	0	0.00538020917882238	0	0.279794067855569	0.00345539296398507	0	0.000533382806521185	0	0.000278286681663227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115952784026344	0	0	0	4.63811136105378e-05	0	0.000231905568052689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.VI.4.lib30	0.000102290017772891	0.00901430781623598	0.000153435026659336	0	0.0109961769105857	0.000153435026659336	0.00155992277103658	0	0.00260839545320871	0	0.350458387142145	0	0	0	0	0	0	0	0	0.00465419580866652	0	0	0	0	0	0.00118912145660985	0.000511450088864453	0	0	0.00019179378332417	0	7.67175133296679e-05	0	0.00442404326867752	0.000115076269994502	0	0.00562595097750898	0	0	0.00225038039100359	0	0.00655934738968661	0.00698129371299978	0.00262118170543032	0.0690074032400363	0	0.0062141185797031	0.0182204094157961	0	0.00893759030290632	0.000345228809983506	0.000127862522216113	0.0077868276029613	0.0143973200015344	0.00138091523993402	0.00496106586198519	0.00324770806428928	0	0.00671278241634595	0	0.00140648774437725	0.0314030354562774	0	5.11450088864453e-05	0.00269789921875999	0	0.000856678898847959	0	0.006776713677454	0	0.000153435026659336	0	0	0.00368244063982406	0.0027106854709816	0.0137196486337889	0.00415553197202368	0.00101011392550729	0.00377194440537534	0.000984541421064072	0.000358015062205117	0	0.00254446419210065	0.00139370149215563	0.00997327673285683	0	0.000153435026659336	0	0.00155992277103658	0	0	0.000230152539989004	0.0854121648403636	0	0.00121469396105308	0	0.0116610620261095	0.0192560958457467	0	0	0.000115076269994502	0.000281297548875449	0	0	0.00106125893439374	0	0	0.000498663836642842	0.000179007531102559	0.00143206024882047	0	0	0.0115843445127799	0.000562595097750898	0	0	0	0	0	0.00265954046209516	0	0.218721630502883	0.00200744159879298	1.27862522216113e-05	0.000831106394404736	3.8358756664834e-05	0.000818320142183125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.39312611080566e-05	0	0	0	0.000127862522216113	0	0.000281297548875449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009.III.2.lib30	0.000355334458559119	0	0.000177667229279559	0	0.0319949068727607	0	0.000458973675638862	0.00775813567854076	0	0	0.257202925587042	0.00186550590743537	0	0	0.000932752953717687	0.000843919339077907	0	0	0	0.000518196085398715	0.0168339699742383	0	0.000384945663439045	0	0	0	0.00528560007106689	0	0	0	0	0	0.00598146338574517	0.00575937934914572	5.92224097598531e-05	0	0	0	0	0	0	0.000681057712238311	0.003627372597791	0.0127772349056883	0.1369666281721	0.00408634627342987	0.0308104586775636	0.015723549791241	0.000103639217079743	0.00808385893221995	0.000681057712238311	0	0.0146575464155636	0.000740280121998164	0.00497468241982766	0.00140653223179651	0.000236889639039413	0	0.00230967398063427	0.00114003138787717	0.000148056024399633	0.0983092002013562	0	0	0	0	0.000266500843919339	0	0.0100233928518551	0	0	0	0.0027834532587131	0	0.0104527553226141	0.0599478842794113	5.92224097598531e-05	0.00230967398063427	0.000399751265879009	0	0.000666252109798348	0.000296112048799266	0.000103639217079743	0	0.00257617482455361	0.000562612892718605	0.000162861626839596	2.96112048799266e-05	0.000103639217079743	0	0	0	0.0967101951378402	0	0.000222084036599449	0	0.000843919339077907	0.0985460898403956	0	0	0	0	0	0.000162861626839596	0	0	0	0.000310917651239229	0.000162861626839596	0.00340528856119155	0	0.00472298717834829	0.000103639217079743	0.000710668917118237	0.000222084036599449	0	0	0	0	0	0.013695182256966	0.0078617748956205	0	0	0.00296112048799266	0.000681057712238311	0	0	0	0	0	0	0	0.00102158656835747	0	0	0	0	4.44168073198898e-05	0	0	0	0	0	0	0.00270942524651328	0	0	0.000281306446359302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
