feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_UCG.010	Group	post_ltx	-4.27483289793394	0.586642736407913	207	135	1.35016479587145e-10	2.21427026522918e-08
Colidextribacter	Group	post_ltx	-3.00920189317921	0.481690251532061	207	155	1.38707979730638e-08	1.13740543379123e-06
o__Rhodospirillales.f__uncultured.g__uncultured	Group	post_ltx	-3.88349057373073	0.635506178006497	207	78	2.78232472893207e-08	1.52100418514953e-06
Enterococcus	Group	post_ltx	2.99974440562707	0.577756851004916	207	75	1.26600190202529e-06	5.19060779830367e-05
Christensenellaceae_R.7_group	Group	post_ltx	-3.57826322133887	0.704493745863988	207	131	2.13220919239514e-06	6.20848303703072e-05
f__Ruminococcaceae.g__uncultured	Group	post_ltx	-2.60713324887971	0.514912245453018	207	124	2.27139623306002e-06	6.20848303703072e-05
Odoribacter	Group	post_ltx	-2.31465905284953	0.474847314105169	207	105	4.88952790159468e-06	0.000114554653694504
Clostridia_UCG.014	Group	post_ltx	-3.09470309746829	0.647796139357466	207	101	7.18401189137969e-06	0.000130908661131808
f__Oscillospiraceae.g__unassigned	Group	post_ltx	-2.62183659647875	0.546350760310224	207	84	6.66942097949193e-06	0.000130908661131808
Lachnoclostridium	Group	post_ltx	-1.55928742978434	0.340660853745402	207	201	1.55900605445597e-05	0.000255676992930778
Adlercreutzia	Group	post_ltx	-1.71551746914096	0.381169066654461	207	73	2.12595932055974e-05	0.000316961207792544
Phascolarctobacterium	Group	post_ltx	-3.29660957067044	0.741783761975493	207	89	2.61286939869768e-05	0.000357092151155349
f__Lachnospiraceae.g__unassigned	Group	post_ltx	-1.54390048927291	0.351421437657361	207	202	3.15131731702204e-05	0.00038319989954184
Romboutsia	Group	post_ltx	-2.29049136024972	0.522068644030593	207	62	3.27121865462547e-05	0.00038319989954184
f__Peptococcaceae.g__uncultured	Group	post_ltx	-1.83022013395928	0.423399063014603	207	47	4.15975410283263e-05	0.000426374795540344
f__Enterobacteriaceae.g__unassigned	Group	post_ltx	3.78946040916942	0.874238450824877	207	71	3.90323029011203e-05	0.000426374795540344
UCG.005	Group	post_ltx	-2.80207262162206	0.656066371342791	207	133	4.95105103342727e-05	0.00047763080557769
Intestinimonas	Group	post_ltx	-2.59617510484784	0.611045222882872	207	144	5.2910291035705e-05	0.000482071540547535
Ruminococcus	Group	post_ltx	-2.54293313508236	0.626413246824851	207	132	0.00010668949762013	0.000920898821563229
Erysipelotrichaceae_UCG.003	Group	post_ltx	-2.53845987505566	0.630473982872096	207	151	0.000121476072603424	0.000996103795348078
Family_XIII_UCG.001	Group	post_ltx	-1.62346378778303	0.405307528819684	207	86	0.00012901981654599	0.0010075833292163
Parabacteroides	Group	post_ltx	-2.95874764158906	0.743100850806283	207	160	0.000141678230130366	0.00105614680642636
Alistipes	Group	post_ltx	-2.67896004549151	0.686773860847119	207	166	0.000186312343343575	0.00132848801340636
Coprococcus	Group	post_ltx	-2.60148369564493	0.669247674925803	207	173	0.000197485832241371	0.00134948652031604
Gastranaerophilales	Group	post_ltx	-2.15918993390874	0.561540162637061	207	66	0.000229945731254849	0.00150844399703181
Haemophilus	Group	post_ltx	2.01942374342841	0.533926114994766	207	136	0.00027719900980536	0.00174848606184919
Butyricimonas	Group	post_ltx	-1.61083938604874	0.426335743848161	207	81	0.000288020435635162	0.00174945746089506
Barnesiella	Group	post_ltx	-3.59005500569355	0.956939066932377	207	107	0.000317789258755658	0.00186133708699742
Parasediminibacterium	Group	post_ltx	0.914623400632104	0.247927970558158	207	34	0.000352292872793283	0.0019922769357965
f__Coriobacteriales_Incertae_Sedis.g__uncultured	Group	post_ltx	-1.29400970928194	0.351787412793378	207	33	0.000411570540198592	0.00224991895308564
Family_XIII_AD3011_group	Group	post_ltx	-2.20152074825213	0.60874990056137	207	119	0.00049058939070421	0.00251427062735908
Methylobacterium.Methylorubrum	Group	post_ltx	0.802946113544467	0.222359128664235	207	37	0.00047620024810623	0.00251427062735908
GCA.900066575	Group	post_ltx	-2.02487837229405	0.561081349385579	207	125	0.000512854819624321	0.00254873304298148
Oscillospira	Group	post_ltx	-1.82522547274074	0.508627636816627	207	96	0.000548437111889135	0.0026104767241783
Candidatus_Soleaferrea	Group	post_ltx	-0.853086925937725	0.237874053100887	207	57	0.000557113935038051	0.0026104767241783
UCG.002	Group	post_ltx	-2.48661982466897	0.72140551283934	207	144	0.000870575784085946	0.00396595634972486
f__Barnesiellaceae.g__uncultured	Group	post_ltx	-0.7826044417291	0.227827294507406	207	16	0.000916830428677457	0.00406378892711089
Veillonella	Group	post_ltx	1.91652775951776	0.567745040636301	207	160	0.00109451594682513	0.00472370040208741
Marvinbryantia	Group	post_ltx	-1.68695028343068	0.504838933080526	207	150	0.00122547555647003	0.00515328182720732
Bilophila	Group	post_ltx	-2.13148468531128	0.653291628287874	207	108	0.00157860229067178	0.00617770415324303
f__Oscillospiraceae.g__uncultured	Group	post_ltx	-1.86235822353287	0.57110540976075	207	142	0.00158209496607444	0.00617770415324303
Escherichia.Shigella	Group	post_ltx	3.0272139663889	0.926750973275564	207	164	0.00156350159456159	0.00617770415324303
Streptococcus	Group	post_ltx	1.81199620766718	0.557622688956841	207	194	0.00163039175315956	0.00621823831437599
X.Eubacterium._coprostanoligenes_group	Group	post_ltx	-1.69676885737968	0.525022885018648	207	124	0.00173824197733672	0.00633492631740493
Methylotenera	Group	post_ltx	0.532974312060318	0.165839297090142	207	25	0.00172666277865766	0.00633492631740493
Roseburia	Group	post_ltx	1.49434096473878	0.467208669316596	207	199	0.00193161987524709	0.00687337357438569
Klebsiella	Group	post_ltx	2.0566417748271	0.644406041311408	207	50	0.00196980828046419	0.00687337357438569
Janthinobacterium	Group	post_ltx	0.562526794281356	0.17774230557252	207	26	0.00203717066001197	0.00696033308837424
Hungatella	Group	post_ltx	1.92183949565696	0.606298176485835	207	105	0.0020987565300447	0.00702440961076185
Senegalimassilia	Group	post_ltx	-1.65283496943966	0.523903201941366	207	54	0.00220979917796003	0.00710602088598912
Angelakisella	Group	post_ltx	-0.310557795386958	0.0924081727078829	207	8	0.00216835352281961	0.00710602088598912
Holdemania	Group	post_ltx	-1.13582462229254	0.362223214698106	207	78	0.00234449142224225	0.00739416525476403
Cutibacterium	Group	post_ltx	0.592959491801183	0.192606572068046	207	26	0.00258251463327878	0.00799117735580603
Hydrogenoanaerobacterium	Group	post_ltx	-0.336270527848713	0.108564329595088	207	12	0.00269252264510492	0.00817729099624457
Anaerotruncus	Group	post_ltx	-1.03657958259448	0.337517450186297	207	64	0.0028512424350889	0.00835006713133178
Pseudoflavonifractor	Group	post_ltx	-0.752654471084008	0.24452725289343	207	34	0.00281244513904306	0.00835006713133178
X.Clostridium._methylpentosum_group	Group	post_ltx	-1.08876883867283	0.357851051997802	207	51	0.00314496378699054	0.00904866773800788
Clostridia_vadinBB60_group	Group	post_ltx	-1.56041365472039	0.522022393102306	207	61	0.00364056777259079	0.0102940192190498
