feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridia_UCG.014	Group	pre_ltx	-3.90050483743257	0.518359969624829	274	104	1.22535656883502e-11	2.04634546995448e-09
f__Ruminococcaceae.g__uncultured	Group	pre_ltx	-3.13329331024013	0.454861903676182	274	161	2.99182869265467e-10	2.49817695836665e-08
o__Rhodospirillales.f__uncultured.g__uncultured	Group	pre_ltx	-3.18118419642522	0.481060975947938	274	85	1.19850468853616e-09	6.67167609951797e-08
Gastranaerophilales	Group	pre_ltx	-2.40960492387572	0.4028087577697	274	61	2.52107937767602e-08	1.05255064017974e-06
Holdemania	Group	pre_ltx	-1.58192335192488	0.271378918190725	274	65	5.09052833705401e-08	1.70023646457604e-06
Intestinimonas	Group	pre_ltx	-3.35049329993326	0.579664676760762	274	166	6.11681043523545e-08	1.7025122378072e-06
Christensenellaceae_R.7_group	Group	pre_ltx	-3.71721870440382	0.660607255144004	274	171	1.27948811477337e-07	2.6709314395894e-06
Lachnospiraceae_UCG.010	Group	pre_ltx	-3.43226051951101	0.608486931801687	274	199	1.18665335247196e-07	2.6709314395894e-06
Clostridia_vadinBB60_group	Group	pre_ltx	-1.9980238880512	0.372548165952524	274	63	4.16324158608591e-07	7.72512605418164e-06
Butyricimonas	Group	pre_ltx	-2.25225322776265	0.425090703921733	274	92	5.60528792111386e-07	9.36083082826014e-06
Colidextribacter	Group	pre_ltx	-2.96840851767324	0.571368356127361	274	207	8.67000955497091e-07	1.31626508698195e-05
Lachnoclostridium	Group	pre_ltx	-1.99959481777434	0.386187340931857	274	264	9.50581262847192e-07	1.32289225746234e-05
f__Peptococcaceae.g__uncultured	Group	pre_ltx	-2.00189799560594	0.394306878492885	274	55	1.47687273744522e-06	1.89721343964117e-05
UCG.009	Group	pre_ltx	-1.13667673719483	0.227292363754169	274	34	2.04650205689368e-06	2.44118459643746e-05
Veillonella	Group	pre_ltx	2.89226254816937	0.594577926119487	274	228	3.53057594251924e-06	3.93070788267142e-05
f__Ruminococcaceae.g__unassigned	Group	pre_ltx	-1.46078247653086	0.301858511871917	274	66	4.04053764043818e-06	4.21731116220735e-05
Parabacteroides	Group	pre_ltx	-3.12332648005004	0.653417292773435	274	206	5.12594837104895e-06	4.75574098869541e-05
Family_XIII_UCG.001	Group	pre_ltx	-1.54394930825457	0.322762879385925	274	98	4.98340787713696e-06	4.75574098869541e-05
Marvinbryantia	Group	pre_ltx	-2.26384846369747	0.486201327025188	274	168	8.51711618549444e-06	7.48609685777669e-05
f__Oscillospiraceae.g__unassigned	Group	pre_ltx	-2.07375023273434	0.449040206247407	274	109	9.91011164019063e-06	8.27494321955918e-05
Barnesiella	Group	pre_ltx	-3.72012690280544	0.823414724434192	274	129	1.51333942883223e-05	0.000114876220279537
