feature	Actinomyces	Bifidobacterium	Rothia	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Tannerellaceae	Parasediminibacterium	Gastranaerophilales	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Holdemanella	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Limosilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	CAG.352	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Parvimonas	Intestinibacter	Romboutsia	Phascolarctobacterium	Allisonella	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Enterorhabdus	f__Barnesiellaceae.g__uncultured	Alloprevotella	Prevotellaceae_NK3B31_group	Rikenellaceae_RC9_gut_group	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Dielma	Holdemania	Merdibacter	f__Erysipelotrichaceae.g__unassigned	Izemoplasmatales	Lactococcus	RF39	f__Christensenellaceae.g__uncultured	Anaerofustis	Defluviitaleaceae_UCG.011	Frisingicoccus	Lachnospiraceae_UCG.001	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	UCG.008	UCG.009	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerofilum	Angelakisella	Candidatus_Soleaferrea	Caproiciproducens	Paludicola	Phocea	f__Ruminococcaceae.g__unassigned	X.Clostridium._methylpentosum_group	o__Oscillospirales.f__uncultured.g__uncultured	f__Peptococcaceae.g__uncultured	X.Eubacterium._brachy_group	Peptostreptococcus	Terrisporobacter	Acidaminococcus
4013.2.lib27	0	193	0	52	0	0	0	0	22	450	162	6	21	9	96	0	0	289	0	70	56	0	0	0	11	0	0	6	11	2	0	0	0	4	0	0	421	0	70	20	8	787	208	4040	0	114	324	6	558	63	19	0	41	24	63	15	31	0	50	73	23	132	0	0	28	9	91	11	10	170	0	46	560	16	17	19	0	20	19	7	7	528	68	83	0	60	0	0	0	4350	0	23	0	115	1275	5	0	15	0	62	0	16	32	4	33	11	100	5	0	0	0	0	0	3	0	0	5	101	8	0	0	0	0	0	554	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	13	0	3	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0
4013.3.lib30	0	94	0	75	4	2	0	0	40	2800	253	49	50	132	164	0	0	381	0	234	488	0	0	7	42	0	0	3	16	0	0	0	0	0	0	0	201	0	81	13	8	703	217	981	0	214	369	7	335	163	19	2	122	74	39	19	31	0	80	89	13	259	0	0	15	14	100	31	25	176	6	55	674	9	13	14	2	18	15	6	26	502	86	58	0	18	0	0	0	2117	0	19	0	173	696	3	4	14	3	53	3	15	6	0	15	5	636	8	0	0	0	0	0	10	0	0	33	228	18	0	0	0	0	9	1764	0	0	0	0	0	21	3	0	0	0	0	0	0	0	15	7	0	2	0	28	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	0	0	0
4013.4.lib30	0	286	0	406	16	0	0	0	143	2296	341	54	51	77	219	0	0	830	0	221	385	0	0	12	59	0	0	3	35	0	0	0	0	10	0	0	358	0	86	38	32	987	476	2287	0	379	560	17	546	239	35	0	175	76	50	15	35	0	82	83	18	151	0	0	23	18	174	38	38	223	22	66	957	28	38	28	10	15	27	8	16	712	94	94	4	33	0	0	0	2707	0	31	3	185	958	0	0	12	0	102	8	37	9	2	62	7	551	12	0	0	0	0	0	22	0	0	30	310	0	0	0	0	7	2	878	0	5	0	0	0	28	3	0	0	0	0	0	0	0	8	31	0	11	0	27	0	0	0	0	0	0	0	0	2	0	0	0	11	2	0	0	0	0	0	0	6	0
4015.2.rerun.lib32	0	857	0	360	11	11	0	0	0	5408	1143	0	0	93	0	0	0	0	0	512	1206	27	0	0	250	0	0	140	0	0	9	0	0	24	0	0	233	0	0	0	0	49	68	2447	0	188	317	54	0	81	0	0	566	19	173	0	200	0	95	8	18	4412	0	90	0	10	227	17	0	32	157	1446	527	7	26	68	20	0	0	31	5	461	265	0	0	16	0	0	2	3092	0	53	2	38	1655	3	0	23	0	4	0	3	16	0	21	2	0	0	82	0	13	0	0	0	0	0	0	397	23	0	5	0	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
4015.3.lib30	0	583	0	81	7	21	0	0	0	8591	1114	0	0	144	0	0	0	0	0	586	1384	40	0	0	207	0	3	80	0	0	0	0	0	23	0	0	164	0	0	0	0	105	71	1933	0	239	409	42	0	114	0	0	657	35	187	0	189	0	138	0	8	4044	0	124	0	18	255	38	6	68	117	1182	440	7	27	67	12	0	0	13	5	932	300	0	0	10	0	0	0	5295	0	78	8	38	2690	0	0	10	0	11	0	5	17	0	0	2	0	0	98	0	53	0	0	0	0	0	0	387	48	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
4015.4.lib30	0	688	2	193	6	24	0	0	0	7166	1014	0	0	111	0	0	0	0	0	503	1040	23	0	0	188	0	2	119	0	0	5	0	0	80	0	0	152	0	0	0	0	138	114	2245	0	213	375	41	0	97	0	0	729	37	143	0	117	0	142	0	19	4181	0	129	0	13	320	37	5	62	161	1281	496	0	27	74	3	0	0	12	0	897	340	0	0	30	0	0	2	4983	0	88	11	62	2484	6	0	9	0	11	0	0	19	0	19	4	0	0	95	0	74	0	0	0	0	0	0	364	57	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4016.2.rerun.lib32	126	3250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	44525	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	45	0	0	0	0	22	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4016.4.rerun.lib32	77	2828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16934	111	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018.2.rerun.lib32	651	7	161	0	0	0	0	19	0	0	0	0	0	0	0	0	0	127	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	21498	913	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	29	297	1967	19	417	0	112	105	0	0	0	0	91	0	2592	835	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018.4.rerun.lib32	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	415	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	7504	108	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	20530	0	213	0	13	9	0	0	0	0	0	0	2719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
