feature	Actinomyces	Bifidobacterium	Rothia	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Tannerellaceae	Parasediminibacterium	Gastranaerophilales	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Holdemanella	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Limosilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	CAG.352	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Parvimonas	Intestinibacter	Romboutsia	Phascolarctobacterium	Allisonella	Dialister	Megasphaera	Veillonella	Veillonellaceae	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Haemophilus	Pseudomonas	Akkermansia	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Enterorhabdus	f__Barnesiellaceae.g__uncultured	Alloprevotella	Prevotellaceae_NK3B31_group	Rikenellaceae_RC9_gut_group	f__Desulfovibrionaceae.g__uncultured	Anaeroplasma	Dielma	Holdemania	Merdibacter	f__Erysipelotrichaceae.g__unassigned	Izemoplasmatales	Lactococcus	RF39	f__Christensenellaceae.g__uncultured	Anaerofustis	Defluviitaleaceae_UCG.011	Frisingicoccus	Lachnospiraceae_UCG.001	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	UCG.008	UCG.009	Pseudoflavonifractor	Hydrogenoanaerobacterium	Anaerofilum	Angelakisella	Candidatus_Soleaferrea	Caproiciproducens	Paludicola	Phocea	f__Ruminococcaceae.g__unassigned	X.Clostridium._methylpentosum_group	o__Oscillospirales.f__uncultured.g__uncultured	f__Peptococcaceae.g__uncultured	X.Eubacterium._brachy_group	Peptostreptococcus	Terrisporobacter	Acidaminococcus
4013.2.lib27	0	0.0112997658079625	0	0.00304449648711944	0	0	0	0	0.00128805620608899	0.0263466042154567	0.0094847775175644	0.000351288056206089	0.00122950819672131	0.000526932084309133	0.00562060889929742	0	0	0.01692037470726	0	0.00409836065573771	0.00327868852459016	0	0	0	0.000644028103044496	0	0	0.000351288056206089	0.000644028103044496	0.000117096018735363	0	0	0	0.000234192037470726	0	0	0.0246487119437939	0	0.00409836065573771	0.00117096018735363	0.000468384074941452	0.0460772833723653	0.0121779859484778	0.236533957845433	0	0.00667447306791569	0.0189695550351288	0.000351288056206089	0.0326697892271663	0.00368852459016393	0.00111241217798595	0	0.00240046838407494	0.00140515222482436	0.00368852459016393	0.000878220140515222	0.00181498829039813	0	0.00292740046838408	0.00427400468384075	0.00134660421545667	0.00772833723653396	0	0	0.00163934426229508	0.000526932084309133	0.00532786885245902	0.000644028103044496	0.000585480093676815	0.00995316159250586	0	0.00269320843091335	0.0327868852459016	0.000936768149882904	0.000995316159250586	0.00111241217798595	0	0.00117096018735363	0.00111241217798595	0.00040983606557377	0.00040983606557377	0.0309133489461358	0.00398126463700234	0.00485948477751756	0	0.00351288056206089	0	0	0	0.254683840749415	0	0.00134660421545667	0	0.00673302107728337	0.0746487119437939	0.000292740046838407	0	0.000878220140515222	0	0.00362997658079625	0	0.000936768149882904	0.00187353629976581	0.000234192037470726	0.00193208430913349	0.000644028103044496	0.00585480093676815	0.000292740046838407	0	0	0	0	0	0.000175644028103044	0	0	0.000292740046838407	0.00591334894613583	0.000468384074941452	0	0	0	0	0	0.0324355971896955	0	0	0	0	0	0.000585480093676815	0	0	0	0	0	0	0	0	0	0.000761124121779859	0	0.000175644028103044	0	0.000702576112412178	0	0	0	0	0	0	0	0	0	0	0.000117096018735363	0	0	0	0	0	0	0	0	0	0.000234192037470726	0
4013.3.lib30	0	0.00564496757146289	0	0.00450396348786933	0.000240211386019697	0.000120105693009849	0	0	0.00240211386019697	0.168147970213788	0.0151933701657459	0.00294258947874129	0.00300264232524622	0.00792697573865001	0.00984866682680759	0	0	0.0228801345183762	0	0.0140523660821523	0.0293057890944031	0	0	0.00042036992553447	0.00252221955320682	0	0	0.000180158539514773	0.000960845544078789	0	0	0	0	0	0	0	0.0120706221474898	0	0.00486428056689887	0.000780687004564016	0.000480422772039395	0.0422171510929618	0.0130314676915686	0.0589118424213308	0	0.0128513091520538	0.0221595003603171	0.00042036992553447	0.0201177035791497	0.00978861398030267	0.00114100408359356	0.000120105693009849	0.00732644727360077	0.0044439106413644	0.00234206101369205	0.00114100408359356	0.00186163824165265	0	0.00480422772039395	0.00534470333893827	0.000780687004564016	0.0155536872447754	0	0	0.000900792697573865	0.000840739851068941	0.00600528465049243	0.00186163824165265	0.00150132116262311	0.0105693009848667	0.000360317079029546	0.00330290655777084	0.040475618544319	0.000540475618544319	0.000780687004564016	0.000840739851068941	0.000120105693009849	0.00108095123708864	0.000900792697573865	0.000360317079029546	0.00156137400912803	0.030146528945472	0.00516454479942349	0.00348306509728561	0	0.00108095123708864	0	0	0	0.127131876050925	0	0.00114100408359356	0	0.0103891424453519	0.0417967811674273	0.000180158539514773	0.000240211386019697	0.000840739851068941	0.000180158539514773	0.00318280086476099	0.000180158539514773	0.000900792697573865	0.000360317079029546	0	0.000900792697573865	0.000300264232524622	0.0381936103771319	0.000480422772039395	0	0	0	0	0	0.000600528465049243	0	0	0.0019817439346625	0.0136920490031227	0.00108095123708864	0	0	0	0	0.000540475618544319	0.105933221234687	0	0	0	0	0	0.00126110977660341	0.000180158539514773	0	0	0	0	0	0	0	0.000900792697573865	0.00042036992553447	0	0.000120105693009849	0	0.00168147970213788	0	0	0	0	0	0	0	0	0.000120105693009849	0	0	0	0	0.000120105693009849	0	0	0	0	0.000240211386019697	0	0	0
4013.4.lib30	0	0.013681592039801	0	0.0194221201683888	0.000765403750478377	0	0	0	0.0068407960199005	0.109835438193647	0.0163126674320704	0.00258323765786452	0.00243972445464983	0.00368350554917719	0.0104764638346728	0	0	0.0397053195560658	0	0.0105721393034826	0.018417527745886	0	0	0.000574052812858783	0.00282242632988902	0	0	0.000143513203214696	0.00167432070417145	0	0	0	0	0.000478377344048986	0	0	0.0171259089169537	0	0.00411404515882128	0.00181783390738615	0.00153080750095675	0.0472158438576349	0.0227707615767317	0.109404898584003	0	0.0181305013394566	0.0267891312667432	0.000813241484883276	0.0261194029850746	0.0114332185227708	0.00167432070417145	0	0.00837160352085725	0.00363566781477229	0.00239188672024493	0.000717566016073479	0.00167432070417145	0	0.00392269422120168	0.00397053195560658	0.000861079219288174	0.00722349789513969	0	0	0.00110026789131267	0.000861079219288174	0.00832376578645235	0.00181783390738615	0.00181783390738615	0.0106678147722924	0.00105243015690777	0.00315729047072331	0.0457807118254879	0.00133945656333716	0.00181783390738615	0.00133945656333716	0.000478377344048986	0.000717566016073479	0.00129161882893226	0.000382701875239189	0.000765403750478377	0.0340604668962878	0.00449674703406047	0.00449674703406047	0.000191350937619594	0.00157864523536165	0	0	0	0.12949674703406	0	0.00148296976655186	0.000143513203214696	0.00884998086490624	0.0458285495598928	0	0	0.000574052812858783	0	0.00487944890929966	0.000382701875239189	0.00176999617298125	0.000430539609644087	9.56754688097972e-05	0.00296593953310371	0.00033486414083429	0.0263585916570991	0.000574052812858783	0	0	0	0	0	0.00105243015690777	0	0	0.00143513203214696	0.0148296976655186	0	0	0	0	0.00033486414083429	9.56754688097972e-05	0.042001530807501	0	0.000239188672024493	0	0	0	0.00133945656333716	0.000143513203214696	0	0	0	0	0	0	0	0.000382701875239189	0.00148296976655186	0	0.000526215078453884	0	0.00129161882893226	0	0	0	0	0	0	0	0	9.56754688097972e-05	0	0	0	0.000526215078453884	9.56754688097972e-05	0	0	0	0	0	0	0.000287026406429392	0
4015.2.rerun.lib32	0	0.030789681684271	0	0.0129338219443846	0.000395200114967306	0.000395200114967306	0	0	0	0.194294747431199	0.041064884673421	0	0	0.00334123733563268	0	0	0	0	0	0.0183947689875692	0.0433283035136883	0.000970036645828842	0	0	0.0089818207947115	0	0	0.00502981964503844	0	0	0.000323345548609614	0	0	0.000862254796292304	0	0	0.00837105698067112	0	0	0	0	0.00176043687576345	0.00244305525616153	0.0879140619386362	0	0.00675432923762305	0.0113889487676942	0.00194007329165768	0	0.00291010993748653	0	0	0.0203348422792268	0.000682618380398074	0.00621541998994036	0	0.0071854566357692	0	0.00341309190199037	0.000287418265430768	0.000646691097219228	0.158511173385069	0	0.00323345548609614	0	0.00035927283178846	0.00815549328159804	0.000610763814040382	0	0.00114967306172307	0.00564058345907882	0.0519508514766113	0.0189336782352519	0.000251490982251922	0.000934109362649996	0.00244305525616153	0.00071854566357692	0	0	0.00111374577854423	0.00017963641589423	0.016562477545448	0.00952073004239419	0	0	0.000574836530861536	0	0	7.1854566357692e-05	0.111087159588992	0	0.00190414600847884	7.1854566357692e-05	0.00136523676079615	0.0594596536609902	0.000107781849536538	0	0.000826327513113458	0	0.000143709132715384	0	0.000107781849536538	0.000574836530861536	0	0.000754472946755766	7.1854566357692e-05	0	0	0.00294603722066537	0	0.000467054681324998	0	0	0	0	0	0	0.0142631314220019	0.000826327513113458	0	0.00017963641589423	0	0.000143709132715384	7.1854566357692e-05	0.00017963641589423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5927283178846e-05	0	0	0	0	0	0	0	0	0.000143709132715384	0	0	0	0	0	0	0	0	0	0	0
4015.3.lib30	0	0.0173635930426495	0	0.00241243745532523	0.000208482249225637	0.000625446747676912	0	0	0	0.255867286156779	0.0331784608053371	0	0	0.00428877769835597	0	0	0	0	0	0.0174529425780319	0.0412199189897546	0.00119132713843221	0	0	0.00616511794138671	0	8.9349535382416e-05	0.00238265427686443	0	0	0	0	0	0.000685013104598523	0	0	0.00488444126757208	0	0	0	0	0.00312723373838456	0.00211460567071718	0.0575708839647367	0	0.00711817965213248	0.0121813199904694	0.00125089349535382	0	0.00339528234453181	0	0	0.0195675482487491	0.00104241124612819	0.0055694543721706	0	0.00562902072909221	0	0.00411007862759114	0	0.000238265427686443	0.120443173695497	0	0.00369311412913986	0	0.000536097212294496	0.00759471050750536	0.0011317607815106	0.000178699070764832	0.00202525613533476	0.00348463187991422	0.0352037169406719	0.0131045985227543	0.000208482249225637	0.000804145818441744	0.00199547295687396	0.000357398141529664	0	0	0.000387181319990469	0.000148915892304027	0.0277579223254706	0.0089349535382416	0	0	0.000297831784608053	0	0	0	0.157701929949964	0	0.00232308791994282	0.000238265427686443	0.0011317607815106	0.0801167500595664	0	0	0.000297831784608053	0	0.000327614963068859	0	0.000148915892304027	0.000506314033833691	0	0	5.95663569216107e-05	0	0	0.00291875148915892	0	0.00157850845842268	0	0	0	0	0	0	0.0115260900643317	0.00142959256611866	0	0	0	0.000148915892304027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95663569216107e-05	0.000119132713843221	0	0	0	0	0	0	0	8.9349535382416e-05	0	5.95663569216107e-05	0	0	0	0	0	0	0	0	0
4015.4.lib30	0	0.0214336895230381	6.23072369855759e-05	0.00601264836910807	0.000186921710956728	0.00074768684382691	0	0	0	0.223246830119318	0.031589769151687	0	0	0.00345805165269946	0	0	0	0	0	0.0156702701018723	0.0323997632324995	0.000716533225334123	0	0	0.00585688027664413	0	6.23072369855759e-05	0.00370728060064176	0	0	0.00015576809246394	0	0	0.00249228947942304	0	0	0.00473535001090377	0	0	0	0	0.00429919935200474	0.00355151250817783	0.0699398735163089	0	0.00663572073896383	0.0116826069347955	0.00127729835820431	0	0.00302190099380043	0	0	0.0227109878812424	0.00115268388423315	0.00445496744446868	0	0.00364497336365619	0	0.00442381382597589	0	0.000591918751362971	0.130253278918346	0	0.00401881678556964	0	0.000404997040406243	0.00996915791769214	0.00115268388423315	0.00015576809246394	0.00193152434655285	0.00501573257733886	0.0399077852892613	0.0154521947724228	0	0.000841147699305274	0.00230536776846631	9.34608554783638e-05	0	0	0.000373843421913455	0	0.0279447957880308	0.0105922302875479	0	0	0.000934608554783638	0	0	6.23072369855759e-05	0.155238480949562	0	0.00274151842736534	0.000342689803420667	0.00193152434655285	0.0773855883360852	0.000186921710956728	0	0.000280382566435091	0	0.000342689803420667	0	0	0.000591918751362971	0	0.000591918751362971	0.000124614473971152	0	0	0.00295959375681485	0	0.00230536776846631	0	0	0	0	0	0	0.0113399171313748	0.00177575625408891	0	0	0	0.000186921710956728	9.34608554783638e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000249228947942303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4016.2.rerun.lib32	0.00260988441940428	0.0673184473259041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000144993578855794	0	0	0	0	0	0	0	0	0.922262728364887	0.00302415178756369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000476407473383322	0.000932101578358673	0	0	0	0	0.000455694104975351	0	0	0.00111852189403041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165706947263764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4016.4.rerun.lib32	0.00382001289874485	0.140298655553902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840105174381108	0.00550677184104777	0	0	0	0	0	0	0	0	0	0	0.000396884457012452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000198442228506226	0	0	0	0.000496105571265565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00917795306841296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018.2.rerun.lib32	0.0213100265147795	0.000229140070051393	0.00527022161118204	0	0	0	0	0.000621951618710923	0	0	0	0	0	0	0	0	0	0.0041572555566467	0	0	0	0	0.0035680382336574	0	0	0	0	0	0	0	0	0	0	0.703721889423549	0.029886411993846	0.0159743363121542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000949294575927199	0	0	0	0	0	0	0	0.000949294575927199	0.00972208582932338	0.0643883596844414	0.000621951618710923	0.0136502013159187	0	0.00366624112082229	0.00343710105077089	0	0	0	0	0.00297882091066811	0	0.0848472945104586	0.027333136927559	0	0	0	0	0	0	0	0	0	0	0	0	0.00206226063046254	0	0	0	0	0	0	0	0	0.000654685914432551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018.4.rerun.lib32	0.00478212993550417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000880918672329715	0.0130564731791726	0	0	0	0	0.000534843479628756	0	0	0	0	0	0	0	0	0	0	0.236086204184364	0.00339782916470033	0.000880918672329715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147868491426774	0.645902155104609	0	0.00670127418593676	0	0.000408997955010225	0.000283152430391694	0	0	0	0	0	0	0.0855434953594463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.29227623092654e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
