feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Odoribacter	Group	pre_ltx	-3.20830184849112	0.507902524706217	137	106	1.56205951970676e-08	1.02506045594981e-06
Veillonella	Group	pre_ltx	3.48374792388429	0.550248208693841	137	93	1.6100426009683e-08	1.02506045594981e-06
Enterococcus	Group	pre_ltx	4.44800006096901	0.696040404795279	137	30	1.16353125065576e-08	1.02506045594981e-06
Parabacteroides	Group	pre_ltx	-3.44240940733693	0.593849809127635	137	110	1.33601437989798e-07	6.37946866401287e-06
Coprococcus	Group	pre_ltx	-3.14941171010177	0.5770007674528	137	119	5.67870524419201e-07	2.16926540328135e-05
Clostridia_UCG.014	Group	pre_ltx	-3.36074926634332	0.624534358681822	137	59	7.68273469319446e-07	2.44567054400023e-05
f__Enterobacteriaceae.g__unassigned	Group	pre_ltx	2.0862102910064	0.416756784211851	137	22	3.45888815038174e-06	9.4378233817559e-05
Alistipes	Group	pre_ltx	-2.96491065159952	0.623562223586124	137	120	9.12587323167719e-06	0.000217880223406293
Erysipelotrichaceae_UCG.003	Group	pre_ltx	-3.12165696349422	0.662895100062389	137	94	1.07847062194306e-05	0.000228875431990138
Barnesiella	Group	pre_ltx	-3.1963842633092	0.692780874163264	137	92	1.54558287671867e-05	0.000246005274544388
Bilophila	Group	pre_ltx	-2.75297166845528	0.59590837441315	137	95	1.51409020056187e-05	0.000246005274544388
Sutterella	Group	pre_ltx	-4.01360580435465	0.86202842152396	137	97	1.31920344767723e-05	0.000246005274544388
Butyricimonas	Group	pre_ltx	-2.49825365057381	0.549705415195572	137	81	2.00560596663107e-05	0.000294669799712719
o__Rhodospirillales.f__uncultured.g__uncultured	Group	pre_ltx	-3.18967049930452	0.731080794764758	137	68	3.92326150907778e-05	0.000535244963024183
Dorea	Group	pre_ltx	-2.38460740240405	0.549711326888233	137	121	4.31092918032404e-05	0.000548924982294594
Coprobacter	Group	pre_ltx	-3.15286172398898	0.736577369650655	137	81	5.29557831024529e-05	0.000572637681555264
CAG.56	Group	pre_ltx	-3.27059765342877	0.764767727885513	137	74	5.39658548062553e-05	0.000572637681555264
Hungatella	Group	pre_ltx	2.27513512115261	0.530970068465359	137	47	5.22972883979305e-05	0.000572637681555264
X.Ruminococcus._torques_group	Group	pre_ltx	-2.61707119915619	0.626234205414611	137	126	7.66291273767159e-05	0.000770324385734354
Collinsella	Group	pre_ltx	-3.42400625959895	0.832030628193461	137	113	9.61456852132201e-05	0.000874467898844049
Senegalimassilia	Group	pre_ltx	-2.78367122266872	0.675033768494395	137	58	9.32386534708997e-05	0.000874467898844049
GCA.900066575	Group	pre_ltx	-1.76256814571299	0.43695308410484	137	83	0.000129182909442009	0.0011215425319738
Lachnospiraceae_UCG.010	Group	pre_ltx	-2.65653696438368	0.692359781640727	137	100	0.000253494841338446	0.00210510933459318
Faecalibacterium	Group	pre_ltx	-2.37969238806619	0.622077823536584	137	127	0.000264907509838064	0.0021082222657946
