feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f__Enterobacteriaceae.g__unassigned	Group	post_ltx	2.91075998364939	0.71305427939878	349	105	7.7639400237184e-05	0.0108695160332058
Escherichia.Shigella	Group	post_ltx	3.39721814217273	0.898540677428533	349	258	0.000237991126461201	0.0166593788522841
Ralstonia	Group	post_ltx	-0.780130055342979	0.23412164890382	349	49	0.00114810065153949	0.0535780304051762
Rothia	Group	post_ltx	0.799344631137925	0.277693685380146	349	89	0.00469920266604912	0.117564195538039
Enterococcus	Group	post_ltx	1.77257255260355	0.599915639051851	349	108	0.00372159471498212	0.117564195538039
X.Eubacterium._fissicatena_group	Group	post_ltx	0.670186069695025	0.234931417810962	349	55	0.0050384655230588	0.117564195538039
Holdemanella	Group	post_ltx	-0.98960864987825	0.370867993335994	349	55	0.00860324444467436	0.168924218305394
Burkholderia.Caballeronia.Paraburkholderia	Group	post_ltx	-0.498434472853181	0.189363507885446	349	68	0.00965281247459394	0.168924218305394
Pseudomonas	Group	post_ltx	-0.919903899901676	0.360517919603208	349	137	0.0119395393386105	0.185726167489497
f__Christensenellaceae.g__uncultured	Group	post_ltx	0.559994000070452	0.223453146927953	349	38	0.0134453139237994	0.188234394933192
Romboutsia	Group	post_ltx	-1.01298210011921	0.413557315934583	349	95	0.0156495209335087	0.199175720971929
Holdemania	Group	post_ltx	0.52592617923683	0.218886375668763	349	75	0.0177319131733916	0.206872320356235
Turicibacter	Group	post_ltx	-0.838072801546661	0.378856345144447	349	74	0.0287784901414385	0.309922201523183
Fusobacterium	Group	post_ltx	1.046932363494	0.486930983089237	349	118	0.0334139670115866	0.334139670115866
Klebsiella	Group	post_ltx	1.18739344045782	0.591932341058531	349	79	0.0469545653990078	0.43824261039074
Tuzzerella	Group	post_ltx	0.908056576800263	0.461981095059941	349	70	0.0515111727564554	0.450722761618985
Cutibacterium	Group	post_ltx	0.28705992106201	0.155680549852195	349	41	0.0676036061787463	0.498131835001289
Methylotenera	Group	post_ltx	0.290110664596136	0.154491243184397	349	43	0.0627121819395337	0.498131835001289
Janthinobacterium	Group	post_ltx	0.260663172452333	0.140879503455609	349	45	0.0666464994587662	0.498131835001289
X.Eubacterium._ruminantium_group	Group	post_ltx	0.431220488401472	0.243503320125046	349	31	0.0789242017019654	0.552469411913758
Lachnospiraceae_UCG.010	Group	post_ltx	-0.965022272837592	0.582028560726484	349	208	0.099742044272462	0.634722099915667
Tannerellaceae	Group	post_ltx	-0.424969588316931	0.255467287186905	349	33	0.0986439895907722	0.634722099915667
Bifidobacterium	Group	post_ltx	-1.0542495812438	0.646451187738187	349	280	0.105382147457514	0.637128089543752
Clostridia_UCG.014	Group	post_ltx	0.732902427794911	0.460293866260416	349	101	0.113772873132813	0.637128089543752
Lachnospiraceae_UCG.003	Group	post_ltx	0.603099687404456	0.375790284763014	349	54	0.11096253936877	0.637128089543752
Actinomyces	Group	post_ltx	0.549379818431912	0.352139339778193	349	116	0.121300266895925	0.647827352238833
Veillonella	Group	post_ltx	-0.847220671233309	0.548568887128862	349	300	0.124938132217489	0.647827352238833
Odoribacter	Group	post_ltx	-0.900040259425099	0.607689994138621	349	146	0.14102122002498	0.664098548073316
CAG.56	Group	post_ltx	0.729019216816595	0.493801635244667	349	162	0.142306831729996	0.664098548073316
Methylobacterium.Methylorubrum	Group	post_ltx	0.305308112162563	0.204529145089161	349	71	0.137949743617211	0.664098548073316
Allisonella	Group	post_ltx	-0.246069779745475	0.168791179941095	349	34	0.147306328401061	0.665254386327371
Erysipelatoclostridium	Group	post_ltx	0.847777246242751	0.599193344767754	349	194	0.159535955599716	0.677902473577685
f__Ruminococcaceae.g__unassigned	Group	post_ltx	0.405149866460341	0.28652071084436	349	64	0.159791297343312	0.677902473577685
UC5.1.2E3	Group	post_ltx	0.324296875304826	0.237480185784376	349	32	0.174431352301042	0.692010948582975
Incertae_Sedis	Group	post_ltx	0.497783990461084	0.366322889706476	349	306	0.176585899375817	0.692010948582975
Veillonellaceae	Group	post_ltx	-0.424413035486164	0.313344114975868	349	33	0.177945672492765	0.692010948582975
Clostridia_vadinBB60_group	Group	post_ltx	0.437474017227484	0.332488237258262	349	46	0.19057861184869	0.705347457600122
Intestinibacter	Group	post_ltx	-0.711144856443347	0.541531973593672	349	244	0.191451452777176	0.705347457600122
Flavonifractor	Group	post_ltx	0.686267826429358	0.529828436186478	349	247	0.197562561845668	0.70919893995881
Prevotella_9	Group	post_ltx	0.752295216401658	0.613356431221459	349	52	0.222230235811029	0.758834951549855
Intestinimonas	Group	post_ltx	0.672629162038211	0.546042311803205	349	192	0.22025493260434	0.758834951549855
Gastranaerophilales	Group	post_ltx	0.426065891034128	0.353027520955222	349	47	0.229669747097404	0.765565823658013
Senegalimassilia	Group	post_ltx	-0.333932342394567	0.35628503416969	349	74	0.350354229438797	0.791122453571478
Bacteroides	Group	post_ltx	-0.473649064387447	0.450559518475481	349	315	0.295108326816203	0.791122453571478
Coprobacter	Group	post_ltx	-0.512078734069637	0.506632171027388	349	93	0.31402366015108	0.791122453571478
Parasediminibacterium	Group	post_ltx	0.219202607678801	0.228098654575964	349	69	0.338414578886606	0.791122453571478
Merdibacter	Group	post_ltx	0.176847902282155	0.173287086986374	349	40	0.309490066183552	0.791122453571478
Streptococcus	Group	post_ltx	0.428339022305243	0.441098904057272	349	329	0.333349535219466	0.791122453571478
Anaerostipes	Group	post_ltx	-0.517114752794001	0.479410221989833	349	315	0.282759800074044	0.791122453571478
Hungatella	Group	post_ltx	0.66576591511148	0.69666491730427	349	198	0.34103111935029	0.791122453571478
Lachnospiraceae_UCG.004	Group	post_ltx	-0.5316945465123	0.464562879439528	349	285	0.254535738344519	0.791122453571478
Marvinbryantia	Group	post_ltx	0.560388002479723	0.481982254973209	349	192	0.247112301466953	0.791122453571478
Roseburia	Group	post_ltx	0.622868332217967	0.603295173466591	349	324	0.303796865190645	0.791122453571478
X.Eubacterium._hallii_group	Group	post_ltx	-0.490823835944596	0.507815211604453	349	280	0.335583348134966	0.791122453571478
