feature	Actinomyces	Bifidobacterium	Rothia	Cutibacterium	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Muribaculaceae	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Parasediminibacterium	Gastranaerophilales	Bilophila	Desulfovibrio	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Enterococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	f__Christensenellaceae.g__uncultured	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	UC5.1.2E3	X.Eubacterium._eligens_group	X.Eubacterium._fissicatena_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Intestinibacter	Romboutsia	Phascolarctobacterium	Dialister	Veillonella	Fusobacterium	Methylobacterium.Methylorubrum	o__Rhodospirillales.f__uncultured.g__uncultured	Methylotenera	Janthinobacterium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Haemophilus	Pseudomonas	Akkermansia	Prevotella	Tannerellaceae	Holdemanella	Limosilactobacillus	Howardella	CAG.352	Parvimonas	Allisonella	Megasphaera	Veillonellaceae	Burkholderia.Caballeronia.Paraburkholderia	Ralstonia	Actinobacillus
4002.III.2.lib30	3.6600541688017e-05	0.0103945538393968	0	0	0.00591098748261474	0	0	0	0	0	0.105830466290901	0	0	0	0	0	0	0	0	0.0164702437596076	0	0	0.0198191933240612	0.00774101456701559	0	0.000915013542200425	0.0159944367176634	0	0	0	0	0.000146402166752068	0	0.000384305687724178	0	0	0	0	0	0	0	0	0.00265353927238123	0.0391076787936461	0.280652953663714	0	0	0.000274504062660127	0	0.00993704706829661	0	0.000549008125320255	0.0341849059366079	0.00737500915013542	0	0	0	0	0	0.00212283141790498	0	0.00206793060537296	0.00583778639923871	0	0	0	0	0	0.000750311104604348	0	0	0	0	0.00968084327648049	0.0814911060683698	0.0245589634726594	0.000292804333504136	0.00243393602225313	0.000585608667008272	0.010870360881341	0.000457506771100212	0	0.00437376473171803	0	0	0.00816192079642779	0	0	0	0.000201302979284093	0.000274504062660127	0	0.239916550764951	0	0	0	0	0.00752141131688749	0	0	0	0	0	0	0.000750311104604348	0	0	0	0	0	0	0	0.00283654198082132	0.00311104604348144	0	0	0.019361686552961	0	0	0	0.000457506771100212	0.0101383500475807	0	0.00336724983529756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002.V.3.lib30	0	0.00739459936722831	0	0	0.0054815686851593	0	0	0	0	0	0.161503936428519	0	0	0	0	0	0	0	0	0.0226988448237804	0	0	0.0354646457214333	0.0164079170038996	0	0.000588624825252005	0.00662202928408506	0	0	0	0	0	0	0.000110367154734751	0	0	0	0	0	0	0	0	0.00242807740416452	0.0234346258553454	0.156169523949673	0	0	0.000147156206313001	0	0.00794643514090207	0	0.000772570083143257	0.0324111544404385	0.00838790375984107	0	0	0	0	0	0.00529762342726805	0	0.00128761680523876	0.00253844455889927	0	0	0	0	0	0.000478257670517254	0	0	0	0	0.00518725627253329	0.0680965344713413	0.0245015083511147	0.000478257670517254	0.00209697593996027	0.000588624825252005	0.00478257670517254	0.000183945257891252	0	0.00312706938415128	0	0	0.00956515341034508	0	0	0	0	0	0	0.301339121477448	0	0	0	0	0.00930763004929733	0	0	0	0	0	0	0.000919726289456258	0	0	0	0	0	0	0	0.00257523361047752	0.00820395850194982	0	0	0.0427488779339269	0	0	0	0.000993304392612758	0.0140166286513134	0	0.00371569420940328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002.VI.4.lib30	0.000208524480774043	0.00625573442322129	0	0	0.00296104762699141	0	0	0	0	0	0.19939110851614	0	0	0	0	0	0	0	0	0.0353240470431229	0	0	0.0377846359162566	0.013512386354158	0	0.000500458753857703	0.00558845608474435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375344065393277	0.0171824172157811	0.110851613979481	0	0	0	0	0.00734006172324631	0	0.00120944198848945	0.0332805071315372	0.0115105513387272	0	0	0	0	0	0.00842438902327133	0	0.000959212611560597	0.0038785553423972	0	0	0	0	0	0.00087580281925098	0	0	0	0	0.00300275252314622	0.0603886896321628	0.0231879222620736	0.000166819584619234	0.00179331053465677	0.000917507715405789	0.0063391442155309	0.000250229376928851	0	0.00521311201935107	0	0	0.0122612394695137	0	0	0	0	0	0	0.308699641337893	0	0	0	0	0.00746517641171073	0	0	0	0	0	0	0.00104262240387021	0	0	0	0	0	0	0	0.00354491617315873	0.00859120860789057	0	0	0.0432896822086913	0	0	0	0.00191842522312119	0.00671448828092418	0	0.00442071899240971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.III.2.lib30	0.000401097741186405	0.000211104074308634	0.000189993666877771	0	0.00341988600379987	0	0.000295545704032088	0	0.00113996200126662	0.0036943213004011	0.214946168461051	0.0182605024276969	0.00388431496727887	0.00208993033565548	0.00981633945535149	0	0	0	0	0.0250158328055731	0.0191893603546548	0	0	0	0	0.000232214481739498	0.00428541270846527	0	0	0	0	0.000126662444585181	8.44416297234537e-05	0.0350221659278024	0.000485539370909859	0.000126662444585181	0.000485539370909859	0	0	0	0	0.0151994933502217	0.00160439096474562	0.000696643445218493	0.0323411441840828	0	0.00470762085708254	0.0194004644289635	0.0030610090774752	0.00234325522482584	0.000337766518893815	0.00164661177960735	0.00827527971289846	0.00151994933502217	0.000548870593202449	0.000168883259446907	0	0	0.00377876293012455	0	0.00181549503905425	0.177876293012455	0.000253324889170361	4.22208148617268e-05	0	0	0.00103440996411231	0	0.00384209415241714	0	0	0	0.00401097741186405	0	0.00624868059953557	0.075427485750475	8.44416297234537e-05	0.00407430863415664	0.00135106607557526	0.000168883259446907	0.00139328689043699	0.000232214481739498	0.000316656111462951	0	0.0158116951657167	0.00637534304412075	0.000717753852649356	0.000379987333755541	0.00270213215115052	0.000147772852016044	0	0	0.0851804939835339	0	0.000379987333755541	0.000823305889803673	0.000189993666877771	0.00204770952079375	0	6.33312222925903e-05	0	0.00200548870593202	0	0.000253324889170361	0.000147772852016044	0	6.33312222925903e-05	0.000232214481739498	0.000675533037787629	0.00491872493139118	0	0.0150094996833439	0	0.00601646611779607	0.00175216381676166	0	0	0	0	0	0.0236858771374288	0.0972345366265569	0	0.000147772852016044	0.0156850327211315	0.000147772852016044	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.V.3.lib30	0	0.000822888973287758	0	0	0.0027851626788201	0	0.00031649575895683	0	0.000379794910748196	0.00601341942017977	0.251740726674263	0.0165210786175465	0.00272186352702874	0.00227876946448918	0.00689960754525889	0	0	0	0	0.0204456260286112	0.0161412837067983	0	0	0	0	0.000126598303582732	0.00170907709836688	0	0	0	0	0	0	0.0173439675908343	0.000189897455374098	0.000126598303582732	0.000379794910748196	0	0	0	0	0.0167109760729206	0.00145588049120142	0.000506393214330928	0.0303202937080643	0.000379794910748196	0.0059501202683884	0.0202557285732371	0.00373464995569059	0.00183567540194961	0.000696290669705026	0.00063299151791366	0.00936827446512217	0.00139258133941005	0.000569692366122294	6.3299151791366e-05	0	0	0.00329155589315103	0	0.00234206861628054	0.114634763894164	0.000253196607165464	0.000126598303582732	0	0	0.000886188125079124	0	0.00557032535764021	0	0.000126598303582732	0	0.00240536776807191	0	0.00569692366122294	0.0714647423724522	0	0.00538042790226611	0.00177237625015825	0	0.00170907709836688	0.000569692366122294	0.00113938473224459	0.00031649575895683	0.0473477655399418	0.00924167616153944	0.00145588049120142	0.000822888973287758	0.00455753892897835	0	0.000126598303582732	0	0.117863020635523	0	0.000822888973287758	0.000443094062539562	0.000696290669705026	0.00411444486643879	0	0	0	0.00120268388403595	0	0.000253196607165464	0	0	0	0.000126598303582732	0.00063299151791366	0.00493733383972655	0	0.0341182428155463	0	0.0158880870996329	0.00177237625015825	0	0	0	0	0	0.0179136599569566	0.0610203823268768	0.000126598303582732	0	0.0160146854032156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004.VI.4.lib30	0.00186758801008498	0.00177420860958073	0.000653655803529741	0	0.0111121486600056	0	0.000560276403025493	0	0.00252124381361472	0.00691007563731441	0.155756840041087	0.0146605658791671	0.00205434681109347	0.00149407040806798	0.00476234942571669	0	0	0	0	0.0156877392847138	0.0114856662620226	0	0	0	0	0.000653655803529741	0.00634979923428892	0	0	0	0	0	0	0.0464095620506116	0.000840414604538239	0	0.000466897002521244	0	0	0	0.000280138201512746	0.0193295359043795	0.00289476141563171	0.00102717340554674	0.0470632178541414	0	0.0104584928564759	0.0297880287608554	0.00373517602016995	0.00438883182369969	0.000186758801008498	0.00112055280605099	0.0076571108413484	0.00112055280605099	0.000560276403025493	0.000466897002521244	0	0	0.00354841721916145	0	0.00252124381361472	0.147072555794192	0.000466897002521244	0.000186758801008498	0	0	0.000466897002521244	0	0.00961807825193762	0	0.000186758801008498	0	0.00410869362218695	0	0.00915118124941638	0.0795592492296199	0.000373517602016995	0.00457559062470819	0.00140069100756373	0	0.00149407040806798	0.00112055280605099	0.000653655803529741	0	0.0363245867961528	0.00513586702773368	0.00158744980857223	0.00102717340554674	0.00504248762722943	0	0	0	0.122140255859557	0	0.000466897002521244	0.00074703520403399	0.00130731160705948	0.00270800261462321	0	0	0	0.00289476141563171	0	0.00112055280605099	0.000373517602016995	0	0	0.000466897002521244	0.000840414604538239	0.00849752544588664	0	0.0276403025492576	0	0.0110187692595014	0.00252124381361472	0	0	0	0	0	0.018395741899337	0.0537865346904473	0	0	0.0133532542721076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.III.2.lib30	0.000244081034903588	0.00262387112521357	0.000244081034903588	0	0.00707835001220405	0	0.000122040517451794	0	0.00134244569196973	0	0.114779106663412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122040517451794	0.0020136685379546	0	0	0	0	0	0	0.00366121552355382	0	0	0.000732243104710764	0	0	0	0	0.0144618013180376	0.00268489138393947	0.0133634366609714	0.143946790334391	0	0.00372223578227972	0.0109226263119356	0	0.0206248474493532	0	0	0.0322797168659995	0.0771296070295338	0.000122040517451794	0.00170856724432512	0.000366121552355382	0	0.00329509397119844	0	0.000366121552355382	0.00964120087869173	0	0	0.0233707590920186	0	0.0020136685379546	0	0.00951916036123993	0	0	0	0	0.0214791310715157	0.0142787405418599	0.0395411276543813	0.000488162069807176	0	0	0.000488162069807176	0	0	0	0.000183060776177691	0.000305101293629485	0	0	0	0.000244081034903588	0	0	0	0.0212350500366122	0	0.000244081034903588	0	0.000305101293629485	0.00445447888699048	0	0	0	0	0	0	0	0	0	0	0	0.00109836465706615	0	0	0	0.000305101293629485	0	0	0	0	0	0.000671222845984867	0	0.374969489870637	0.0148889431291189	0	0.0019526482792287	0.000366121552355382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.V.3.lib30	4.63994060876021e-05	0.0109270601336303	9.27988121752042e-05	0	0.0133630289532294	0.000208797327394209	0.000719190794357832	0	0.0044079435783222	0	0.219608389012621	0	0	0	0	0	0	0	0	0.00313195991091314	0	0	0	0	0	0.00102078693392725	0.00102078693392725	0	0	0.000139198218262806	0	0	0	0.00584632516703786	0	0	0.00461674090571641	0	0	0.00266796585003712	0	0.00962787676317743	0.00805029695619896	0.00308556050482554	0.0547744988864143	0	0.00617112100965108	0.0165181885671863	0	0.0109966592427617	0.000301596139569413	0	0.0107414625092799	0.0158221974758723	0.00109038604305865	0.00301596139569414	0.00287676317743133	0	0.00747030438010393	4.63994060876021e-05	0.000997587230883445	0.0345443578322197	9.27988121752042e-05	0	0.00341035634743875	0	0.000881588715664439	6.95991091314031e-05	0.00698311061618411	0	0.000115998515219005	0.000278396436525612	0	0.00294636228656273	0.00299276169265033	0.0168893838158872	0.00805029695619896	0.000510393466963623	0.00368875278396437	0.00143838158871566	0.00023199703043801	6.95991091314031e-05	0.00236636971046771	0.000719190794357832	0.0133630289532294	0.000371195248700817	0.000185597624350408	6.95991091314031e-05	0.000603192279138827	0	4.63994060876021e-05	4.63994060876021e-05	0.153744432071269	0	0.000603192279138827	0	0.00946547884187082	0.0109966592427617	0	0	0	0.000185597624350408	0	0	0.000626391982182628	0	0	0.000371195248700817	0.000162397921306607	0.00148478099480327	0	0	0.0114838530066815	0.000951187824795843	0	0	0	0	0	0.00538233110616184	0	0.27990441722346	0.00345675575352635	0	0.000533593170007424	0	0.000278396436525612	0	0	0	0	0	0	0	0	0	0	0	0	0
4008.VI.4.lib30	0.000102338433198588	0.00901857442562554	0.000153507649797882	0	0.0110013815688482	0.000153507649797882	0.00156066110627846	0	0.00260963004656399	0	0.350624264442511	0	0	0	0	0	0	0	0	0.00465639871053574	0	0	0	0	0	0.00118968428593358	0.000511692165992939	0	0	0.000191884562247352	0	7.67538248989408e-05	0	0.00442613723583892	0.000115130737348411	0	0.00562861382592233	0	0	0.00225144553036893	0	0.00656245202885944	0.00698459806580361	0.00262242235071381	0.0690400654965972	0	0.0062170598168142	0.0182290334134984	0	0.0089418206007266	0.000345392212045234	0.000127923041498235	0.00779051322724249	0.0144041344727012	0.00138156884818093	0.00496341401013151	0.00324924525405516	0	0.00671595967865732	0	0.00140715345648058	0.0314178989919664	0	5.11692165992939e-05	0.00269917617561275	0	0.000857084378038172	0	0.00677992119940644	0	0.000153507649797882	0	0	0.00368418359514916	0.00271196847976257	0.0137261423527606	0.00415749884869263	0.00101059202783605	0.00377372972419792	0.000985007419536407	0.000358184516195057	0	0.00254566852581487	0.00139436115233076	0.0099779972368623	0	0.000153507649797882	0	0.00156066110627846	0	0	0.000230261474696822	0.0854525917208208	0	0.00121526889423323	0	0.011666581384639	0.0192652100496341	0	0	0.000115130737348411	0.000281430691296116	0	0	0.00106176124443535	0	0	0.000498899861843115	0.000179092258097529	0.00143273806478023	0	0	0.0115898275597401	0.000562861382592233	0	0	0	0	0	0.00266079926316328	0	0.21882515478688	0.00200839175152228	1.27923041498235e-05	0.000831499769738525	3.83769124494704e-05	0.000818707465588702	0	0	0	0	0	0	0	0	0	0	0	0	0
4009.III.2.lib30	0.000355450236966825	0	0.000177725118483412	0	0.0320053317535545	0	0.000459123222748815	0.00776066350710901	0	0	0.25728672985782	0.00186611374407583	0	0	0.000933056872037915	0.000844194312796209	0	0	0	0.000518364928909953	0.0168394549763033	0	0.000385071090047393	0	0	0	0.00528732227488152	0	0	0	0	0	0.00598341232227488	0.00576125592417062	5.92417061611374e-05	0	0	0	0	0	0	0.000681279620853081	0.00362855450236967	0.0127813981042654	0.137011255924171	0.00408767772511848	0.0308204976303318	0.015728672985782	0.000103672985781991	0.00808649289099526	0.000681279620853081	0	0.0146623222748815	0.000740521327014218	0.00497630331753555	0.00140699052132701	0.00023696682464455	0	0.00231042654028436	0.0011404028436019	0.000148104265402844	0.0983412322274882	0	0	0	0	0.000266587677725118	0	0.0100266587677725	0	0	0	0.00278436018957346	0	0.0104561611374408	0.0599674170616114	5.92417061611374e-05	0.00231042654028436	0.000399881516587678	0	0.000666469194312796	0.000296208530805687	0.000103672985781991	0	0.00257701421800948	0.000562796208530806	0.000162914691943128	2.96208530805687e-05	0.000103672985781991	0	0	0	0.0967417061611374	0	0.000222156398104265	0	0.000844194312796209	0.0985781990521327	0	0	0	0	0	0.000162914691943128	0	0	0	0.000311018957345972	0.000162914691943128	0.0034063981042654	0	0.00472452606635071	0.000103672985781991	0.000710900473933649	0.000222156398104265	0	0	0	0	0	0.013699644549763	0.00786433649289099	0	0	0.00296208530805687	0.000681279620853081	0	0	0.00102191943127962	0	0	0.00271030805687204	0	0	0	0	0	0	0	0
