feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4002.III.2.lib30	893	6683	1083	423	43761	0	1821	0
4002.V.3.lib30	350	5007	964	446	18773	0	1671	0
4002.VI.4.lib30	226	5628	906	324	15562	0	1351	0
4004.III.2.lib30	542	13891	0	0	26523	86	6485	0
4004.V.3.lib30	204	5007	0	0	9110	28	1502	0
4004.VI.4.lib30	337	2205	0	0	7295	27	916	0
4008.III.2.lib30	191	1881	0	0	7878	0	6438	0
4008.V.3.lib30	1283	9601	0	0	19756	0	12469	12
4008.VI.4.lib30	1923	27773	0	0	30913	0	17540	64
4009.III.2.lib30	2752	18859	26	0	44202	15	1702	0
4009.V.3.lib30	1173	8145	26	0	21893	9	789	0
4009.VI.4.lib30	1301	5806	8	0	21920	0	704	0
4010.III.2.lib30	711	2970	264	104	8792	0	140	681
4010.V.3.lib30	1042	9322	1001	317	21367	0	408	2474
4010.VI.4.lib30	1790	22830	1193	490	37625	0	737	2695
4011.3.rerun.lib32	3442	0	0	0	26150	0	38520	36
4011.4.rerun.lib32	4979	0	0	0	13558	0	18397	0
4011.III.2.lib30	604	0	0	0	2319	0	9080	5
4012.4.lib30	194	15195	123	1027	33402	0	1071	5297
4012.III.2.lib30	86	5859	110	343	10371	0	584	3576
4012.V.3.lib30	248	9093	98	452	16514	0	877	2818
4021.2.lib30	157	34294	0	0	36889	0	6775	0
4021.3.lib30	27	5657	0	0	7770	0	1148	0
4021.4.lib30	49	8698	0	0	18240	8	3606	0
4026.2.lib30	19	1435	0	0	17289	27	19625	0
4026.3.lib30	0	963	0	0	10253	11	15580	0
4026.4.lib30	56	3461	0	0	36011	10	27010	0
4029.2.lib29	13	177	0	6	542	0	29247	0
4029.3.lib29	60	303	0	0	1420	0	18413	0
4029.4.lib29	24	337	0	0	2701	0	46451	0
4031.2.lib29	343	5961	0	0	14141	2	659	0
4031.3.lib29	73	10178	0	0	12425	0	252	0
4031.4.lib29	84	9363	0	0	15786	9	280	0
4032.2.lib29	249	10090	0	0	18141	0	277	0
4034.2.lib29	205	3838	0	0	16091	0	1195	0
4034.3.lib29	89	3863	0	0	11617	0	761	38
4034.4.lib29	93	7924	0	0	12312	0	705	0
4038.2.lib29	138	9875	312	247	16592	17	2956	1259
4038.3.lib29	42	10089	355	364	11098	7	2691	3436
4038.4.lib29	92	10566	162	385	16094	37	3321	2569
4039.2.rerun.lib32	198	6245	0	30	18076	0	7678	0
4039.3.lib29	74	5272	0	0	7666	3	16828	0
4039.4.lib29	28	9298	0	0	6890	2	28772	0
4041.2.lib29	1515	4017	0	0	12014	0	297	61
4041.3.lib29	1367	2842	0	0	9779	0	175	46
4041.4.lib29	1584	6599	0	0	16709	0	370	74
4045.2.lib29	465	7416	0	20	10791	53	2652	375
4045.3.lib29	612	6745	0	38	12980	59	3728	325
4045.4.lib29	349	10266	0	64	14016	37	4908	957
4047.2.lib29	858	6385	0	300	14529	82	3394	133
4047.3.lib29	877	9595	0	195	13031	0	3024	531
4047.4.lib29	715	10364	0	228	13345	5	3337	450
4050.2.lib29	267	12006	0	224	16829	0	1924	6234
4050.3.lib29	250	10515	0	177	10922	0	1158	4914
4050.4.lib29	566	12013	0	373	15765	0	1141	13932
4052.2.lib29	885	11575	80	1240	18219	0	4476	6500
