feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4002.III.2.lib30	-5.93578704635342	-3.03202325262548	-5.65748588386631	-7.01378955835469	-0.320945325820383	-15.6803595235137	-4.9077882044978	-15.5083312572928
4002.V.3.lib30	-6.28069124409638	-2.44217161584495	-4.81901301969874	-5.9310024560084	-0.535530759386725	-15.6803595235137	-4.02540633786752	-15.5083312572928
4002.VI.4.lib30	-6.73038747481595	-2.09215982399461	-4.7271991971849	-6.21071643434651	-0.624826572893491	-15.6803595235137	-4.15075447790545	-15.5083312572928
4004.III.2.lib30	-6.45431067689203	-1.77459687738215	-14.0036350282381	-14.6041477905599	-0.841503371679592	-9.11019496354381	-2.87356885910684	-15.5083312572928
4004.V.3.lib30	-6.27986089684055	-1.66255549872829	-14.0036350282381	-14.6041477905599	-0.799050900122632	-9.14493131675444	-3.39961714129777	-15.5083312572928
4004.VI.4.lib30	-4.99946477645801	-2.28950661719498	-14.0036350282381	-14.6041477905599	-0.563377294834615	-8.6411820554764	-3.55686576954292	-15.5083312572928
4008.III.2.lib30	-6.42292334944455	-3.12306804395711	-14.0036350282381	-14.6041477905599	-1.05673847586626	-15.6803595235137	-1.34795531600262	-15.5083312572928
4008.V.3.lib30	-5.07079755983943	-2.16713405152639	-14.0036350282381	-14.6041477905599	-1.12609976155067	-15.6803595235137	-1.79004486811831	-11.811140514208
4008.VI.4.lib30	-5.34597775402328	-1.49372539837114	-14.0036350282381	-14.6041477905599	-1.33919475224706	-15.6803595235137	-2.15675967403108	-10.2551208013632
4009.III.2.lib30	-4.61753153334478	-1.84083072947751	-11.3433565699058	-14.6041477905599	-0.611972260039018	-12.1369056924384	-5.31078096636092	-15.5083312572928
4009.V.3.lib30	-4.77137407202311	-1.97566238663874	-10.2669216519105	-14.6041477905599	-0.549179329790068	-11.7974363686093	-5.34347988003816	-15.5083312572928
4009.VI.4.lib30	-4.51466326914947	-2.35673965924061	-11.8600685158673	-14.6041477905599	-0.440108338019378	-15.6803595235137	-5.40063689722997	-15.5083312572928
4010.III.2.lib30	-4.26417532723836	-2.20163386116965	-5.69348695749933	-7.03744135871669	-0.635905405908548	-15.6803595235137	-6.60859805991281	-4.32637008884571
4010.V.3.lib30	-5.10780190498967	-1.94651766972923	-5.16571520843218	-6.82460243712877	-0.749844724828508	-15.6803595235137	-6.46051612529668	-3.8603116822918
4010.VI.4.lib30	-5.23386064580214	-1.56096127884169	-5.81922619025853	-7.10296657895119	-0.840200556531969	-15.6803595235137	-6.51408370885869	-4.64353496031389
4011.3.rerun.lib32	-4.30735231510581	-14.3016033642667	-14.0036350282381	-14.6041477905599	-1.38186037112435	-15.6803595235137	-0.823063614415196	-10.8864586957037
4011.4.rerun.lib32	-2.89102159622841	-14.3016033642667	-14.0036350282381	-14.6041477905599	-1.44580514084373	-15.6803595235137	-1.00547899165805	-15.5083312572928
