feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Desulfobacterota	Group	pre_ltx	-3.258598782016	0.587084803936018	137	104	3.90245956145028e-07	3.90245956145028e-06
Bacteroidota	Group	pre_ltx	-1.89213994644611	0.513286957494268	137	134	0.000424471096566025	0.00212235548283013
Cyanobacteria	Group	pre_ltx	-1.03611779402557	0.547776586620961	137	39	0.0623146924994457	0.155786731248614
Firmicutes	Group	pre_ltx	0.158849337047224	0.0797119454180264	137	137	0.0497807494606488	0.155786731248614
Proteobacteria	Group	pre_ltx	-0.904918260134849	0.556316437373864	137	134	0.107866052171464	0.215732104342928
Campylobacterota	Group	pre_ltx	0.271569479295627	0.223317797988868	137	6	0.227626637612295	0.379377729353825
Verrucomicrobiota	Group	pre_ltx	-0.78608400812638	0.858390527055475	137	74	0.362640968742401	0.518058526774858
Actinobacteriota	Group	pre_ltx	-0.250838176050023	0.331844649972529	137	137	0.451996841747148	0.564996052183935
Fusobacteriota	Group	pre_ltx	-0.0685263507298656	0.506394373577279	137	28	0.892707194183636	0.960956761271311
Patescibacteria	Group	pre_ltx	0.0138993526706477	0.282994513016374	137	24	0.960956761271311	0.960956761271311
