feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4013.2.lib27	267	1169	0	11	14962	0	117	554
4013.3.lib30	215	4572	7	45	9757	0	302	1764
4013.4.lib30	856	4502	12	62	14235	0	371	878
4015.2.rerun.lib32	1266	8389	0	250	17525	0	439	5
4015.3.lib30	698	11859	0	207	20378	0	440	0
4015.4.lib30	928	9857	0	188	20711	0	434	0
4016.2.rerun.lib32	3385	20	0	0	45239	0	405	0
4016.4.rerun.lib32	2905	0	0	0	17388	0	14	0
4018.2.rerun.lib32	1332	482	0	0	29833	417	7920	10
4018.4.rerun.lib32	251	465	0	0	28837	280	2868	0
4020.2.lib29	791	11877	231	251	22774	2	906	5
4020.3.lib30	110	2612	85	80	6985	0	219	0
4020.4.lib30	341	11902	208	217	20219	0	727	0
4022.2.lib27	29	12823	0	0	6649	0	405	0
4022.4.lib30	44	7275	0	0	5835	0	414	0
4023.2.lib27	103	21237	5	0	25620	437	5347	0
4023.3.rerun.lib32	68	7471	0	0	8366	18	2023	27
4023.4.lib30	81	25728	0	0	25700	221	4918	0
4024.2.lib27	582	5129	0	0	28613	0	182	28
4024.3.lib30	904	4232	0	0	19475	0	142	20
4024.4.lib30	813	4511	0	0	18718	0	86	0
4027.4.lib30	136	15795	0	0	20574	0	1544	0
4028.2.lib27	816	9602	0	178	17601	0	255	7
4028.3.lib30	1181	20703	0	204	33380	0	550	18
4028.4.lib30	889	11119	0	269	17842	0	361	10
4030.2.rerun.lib32	186	11931	0	0	25553	5	296	0
4030.3.rerun.lib32	196	18121	0	0	30024	0	567	0
4030.4.lib30	182	24790	0	0	48869	11	974	0
4035.2.lib27	286	5248	0	181	14661	0	178	0
4035.3.lib30	364	6200	0	158	11807	0	383	0
4035.4.lib30	532	8054	0	397	20058	0	738	0
4036.2.lib27	13	4760	0	66	9291	0	957	9459
4036.4.lib30	128	22666	0	275	18559	0	2286	22868
4037.2.lib27	206	9409	0	187	28443	2	20051	133
4037.3.lib30	49	3281	5	51	6707	5	438	36
4042.2.lib27	1431	33184	0	280	63716	0	3099	205
4042.3.lib30	1003	12352	0	79	27198	0	1220	61
4042.4.lib30	1169	16065	0	148	36171	0	1581	135
4051.2.lib27	1504	17021	0	174	36289	6	884	0
4051.3.lib30	1626	9463	0	239	19949	0	526	0
4051.4.lib30	471	7332	0	101	9256	0	203	0
4054.2.lib27	972	10579	0	0	37183	0	1522	0
4054.3.lib30	2119	8694	0	0	34534	0	2512	0
4054.4.lib30	431	3150	0	0	11533	0	738	0
4056.2.lib27	256	10805	0	243	27067	0	569	0
4056.3.lib30	629	17849	0	229	31972	0	1603	0
4056.4.lib30	180	13298	0	243	14686	0	609	0
4058.3.lib30	870	659	0	0	52694	0	2543	0
4058.4.lib30	761	1341	0	0	59266	0	3147	0
4060.2.lib27	620	13572	0	14	24309	0	1028	0
4060.3.lib30	1442	15876	0	4	31297	0	944	0
4060.4.lib30	319	7367	0	0	10361	0	573	0
4063.3.lib30	0	26914	0	0	31850	0	265	0
4063.4.lib30	0	8370	0	0	18180	0	126	0
4064.2.lib27	25	1747	0	9	12165	0	146	1307
4064.4.lib30	168	4348	0	18	24413	3	491	2351
4065.2.lib27	262	2610	0	38	11222	0	298	0
4065.3.rerun.lib32	672	4273	0	71	11811	0	520	0
4065.4.lib30	300	8877	0	76	13799	0	576	0
4068.2.lib27	81	2056	0	11	13698	13	954	0
4068.4.lib30	65	3616	0	6	11341	11	854	0
4070.2.lib29	83	4875	0	0	7660	0	2437	0
4070.3.lib30	141	9748	0	0	12900	0	2568	0
4070.4.rerun.lib32	1581	839	0	0	47077	0	4176	0
4072.2.lib27	681	5977	0	144	12903	11	6899	25
4072.3.lib30	2460	18200	0	378	32182	50	5025	46
4072.4.lib30	391	3186	0	44	6918	9	1364	9
4075.2.lib27	440	9821	180	166	36296	0	487	705
4075.3.rerun.lib32	173	2570	51	137	17570	0	293	284
4075.4.lib30	266	9793	201	213	20713	3	613	820
4076.2.lib27	2012	3944	0	496	22847	16	8447	128
4076.3.lib30	1397	3439	0	273	9898	0	1473	26
4076.4.rerun.lib32	6076	591	0	455	22475	0	865	76
4077.2.lib27	471	9918	0	0	44573	24	8139	0
4080.2.lib27	134	294	0	0	56320	0	645	22169
4080.3.lib30	206	323	0	0	50703	0	888	5580
4080.4.lib30	124	160	0	0	28776	0	535	2422
4083.3.lib30	1126	9640	0	341	28305	0	548	0
4083.4.lib30	716	3709	0	108	15931	3	317	0
4086.2.lib27	73	3123	0	0	29307	0	1827	30081
4086.3.lib30	119	8154	0	0	31203	0	1831	48081
4086.4.lib30	16	1398	0	0	5479	0	479	3648
4092.2.lib27	205	25555	0	0	59549	66	3526	20
4092.3.lib30	120	12045	0	0	22431	9	702	9
4096.2.rerun.lib32	296	6111	0	62	20714	21	2142	0
4096.4.rerun.lib32	688	9763	0	116	20450	41	2462	0
4097.2.lib27	279	2361	18	147	8999	0	4426	0
4097.3.lib30	1092	19424	99	743	40485	0	5269	0
4111.2.lib27	307	15092	0	71	18169	28	1434	3
4111.3.lib30	633	23479	0	57	31036	35	2287	0
4111.4.rerun.lib32	618	3275	0	178	21346	33	617	8
4113.3.lib27	18	824	0	168	10534	0	200	9
4113.4.lib30	267	17292	0	791	34993	0	1301	36
4114.2.lib27	159	3680	0	0	34440	0	8	0
4114.3.rerun.lib32	31	7270	0	0	16842	0	190	0
4114.4.rerun.lib32	146	1809	0	0	26208	0	252	0
4116.2.lib27	280	25204	0	0	44488	16	4073	994
4116.3.lib30	76	8746	0	0	12576	8	1198	198
4116.4.lib30	48	1670	10	126	10927	0	239	55
4117.2.lib27	876	9431	0	0	24357	28	9854	0
4117.3.rerun.lib32	1155	1125	0	0	15717	10	4384	0
4117.4.lib30	384	7914	0	0	17563	36	14819	0
4119.2.lib27	523	12820	46	355	44107	11	1449	123
4119.3.lib30	1156	23669	80	980	74492	230	4047	239
4121.2.rerun.lib32	189	7655	0	0	8617	100	25738	0
4121.3.lib30	684	8320	0	0	26599	61	43662	0
4121.4.lib30	69	2907	0	0	4009	25	8282	0
4124.4.rerun.lib32	2882	15942	0	22	37217	0	2581	11
4125.2.rerun.lib32	291	11261	0	214	50465	0	855	28
4125.3.lib30	262	2659	0	23	12873	0	356	0
4128.2.lib27	947	26253	0	14	25146	11	2295	45
4128.3.lib30	1158	24571	0	0	29647	0	3897	31
4128.4.lib30	1178	12519	0	0	24738	2	3067	13
4130.2.lib27	31	15680	1814	32	21372	0	471	3204
4130.4.lib30	43	17724	1760	18	16320	0	848	2324
4131.2.lib27	1290	18845	0	31	29031	0	438	0
4131.3.lib30	695	6362	0	16	9782	0	219	0
4131.4.lib30	692	8169	0	33	9788	1	168	0
4132.2.lib27	453	14765	0	0	27394	0	268	0
4132.3.lib30	634	29819	0	0	34391	0	345	0
4132.4.rerun.lib32	288	19890	0	0	22677	0	315	0
4133.2.lib27	17	15024	0	0	11544	0	11107	0
4133.3.lib30	2	6846	0	0	6332	0	5719	0
4133.4.rerun.lib32	66	29452	0	0	21386	0	20584	0
4139.2.lib27	147	13385	0	219	17969	0	1203	0
4139.3.lib30	45	4349	0	30	6080	0	365	0
4139.4.lib30	289	15567	0	319	20303	0	1229	0
4140.2.lib27	222	7726	66	0	17143	8	1890	1649
4140.3.rerun.lib32	334	4191	48	0	32928	0	2316	3163
4140.4.rerun.lib32	695	15576	107	0	34063	20	4753	4079
4141.2.lib27	149	17787	0	0	35756	3	561	319
4141.3.lib30	114	7348	0	0	12990	4	213	38
4141.4.lib30	78	5947	0	0	12781	0	142	48
4146.2.lib27	1768	11064	0	44	15566	0	5091	0
4146.3.lib30	2740	16208	0	57	17386	0	6914	0
4146.4.lib30	1948	12443	0	149	18989	8	4572	0
4147.2.lib27	170	2108	0	0	8753	0	23	0
4147.3.lib30	258	3120	6	0	7418	0	31	0
4147.4.rerun.lib32	992	6288	0	0	29586	0	173	3
4148.2.lib27	958	4608	0	0	22898	0	5846	0
