feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4013.2.lib27	0.015632318501171	0.0684426229508197	0	0.000644028103044496	0.875995316159251	0	0.00685011709601874	0.0324355971896955
4013.3.lib30	0.0129036130116433	0.274396831112712	0.000420117632937222	0.00270075621173929	0.585583963509783	0	0.0181250750210059	0.10586964350018
4013.4.lib30	0.0409256071906674	0.215241920061197	0.00057372346528973	0.00296423790399694	0.680579460699943	0	0.0177376171352075	0.0419774335436986
4015.2.rerun.lib32	0.045418669728062	0.300961469469757	0	0.00896893162086532	0.628722106622659	0	0.0157494439262395	0.000179378632417306
4015.3.lib30	0.0207849443154071	0.353135608361622	0	0.00616401643737717	0.606813173724019	0	0.0131022571615747	0
4015.4.lib30	0.0288934553832742	0.306899557880316	0	0.00585341553023227	0.644840899184258	0	0.0135126720219192	0
4016.2.rerun.lib32	0.0690126200330282	0.000407755509796326	0	0	0.9223225753838	0	0.0082570490733756	0
4016.4.rerun.lib32	0.143054119269218	0	0	0	0.856256463288521	0	0.000689417442261289	0
4018.2.rerun.lib32	0.0333049957493624	0.0120518077711657	0	0	0.74593689053358	0.0104265639845977	0.198029704455668	0.000250037505625844
4018.4.rerun.lib32	0.00767560625057338	0.0142197486315403	0	0	0.881838475887588	0.00856242928350815	0.0877037399467906	0
4020.2.lib29	0.0214729755408964	0.322420392540109	0.00627086896327062	0.00681380134104297	0.618237098569373	5.42932377772348e-05	0.0245948367130874	0.000135733094443087
4020.3.lib30	0.0109008026954712	0.25884451491428	0.00842334753740957	0.00792785650579724	0.692200971162422	0	0.02170250718462	0
4020.4.lib30	0.0101445826143869	0.354078657702148	0.00618789789968466	0.00645564348188255	0.601505325162135	0	0.0216278931397632	0
4022.2.lib27	0.00145684718175424	0.644177634883955	0	0	0.334019893499447	0	0.0203456244348438	0
4022.4.lib30	0.00324292452830189	0.536188089622642	0	0	0.430056014150943	0	0.0305129716981132	0
4023.2.lib27	0.00195264365201236	0.402604788716374	9.47885267967165e-05	0	0.485696411306375	0.00828451724203302	0.101366850556409	0
4023.3.rerun.lib32	0.0037834529572136	0.415679074166806	0	0	0.465475991765426	0.00100150225338007	0.112557725477105	0.00150225338007011
4023.4.lib30	0.00142988278491738	0.454173139387092	0	0	0.453678858918232	0.00390128512921904	0.0868168337805395	0
4024.2.lib27	0.0168529565066311	0.14852029883593	0	0	0.828545780969479	0	0.00527016852956507	0.000810795158394626
4024.3.lib30	0.0364913413797279	0.170831146813063	0	0	0.786138134259072	0	0.00573204698663868	0.000807330561498405
