feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4013.2.lib27	-5.9993244228203	-3.8689611399762	-16.0209220818313	-10.6005887358706	-0.191004938955762	-15.8344463596196	-7.18965563492445	-4.94627818845866
4013.3.lib30	-6.27608111295054	-1.86566427432552	-11.2169190404824	-8.53242086621033	-0.772052049601641	-15.8344463596196	-5.78586922321492	-3.23963911698248
4013.4.lib30	-4.61085236844569	-2.21596901339269	-10.7673568541257	-8.39812304445997	-0.555164482217213	-15.8344463596196	-5.81704397822604	-4.57424222531148
4015.2.rerun.lib32	-4.46057073834977	-1.73234929681621	-16.0209220818313	-6.80084814311602	-0.669505603992759	-15.8344463596196	-5.98855529824275	-12.4447043328907
4015.3.lib30	-5.58831730690716	-1.50170579257604	-16.0209220818313	-7.34191357561748	-0.720675688504778	-15.8344463596196	-6.25404081959215	-15.5083312572928
4015.4.lib30	-5.11311344290858	-1.70416152742879	-16.0209220818313	-7.41650558635851	-0.632984844850481	-15.8344463596196	-6.20954320559167	-15.5083312572928
4016.2.rerun.lib32	-3.85699598448884	-11.2600080080638	-16.0209220818313	-15.0076230091737	-0.116656684237282	-15.8344463596196	-6.92015800517922	-15.5083312572928
4016.4.rerun.lib32	-2.80536705396371	-12.6629186671795	-16.0209220818313	-15.0076230091737	-0.223885121977516	-15.8344463596196	-10.502334580198	-15.5083312572928
4018.2.rerun.lib32	-4.90811759199011	-6.37460662283141	-16.0209220818313	-15.0076230091737	-0.422874517443904	-6.58359238561671	-2.3362112440944	-11.965567864174
4018.4.rerun.lib32	-7.02550357976185	-6.13596022771722	-16.0209220818313	-15.0076230091737	-0.181413669690075	-6.86776411676765	-3.51121782501071	-15.5083312572928
4020.2.lib29	-5.54133406841261	-1.63298510013414	-7.31711891146934	-7.19732439893462	-0.693767866255476	-14.1688679528854	-5.34550071283916	-12.846939857998
4020.3.lib30	-6.51942181604431	-1.94984234802254	-6.89139059343127	-6.97885343468161	-0.530737129272145	-15.8344463596196	-5.5259944699678	-15.5083312572928
4020.4.lib30	-6.62314668126385	-1.49785820782391	-7.33633489214693	-7.27522337784354	-0.733350585165152	-15.8344463596196	-5.53096305636843	-15.5083312572928
4022.2.lib27	-9.422934733058	-0.63446952203084	-16.0209220818313	-15.0076230091737	-1.58199406584576	-15.8344463596196	-5.61913763041359	-15.5083312572928
4022.4.lib30	-8.2684888359259	-0.899188921880191	-16.0209220818313	-15.0076230091737	-1.21740351396849	-15.8344463596196	-5.03443349706387	-15.5083312572928
4023.2.lib27	-9.00035559625779	-1.31256376262742	-13.3649280285536	-15.0076230091737	-1.041873268212	-6.91536665394041	-3.30234216204239	-15.5083312572928
4023.3.rerun.lib32	-8.04608077763594	-1.26645797226945	-16.0209220818313	-15.0076230091737	-1.10322133624225	-9.96361861744397	-3.151263014328	-9.37865611672282
