feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4002.III.2.lib30	893	6683	1083	423	43761	0	1821	0
4002.V.3.lib30	350	5007	964	446	18773	0	1671	0
4002.VI.4.lib30	226	5628	906	324	15562	0	1351	0
4004.III.2.lib30	542	13891	0	0	26523	86	6485	0
4004.V.3.lib30	204	5007	0	0	9110	28	1502	0
4004.VI.4.lib30	337	2205	0	0	7295	27	916	0
4008.III.2.lib30	191	1881	0	0	7878	0	6438	0
4008.V.3.lib30	1283	9601	0	0	19756	0	12469	12
4008.VI.4.lib30	1923	27773	0	0	30913	0	17540	64
4009.III.2.lib30	2752	18859	26	0	44202	15	1702	0
4009.V.3.lib30	1173	8145	26	0	21893	9	789	0
4009.VI.4.lib30	1301	5806	8	0	21920	0	704	0
4010.III.2.lib30	711	2970	264	104	8792	0	140	681
4010.V.3.lib30	1042	9322	1001	317	21367	0	408	2474
4010.VI.4.lib30	1790	22830	1193	490	37625	0	737	2695
4011.3.rerun.lib32	3442	0	0	0	26150	0	38520	36
4011.4.rerun.lib32	4979	0	0	0	13558	0	18397	0
4011.III.2.lib30	604	0	0	0	2319	0	9080	5
4012.4.lib30	194	15195	123	1027	33402	0	1071	5297
4012.III.2.lib30	86	5859	110	343	10371	0	584	3576
4012.V.3.lib30	248	9093	98	452	16514	0	877	2818
4013.2.lib27	267	1169	0	11	14962	0	117	554
4013.3.lib30	215	4572	7	45	9757	0	302	1764
4013.4.lib30	856	4502	12	62	14235	0	371	878
4015.2.rerun.lib32	1266	8389	0	250	17525	0	439	5
4015.3.lib30	698	11859	0	207	20378	0	440	0
4015.4.lib30	928	9857	0	188	20711	0	434	0
4016.2.rerun.lib32	3385	20	0	0	45239	0	405	0
4016.4.rerun.lib32	2905	0	0	0	17388	0	14	0
4018.2.rerun.lib32	1332	482	0	0	29833	417	7920	10
4018.4.rerun.lib32	251	465	0	0	28837	280	2868	0
4020.2.lib29	791	11877	231	251	22774	2	906	5
4020.3.lib30	110	2612	85	80	6985	0	219	0
4020.4.lib30	341	11902	208	217	20219	0	727	0
4021.2.lib30	157	34294	0	0	36889	0	6775	0
4021.3.lib30	27	5657	0	0	7770	0	1148	0
4021.4.lib30	49	8698	0	0	18240	8	3606	0
4022.2.lib27	29	12823	0	0	6649	0	405	0
4022.4.lib30	44	7275	0	0	5835	0	414	0
4023.2.lib27	103	21237	5	0	25620	437	5347	0
4023.3.rerun.lib32	68	7471	0	0	8366	18	2023	27
4023.4.lib30	81	25728	0	0	25700	221	4918	0
4024.2.lib27	582	5129	0	0	28613	0	182	28
4024.3.lib30	904	4232	0	0	19475	0	142	20
4024.4.lib30	813	4511	0	0	18718	0	86	0
4026.2.lib30	19	1435	0	0	17289	27	19625	0
4026.3.lib30	0	963	0	0	10253	11	15580	0
4026.4.lib30	56	3461	0	0	36011	10	27010	0
4027.4.lib30	136	15795	0	0	20574	0	1544	0
4028.2.lib27	816	9602	0	178	17601	0	255	7
4028.3.lib30	1181	20703	0	204	33380	0	550	18
4028.4.lib30	889	11119	0	269	17842	0	361	10
4029.2.lib29	13	177	0	6	542	0	29247	0
4029.3.lib29	60	303	0	0	1420	0	18413	0
4029.4.lib29	24	337	0	0	2701	0	46451	0
4030.2.rerun.lib32	186	11931	0	0	25553	5	296	0
