feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4002.III.2.lib30	-5.93578704635342	-3.03202325262548	-5.65748588386631	-7.01378955835469	-0.320945325820383	-15.8344463596196	-4.9077882044978	-15.4729446337796
4002.V.3.lib30	-6.28069124409638	-2.44217161584495	-4.81901301969874	-5.9310024560084	-0.535530759386725	-15.8344463596196	-4.02540633786752	-15.4729446337796
4002.VI.4.lib30	-6.73038747481595	-2.09215982399461	-4.7271991971849	-6.21071643434651	-0.624826572893491	-15.8344463596196	-4.15075447790545	-15.4729446337796
4004.III.2.lib30	-6.45431067689203	-1.77459687738215	-16.0209220818313	-15.0076230091737	-0.841503371679592	-9.11019496354381	-2.87356885910684	-15.4729446337796
4004.V.3.lib30	-6.27986089684055	-1.66255549872829	-16.0209220818313	-15.0076230091737	-0.799050900122632	-9.14493131675444	-3.39961714129777	-15.4729446337796
4004.VI.4.lib30	-4.99946477645801	-2.28950661719498	-16.0209220818313	-15.0076230091737	-0.563377294834615	-8.6411820554764	-3.55686576954292	-15.4729446337796
4008.III.2.lib30	-6.42292334944455	-3.12306804395711	-16.0209220818313	-15.0076230091737	-1.05673847586626	-15.8344463596196	-1.34795531600262	-15.4729446337796
4008.V.3.lib30	-5.07079755983943	-2.16713405152639	-16.0209220818313	-15.0076230091737	-1.12609976155067	-15.8344463596196	-1.79004486811831	-11.811140514208
4008.VI.4.lib30	-5.34597775402328	-1.49372539837114	-16.0209220818313	-15.0076230091737	-1.33919475224706	-15.8344463596196	-2.15675967403108	-10.2551208013632
4009.III.2.lib30	-4.61753153334478	-1.84083072947751	-11.3433565699058	-15.0076230091737	-0.611972260039018	-12.1369056924384	-5.31078096636092	-15.4729446337796
4009.V.3.lib30	-4.77137407202311	-1.97566238663874	-10.2669216519105	-15.0076230091737	-0.549179329790068	-11.7974363686093	-5.34347988003816	-15.4729446337796
4009.VI.4.lib30	-4.51466326914947	-2.35673965924061	-11.8600685158673	-15.0076230091737	-0.440108338019378	-15.8344463596196	-5.40063689722997	-15.4729446337796
4010.III.2.lib30	-4.26417532723836	-2.20163386116965	-5.69348695749933	-7.03744135871669	-0.635905405908548	-15.8344463596196	-6.60859805991281	-4.32637008884571
4010.V.3.lib30	-5.10780190498967	-1.94651766972923	-5.16571520843218	-6.82460243712877	-0.749844724828508	-15.8344463596196	-6.46051612529668	-3.8603116822918
4010.VI.4.lib30	-5.23386064580214	-1.56096127884169	-5.81922619025853	-7.10296657895119	-0.840200556531969	-15.8344463596196	-6.51408370885869	-4.64353496031389
4011.3.rerun.lib32	-4.30735231510581	-14.3016033642667	-16.0209220818313	-15.0076230091737	-1.38186037112435	-15.8344463596196	-0.823063614415196	-10.8864586957037
4011.4.rerun.lib32	-2.89102159622841	-14.3016033642667	-16.0209220818313	-15.0076230091737	-1.44580514084373	-15.8344463596196	-1.00547899165805	-15.4729446337796
4011.III.2.lib30	-4.31330352229561	-14.3016033642667	-16.0209220818313	-15.0076230091737	-2.37242115697468	-15.8344463596196	-0.403231679442411	-11.2297801667333
4012.4.lib30	-8.18116506744155	-1.88976885521902	-8.83856340428944	-5.77685744331048	-0.753431041041689	-15.8344463596196	-5.71633514487842	-3.41011811633129
4012.III.2.lib30	-7.9269510052653	-1.83677702535945	-7.57185604644274	-5.93115099379459	-1.01294837098385	-15.8344463596196	-5.16339120108739	-2.54908473878408
4012.V.3.lib30	-6.92327955614755	-1.72693522902894	-8.26276602241922	-6.05729690411924	-0.866073876654362	-15.8344463596196	-5.10104283408969	-3.41701997022479
4013.2.lib27	-5.9993244228203	-3.8689611399762	-16.0209220818313	-10.6005887358706	-0.191004938955762	-15.8344463596196	-7.18965563492445	-4.94627818845866
4013.3.lib30	-6.27608111295054	-1.86566427432552	-11.2169190404824	-8.53242086621033	-0.772052049601641	-15.8344463596196	-5.78586922321492	-3.23963911698248
4013.4.lib30	-4.61085236844569	-2.21596901339269	-10.7673568541257	-8.39812304445997	-0.555164482217213	-15.8344463596196	-5.81704397822604	-4.57424222531148
4015.2.rerun.lib32	-4.46057073834977	-1.73234929681621	-16.0209220818313	-6.80084814311602	-0.669505603992759	-15.8344463596196	-5.98855529824275	-12.4447043328907
4015.3.lib30	-5.58831730690716	-1.50170579257604	-16.0209220818313	-7.34191357561748	-0.720675688504778	-15.8344463596196	-6.25404081959215	-15.4729446337796
4015.4.lib30	-5.11311344290858	-1.70416152742879	-16.0209220818313	-7.41650558635851	-0.632984844850481	-15.8344463596196	-6.20954320559167	-15.4729446337796
4016.2.rerun.lib32	-3.85699598448884	-11.2600080080638	-16.0209220818313	-15.0076230091737	-0.116656684237282	-15.8344463596196	-6.92015800517922	-15.4729446337796
4016.4.rerun.lib32	-2.80536705396371	-14.3016033642667	-16.0209220818313	-15.0076230091737	-0.223885121977516	-15.8344463596196	-10.502334580198	-15.4729446337796
4018.2.rerun.lib32	-4.90811759199011	-6.37460662283141	-16.0209220818313	-15.0076230091737	-0.422874517443904	-6.58359238561671	-2.3362112440944	-11.965567864174
4018.4.rerun.lib32	-7.02550357976185	-6.13596022771722	-16.0209220818313	-15.0076230091737	-0.181413669690075	-6.86776411676765	-3.51121782501071	-15.4729446337796
4020.2.lib29	-5.54133406841261	-1.63298510013414	-7.31711891146934	-7.19732439893462	-0.693767866255476	-14.1688679528854	-5.34550071283916	-12.846939857998
4020.3.lib30	-6.51942181604431	-1.94984234802254	-6.89139059343127	-6.97885343468161	-0.530737129272145	-15.8344463596196	-5.5259944699678	-15.4729446337796
4020.4.lib30	-6.62314668126385	-1.49785820782391	-7.33633489214693	-7.27522337784354	-0.733350585165152	-15.8344463596196	-5.53096305636843	-15.4729446337796
4021.2.lib30	-8.95869123853511	-1.1876434200341	-16.0209220818313	-15.0076230091737	-1.08240892739959	-15.8344463596196	-3.52730675629814	-15.4729446337796
4021.3.lib30	-9.0789908624139	-1.3680569089336	-16.0209220818313	-15.0076230091737	-0.910179481282297	-15.8344463596196	-3.66897143790168	-15.4729446337796
4021.4.lib30	-9.28658133447857	-1.81482318512971	-16.0209220818313	-15.0076230091737	-0.746473069541676	-11.9012911785938	-3.08510749716144	-15.4729446337796
4022.2.lib27	-9.422934733058	-0.63446952203084	-16.0209220818313	-15.0076230091737	-1.58199406584576	-15.8344463596196	-5.61913763041359	-15.4729446337796
4022.4.lib30	-8.2684888359259	-0.899188921880191	-16.0209220818313	-15.0076230091737	-1.21740351396849	-15.8344463596196	-5.03443349706387	-15.4729446337796
4023.2.lib27	-9.00035559625779	-1.31256376262742	-13.3649280285536	-15.0076230091737	-1.041873268212	-6.91536665394041	-3.30234216204239	-15.4729446337796
4023.3.rerun.lib32	-8.04608077763594	-1.26645797226945	-16.0209220818313	-15.0076230091737	-1.10322133624225	-9.96361861744397	-3.151263014328	-9.37865611672282
4023.4.lib30	-9.44988739818252	-1.13868570988822	-16.0209220818313	-15.0076230091737	-1.14025666209854	-8.00183484167571	-3.52588138147106	-15.4729446337796
4024.2.lib27	-5.89085448481862	-2.75126797174959	-16.0209220818313	-15.0076230091737	-0.271346679694257	-15.8344463596196	-7.56793518752821	-10.2683749056693
4024.3.lib30	-4.77630200606765	-2.54935705636881	-16.0209220818313	-15.0076230091737	-0.347145260646441	-15.8344463596196	-7.44673384897815	-10.2745528735955
4024.4.lib30	-4.89130917119364	-2.41918914254931	-16.0209220818313	-15.0076230091737	-0.366282041117707	-15.8344463596196	-8.13215595856657	-15.4729446337796
4026.2.lib30	-10.9807033139046	-4.74179580578511	-16.0209220818313	-15.0076230091737	-1.15106402224032	-10.4737433251847	-0.968225793794445	-15.4729446337796
4026.3.lib30	-15.0603581826421	-4.79893016651718	-16.0209220818313	-15.0076230091737	-1.38656367465433	-11.2508905357233	-0.782914541411607	-15.4729446337796
4026.4.lib30	-10.214752766252	-4.26513446214417	-16.0209220818313	-15.0076230091737	-0.885957646054817	-12.7001795934223	-1.30090166891329	-15.4729446337796
4027.4.lib30	-8.12810807575989	-1.26839060037599	-16.0209220818313	-15.0076230091737	-0.887036227353435	-15.8344463596196	-4.62311387974214	-15.4729446337796
4028.2.lib27	-5.12417200652641	-1.56747812783932	-16.0209220818313	-7.32086391753151	-0.693227571105389	-15.8344463596196	-6.80224391163905	-11.9892424264403
4028.3.lib30	-5.56827310615433	-1.43651413718934	-16.0209220818313	-8.10164101357999	-0.747370021301525	-15.8344463596196	-6.67077854713946	-11.6041413541092
4028.4.lib30	-5.10000892106734	-1.45530910688284	-16.0209220818313	-6.82458616734049	-0.77305880704254	-15.8344463596196	-6.40019350300994	-11.5741204350097
4029.2.lib29	-11.1715136342121	-7.40434780227015	-16.0209220818313	-12.286990851632	-5.78980431099927	-15.8344463596196	-0.0359523244184555	-15.4729446337796
4029.3.lib29	-8.39489136644259	-6.05860797857815	-16.0209220818313	-15.0076230091737	-3.83010674765906	-15.8344463596196	-0.133344880717715	-15.4729446337796
4029.4.lib29	-11.0105572438828	-7.19891496342207	-16.0209220818313	-15.0076230091737	-4.19624182009496	-15.8344463596196	-0.092097709684187	-15.4729446337796
4030.2.rerun.lib32	-7.67345156255363	-1.6701830261353	-16.0209220818313	-15.0076230091737	-0.571405316215559	-12.8906822787743	-7.00315700803271	-15.4729446337796
4030.3.rerun.lib32	-7.96307300503578	-1.43240789748269	-16.0209220818313	-15.0076230091737	-0.703954274264014	-15.8344463596196	-6.43057792420876	-15.4729446337796
4030.4.lib30	-8.68345739386799	-1.5937813830926	-16.0209220818313	-15.0076230091737	-0.614620071311851	-12.7318204154294	-6.26347407198434	-15.4729446337796
4031.2.lib29	-5.9433007990268	-1.82402690722878	-16.0209220818313	-15.0076230091737	-0.577769039758252	-13.3653655651996	-5.00123091019156	-15.4729446337796
4031.3.lib29	-8.29499833538213	-1.17165641828495	-16.0209220818313	-15.0076230091737	-0.883864662925135	-15.8344463596196	-6.50754297076223	-15.4729446337796
4031.4.lib29	-8.24713634531798	-1.44669862545637	-16.0209220818313	-15.0076230091737	-0.693095734209693	-11.4695287666544	-6.51017075115177	-15.4729446337796
4032.2.lib29	-6.85162362566216	-1.51098700373652	-16.0209220818313	-15.0076230091737	-0.664659193357534	-15.8344463596196	-6.69788339168105	-15.4729446337796
4034.2.lib29	-6.70104860723864	-2.47438971054871	-16.0209220818313	-15.0076230091737	-0.406562339839887	-15.8344463596196	-4.15773380387598	-15.4729446337796
4034.3.lib29	-7.52285699877893	-2.0830844675134	-16.0209220818313	-15.0076230091737	-0.494640498142056	-15.8344463596196	-4.42683778624178	-8.75066291630174
4034.4.lib29	-7.82127679946304	-1.40842244568158	-16.0209220818313	-15.0076230091737	-0.77265809424286	-15.8344463596196	-4.89895616328491	-15.4729446337796
4035.2.lib27	-6.16726022590446	-1.96957955806476	-16.0209220818313	-6.82728567559964	-0.487435672715016	-15.8344463596196	-6.85139813171645	-15.4729446337796
4035.3.lib30	-5.69921967997884	-1.60896182001593	-16.0209220818313	-6.90323357200043	-0.679659498749086	-15.8344463596196	-5.62581373825258	-15.4729446337796
4035.4.lib30	-5.80672525205612	-1.88651793061155	-16.0209220818313	-6.22901249041435	-0.570117547218748	-15.8344463596196	-5.33453068149691	-15.4729446337796
4036.2.lib27	-10.8827606044681	-2.3664544644139	-16.0209220818313	-8.53880620325075	-1.40158215421338	-15.8344463596196	-4.68082520812318	-1.37572836720471
4036.4.lib30	-9.02717167970213	-1.55892948734196	-16.0209220818313	-7.92388387129011	-1.84734032319517	-15.8344463596196	-4.86856199148765	-1.54612910476838
4037.2.lib27	-8.14794583243637	-2.63462067524534	-16.0209220818313	-8.28755189973196	-1.03866034011759	-14.8344463596196	-1.54305979031939	-8.7791639241184
4037.3.lib30	-7.75325086552636	-1.68804083112315	-11.0460326147542	-7.69553536767007	-0.656508822926804	-11.0460326147542	-4.5931736500404	-8.19803570819926
4038.2.lib29	-7.82976868737352	-1.6687281113125	-6.65289092528944	-6.98992591256701	-0.920092965338464	-10.8508303029014	-3.40886259000554	-4.64023057643267
4038.3.lib29	-9.38504064481098	-1.476862503342	-6.30568285319769	-6.26956342739104	-1.3393459799386	-11.9700031455321	-3.38343139194932	-3.03084374645127
4038.4.lib29	-8.49646304431308	-1.65288330581773	-7.68017499748547	-6.43131036478783	-1.04578968301474	-9.81057163474115	-3.32262299286739	-3.69303382546928
4039.2.rerun.lib32	-7.3466256541482	-2.36749641773249	-16.0209220818313	-10.0690916786193	-0.834194432556811	-15.8344463596196	-2.06946742938087	-15.4729446337796
4039.3.lib29	-8.65565158529021	-2.50097029591111	-16.0209220818313	-15.0076230091737	-1.96084666811865	-13.280142450198	-0.826528848150374	-15.4729446337796
4039.4.lib29	-10.6499618244088	-2.27461203594744	-16.0209220818313	-15.0076230091737	-2.70702847887475	-14.4573167464664	-0.644938857699516	-15.4729446337796
4041.2.lib29	-3.56289224261608	-2.15609157493093	-16.0209220818313	-15.0076230091737	-0.575565372449924	-15.8344463596196	-5.91367520017563	-8.19725698341351
4041.3.lib29	-3.37771987620694	-2.32182656457022	-16.0209220818313	-15.0076230091737	-0.53904617634593	-15.8344463596196	-6.34330629198067	-8.27095544775598
4041.4.lib29	-3.99954453194858	-1.94086944961426	-16.0209220818313	-15.0076230091737	-0.600563378888809	-15.8344463596196	-6.09751969151188	-8.41944778639924
4042.2.lib27	-6.15419892282526	-1.6188067007387	-16.0209220818313	-8.50772386260696	-0.677638800642399	-15.8344463596196	-5.03941983996571	-8.95752678004648
4042.3.lib30	-5.38500427765046	-1.76265313099456	-16.0209220818313	-9.05132942008554	-0.623897221655499	-15.8344463596196	-5.10244473581239	-9.42437283069975
4042.4.lib30	-5.56312367465522	-1.7825495288281	-16.0209220818313	-8.54472952355793	-0.611637025685822	-15.8344463596196	-5.12756123682851	-8.67736729213605
4045.2.lib29	-5.5490994147297	-1.55376079209956	-16.0209220818313	-10.0882582258377	-1.01264537586856	-8.6822658661619	-3.03732126061251	-5.85943953534185
4045.3.lib29	-5.32234057126349	-1.86012568612052	-16.0209220818313	-9.33180090051256	-0.915725651069645	-8.6970853645943	-2.71554226930187	-6.23543250604033
4045.4.lib29	-6.45401935863362	-1.5755160396327	-16.0209220818313	-8.90110258484327	-1.1263155252421	-9.69164921921432	-2.64018305118037	-4.99872747035725
4047.2.lib29	-4.90357992312974	-2.0079428560392	-16.0209220818313	-6.4195950701334	-0.821765972306502	-8.2908617560112	-2.91964291108662	-7.59313132512809
4047.3.lib29	-4.95769439706389	-1.50606033842588	-16.0209220818313	-7.12679711575901	-1.06446724927007	-15.8344463596196	-3.17188500528755	-5.68155937870447
4047.4.lib29	-5.3140373092679	-1.45654344075355	-16.0209220818313	-6.96294672676891	-1.09182505590432	-12.4739086460463	-3.09150076975133	-5.98205554971661
4050.2.lib29	-7.13329136223163	-1.64251934129228	-16.0209220818313	-7.38663237186158	-1.15532546187914	-15.8344463596196	-4.28409421014914	-2.58804485429381
