feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Odoribacter	Group	non-rPSC	-3.00869233816324	0.334476955494177	424	246	1.38817260735884e-16	4.4143888914011e-14
Haemophilus	Group	non-rPSC	2.8081593837742	0.343951959802806	424	298	2.80246009545639e-14	4.45591155177566e-12
Veillonella	Group	non-rPSC	2.75999296352323	0.348210858429677	424	333	1.25867366227384e-13	1.33419408201027e-11
Intestinimonas	Group	non-rPSC	-2.66825068538055	0.35488221812309	424	306	1.52627594061064e-12	9.70711498228364e-11
Sphingobium	Group	non-rPSC	1.38984648292803	0.183904232395481	424	93	1.32289588488971e-12	9.70711498228364e-11
Lachnoclostridium	Group	non-rPSC	-1.52878131376184	0.204115459210799	424	417	1.91797570088383e-12	1.01652712146843e-10
Actinomyces	Country	NO	-2.40864452564217	0.324554278158072	424	249	3.28604175663471e-12	1.49280182658548e-10
Collinsella	Country	NO	-3.20323813264532	0.441955277841573	424	342	8.16455313744447e-12	3.24540987213418e-10
Colidextribacter	Group	non-rPSC	-2.60590501675211	0.391964405878073	424	325	2.47953634477816e-10	8.76102841821616e-09
Sphingobium	Country	NO	-1.2488586064555	0.188582965391229	424	93	3.2592175709105e-10	1.03643118754954e-08
X.Clostridium._methylpentosum_group	Group	non-rPSC	-1.17048158794244	0.177905726482434	424	85	4.07034101077977e-10	1.17669858311633e-08
Family_XIII_UCG.001	Group	non-rPSC	-1.38175682800904	0.217535517269447	424	145	1.27660681251365e-09	3.38300805316117e-08
f__Ruminococcaceae.g__uncultured	Group	non-rPSC	-1.89184262564877	0.308177361022452	424	265	4.06059740223968e-09	9.93284595317091e-08
f__Enterobacteriaceae.g__unassigned	Group	non-rPSC	2.76072096291472	0.456601133579558	424	106	6.63568265193753e-09	1.50724791665438e-07
f__Oscillospiraceae.g__unassigned	Group	non-rPSC	-2.0478542193041	0.345491122803968	424	170	1.25523606129543e-08	2.66110044994631e-07
X.Clostridium._innocuum_group	Country	NO	-1.9627097312539	0.337669289570423	424	212	2.30028194641821e-08	4.5718103685062e-07
Bifidobacterium	Country	NO	-2.70241971573833	0.474485925677147	424	360	4.1668182213723e-08	7.79440114350819e-07
o__Rhodospirillales.f__uncultured.g__uncultured	Group	non-rPSC	-2.65895938065551	0.471806391355622	424	189	5.59912343194324e-08	9.89178472976639e-07
Parabacteroides	Group	non-rPSC	-2.51247888413999	0.447461371953177	424	337	6.07866696830817e-08	1.01737689259053e-06
Christensenellaceae_R.7_group	Group	non-rPSC	-2.76691008021766	0.495752070670819	424	257	7.27632647707284e-08	1.15693590985458e-06
