feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Akkermansia	Corynebacterium	Olsenella	Faecalitalea	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Staphylococcus	Lachnospiraceae_UCG.003	Megamonas	Allisonella	TM7x	Sphingobium	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Pseudomonas
Cah8-297-CE	0.00017563117453348	0.0582217343578485	0	0	0.0404390779363337	0.000307354555433589	0.000307354555433589	0	0.000878155872667398	0	0.00329308452250274	0.000658616904500549	0.00140504939626784	0.0799560922063666	0.0135675082327113	0	0.000834248079034029	0.00737650933040615	0.00289791437980241	0	0	0.00298572996706915	0	0	0.12377607025247	0	0.0117233809001098	0.00570801317233809	0	0.0134357848518112	0.00100987925356751	0	0.00395170142700329	0	0	0.00557628979143798	0	0	8.78155872667398e-05	0.000307354555433589	0.00100987925356751	0	0	0.00267837541163557	8.78155872667398e-05	0.00399560922063666	0	0.00351262349066959	0.00614709110867179	0.0154116355653128	0.00105378704720088	0.0049615806805708	0.033238199780461	0.00636663007683864	0.0882985729967069	0.0013172338090011	0.0324478594950604	0.00957189901207464	0	0	0.0211196487376509	0.000878155872667398	0.0013172338090011	0	0.00276619099890231	0.000658616904500549	0.00109769484083425	0.0103622392974753	0.00838638858397366	0.00105378704720088	0.000351262349066959	0.000702524698133919	0.00127332601536773	0	0	0	0.00970362239297475	0.00843029637760703	0	0.000307354555433589	0	0.00307354555433589	0	0.0136114160263447	0.0193633369923161	0.00259055982436883	0.000790340285400659	0.000439077936333699	0.00109769484083425	0.000307354555433589	0.000351262349066959	0.000614709110867179	0.00162458836443469	0.00013172338090011	0	0.0283205268935236	0.00254665203073546	0.0084742041712404	0.00109769484083425	0.00245883644346872	0	8.78155872667398e-05	0	8.78155872667398e-05	0	0.138529088913282	0.000526893523600439	0.00250274423710209	0.000395170142700329	0	0.0422832052689352	0.0209440175631175	0	0.00021953896816685	0	0.00412733260153677	0.000658616904500549	0	0.00917672886937431	0.000307354555433589	0	0.00197585071350165	0.00021953896816685	0.0017563117453348	0	8.78155872667398e-05	0.000965971459934138	0	0.0112403951701427	0.000702524698133919	0	0.0054006586169045	0	0.000658616904500549	0	0	0.00026344676180022	0	0.00641053787047201	0	0.00026344676180022	0.00500548847420417	0	0.000922063666300768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-297-RE	0.000122528998529652	0.0579562163045254	0.00020421499754942	0	0.0486440124162719	0.000163371998039536	0.000490115994118608	0	0.0012661329848064	0	0.00412514295049828	0.00110276098676687	0.00151119098186571	0.0757229210913249	0.0133148178402222	0	0.00040842999509884	0.00747426891030877	0.00253226596961281	0	0	0.00261395196863258	0	0	0.112073190655122	0	0.0122120568534553	0.00563633393236399	0	0.0104558078745303	0.000898545989217448	0	0.00081685999019768	0	0	0.00514621793824538	0	0	8.1685999019768e-05	0.00061264499264826	0.000939388988727332	0	0	0.00412514295049828	0	0.00563633393236399	0	0.00469694494363666	0.00788269890540761	0.018297663780428	0.00110276098676687	0.00502368893971573	0.0331236726025159	0.00951641888580297	0.0829521320045744	0.00200130697598432	0.0341039045907531	0.00951641888580297	0	0	0.0215242607417089	0.000653487992158144	0.000735173991177912	0	0.00269563796765234	0.000285900996569188	0.00196046397647443	0.00853618689756576	0.00776016990687796	0.000898545989217448	0.000285900996569188	0.0012661329848064	0.00138866198333606	0	0	0	0.0099656918804117	0.00645319392256167	0.000245057997059304	0.0010210749877471	0	0.00310406796275118	0	0.0124162718510047	0.0194004247671949	0.00285900996569188	0.00118444698578664	0.00020421499754942	0.000898545989217448	0	8.1685999019768e-05	0.00114360398627675	0.00114360398627675	8.1685999019768e-05	0	0.0304688776343735	0.00191962097696455	0.00972063388335239	0.00134781898382617	0.00302238196373142	0	0.000122528998529652	0	0	0	0.134577683385068	0.000245057997059304	0.00289985296520176	0.000449272994608724	0	0.0390050645319392	0.0183793497794478	0	0.000245057997059304	0	0.00494200294069596	0.00118444698578664	0	0.0118853128573762	0.000571801993138376	0	0.00138866198333606	0.00020421499754942	0.00334912595981049	0	0	0.00118444698578664	0	0.0149485378206175	0.00147034798235582	0	0.00624897892501225	0	0.000735173991177912	8.1685999019768e-05	0	0.00020421499754942	0.000163371998039536	0.00604476392746283	0	0.00061264499264826	0.00751511190981866	0	0.00208299297500408	0	0	0	0	0	0	0	0	8.1685999019768e-05	0	0	0	0	0	0
Cah8-298-RE	0.000513227266364951	0.041711379648206	0.000513227266364951	0	0	0	0	0	0	0.0127373676106938	0	0	0	0.130546353753558	0	0	0	0	0.00377921896141464	0	0	0	0	0	0	0	0	0.031913404563057	0	0	0	0	0	0	0.000653198339009938	0	0	0	0	0.00405916110670461	0.000326599169504969	0.000139971072644987	0.00321933467083469	0.00989128913357906	0.000233285121074978	0	0	0.00111976858115989	0	0.00494564456678953	0	0	0.00676526851117436	0.0122241403443288	0.16157327485653	0	0	0.031306863248262	0.00130639667801988	0.00503895861521952	0.0083982643586992	0.00345261979190967	0	0.00284607847711473	0.00699855363224933	0	0	0	0.00172630989595484	0.00765175197125927	0.0120841692716839	0	0.0361125367424066	0.010217888303084	0.000746512387439929	0	0.00242616525917977	0.00755843792282928	0	0.00405916110670461	0	0	0.00475901646992955	0.084355899780712	0.0125040824896188	0.000233285121074978	0.00116642560537489	9.33140484299911e-05	0.00387253300984463	0.00704521065646433	0.010077917230439	0.00111976858115989	0.00858489245555918	0.000139971072644987	0.000233285121074978	0.0123174543927588	0.000699855363224934	0.0193626650492232	0.0041991321793496	0.00671861148695936	0.000186628096859982	0	0	0.00041991321793496	0	0.151215415480801	0.00429244622777959	0.010871086642094	0.0177296692016983	0.00279942145289973	0.0223487145989829	0.00433910325199459	0.00676526851117436	0	0	0.0010264545327299	0	0.000139971072644987	0.00718518172910932	0.00415247515513461	0	0	0	0	0	0	0	0	0.00373256193719965	0	0	0.00531890076050949	0	0	0.000139971072644987	0	0.00709186768067933	0.00251947930760976	0	0	0	0	0	0	0	0	0	0.00116642560537489	0	0.000279942145289973	0	0	0	0	0	0	0	0	0
Cah8-299-CE	0.000558191459670667	0.000403138276428815	0	0.000248085093186963	0.0489968059044252	0	0.00158154246906689	0.0124042546593482	0	0.000155053183241852	0	0	0	0.234192327968493	0	0.0243123391323224	0.000124042546593482	0.0022017552020343	0.00269792538840822	0	0	0.0111638291934133	0	0.001674574379012	0	0	0.0174279777963842	0.00831085062176326	0	0	0.00483765931714578	0	0	0	0	0.00105436164604459	0.000217074456538593	0	0.0011473935559897	0	0	0.000558191459670667	0	0.005023723137036	0	0.000186063819890222	0	0.000527180823022297	0	0	0	0	0	0.013985797128415	0.07668930443142	0.00130244673923156	0.00592303159983874	0.011473935559897	0	0	0.00406239340093652	0	0.00204670201879245	0.000434148913077185	0.0294290941793035	6.20212732967408e-05	9.30319099451112e-05	0.000124042546593482	9.30319099451112e-05	0.00108537228269296	0.0146990417713276	9.30319099451112e-05	0.000341117003132074	0.00300803175489193	0	0	0	0.0137997333085248	0	0	0	0.00486866995379415	0.0883182931745589	0.161286321208174	0.0637578689490495	0	0.0013644680125283	0	0.00865196762489534	0.0231649455763327	0.00155053183241852	0	0.0063881911495643	0	0	0.00614010605637734	0.00080627655285763	0.00254287220516637	0	0.00359723385121097	0	0.000961329736099482	0	0.000527180823022297	0	0.0172109033398456	0	0.000310106366483704	0	0	0	0.001674574379012	0.0030390423915403	0	0.00186063819890222	0.00151952119577015	0	0	0.00331813812137563	0	0	0	0	6.20212732967408e-05	0	6.20212732967408e-05	0	0.000434148913077185	0.000403138276428815	0	0	0.0123422333860514	0	0	0.000124042546593482	6.20212732967408e-05	0.005023723137036	0.0176760628895711	0	0	0	0.000899308462802741	0	0	0.00102335100939622	0	0	0	0	0	0	0	0	0.000279095729835334	0	0	0	0	0
Cah8-300-CE	0.000527687081560635	0.00910260215692095	0	0	0.0750964677945978	0	0.000131921770390159	6.59608851950793e-05	0.00230863098182778	0.000131921770390159	0.0123017050888823	0.0015830612446819	0.00277035717819333	0.167210843969526	0.00629926453613007	0.00095643283532865	0.000230863098182778	0.00128623726130405	0.00237459186702286	0.0038257313413146	0.0278025131097259	0.00217670921143762	0	0	0.0167210843969526	0	0.00596946011015468	0.0433363015731671	0	0.00244055275221793	0.00445235975066785	0.00092345239273111	0.000461726196365555	0.00930048481250618	0	0.000230863098182778	0	0.00491408594703341	0	0	0	0	9.8941327792619e-05	0.00501302727482603	9.8941327792619e-05	0	0.000131921770390159	0.00141815903169421	0	0.000461726196365555	0	0	0.00524389037300881	0.00293525939118103	0.102371293822763	0.0188977936083902	0.022063916097754	0.06447676527819	0.000164902212987698	0	0.00847597374756769	0	0.00247353319481547	0	0.0118399788925167	0.000560667524158174	0.00217670921143762	0.0034959269153392	0.000758550179743412	0.00112133504831635	0.00709079515847103	0.000857491507536031	0.0218660334421688	0	0	0	0.000230863098182778	0.00715675604366611	0.000428745753768016	0.000263843540780317	0	0	0	0.0550773391378912	0.0388179809373042	0	0.00204478744104746	0	0.0036608291283269	0.000329804425975397	0.000230863098182778	0.00141815903169421	0.00178094390026714	0.00095643283532865	0	0.0175126150192936	0	0.000395765311170476	0.00092345239273111	0.00145113947429174	6.59608851950793e-05	0.000230863098182778	0	0.000131921770390159	0.000197882655585238	0.0711717951254906	0	0.00227565053923024	0.000527687081560635	6.59608851950793e-05	0.0220309356551565	0.034893308268197	0.000296823983377857	0	0.000296823983377857	0.000857491507536031	0	0	0.00184690478546222	0	0	0.000692589294548333	0.000329804425975397	6.59608851950793e-05	0.000560667524158174	0.000131921770390159	0	0	9.8941327792619e-05	0	0.00125325681870651	0.00745358002704396	0	0	0.000560667524158174	0.000263843540780317	0.000428745753768016	0.000329804425975397	0.0302760463045414	0	0.000890471950133571	0	0	0	0	0	0	0	0	0	0	0	6.59608851950793e-05	0	0	0	0	0	0
Cah8-301-RE	0	0.00213889141712933	0	0	0.0215254391553654	0	0.00691726585965232	0.00109219987257668	0	0.000182033312096114	0	0	0	0.304086647856558	0.0235733139164467	0.00218439974515336	0	0.00263948302539365	0.00869209065258942	0	0	0	0	0	0	0.00459634113042687	0.00491489942659507	0.0101483571493583	0.000318558296168199	0.00314007463365796	0.00191134977700919	0	0.00027304996814417	0	0	0.00282151633748976	0	0	0.00141075816874488	0.000728133248384454	0	0	0	0.00341312460180213	0	0.000546099936288341	0	0.00427778283425867	0.006416674251388	0.0043232911622827	0.000227541640120142	0.000910166560480568	0.00218439974515336	0.000728133248384454	0.0309911713843633	0.0123327568945117	0.033721671065805	0.0133794484390643	0	0	0.00268499135341768	0.000455083280240284	0	0	0.0498771275143351	0	0.000318558296168199	0.00282151633748976	0.00218439974515336	0.0030490579776099	0.0174296896332029	0.000546099936288341	0.0113315736779831	0	0	0	0.000409574952216256	0.00277600800946573	0	0	0	0.000409574952216256	0.0147902066078092	0.0168835896969145	0.0575225266223719	0	0.0012742331846728	0	0.00359515791389824	0.00109219987257668	0.00104669154455265	9.10166560480568e-05	0.00482388277054701	0.00154728315281697	0.000136524984072085	0.00791844907618094	0.00177482479293711	0.0105124237735506	0.000182033312096114	0.00505142441066715	0	0	0.0155183398561937	0	0	0.139027942113407	0	0.00145626649676891	0.00491489942659507	0	0.00159279148084099	0.0292163465914262	0.000364066624192227	0.000364066624192227	9.10166560480568e-05	0.00131974151269682	0.00118321652862474	0.00027304996814417	0.00177482479293711	0	0	0.00113770820060071	0	0	0.00027304996814417	0	0	0	0	0	0	0.012742331846728	0	0	0	0	0.00628014926731592	0.00182033312096114	0.0411395285337217	0	9.10166560480568e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136524984072085	0
Cah8-302-CE	0.000106974753958066	0	0	0	0.00299529311082585	0	0	0.00221081158180003	0.000178291256596777	0.00196120382256454	0.0010340892882613	0.000427899015832264	0	0.260554842390529	0.016759378120097	0.0094137783483098	0	0.00634716873484524	0.0104835258878905	0	0	0.00923548709171302	0	0	0	0	0.0116602481814292	0.0239266866352874	0	0	0.00106974753958066	0	0.000178291256596777	0	0.00559834545713878	0.00206817857652261	0.0201112537441164	0	0.0010340892882613	0	0	0.000213949507916132	0	0.00139067180145486	0.000142633005277421	0	7.13165026387106e-05	0.000178291256596777	0.000142633005277421	0.00353016688061617	0	0	0	0.000356582513193553	0.0100556268720582	0	0.00160462130937099	0.00513478818998716	0.00185422906860648	0.0680359435173299	0	0.000499215518470974	0	0	0.0341606047639424	0	0.000142633005277421	0.00263871059763229	0	0.00106974753958066	0.00395806589644844	0.000641848523748395	0.000784481529025817	0.000962772785622593	0.0195763799743261	0	0	0.000855798031664527	0	0	0	0	0	0.0885750962772786	0.0699614890885751	0	0.00131935529881615	0.000106974753958066	0.00673940949935815	0.023891028383968	0.00295963485950649	0.000106974753958066	0.00912851233775496	0.00156896305805163	0	0.00249607759235487	0.00417201540436457	0.00206817857652261	0.00053487376979033	0.00834403080872914	0	0.000891456282983882	0.000320924261874198	0.000142633005277421	0	0.0215375837968906	0	0.00249607759235487	0.000427899015832264	0	0.000285266010554842	0.00374411638853231	0.0128369704749679	0	0.000178291256596777	0.00110540579090001	0	0.000499215518470974	0.000178291256596777	0	0.000641848523748395	0.000178291256596777	0	0	0	0	7.13165026387106e-05	0	0	0	0	0.0373698473826844	0	0	0.000142633005277421	0	0.0127299957210098	0.00164027956069034	0.0109827414063614	0.124162031093995	0	0	0	0	0.000106974753958066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-RE	0.00039316762046219	0.000480538202787122	0.000131055873487397	0	0.00650910838320737	0	0	0.00349482329299725	0	0.00270848805207287	0.00327639683718492	0.00131055873487397	0	0.243370757066096	0.022235813201695	0.00751387007994408	0	0.00655279367436984	0.0162509283124372	0	0	0.00838757590319339	0	0	0	0	0.0106155257524791	0.0195273251496221	0	0	0.00235900572277314	0	0.00109213227906164	0	0.00336376741950985	0.00104844698789917	0.0162072430212747	0	0.00109213227906164	0	0	0	0.000480538202787122	0.00318902625485999	0.000218426455812328	0	0	0.00131055873487397	0.00039316762046219	0.00537329081298327	0	8.73705823249312e-05	0	0.00039316762046219	0.0137608667161767	0	0.0053296055218208	0.0105281551701542	0.0027958586343978	0.0509807347865973	0.000436852911624656	0.0015289851906863	0	8.73705823249312e-05	0.0283954392556026	0	0	0.00275217334323533	0	0.00214057926696081	0.00397536149578437	0.000174741164649862	0.00170372635533616	0.00113581757022411	0.0166440959328994	0	0	0.00235900572277314	0	0	0	0	0	0.0795946004980123	0.0602420165130401	0	0.00227163514044821	0.000436852911624656	0.00760124066226901	0.0177799135031235	0.00196583810231095	0.000567908785112053	0.0079944082827312	0.000786335240924381	0.000218426455812328	0.00262111746974794	0.00449958498973396	0.00428115853392163	0.000349482329299725	0.00856231706784326	0.000567908785112053	0.000524223493949587	0.000480538202787122	0.000218426455812328	0	0.0668821807697348	0	0.00244637630509807	0.000262111746974794	0	0.000218426455812328	0.00345113800183478	0.00982919051155476	0	0.000131055873487397	0.00192215281114849	0	0.000305797038137259	0.000480538202787122	0	0.000742649949761915	0	0	0	0	0.000174741164649862	0.000655279367436984	0	0	0	0	0.0327639683718492	0	0	0	0	0.0134550696780394	0.00174741164649862	0.0208815691756586	0.10790266917129	0	0	0	0	8.73705823249312e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-CE	0	0.00909372339602198	0	0	0.0630369166473183	0	0.00282485875706215	0	0	0.000851327296648866	0	0	0	0.182996672084204	0.00797151923225757	0	0	0.00112220416376441	0.0020122281557155	0	0	0	0	0	0	0	0.0125764259732219	0.00379227613961768	0	0	0.000541753734231097	0	0	0.00739106880272425	0	0.00228310502283105	0	0.0157882516833062	0	0	0.000116090085906664	0	0	0.00367618605371101	0	0.00189613806980884	0	0.00866805974769755	0.00232180171813327	0.00185744137450662	0.00135438433557774	0.00131568764027552	0.050383097283492	0.00178004798390217	0.0634625802956428	0.00460490674096432	0.0366070737559012	0.0133116631839641	0	0	0.0357557464592524	0.000928720687253309	0	0	0.0213992725021283	0.00564971751412429	0.000928720687253309	0.00139308103087996	0.0025539818899466	0.000928720687253309	0.000696540515439981	0.000928720687253309	0.00305703892887547	0	0	0	0.00646234811547094	0.00646234811547094	0	0.00286355545236437	0	0.00065784382013776	0	0.00414054639733767	0.010138534169182	0.00363748935840879	0.00205092485101772	0.000232180171813327	0.00135438433557774	0.000386966953022212	0.00208962154631994	0.000541753734231097	0.00154786781208885	0	0	0.00812630601346645	0.000812630601346645	0.00634625802956428	0.000232180171813327	0.00340530918659546	0	0	0.056690658617754	0	0	0.225059979877718	0	0.00228310502283105	0	0	0.00773933906044424	0.0277842272269948	0.00119959755436886	0	0.000116090085906664	0.000386966953022212	0.00158656450739107	0	0.00336661249129324	0	0	0.000619147124835539	0.000580450429533318	0	0	0	0.000928720687253309	0	0.0065784382013776	0	0	0.00611407785775095	0	0	0	0	0	0.0140855970900085	0.00123829424967108	0	0.000154786781208885	0.00414054639733767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-RE	0	0.00902245437894308	0	0	0.0692286819076046	0	0.00457906519232074	0	0	0.000814056034190353	0	0	0	0.176480564412184	0.0087850213689709	0.000237433009972186	0	0.00145851706125772	0.00220473509259887	0	0	0	0	0	0	0	0.0141103045926328	0.00403636116952717	0	0	0.000542704022793569	0	0	0.00990434841598263	0	0.00193338308120209	0	0.0202835628519096	0	0	0.000407028017095177	0.000135676005698392	0	0.0052913642222373	0	0.00332406213961061	0	0.00953123940031205	0.00386676616240418	0.00237433009972186	0.00111932704701174	0.00088189403703955	0.0409402347194899	0.00244216810257106	0.0676005698392239	0.00471474119801913	0.0326979173733125	0.0118038124957601	0	0	0.0325961603690387	0.000847975035614951	0	0	0.0177057187436402	0.0053252832236619	0.00118716504986093	0.00200122108405129	0.00254392510684485	0.000847975035614951	0.000678380028491961	0.00088189403703955	0.00627501526355064	0	0	0	0.00580014924360627	0.00756393731768537	0	0.00261176310969405	0	0.00088189403703955	0	0.00461298419374534	0.00912421138321688	0.00278135811681704	0.0017298690726545	0.000373109015670579	0.00142459805983312	0.000678380028491961	0.00213689708974968	0.000407028017095177	0.00189946407977749	0	0	0.00888677837324469	0.000712299029916559	0.00396852316667797	0.000474866019944373	0.00278135811681704	0	0	0.0542704022793569	0.000135676005698392	0	0.219896886235669	0.000101757004273794	0.00193338308120209	0	0.000101757004273794	0.00746218031341157	0.0306966962892612	0.00128892205413473	0	0	0.000203514008547588	0.00128892205413473	0	0.00322230513533682	0	0	0.00122108405128553	0.000576623024218167	0	0	0	0.00152635506410691	0	0.00786920833050675	0	0	0.00563055423648328	0	0	0	0	0	0.0147547656197002	0.00189946407977749	0	6.78380028491961e-05	0.00535920222508649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
