2025-02-19 17:30:00.456339 INFO::Writing function arguments to log file
2025-02-19 17:30:00.460242 DEBUG::Function arguments
2025-02-19 17:30:00.462727 DEBUG::Output folder: ../intermediate_files/maaslin/Q2/genus/healthy vs Groupnon-rPSC
2025-02-19 17:30:00.464913 DEBUG::Min Abundance: 0.000000
2025-02-19 17:30:00.467024 DEBUG::Min Prevalence: 0.000000
2025-02-19 17:30:00.468677 DEBUG::Normalization: TSS
2025-02-19 17:30:00.469719 DEBUG::Transform: LOG
2025-02-19 17:30:00.470607 DEBUG::Analysis method: LM
2025-02-19 17:30:00.471501 DEBUG::Max significance: 0.050000
2025-02-19 17:30:00.472369 DEBUG::Random effects: Patient
2025-02-19 17:30:00.47321 DEBUG::Fixed effects: Group,Country
2025-02-19 17:30:00.474039 DEBUG::Correction method: BH
2025-02-19 17:30:00.476203 DEBUG::Standardize: TRUE
2025-02-19 17:30:00.477258 DEBUG::Cores: 1
2025-02-19 17:30:00.478111 INFO::Verifying options selected are valid
2025-02-19 17:30:00.480556 INFO::Determining format of input files
2025-02-19 17:30:00.482978 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-19 17:30:00.490776 DEBUG::Transformed data so samples are rows
2025-02-19 17:30:00.493455 DEBUG::A total of 424 samples were found in both the data and metadata
2025-02-19 17:30:00.494723 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-19 17:30:00.497421 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-19 17:30:00.500068 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-19 17:30:00.502574 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-19 17:30:00.505059 INFO::Filter data based on min abundance and min prevalence
2025-02-19 17:30:00.507249 INFO::Total samples in data: 424
2025-02-19 17:30:00.510145 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-19 17:30:00.518647 INFO::Total filtered features: 0
2025-02-19 17:30:00.521923 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-19 17:30:00.532705 INFO::Total filtered features with variance filtering: 0
2025-02-19 17:30:00.536899 INFO::Filtered feature names from variance filtering:
2025-02-19 17:30:00.540284 INFO::Running selected normalization method: TSS
2025-02-19 17:30:00.551808 INFO::Applying z-score to standardize continuous metadata
2025-02-19 17:30:00.558446 INFO::Running selected transform method: LOG
2025-02-19 17:30:00.573672 INFO::Running selected analysis method: LM
2025-02-19 17:30:00.580163 INFO::Fitting model to feature number 1, Actinomyces
2025-02-19 17:30:00.662058 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-19 17:30:00.734761 INFO::Fitting model to feature number 3, Rothia
2025-02-19 17:30:00.804345 INFO::Fitting model to feature number 4, Atopobium
2025-02-19 17:30:00.886038 INFO::Fitting model to feature number 5, Collinsella
2025-02-19 17:30:00.957849 INFO::Fitting model to feature number 6, f__Coriobacteriales_Incertae_Sedis.g__uncultured
2025-02-19 17:30:01.038124 INFO::Fitting model to feature number 7, Adlercreutzia
2025-02-19 17:30:01.112852 INFO::Fitting model to feature number 8, Eggerthella
2025-02-19 17:30:01.252132 INFO::Fitting model to feature number 9, Enterorhabdus
2025-02-19 17:30:01.327931 INFO::Fitting model to feature number 10, Gordonibacter
2025-02-19 17:30:01.412337 INFO::Fitting model to feature number 11, Senegalimassilia
2025-02-19 17:30:01.47645 INFO::Fitting model to feature number 12, Slackia
2025-02-19 17:30:01.561699 INFO::Fitting model to feature number 13, f__Eggerthellaceae.g__uncultured
2025-02-19 17:30:01.64437 INFO::Fitting model to feature number 14, Bacteroides
2025-02-19 17:30:01.725948 INFO::Fitting model to feature number 15, Barnesiella
2025-02-19 17:30:01.79235 INFO::Fitting model to feature number 16, Coprobacter
2025-02-19 17:30:01.886697 INFO::Fitting model to feature number 17, f__Barnesiellaceae.g__uncultured
2025-02-19 17:30:01.960527 INFO::Fitting model to feature number 18, Butyricimonas
2025-02-19 17:30:02.03996 INFO::Fitting model to feature number 19, Odoribacter
2025-02-19 17:30:02.125908 INFO::Fitting model to feature number 20, Muribaculaceae
2025-02-19 17:30:02.21528 INFO::Fitting model to feature number 21, Alloprevotella
2025-02-19 17:30:02.289757 INFO::Fitting model to feature number 22, Paraprevotella
2025-02-19 17:30:02.367048 INFO::Fitting model to feature number 23, Prevotella
2025-02-19 17:30:02.442362 INFO::Fitting model to feature number 24, Prevotella_7
2025-02-19 17:30:02.633624 INFO::Fitting model to feature number 25, Prevotella_9
2025-02-19 17:30:02.71974 INFO::Fitting model to feature number 26, Prevotellaceae_NK3B31_group
2025-02-19 17:30:02.803776 INFO::Fitting model to feature number 27, Alistipes
2025-02-19 17:30:02.89961 INFO::Fitting model to feature number 28, Parabacteroides
2025-02-19 17:30:02.98431 INFO::Fitting model to feature number 29, Tannerellaceae
2025-02-19 17:30:03.069748 INFO::Fitting model to feature number 30, Gastranaerophilales
2025-02-19 17:30:03.164193 INFO::Fitting model to feature number 31, Bilophila
