feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_UCG.010	Group	rPSC	-4.1908552637092	0.502192996457052	248	179	1.17301486850928e-13	2.08796646594652e-11
Enterococcus	Group	rPSC	3.65157606603482	0.433007602122131	248	64	6.82388156744396e-14	2.08796646594652e-11
Odoribacter	Group	rPSC	-3.1449668449383	0.434663676742268	248	178	4.0494852711004e-11	4.80538918837247e-09
Bilophila	Group	rPSC	-3.28175630148335	0.473195793274952	248	156	2.00527894774327e-10	1.78469826349151e-08
Alistipes	Group	rPSC	-3.47543986252656	0.518191936992457	248	209	6.05542494596274e-10	3.59288546793789e-08
f__Ruminococcaceae.g__uncultured	Group	rPSC	-2.54423771449505	0.377817939072477	248	168	5.71596810068274e-10	3.59288546793789e-08
Christensenellaceae_R.7_group	Group	rPSC	-3.6855275913956	0.564900333140078	248	162	1.56501107402919e-09	7.95919917649132e-08
Haemophilus	Group	rPSC	2.88116449517567	0.452900589771037	248	151	3.56186865352029e-09	1.58503155081653e-07
Veillonella	Group	rPSC	2.8504311340116	0.45157870466938	248	170	4.34037969258663e-09	1.71686130062316e-07
Coprococcus	Group	rPSC	-3.07692702676785	0.497180405764458	248	209	7.91997771360503e-09	2.81951206604339e-07
Barnesiella	Group	rPSC	-4.71615590926541	0.772208180499498	248	152	1.20050378113866e-08	3.05270961489544e-07
Colidextribacter	Group	rPSC	-2.85977325303135	0.467627553825044	248	198	1.13875326443016e-08	3.05270961489544e-07
Intestinimonas	Group	rPSC	-2.79865533650831	0.456984675147231	248	184	1.09425873787551e-08	3.05270961489544e-07
f__Enterobacteriaceae.g__unassigned	Group	rPSC	2.95916009683996	0.484491527262642	248	45	1.15542135032493e-08	3.05270961489544e-07
Streptococcus	Group	rPSC	2.68467163593794	0.440824889748397	248	235	1.29152557753926e-08	3.0652207040265e-07
Family_XIII_AD3011_group	Group	rPSC	-3.13799006019378	0.523042601265789	248	150	2.04693497857719e-08	4.55443032733425e-07
Clostridia_UCG.014	Group	rPSC	-3.22608026877617	0.54857950366431	248	129	3.52024467012475e-08	7.371806485673e-07
Sphingobium	Group	rPSC	1.32858716948696	0.231469644301916	248	24	7.43467236045682e-08	1.47041297795701e-06
Collinsella	Country	NO	-2.95809331007672	0.56470769532302	248	198	6.60842312406787e-07	1.23820980640429e-05
X.Eubacterium._hallii_group	Group	rPSC	-2.3315874362097	0.445958840842792	248	208	7.0009034646951e-07	1.24616081671573e-05
UCG.002	Group	rPSC	-3.0187658359721	0.580670667183886	248	188	7.9013164002694e-07	1.33946125642662e-05
Lachnoclostridium	Group	rPSC	-1.77646967320618	0.34561988466411	248	241	1.01766671665881e-06	1.60730785080907e-05
Klebsiella	Group	rPSC	2.66668554675685	0.519181475455984	248	41	1.0384292294553e-06	1.60730785080907e-05
Actinomyces	Country	NO	-1.99504534892663	0.389064833773525	248	127	1.0945092723051e-06	1.62352208725256e-05
