2025-02-19 17:28:21.303347 INFO::Writing function arguments to log file
2025-02-19 17:28:21.312691 DEBUG::Function arguments
2025-02-19 17:28:21.316659 DEBUG::Output folder: ../intermediate_files/maaslin/Q2/genus/healthy vs GrouprPSC
2025-02-19 17:28:21.31978 DEBUG::Min Abundance: 0.000000
2025-02-19 17:28:21.322693 DEBUG::Min Prevalence: 0.000000
2025-02-19 17:28:21.325672 DEBUG::Normalization: TSS
2025-02-19 17:28:21.328721 DEBUG::Transform: LOG
2025-02-19 17:28:21.332395 DEBUG::Analysis method: LM
2025-02-19 17:28:21.335949 DEBUG::Max significance: 0.050000
2025-02-19 17:28:21.338875 DEBUG::Random effects: Patient
2025-02-19 17:28:21.341916 DEBUG::Fixed effects: Group,Country
2025-02-19 17:28:21.345319 DEBUG::Correction method: BH
2025-02-19 17:28:21.349837 DEBUG::Standardize: TRUE
2025-02-19 17:28:21.352875 DEBUG::Cores: 1
2025-02-19 17:28:21.3555 INFO::Verifying options selected are valid
2025-02-19 17:28:21.363538 INFO::Determining format of input files
2025-02-19 17:28:21.370895 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-19 17:28:21.385876 DEBUG::Transformed data so samples are rows
2025-02-19 17:28:21.391848 DEBUG::A total of 248 samples were found in both the data and metadata
2025-02-19 17:28:21.393942 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-19 17:28:21.398308 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-19 17:28:21.402638 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-19 17:28:21.406974 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-19 17:28:21.411375 INFO::Filter data based on min abundance and min prevalence
2025-02-19 17:28:21.415182 INFO::Total samples in data: 248
2025-02-19 17:28:21.418965 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-19 17:28:21.428583 INFO::Total filtered features: 0
2025-02-19 17:28:21.432885 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-19 17:28:21.446569 INFO::Total filtered features with variance filtering: 0
2025-02-19 17:28:21.451192 INFO::Filtered feature names from variance filtering:
2025-02-19 17:28:21.455192 INFO::Running selected normalization method: TSS
2025-02-19 17:28:21.468618 INFO::Applying z-score to standardize continuous metadata
2025-02-19 17:28:21.48297 INFO::Running selected transform method: LOG
2025-02-19 17:28:21.515665 INFO::Running selected analysis method: LM
2025-02-19 17:28:21.529367 INFO::Fitting model to feature number 1, Actinomyces
2025-02-19 17:28:21.643426 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-19 17:28:21.769884 INFO::Fitting model to feature number 3, Rothia
2025-02-19 17:28:21.91909 INFO::Fitting model to feature number 4, Atopobium
2025-02-19 17:28:22.048105 INFO::Fitting model to feature number 5, Collinsella
2025-02-19 17:28:22.188224 INFO::Fitting model to feature number 6, f__Coriobacteriales_Incertae_Sedis.g__uncultured
2025-02-19 17:28:22.319969 INFO::Fitting model to feature number 7, Adlercreutzia
