feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Haemophilus	Pseudomonas	Akkermansia	Enterorhabdus	Gordonibacter	Muribaculaceae	Prevotella	Campylobacter	Lacticaseibacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	RF39	f__Christensenellaceae.g__uncultured	Anaerofustis	Eubacterium	Anaerostignum	Frisingicoccus	Lachnoanaerobaculum	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	UCG.009	X.Eubacterium._brachy_group	Anaerococcus	Finegoldia	Parvimonas	Peptoniphilus	Clostridioides	Peptostreptococcus	Veillonellaceae	o__Veillonellales.Selenomonadales.f__unassigned.g__unassigned	Methylobacterium.Methylorubrum	Morganella	Proteus	Aggregatibacter	o__Enterobacterales.f__unassigned.g__unassigned
run02-102	27	125	0	0	9	0	1506	0	115	0	0	0	5670	484	0	0	0	0	0	105	475	59	18	428	0	0	0	364	0	854	0	0	0	8	0	4	0	0	130	0	4	2	0	0	0	0	8	40	0	267	0	102	655	0	51	0	30	0	125	0	0	0	0	0	192	365	0	229	0	15	2	72	0	0	0	635	4120	213	0	41	12	20	2	0	4	5	19	0	0	0	4	0	0	0	695	0	3	12	3	1330	5	0	0	0	0	11	0	26	0	0	6	0	728	0	0	0	151	0	43	12	0	0	2	0	1344	40	746	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	2	0
run02-103	16	168	5	0	0	111	877	4	0	84	38	0	2175	311	62	61	30	37	0	1372	459	297	152	56	268	92	15	4	0	38	4	24	3	2	2	10	0	12	397	6	0	0	52	0	66	6	492	417	6	1410	0	124	123	0	103	16	24	0	124	44	54	20	4	0	4	0	22	528	98	0	65	70	24	4	0	0	589	1151	4	8	22	2	0	114	12	41	409	23	194	24	71	3	0	2	1699	0	16	68	619	736	3	40	0	25	39	130	0	32	5	0	456	154	548	103	282	0	171	162	11	0	0	235	0	26	124	0	0	0	0	102	0	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	476	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-104	67	3339	0	10	0	0	0	0	694	0	0	0	4499	0	0	0	0	0	0	0	0	6423	0	0	0	0	318	0	0	0	0	0	0	461	0	0	173	0	339	0	0	0	0	0	0	0	269	0	882	7538	0	0	634	0	0	0	0	0	1524	136	0	0	0	0	0	0	0	2612	235	0	0	0	0	0	0	2965	0	1846	0	21	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	96	19	0	1341	0	0	0	0	2600	0	0	0	8	0	0	0	68	728	0	55	0	0	0	0	0	0	0	0	0	21	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-105	0	503	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	6525	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	769	0	272	10766	0	0	0	4	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360	21	0	0
run02-106	30	16	0	9	0	0	1104	0	4	0	59	0	4660	185	364	46	65	0	0	0	132	21	73	147	0	44	5	0	0	616	0	0	0	8	0	2	0	0	61	9	0	0	0	0	0	0	585	0	13	785	0	0	177	0	15	0	0	0	176	0	0	0	0	0	0	0	0	2838	0	0	17	43	0	0	14	330	1584	190	0	36	0	12	2	0	12	0	0	0	0	0	0	0	0	0	1145	0	53	0	0	1848	0	0	0	0	0	0	0	0	0	0	0	0	344	23	3	0	0	0	97	13	0	86	0	0	282	170	75	0	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-107	210	1227	3	139	10	0	954	0	37	53	82	0	2159	112	12	16	5	0	0	0	17	10	0	0	0	0	45	0	4	0	0	0	0	21	0	0	0	2	1513	104	27	0	0	0	0	0	0	0	104	516	0	40	1100	0	0	0	0	11	131	78	0	0	0	0	0	0	0	869	0	0	0	83	0	0	91	161	1294	281	0	0	0	9	0	0	17	0	13	0	0	0	0	0	0	0	6	0	19	0	0	49	0	0	0	0	0	0	0	0	0	4	116	38	0	200	0	0	0	5	825	1592	21	0	5	0	276	304	5	151	0	173	31	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	16	4	0	0	0	0	0	3	0
run02-108	0	954	0	0	0	28	4022	0	330	0	0	0	2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058	77	0	0	49	0	31	0	0	0	350	325	0	31	42	0	0	0	0	38	0	87	1902	212	422	882	0	129	0	0	8	648	0	55	0	0	0	0	22	0	1965	20	0	7	258	112	0	209	305	1290	2732	0	45	59	36	0	0	0	71	129	0	249	0	57	16	0	0	4470	0	73	0	442	4449	0	0	38	0	0	108	0	0	30	0	269	25	0	0	0	0	143	0	107	33	0	0	323	0	95	570	0	0	0	353	29	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-109	209	150	0	125	12	0	807	3	0	72	30	18	2141	1384	44	0	222	0	3	541	954	427	161	239	140	0	15	45	0	0	9	0	5	3	21	0	0	0	665	93	55	2	199	0	12	73	3	94	43	503	31	338	261	0	218	6	31	0	92	4	14	16	18	0	49	164	7	295	0	0	4	84	2	2	55	0	514	543	0	27	12	94	22	0	46	2	862	164	190	0	75	0	0	0	797	0	12	35	146	2457	12	14	14	19	0	167	0	67	0	9	133	18	0	441	0	0	64	4	129	27	0	425	0	5	508	0	542	0	0	40	0	44	5	14	0	0	4	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-110	2	55	2	0	0	0	441	0	59	0	59	0	3215	103	19	0	0	0	0	0	122	208	0	109	0	0	5	431	0	1553	0	0	2	28	0	7	0	0	36	0	0	0	0	90	0	0	67	34	143	1050	0	41	908	0	89	21	0	5	311	69	17	139	53	0	61	0	4	268	0	13	31	219	19	0	0	363	339	453	26	53	0	27	11	0	0	0	168	15	38	0	6	2	0	0	1357	0	40	0	163	235	17	0	0	4	0	13	0	13	0	0	989	12	67	180	0	0	0	52	17	35	0	68	8	5	225	323	0	0	0	18	206	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
run02-111	11	210	0	0	2	0	174	45	0	0	143	0	4406	1280	96	50	0	0	0	0	530	84	25	41	0	0	0	483	0	0	6	0	0	40	0	0	0	0	198	0	0	0	35	0	0	0	0	792	204	1921	0	137	264	6	0	17	0	0	78	4	10	65	68	0	51	190	30	639	0	0	94	461	6	0	0	34	1102	86	74	52	76	63	50	0	166	11	218	19	47	0	89	3	0	0	2564	0	9	27	59	41	4	0	0	15	0	80	0	0	0	0	5	18	0	0	0	0	72	2	8	0	0	0	4	6	102	535	0	0	2	16	0	0	0	3	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
