feature	Actinomyces	Bifidobacterium	Corynebacterium	Rothia	Atopobium	Olsenella	Collinsella	Adlercreutzia	Eggerthella	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Paraprevotella	Prevotella_7	Prevotella_9	Alistipes	Parabacteroides	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lactobacillus	Ligilactobacillus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	Gemella	Staphylococcus	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.003	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerotruncus	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Eubacterium._coprostanoligenes_group	Peptococcus	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	Intestinibacter	Romboutsia	Acidaminococcus	Phascolarctobacterium	Megamonas	Allisonella	Dialister	Megasphaera	Veillonella	Fusobacterium	TM7x	o__Rhodospirillales.f__uncultured.g__uncultured	Sphingobium	Parasutterella	Sutterella	Escherichia.Shigella	Klebsiella	f__Enterobacteriaceae.g__unassigned	Actinobacillus	Haemophilus	Pseudomonas	Akkermansia	Enterorhabdus	Gordonibacter	Muribaculaceae	Prevotella	Campylobacter	Lacticaseibacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	RF39	f__Christensenellaceae.g__uncultured	Anaerofustis	Eubacterium	Anaerostignum	Frisingicoccus	Lachnoanaerobaculum	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	X.Eubacterium._ruminantium_group	UCG.009	X.Eubacterium._brachy_group	Anaerococcus	Finegoldia	Parvimonas	Peptoniphilus	Clostridioides	Peptostreptococcus	Veillonellaceae	o__Veillonellales.Selenomonadales.f__unassigned.g__unassigned	Methylobacterium.Methylorubrum	Morganella	Proteus	Aggregatibacter	o__Enterobacterales.f__unassigned.g__unassigned
run02-102	0.00115074798619102	0.00532753697310659	0	0	0.000383582662063675	0	0.0641861654519882	0	0.00490133401525807	0	0	0	0.241657077100115	0.0206282231598687	0	0	0	0	0	0.00447513105740954	0.0202446404978051	0.00251459745130631	0.000767165324127349	0.018241486595917	0	0	0	0.0155137876656864	0	0.0363977326002642	0	0	0	0.000340962366278822	0	0.000170481183139411	0	0	0.00554063845203086	0	0.000170481183139411	8.52405915697055e-05	0	0	0	0	0.000340962366278822	0.00170481183139411	0	0.0113796189745557	0	0.00434727017005498	0.0279162937390786	0	0.00217363508502749	0	0.00127860887354558	0	0.00532753697310659	0	0	0	0	0	0.00818309679069173	0.0155564079614713	0	0.00976004773473128	0	0.000639304436772791	8.52405915697055e-05	0.0030686612965094	0	0	0	0.0270638878233815	0.175595618633593	0.00907812300217363	0	0.00174743212717896	0.000511443549418233	0.000852405915697055	8.52405915697055e-05	0	0.000170481183139411	0.000213101478924264	0.000809785619912202	0	0	0	0.000170481183139411	0	0	0	0.0296211055704727	0	0.000127860887354558	0.000511443549418233	0.000127860887354558	0.0566849933938542	0.000213101478924264	0	0	0	0	0.00046882325363338	0	0.00110812769040617	0	0	0.000255721774709117	0	0.0310275753313728	0	0	0	0.00643566466351276	0	0.00183267271874867	0.000511443549418233	0	0	8.52405915697055e-05	0	0.0572816775348421	0.00170481183139411	0.0317947406555001	0	0	0.00119336828197588	0	0	0	0	0	0	0	0	0	0	0	0	8.52405915697055e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028086774922218	0	0	0	0	8.52405915697055e-05	0
run02-103	0.000797487913073817	0.00837362308727508	0.000249214972835568	0	0	0.00553257239694961	0.0437123062353586	0.000199371978268454	0	0.00418681154363754	0.00189403379355032	0	0.108408513183472	0.0155011713103723	0.00309026566316104	0.00304042266859393	0.00149528983701341	0.0018441907989832	0	0.0683845885460798	0.0228779345063051	0.0148033693864327	0.00757613517420127	0.00279120769575836	0.0133579225439864	0.00458555550017445	0.000747644918506704	0.000199371978268454	0	0.00189403379355032	0.000199371978268454	0.00119623186961073	0.000149528983701341	9.96859891342272e-05	9.96859891342272e-05	0.000498429945671136	0	0.000598115934805363	0.0197876688431441	0.000299057967402682	0	0	0.00259183571748991	0	0.0032896376414295	0.000299057967402682	0.0245227533270199	0.0207845287344864	0.000299057967402682	0.0702786223396302	0	0.00618053132632209	0.00613068833175497	0	0.0051338284404127	0.000797487913073817	0.00119623186961073	0	0.00618053132632209	0.002193091760953	0.00269152170662413	0.000996859891342272	0.000199371978268454	0	0.000199371978268454	0	0.0010965458804765	0.026317101131436	0.00488461346757713	0	0.00323979464686238	0.00348900961969795	0.00119623186961073	0.000199371978268454	0	0	0.0293575238000299	0.0573692867467477	0.000199371978268454	0.000398743956536909	0.0010965458804765	9.96859891342272e-05	0	0.00568210138065095	0.000598115934805363	0.00204356277725166	0.0203857847779495	0.00114638887504361	0.00966954094602004	0.00119623186961073	0.00353885261426506	0.000149528983701341	0	9.96859891342272e-05	0.084683247769526	0	0.000797487913073817	0.00338932363056372	0.0308528136370433	0.0366844440013956	0.000149528983701341	0.00199371978268454	0	0.00124607486417784	0.00194387678811743	0.00647958929372477	0	0.00159497582614763	0.000249214972835568	0	0.0227284055226038	0.00767582116333549	0.0273139610227782	0.0051338284404127	0.014055724467926	0	0.00852315207097642	0.0080745651198724	0.000548272940238249	0	0	0.0117131037232717	0	0.00129591785874495	0.00618053132632209	0	0	0	0	0.00508398544584559	0	0.000897173902208045	0.000498429945671136	0	0	0	0	0	0	0	0	0	0	0	0	0	9.96859891342272e-05	0	0	0	0.0237252654139461	0	0.000498429945671136	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-104	0.00167554455197939	0.0835021381949134	0	0.000250081276414835	0	0	0	0	0.0173556405831895	0	0	0	0.112511566259034	0	0	0	0	0	0	0	0	0.160627203841248	0	0	0	0	0.00795258458999175	0	0	0	0	0	0	0.0115287468427239	0	0	0.00432640608197664	0	0.0084777552704629	0	0	0	0	0	0	0	0.00672718633555906	0	0.0220571685797884	0.188511266161502	0	0	0.0158551529247005	0	0	0	0	0	0.0381123865256208	0.00340110535924175	0	0	0	0	0	0	0	0.0653212293995549	0.00587690999574862	0	0	0	0	0	0	0.0741490984569985	0	0.0461650036261785	0	0.000525170680471153	0	0.000825268212168955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000325105659339285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00240078025358241	0.000475154425188186	0	0.0335358991672293	0	0	0	0	0.0650211318678571	0	0	0	0.000200065021131868	0	0	0	0.00170055267962088	0.018205916923	0	0.00137544702028159	0	0	0	0	0	0	0	0	0	0.000525170680471153	0	0	0	0	0.00050016255282967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-105	0	0.0246774272678212	0	0.000490604915861257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000883088848550262	0	0	0	0	0	0	0.32011970759947	0	0	0.000539665407447383	0	0	0	0	0	0	0	9.81209831722514e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103027032330864	0	0	0	0.00181523818868665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000196241966344503	0.0377275180297307	0	0.0133444537114262	0.528185252416229	0	0	0	0.000196241966344503	0	0	0	0	0	0	0.00294362949516754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667222685571309	0.00103027032330864	0	0
run02-106	0.00160788937721085	0.000857541001179119	0	0.000482366813163254	0	0	0.0591703290813592	0	0.00021438525029478	0	0.003162182441848	0	0.249758816593418	0.00991531782613356	0.019509057776825	0.00246543037838997	0.00348376031729017	0	0	0	0.00707471325972773	0.00112552256404759	0.00391253081787973	0.00787865794833315	0	0.00235823775324258	0.000267981562868475	0	0	0.0330153285453961	0	0	0	0.000428770500589559	0	0.00010719262514739	0	0	0.00326937506699539	0.000482366813163254	0	0	0	0	0	0	0.0313538428556115	0	0.000696752063458034	0.0420731053703505	0	0	0.009486547325544	0	0.000803944688605424	0	0	0	0.00943295101297031	0	0	0	0	0	0	0	0	0.152106335084146	0	0	0.000911137313752814	0.00230464144066888	0	0	0.000750348376031729	0.0176867831493193	0.0848965591167328	0.010183299389002	0	0.00192946725265302	0	0.000643155750884339	0.00010719262514739	0	0.000643155750884339	0	0	0	0	0	0	0	0	0	0.0613677778968807	0	0.00284060456640583	0	0	0.0990459856361882	0	0	0	0	0	0	0	0	0	0	0	0	0.0184371315253511	0.00123271518919498	0.000160788937721085	0	0	0	0.00519884231964841	0.000696752063458034	0	0.00460928288133776	0	0	0.015114160145782	0.00911137313752814	0.00401972344302712	0	0	0.00144710043948976	0.000160788937721085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-107	0.0136160280101148	0.079556506516242	0.000194514685858782	0.00901251377812358	0.000648382286195941	0	0.0618556701030928	0	0.00239901445892498	0.00343642611683849	0.00531673474680672	0	0.139985735589704	0.00726188160539454	0.000778058743435129	0.00103741165791351	0.000324191143097971	0	0	0	0.0011022498865331	0.000648382286195941	0	0	0	0	0.00291772028788173	0	0.000259352914478376	0	0	0	0	0.00136160280101148	0	0	0	0.000129676457239188	0.0981002399014459	0.00674317577643779	0.00175063217272904	0	0	0	0	0	0	0	0.00674317577643779	0.0334565259677106	0	0.00259352914478376	0.0713220514815535	0	0	0	0	0.000713220514815535	0.00849380794916683	0.00505738183232834	0	0	0	0	0	0	0	0.0563444206704273	0	0	0	0.00538157297542631	0	0	0.00590027880438306	0.0104389548077547	0.0839006678337548	0.0182195422421059	0	0	0	0.000583544057576347	0	0	0.0011022498865331	0	0.000842896972054723	0	0	0	0	0	0	0	0.000389029371717565	0	0.00123192634377229	0	0	0.00317707320236011	0	0	0	0	0	0	0	0	0	0.000259352914478376	0.00752123451987292	0.00246385268754458	0	0.0129676457239188	0	0	0	0.000324191143097971	0.0534915386111651	0.103222459962394	0.00136160280101148	0	0.000324191143097971	0	0.017895351099008	0.0197108215003566	0.000324191143097971	0.00979057252155871	0	0.0112170135511898	0.00200998508720742	0	0	0	0	0	0	0.000129676457239188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129676457239188	0.00103741165791351	0	0.00103741165791351	0.000259352914478376	0	0	0	0	0	0.000194514685858782	0
run02-108	0	0.0282758825098551	0	0	0	0.00082990011559323	0.119209223746999	0	0.00978096564806307	0	0	0	0.0850351225584635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313583686534871	0.00228222531788138	0	0	0.00145232520228815	0	0.000918817985121076	0	0	0	0.0103737514449154	0.00963276919884999	0	0.000918817985121076	0.00124485017338985	0	0	0	0	0.00112629301401938	0	0.00257861821630754	0.0563739292806544	0.00628352944663446	0.0125077803135837	0.0261418536411868	0	0.00382346838969738	0	0	0.000237114318740923	0.0192062598180148	0	0.00163016094134385	0	0	0	0	0.000652064376537538	0	0.0582412045407392	0.000592785796852307	0	0.000207475028898308	0.00764693677939477	0.00331960046237292	0	0.00619461157710661	0.00903998340199769	0.0382346838969738	0.0809745398500252	0	0.00133376804291769	0.00174871810071431	0.00106701443433415	0	0	0	0.00210438957882569	0.00382346838969738	0	0.00738018317081123	0	0.00168943952102908	0.000474228637481846	0	0	0.132487625596491	0	0.00216366815851092	0	0.013100566110436	0.131865200509796	0	0	0.00112629301401938	0	0	0.00320104330300246	0	0	0.000889178695278461	0	0.00797296896766353	0.000740982246065384	0	0	0	0	0.004238418447494	0	0.00317140401315984	0.000978096564806307	0	0	0.00957349061916477	0	0.00281573253504846	0.0168943952102908	0	0	0	0.0104626693144432	0.000859539405435846	0	0	0	0	0	0	0	0	0.000444589347639231	0	0	0	0	0	0	0	0	0.00106701443433415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-109	0.0104494775261237	0.00749962501874906	0	0.00624968751562422	0.000599970001499925	0	0.04034798260087	0.000149992500374981	0	0.00359982000899955	0.00149992500374981	0.000899955002249887	0.107044647767612	0.0691965401729913	0.00219989000549973	0	0.0110994450277486	0	0.000149992500374981	0.0270486475676216	0.047697615119244	0.0213489325533723	0.00804959752012399	0.0119494025298735	0.00699965001749913	0	0.000749962501874906	0.00224988750562472	0	0	0.000449977501124944	0	0.000249987500624969	0.000149992500374981	0.00104994750262487	0	0	0	0.0332483375831208	0.00464976751162442	0.00274986250687466	9.99950002499875e-05	0.00994950252487376	0	0.000599970001499925	0.00364981750912454	0.000149992500374981	0.00469976501174941	0.00214989250537473	0.0251487425628719	0.00154992250387481	0.0168991550422479	0.0130493475326234	0	0.0108994550272486	0.000299985000749962	0.00154992250387481	0	0.00459977001149943	0.000199990000499975	0.000699965001749912	0.0007999600019999	0.000899955002249887	0	0.00244987750612469	0.00819959002049898	0.000349982500874956	0.0147492625368732	0	0	0.000199990000499975	0.00419979001049947	9.99950002499875e-05	9.99950002499875e-05	0.00274986250687466	0	0.0256987150642468	0.0271486425678716	0	0.00134993250337483	0.000599970001499925	0.00469976501174941	0.00109994500274986	0	0.00229988500574971	9.99950002499875e-05	0.0430978451077446	0.00819959002049898	0.00949952502374881	0	0.00374981250937453	0	0	0	0.03984800759962	0	0.000599970001499925	0.00174991250437478	0.00729963501824909	0.12284385780711	0.000599970001499925	0.000699965001749912	0.000699965001749912	0.000949952502374881	0	0.00834958252087396	0	0.00334983250837458	0	0.000449977501124944	0.00664966751662417	0.000899955002249887	0	0.0220488975551222	0	0	0.0031998400079996	0.000199990000499975	0.00644967751612419	0.00134993250337483	0	0.0212489375531223	0	0.000249987500624969	0.0253987300634968	0	0.0270986450677466	0	0	0.00199990000499975	0	0.00219989000549973	0.000249987500624969	0.000699965001749912	0	0	0.000199990000499975	0	0	0	0.0039998000099995	0	0	0	0	0	0	0	0	0	0	0	0.000249987500624969	0	0	0	0	0	0	0	0	0	0	0	0	0
run02-110	0.000124540755962389	0.00342487078896569	0.000124540755962389	0	0	0	0.0274612366897067	0	0.00367395230089047	0	0.00367395230089047	0	0.20019926520954	0.00641384893206302	0.00118313718164269	0	0	0	0	0	0.00759698611370571	0.0129522386200884	0	0.00678747119995018	0	0	0.000311351889905972	0.0268385329098948	0	0.0967058970047948	0	0	0.000124540755962389	0.00174357058347344	0	0.00043589264586836	0	0	0.002241733607323	0	0	0	0	0.00560433401830749	0	0	0.00417211532474002	0.00211719285136061	0.00890466405131079	0.0653838968802541	0	0.00255308549722897	0.0565415032069245	0	0.0055420636403263	0.00130767793760508	0	0.000311351889905972	0.0193660875521514	0.00429665608070241	0.0010585964256803	0.00865558253938601	0.0033003300330033	0	0.00379849305685285	0	0.000249081511924777	0.0166884612989601	0	0.000809514913755527	0.00193038171741702	0.0136372127778816	0.00118313718164269	0	0	0.0226041472071735	0.0211096581356249	0.028208481225481	0.00161902982751105	0.0033003300330033	0	0.00168130020549225	0.000684974157793138	0	0	0	0.0104614235008406	0.000934055669717915	0.00236627436328539	0	0.000373622267887166	0.000124540755962389	0	0	0.0845009029204807	0	0.00249081511924777	0	0.0101500716109347	0.0146335388255807	0.0010585964256803	0	0	0.000249081511924777	0	0.000809514913755527	0	0.000809514913755527	0	0	0.0615854038234012	0.000747244535774332	0.00417211532474002	0.011208668036615	0	0	0	0.00323805965502211	0.0010585964256803	0.0021794632293418	0	0.00423438570272122	0.000498163023849555	0.000311351889905972	0.0140108350457687	0.0201133320879258	0	0	0	0.0011208668036615	0.012827697864126	0.0247213400585342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186811133943583	0	0	0	0	0	0.000186811133943583	0	0	0	0	0	0	0	0	0	0
run02-111	0.000592321361262183	0.0113079532604599	0	0	0.000107694792956761	0	0.00936944698723817	0.00242313284152711	0	0	0.00770017769640838	0	0.237251628883743	0.0689246674923267	0.00516935006192451	0.00269236982391901	0	0	0	0	0.0285391201335415	0.00452318130418394	0.00134618491195951	0.00220774325561359	0	0	0	0.0260082924990577	0	0	0.000323084378870282	0	0	0.00215389585913521	0	0	0	0	0.0106617845027193	0	0	0	0.00188465887674331	0	0	0	0	0.0426471380108772	0.0109848688815896	0.103440848634968	0	0.0073770933175381	0.0142157126702924	0.000323084378870282	0	0.000915405740132465	0	0	0.00420009692531366	0.000215389585913521	0.000538473964783803	0.00350008077109472	0.00366162296052986	0	0.00274621722039739	0.0102310053308923	0.00161542189435141	0.034408486349685	0	0	0.00506165526896775	0.0248236497765333	0.000323084378870282	0	0	0.00183081148026493	0.0593398309191751	0.0046308760971407	0.00398470733940014	0.00280006461687577	0.0040924021323569	0.00339238597813796	0.00269236982391901	0	0.00893866781541112	0.000592321361262183	0.0117387324322869	0.00102310053308923	0.00253082763448387	0	0.00479241828657584	0.000161542189435141	0	0	0.138064724570567	0	0.000484626568305422	0.00145387970491627	0.00317699639222444	0.00220774325561359	0.000215389585913521	0	0	0.000807710947175704	0	0.00430779171827042	0	0	0	0	0.000269236982391901	0.000969253136610845	0	0	0	0	0.00387701254644338	0.000107694792956761	0.000430779171827042	0	0	0	0.000215389585913521	0.000323084378870282	0.00549243444079479	0.0288083571159334	0	0	0.000107694792956761	0.000861558343654084	0	0	0	0.000161542189435141	0	0	0	0	0	0	0	0	0.000700016154218944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
