2025-02-19 17:26:35.036782 INFO::Writing function arguments to log file
2025-02-19 17:26:35.042425 DEBUG::Function arguments
2025-02-19 17:26:35.044521 DEBUG::Output folder: ../intermediate_files/maaslin/Q2/genus/non-rPSC vs GrouprPSC
2025-02-19 17:26:35.046406 DEBUG::Min Abundance: 0.000000
2025-02-19 17:26:35.048433 DEBUG::Min Prevalence: 0.000000
2025-02-19 17:26:35.050908 DEBUG::Normalization: TSS
2025-02-19 17:26:35.053318 DEBUG::Transform: LOG
2025-02-19 17:26:35.055724 DEBUG::Analysis method: LM
2025-02-19 17:26:35.057986 DEBUG::Max significance: 0.050000
2025-02-19 17:26:35.060095 DEBUG::Random effects: Patient
2025-02-19 17:26:35.062054 DEBUG::Fixed effects: Group,Country
2025-02-19 17:26:35.063836 DEBUG::Correction method: BH
2025-02-19 17:26:35.067202 DEBUG::Standardize: TRUE
2025-02-19 17:26:35.070354 DEBUG::Cores: 1
2025-02-19 17:26:35.07272 INFO::Verifying options selected are valid
2025-02-19 17:26:35.078554 INFO::Determining format of input files
2025-02-19 17:26:35.084341 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-19 17:26:35.099894 DEBUG::Transformed data so samples are rows
2025-02-19 17:26:35.10446 DEBUG::A total of 350 samples were found in both the data and metadata
2025-02-19 17:26:35.106426 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-19 17:26:35.110733 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-19 17:26:35.118199 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-19 17:26:35.123875 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-19 17:26:35.129861 INFO::Filter data based on min abundance and min prevalence
2025-02-19 17:26:35.136902 INFO::Total samples in data: 350
2025-02-19 17:26:35.144634 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-19 17:26:35.161088 INFO::Total filtered features: 0
2025-02-19 17:26:35.16887 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-19 17:26:35.194178 INFO::Total filtered features with variance filtering: 0
2025-02-19 17:26:35.203561 INFO::Filtered feature names from variance filtering:
2025-02-19 17:26:35.209717 INFO::Running selected normalization method: TSS
2025-02-19 17:26:35.228103 INFO::Applying z-score to standardize continuous metadata
2025-02-19 17:26:35.239729 INFO::Running selected transform method: LOG
2025-02-19 17:26:35.270657 INFO::Running selected analysis method: LM
2025-02-19 17:26:35.286636 INFO::Fitting model to feature number 1, Actinomyces
2025-02-19 17:26:35.494565 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-19 17:26:35.65509 INFO::Fitting model to feature number 3, Corynebacterium
2025-02-19 17:26:35.795903 INFO::Fitting model to feature number 4, Rothia
2025-02-19 17:26:35.938387 INFO::Fitting model to feature number 5, Atopobium
2025-02-19 17:26:36.070669 INFO::Fitting model to feature number 6, Olsenella
2025-02-19 17:26:36.199864 INFO::Fitting model to feature number 7, Collinsella
2025-02-19 17:26:36.359006 INFO::Fitting model to feature number 8, Adlercreutzia
2025-02-19 17:26:36.553427 INFO::Fitting model to feature number 9, Eggerthella
2025-02-19 17:26:36.726176 INFO::Fitting model to feature number 10, Senegalimassilia
2025-02-19 17:26:36.882296 INFO::Fitting model to feature number 11, Slackia
