feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingobium	Country	NO	-2.18866079880771	0.279330608500835	350	117	1.22047377378439e-12	4.05197292896419e-10
Actinomyces	Country	NO	-2.62560237755106	0.398407485174161	350	216	7.85508396789204e-10	1.30394393867008e-07
Finegoldia	Country	NO	-1.05121524750573	0.186125684787562	350	61	3.38574827219296e-08	3.74689475456021e-06
Bifidobacterium	Country	NO	-3.40350266799403	0.60607218211093	350	296	8.89046334592397e-08	5.33858563660976e-06
Collinsella	Country	NO	-3.56681932032467	0.637035741756011	350	250	9.64804633122246e-08	5.33858563660976e-06
X.Clostridium._innocuum_group	Country	NO	-2.54931894122615	0.451265690291261	350	197	7.74897760561584e-08	5.33858563660976e-06
Corynebacterium	Country	NO	-1.08891925373886	0.216388073534094	350	92	1.99544992762751e-06	9.46413394246192e-05
Eisenbergiella	Country	NO	1.67177555407264	0.351354369993106	350	98	4.40719936152017e-06	0.0001625766875583
Romboutsia	Country	NO	-2.35685770878603	0.493164881610743	350	130	4.11201669614754e-06	0.0001625766875583
X.Eubacterium._brachy_group	Country	NO	-1.22579010361198	0.268044295766677	350	75	1.01121724941065e-05	0.000335724126804335
TM7x	Country	NO	-0.849307835468675	0.187859911563572	350	49	1.43446076635987e-05	0.000432946340392251
Gemella	Country	NO	-1.49364417211273	0.333121308844036	350	161	1.56657304045042e-05	0.000433418541191283
Atopobium	Country	NO	-1.0575331426253	0.246823934461367	350	71	3.48911137702246e-05	0.000891065367054966
Rothia	Country	NO	-1.63161044120615	0.388111854303305	350	172	4.6227737463603e-05	0.000981600517980483
Senegalimassilia	Country	NO	-2.24948516661156	0.539344975031883	350	113	5.04352085130461e-05	0.000981600517980483
Streptococcus	Country	NO	-1.58907692312469	0.376751481273896	350	342	4.20794955100085e-05	0.000981600517980483
CAG.56	Country	NO	1.95500148852936	0.470336280959876	350	140	5.32193051917129e-05	0.000981600517980483
Lachnospiraceae_UCG.003	Country	NO	1.03633704077811	0.248931333840713	350	40	5.17029459818703e-05	0.000981600517980483
Peptoniphilus	Country	NO	-0.69032904595285	0.170978732070777	350	49	6.65200456126634e-05	0.00116235027070549
Acidaminococcus	Country	NO	-1.866636713331	0.465009148513541	350	71	9.25657556694075e-05	0.00153659154411216
Bilophila	Group	rPSC	-2.27324782525174	0.570677330809735	350	176	0.000103977621872711	0.00156911683917
o__Lactobacillales.f__unassigned.g__unassigned	Country	NO	-1.47081658447033	0.368166922571933	350	172	0.000102961488903628	0.00156911683917
Enterococcus	Group	rPSC	2.53741283049265	0.648500578712943	350	151	0.00013677231586488	0.0019742786463974
Slackia	Country	NO	-1.64369644985984	0.445355417425924	350	124	0.000309558400689368	0.0042822245428696
Staphylococcus	Country	NO	-0.588911965599128	0.163009298425906	350	72	0.00046417194939759	0.00592711873846154
X.Eubacterium._hallii_group	Group	rPSC	-1.7832487618405	0.498137416464662	350	286	0.000458898352383184	0.00592711873846154
Hungatella	Country	NO	1.61989713991065	0.46188538607059	350	161	0.00059394949355728	0.00717368016506773
Lachnospiraceae_UCG.010	Group	rPSC	-2.04154147804554	0.583128696541356	350	208	0.00060500917054788	0.00717368016506773
f__Erysipelotrichaceae.g__unassigned	Country	NO	-1.08219924966417	0.312967047435277	350	62	0.000709267321063973	0.008119887951491
Holdemanella	Country	NO	-1.71576727192909	0.508261566601547	350	62	0.000930353621018254	0.0102959134059353
Subdoligranulum	Group	rPSC	-2.32329758345081	0.702013044738205	350	286	0.00116122336359028	0.0124363276358701
f__Desulfovibrionaceae.g__uncultured	Country	NO	-0.989274465108178	0.30046820007739	350	51	0.00123736543812115	0.0127735278202592
Lacticaseibacillus	Group	rPSC	0.771636313368552	0.234945493609453	350	45	0.00126965788574865	0.0127735278202592
Mogibacterium	Country	NO	-0.891137279920041	0.274117361101346	350	56	0.00142128429133681	0.0138784230801124
X.Eubacterium._hallii_group	Country	NO	-1.449556373937	0.454553846698715	350	286	0.00172817979950781	0.0163930198124741
Lactobacillus	Country	NO	-1.08217025546802	0.345287500700108	350	72	0.00207342077064258	0.0191215471070371
Coprobacter	Country	NO	-1.64610318886502	0.532471438373022	350	129	0.00236138786470623	0.0200842531715901
Faecalitalea	Country	NO	-1.31198395293913	0.422863924239402	350	82	0.00228103935086669	0.0200842531715901
Family_XIII_UCG.001	Country	NO	0.692615255801854	0.224639800762542	350	68	0.0024197895387458	0.0200842531715901
Peptostreptococcus	Country	NO	-0.965601913818116	0.312021341014104	350	56	0.00236394711734839	0.0200842531715901
Hungatella	Group	rPSC	1.53538062701081	0.507170501477424	350	161	0.00288778839836392	0.0233840426404103
Megasphaera	Country	NO	-1.42490182751146	0.473471993718673	350	81	0.00306555170192024	0.0242324563104171
Barnesiella	Group	rPSC	-2.45424065220551	0.822898041952535	350	169	0.00331983341557613	0.0255217560188869
Anaerofustis	Country	NO	-0.408297765729335	0.136774397640901	350	48	0.00338240140009344	0.0255217560188869
Lacticaseibacillus	Country	NO	-0.634724274626677	0.213634256599452	350	45	0.00346190095538687	0.0255411359375209
X.Ruminococcus._torques_group	Country	NO	-1.54491485762666	0.522903789044824	350	329	0.00362200237998782	0.0261414084816512
Aggregatibacter	Country	NO	-0.728943019475236	0.249746487365129	350	54	0.00406813875572577	0.028736639721297
