feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_UCG.010	Group	healthy	4.19085526370875	0.502192996462205	248	179	1.17301489964078e-13	2.08796652136059e-11
Enterococcus	Group	healthy	-3.65157606603602	0.433007602126372	248	64	6.82388153853799e-14	2.08796652136059e-11
Odoribacter	Group	healthy	3.1449668449385	0.434663676749974	248	178	4.04948528560576e-11	4.8053892055855e-09
Bilophila	Group	healthy	3.28175630148193	0.473195793268341	248	156	2.00527896698991e-10	1.78469828062102e-08
Alistipes	Group	healthy	3.47543986252801	0.518191936991554	248	209	6.05542505528975e-10	3.59288553280525e-08
f__Ruminococcaceae.g__uncultured	Group	healthy	2.54423771449438	0.377817939071674	248	168	5.71596812303826e-10	3.59288553280525e-08
Christensenellaceae_R.7_group	Group	healthy	3.68552759139561	0.564900333138256	248	162	1.56501107228248e-09	7.95919916760805e-08
Haemophilus	Group	healthy	-2.88116449517925	0.452900589778192	248	151	3.56186864715422e-09	1.58503154798363e-07
Veillonella	Group	healthy	-2.85043113570564	0.451578711559395	248	170	4.34038209249107e-09	1.71686224991869e-07
Coprococcus	Group	healthy	3.07692702674491	0.497180397006155	248	209	7.91997247710526e-09	2.81951020184947e-07
Barnesiella	Group	healthy	4.71615590926544	0.772208180521711	248	152	1.20050378135504e-08	3.05270961544567e-07
Colidextribacter	Group	healthy	2.85977325303091	0.467627553825457	248	198	1.1387532619722e-08	3.05270961544567e-07
Intestinimonas	Group	healthy	2.79865533445964	0.456984652109959	248	184	1.09425678881896e-08	3.05270961544567e-07
f__Enterobacteriaceae.g__unassigned	Group	healthy	-2.95916009684081	0.484491527263763	248	45	1.1554213520638e-08	3.05270961544567e-07
Streptococcus	Group	healthy	-2.68467163593784	0.440824889746931	248	235	1.29152557813719e-08	3.0652207054456e-07
Family_XIII_AD3011_group	Group	healthy	3.13799006019286	0.523042601260406	248	150	2.04693498554334e-08	4.55443034283393e-07
Clostridia_UCG.014	Group	healthy	3.22608026886062	0.548579489490957	248	129	3.52024165413017e-08	7.37180016982554e-07
Sphingobium	Group	healthy	-1.32858716949077	0.231469644305243	248	24	7.43467239443899e-08	1.47041298467793e-06
Collinsella	Country	NO	-2.95809331007679	0.564707695324213	248	198	6.60842311884282e-07	1.23820980542529e-05
X.Eubacterium._hallii_group	Group	healthy	2.33158743620808	0.445958840845293	248	208	7.00090348103454e-07	1.24616081962415e-05
UCG.002	Group	healthy	3.01876583597185	0.58067066718184	248	188	7.90131641649097e-07	1.33946125917657e-05
Lachnoclostridium	Group	healthy	1.7764696732055	0.34561988466528	248	241	1.01766671021565e-06	1.60730785005945e-05
Klebsiella	Group	healthy	-2.66668554675223	0.519181475454553	248	41	1.03842922897099e-06	1.60730785005945e-05
