feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Akkermansia	Corynebacterium	Olsenella	Campylobacter	Faecalitalea	f__Erysipelotrichaceae.g__unassigned	Enterococcus	Lacticaseibacillus	Lactobacillus	Ligilactobacillus	Limosilactobacillus	f__Lactobacillaceae.g__unassigned	Staphylococcus	f__Christensenellaceae.g__uncultured	Anaerofustis	Eubacterium	Anaerostignum	Lachnoanaerobaculum	Shuttleworthia	UC5.1.2E3	X.Eubacterium._fissicatena_group	Anaerococcus	Finegoldia	Peptoniphilus	Clostridioides	Veillonellaceae	o__Veillonellales.Selenomonadales.f__unassigned.g__unassigned	TM7x	Methylobacterium.Methylorubrum	Sphingobium	Klebsiella	f__Enterobacteriaceae.g__unassigned	Morganella	Proteus	Aggregatibacter	o__Enterobacterales.f__unassigned.g__unassigned	Pseudomonas
Cah8-297-CE	0.000175592625109745	0.0582089552238806	0	0	0.0404302019315189	0.000307287093942054	0.000307287093942054	0	0.000877963125548727	0	0.00329236172080773	0.000658472344161545	0.00140474100087796	0.0799385425812116	0.0135645302897278	0	0.000834064969271291	0.00737489025460931	0.0028972783143108	0	0	0.00298507462686567	0	0	0.123748902546093	0	0.0117208077260755	0.00570676031606672	0	0.0134328358208955	0.00100965759438104	0	0.00395083406496927	0	0	0.00557506584723442	0	0	8.77963125548727e-05	0.000307287093942054	0.00100965759438104	0	0	0.00267778753292362	8.77963125548727e-05	0.00399473222124671	0	0.00351185250219491	0.00614574187884109	0.0154082528533802	0.00105355575065847	0.00496049165935031	0.0332309043020193	0.00636523266022827	0.0882791922739245	0.00131694468832309	0.0324407374890255	0.00956979806848112	0	0	0.0211150131694469	0.000877963125548727	0.00131694468832309	0	0.00276558384547849	0.000658472344161545	0.00109745390693591	0.010359964881475	0.00838454784899034	0.00105355575065847	0.000351185250219491	0.000702370500438982	0.00127304653204565	0	0	0	0.00970149253731343	0.00842844600526778	0	0.000307287093942054	0	0.00307287093942054	0	0.0136084284460053	0.0193590869183494	0.00258999122036874	0.000790166812993854	0.000438981562774363	0.00109745390693591	0.000307287093942054	0.000351185250219491	0.000614574187884109	0.00162423178226514	0.000131694468832309	0	0.0283143107989464	0.00254609306409131	0.00847234416154521	0.00109745390693591	0.00245829675153644	0	8.77963125548727e-05	0	8.77963125548727e-05	0	0.138498683055312	0.000526777875329236	0.00250219490781387	0.000395083406496927	0	0.0422739244951712	0.0209394205443371	0	0.000219490781387182	0	0.00412642669007902	0.000658472344161545	0	0.0091747146619842	0.000307287093942054	0	0.00197541703248464	0.000219490781387182	0.00175592625109745	0	8.77963125548727e-05	0.0009657594381036	0	0.0112379280070237	0.000702370500438982	0	0.00539947322212467	0	0.000658472344161545	0	0	0.000263388937664618	0	0.00640913081650571	0	0.000263388937664618	0.00500438981562774	0	0.000921861281826163	0	0	0	0	0	0	0	0	0	0	8.77963125548727e-05	0	0	0	0	0	0	0.000131694468832309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-297-RE	0.000122488975992161	0.057937285644292	0.000204148293320268	0	0.0486281234688878	0.000163318634656214	0.000489955903968643	0	0.00126571941858566	0	0.00412379552506941	0.00110240078392945	0.00151069737056998	0.0756981871631553	0.0133104687244815	0	0.000408296586640536	0.0074718275355218	0.00253143883717132	0	0	0.00261309815449943	0	0	0.112036583374163	0	0.012208067940552	0.00563449289563939	0	0.0104523926179977	0.000898252490609178	0	0.000816593173281071	0	0	0.00514453699167075	0	0	8.16593173281071e-05	0.000612444879960804	0.000939082149273232	0	0	0.00412379552506941	0	0.00563449289563939	0	0.00469541074636616	0.00788012412216234	0.018291687081496	0.00110240078392945	0.00502204801567859	0.0331128531765474	0.00951331046872448	0.0829250367466928	0.00200065327453862	0.0340927649844847	0.00951331046872448	0	0	0.0215172301159562	0.000653274538624857	0.000734933855952964	0	0.00269475747182754	0.000285807610648375	0.00195982361587457	0.0085333986607872	0.00775763514617018	0.000898252490609178	0.000285807610648375	0.00126571941858566	0.00138820839457782	0	0	0	0.00996243671402907	0.00645108606892046	0.000244977951984321	0.00102074146660134	0	0.00310305405846807	0	0.0124122162338723	0.0193940878654254	0.00285807610648375	0.00118406010125755	0.000204148293320268	0.000898252490609178	0	8.16593173281071e-05	0.0011432304425935	0.0011432304425935	8.16593173281071e-05	0	0.030458925363384	0.00191899395721052	0.00971745876204475	0.00134737873591377	0.00302139474113996	0	0.000122488975992161	0	0	0	0.134533725298057	0.000244977951984321	0.0028989057651478	0.000449126245304589	0	0.0389923240241712	0.0183733463988241	0	0.000244977951984321	0	0.00494038869835048	0.00118406010125755	0	0.0118814306712396	0.00057161522129675	0	0.00138820839457782	0.000204148293320268	0.00334803201045239	0	0	0.00118406010125755	0	0.0149436550710436	0.00146986771190593	0	0.0062469377756002	0	0.000734933855952964	8.16593173281071e-05	0	0.000204148293320268	0.000163318634656214	0.00604278948227993	0	0.000612444879960804	0.00751265719418586	0	0.00208231259186673	0	0	0	0	0	0	0	0	0	0	0.000326637269312429	8.16593173281071e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-298-RE	0.000512151969457119	0.0416239873358786	0.000512151969457119	0	0	0	0	0	0	0.0127106806965267	0	0	0	0.130272837321911	0	0	0	0	0.00377130086600242	0	0	0	0	0	0	0	0	0.0318465406462427	0	0	0	0	0	0	0.00065182977930906	0	0	0	0	0.0040506564857063	0.00032591488965453	0.000139677809851942	0.00321258962659466	0.0098705652295372	0.000232796349753236	0	0	0.00111742247881553	0	0.0049352826147686	0	0	0.00675109414284384	0.0121985287270696	0.161234751839091	0	0	0.0312412701368843	0.00130365955861812	0.00502840115466989	0.00838066859111649	0.00344538597634789	0	0.00284011546698948	0.00698389049259708	0	0	0	0.00172269298817395	0.00763572027190614	0.0120588509172176	0	0.0360368749418009	0.0101964801191917	0.000744948319210355	0	0.00242108203743365	0.00754260173200484	0	0.0040506564857063	0	0	0.00474904553496601	0.0841791600707701	0.0124778843467734	0.000232796349753236	0.00116398174876618	9.31185399012944e-05	0.00386441940590372	0.00703044976254772	0.0100568023093398	0.00111742247881553	0.00856690567091908	0.000139677809851942	0.000232796349753236	0.0122916472669709	0.000698389049259708	0.0193220970295186	0.00419033429555825	0.00670453487289319	0.000186237079802589	0	0	0.000419033429555825	0	0.150898593910047	0.00428345283545954	0.0108483098985008	0.0176925225812459	0.00279355619703883	0.02230189030636	0.00433001210541019	0.00675109414284384	0	0	0.00102430393891424	0	0.000139677809851942	0.00717012757239967	0.0041437750256076	0	0	0	0	0	0	0	0	0.00372474159605177	0	0	0.00530775677437378	0	0	0.000139677809851942	0	0.00707700903249837	0.00251420057733495	0	0	0	0	0	0	0	0	0	0	0	0.00116398174876618	0	0	0	0.000279355619703883	0	0.00186237079802589	0	0	0	0	0	0.000232796349753236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-299-CE	0.000557862765759623	0.00040290088638195	0	0.000247939007004277	0.0489679538833447	0	0.00158061116965227	0.0123969503502138	0	0.000154961879377673	0	0	0	0.234054422612037	0	0.0242980226864191	0.000123969503502138	0.00220045868716296	0.00269633670117151	0	0	0.0111572553151925	0	0.00167358829727887	0	0	0.0174177152420505	0.00830595673464328	0	0	0.0048348106365834	0	0	0	0	0.00105374077976818	0.000216946631128742	0	0.00114671790739478	0	0	0.000557862765759623	0	0.00502076489183661	0	0.000185954255253208	0	0.000526870389884088	0	0	0	0	0	0.0139775615198661	0.0766441455401971	0.00130167978677245	0.00591954379222711	0.0114671790739478	0	0	0.00406000123969504	0	0.00204549680778528	0.000433893262257485	0.0294117647058824	6.19847517510692e-05	9.29771276266039e-05	0.000123969503502138	9.29771276266039e-05	0.00108473315564371	0.0146903861650034	9.29771276266039e-05	0.000340916134630881	0.00300626045992686	0	0	0	0.0137916072646129	0	0	0	0.00486580301245894	0.0882662864935226	0.161191346928656	0.0637203248000992	0	0.00136366453852352	0	0.00864687286927416	0.0231513047790244	0.00154961879377673	0	0.00638442943036013	0	0	0.00613649042335585	0.0008058017727639	0.00254137482179384	0	0.00359511560156202	0	0.000960763652141573	0	0.000526870389884088	0	0.0172007686109217	0	0.000309923758755346	0	0	0	0.00167358829727887	0.00303725283580239	0	0.00185954255253208	0.0015186264179012	0	0	0.0033161842186822	0	0	0	0	6.19847517510692e-05	0	6.19847517510692e-05	0	0.000433893262257485	0.00040290088638195	0	0	0.0123349655984628	0	0	0.000123969503502138	6.19847517510692e-05	0.00502076489183661	0.0176656542490547	0	0	0	0.000898778900390504	0	0	0	0.00102274840389264	0	0	0	0	0	0	0	0	0	0.000216946631128742	0	0	0	0	0	0.000371908510506415	0	0	0	0	0	0	0.000278931382879812	0	0	0	0	0	0	0	0	0
Cah8-300-CE	0.000527721890563673	0.00910320261222336	0	0	0.0751014215508427	0	0.000131930472640918	6.59652363204591e-05	0.00230878327121607	0.000131930472640918	0.0123025165737656	0.00158316567169102	0.00277053992545928	0.167221874072364	0.00629968006860385	0.000956495926646657	0.000230878327121607	0.00128632210824895	0.00237474850753653	0.00382598370658663	0.0278043471090735	0.00217685279857515	0	0	0.0167221874072364	0	0.00596985388700155	0.0433391602625416	0	0.00244071374385699	0.00445265345163099	0.000923513308486428	0.000461756654243214	0.00930109832118474	0	0.000230878327121607	0	0.0049144101058742	0	0	0	0	9.89478544806887e-05	0.00501335796035489	9.89478544806887e-05	0	0.000131930472640918	0.00141825258088987	0	0.000461756654243214	0	0	0.0052442362874765	0.00293545301626043	0.102378046769353	0.0188990402058115	0.0220653715491936	0.0644810185032488	0.000164913090801148	0	0.008476532867179	0	0.00247369636201722	0	0.0118407599195224	0.000560704508723902	0.00217685279857515	0.00349615752498433	0.00075860021768528	0.0011214090174478	0.00709126290444935	0.000857548072165968	0.0218674758402322	0	0	0	0.000230878327121607	0.00715722814076981	0.000428774036082984	0.000263860945281836	0	0	0	0.0550809723275834	0.0388205415745902	0	0.00204492232593423	0	0.00366107061578548	0.000329826181602296	0.000230878327121607	0.00141825258088987	0.0017810613806524	0.000956495926646657	0	0.0175137702430819	0	0.000395791417922755	0.000923513308486428	0.0014512351990501	6.59652363204591e-05	0.000230878327121607	0	0.000131930472640918	0.000197895708961377	0.0711764899897754	0	0.00227580065305584	0.000527721890563673	6.59652363204591e-05	0.0220323889310333	0.0348956100135229	0.000296843563442066	0	0.000296843563442066	0.000857548072165968	0	0	0.00184702661697286	0	0	0.000692634981364821	0.000329826181602296	6.59652363204591e-05	0.000560704508723902	0.000131930472640918	0	0	9.89478544806887e-05	0	0.00125333949008872	0.00745407170421188	0	0	0.000560704508723902	0.000263860945281836	0.000428774036082984	0.000329826181602296	0.0302780434710907	0	0.000890530690326198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-301-RE	0	0.00213879408418658	0	0	0.0215244596131968	0	0.00691695108077361	0.00109215017064846	0	0.000182025028441411	0	0	0	0.304072810011377	0.0235722411831627	0.00218430034129693	0	0.00263936291240046	0.00869169510807736	0	0	0	0	0	0	0.00459613196814562	0.00491467576791809	0.0101478953356086	0.000318543799772469	0.00313993174061433	0.00191126279863481	0	0.000273037542662116	0	0	0.00282138794084187	0	0	0.00141069397042093	0.000728100113765643	0	0	0	0.00341296928327645	0	0.000546075085324232	0	0.00427758816837315	0.00641638225255973	0.0043230944254835	0.000227531285551763	0.000910125142207053	0.00218430034129693	0.000728100113765643	0.0309897610921502	0.0123321956769056	0.0337201365187713	0.0133788395904437	0	0	0.00268486916951081	0.000455062571103527	0	0	0.0498748577929465	0	0.000318543799772469	0.00282138794084187	0.00218430034129693	0.00304891922639363	0.0174288964732651	0.000546075085324232	0.0113310580204778	0	0	0	0.000409556313993174	0.00277588168373151	0	0	0	0.000409556313993174	0.0147895335608646	0.0168828213879408	0.0575199089874858	0	0.00127417519908987	0	0.00359499431171786	0.00109215017064846	0.00104664391353811	9.10125142207054e-05	0.00482366325369738	0.00154721274175199	0.000136518771331058	0.00791808873720136	0.00177474402730375	0.0105119453924915	0.000182025028441411	0.00505119453924915	0	0	0.0155176336746303	0	0	0.139021615472127	0	0.00145620022753129	0.00491467576791809	0	0.00159271899886234	0.0292150170648464	0.000364050056882821	0.000364050056882821	9.10125142207054e-05	0.00131968145620023	0.00118316268486917	0.000273037542662116	0.00177474402730375	0	0	0.00113765642775882	0	0	0.000273037542662116	0	0	0	0	0	0	0.0127417519908987	0	0	0	0	0.00627986348122867	0.00182025028441411	0.0411376564277588	0	9.10125142207054e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10125142207054e-05	9.10125142207054e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-CE	0.000106944246399544	0	0	0	0.00299443889918722	0	0	0.00221018109225724	0.000178240410665906	0.00196064451732497	0.00103379438186226	0.000427776985598175	0	0.260480536147155	0.0167545986025952	0.00941109368315985	0	0.00634535861970626	0.0104805361471553	0	0	0.00923285327249394	0	0	0	0	0.0116569228575503	0.0239198631113646	0	0	0.00106944246399544	0	0.000178240410665906	0	0.00559674889490945	0.00206758876372451	0.0201055183231142	0	0.00103379438186226	0	0	0.000213888492799087	0	0.00139027520319407	0.000142592328532725	0	7.12961642663625e-05	0.000178240410665906	0.000142592328532725	0.00352916013118494	0	0	0	0.000356480821331812	0.0100527591615571	0	0.00160416369599316	0.0051333238271781	0.00185370027092542	0.0680165407101098	0	0.000499073149864537	0	0	0.0341508626835876	0	0.000142592328532725	0.00263795807785541	0	0.00106944246399544	0.00395693711678312	0.000641665478397262	0.000784257806929987	0.000962498217595893	0.0195707970911165	0	0	0.00085555397119635	0	0	0	0	0	0.0885498360188222	0.0699415371453016	0	0.00131897903892771	0.000106944246399544	0.00673748752317125	0.0238842150292314	0.00295879081705404	0.000106944246399544	0.0091259090260944	0.00156851561385997	0	0.00249536574932269	0.0041708256095822	0.00206758876372451	0.000534721231997718	0.00834165121916441	0	0.000891202053329531	0.000320832739198631	0.000142592328532725	0	0.0215314416084415	0	0.00249536574932269	0.000427776985598175	0	0.00028518465706545	0.00374304862398403	0.0128333095679452	0	0.000178240410665906	0.00110509054612862	0	0.000499073149864537	0.000178240410665906	0	0.000641665478397262	0.000178240410665906	0	0	0	0	7.12961642663625e-05	0	0	0	0	0.0373591900755739	0	0	0.000142592328532725	0	0.0127263653215457	0.00163981177812634	0.0109796092970198	0.124126621987737	0	0	0	0	0	0.000106944246399544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028518465706545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-RE	0.00039316762046219	0.000480538202787122	0.000131055873487397	0	0.00650910838320737	0	0	0.00349482329299725	0	0.00270848805207287	0.00327639683718492	0.00131055873487397	0	0.243370757066096	0.022235813201695	0.00751387007994408	0	0.00655279367436984	0.0162509283124372	0	0	0.00838757590319339	0	0	0	0	0.0106155257524791	0.0195273251496221	0	0	0.00235900572277314	0	0.00109213227906164	0	0.00336376741950985	0.00104844698789917	0.0162072430212747	0	0.00109213227906164	0	0	0	0.000480538202787122	0.00318902625485999	0.000218426455812328	0	0	0.00131055873487397	0.00039316762046219	0.00537329081298327	0	8.73705823249312e-05	0	0.00039316762046219	0.0137608667161767	0	0.0053296055218208	0.0105281551701542	0.0027958586343978	0.0509807347865973	0.000436852911624656	0.0015289851906863	0	8.73705823249312e-05	0.0283954392556026	0	0	0.00275217334323533	0	0.00214057926696081	0.00397536149578437	0.000174741164649862	0.00170372635533616	0.00113581757022411	0.0166440959328994	0	0	0.00235900572277314	0	0	0	0	0	0.0795946004980123	0.0602420165130401	0	0.00227163514044821	0.000436852911624656	0.00760124066226901	0.0177799135031235	0.00196583810231095	0.000567908785112053	0.0079944082827312	0.000786335240924381	0.000218426455812328	0.00262111746974794	0.00449958498973396	0.00428115853392163	0.000349482329299725	0.00856231706784326	0.000567908785112053	0.000524223493949587	0.000480538202787122	0.000218426455812328	0	0.0668821807697348	0	0.00244637630509807	0.000262111746974794	0	0.000218426455812328	0.00345113800183478	0.00982919051155476	0	0.000131055873487397	0.00192215281114849	0	0.000305797038137259	0.000480538202787122	0	0.000742649949761915	0	0	0	0	0.000174741164649862	0.000655279367436984	0	0	0	0	0.0327639683718492	0	0	0	0	0.0134550696780394	0.00174741164649862	0.0208815691756586	0.10790266917129	0	0	0	0	0	8.73705823249312e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-CE	0	0.00909231602569063	0	0	0.0630271608759576	0	0.00282442157393794	0	0	0.000851195542830612	0	0	0	0.182968351002089	0.00797028553741391	0	0	0.00112203048827672	0.00201191673759963	0	0	0	0	0	0	0	0.0125744796099977	0.00379168923624545	0	0	0.000541669890892208	0	0	0.0073899249400294	0	0.00228275168304573	0	0.0157858082488586	0	0	0.000116072119476902	0	0	0.00367561711676855	0	0.00189584461812273	0	0.00866671825427532	0.00232144238953803	0.00185715391163043	0.00135417472723052	0.00131548402073822	0.0503752998529753	0.00177977249864583	0.0634527586473729	0.00460419407258377	0.0366014083417163	0.0133096030333514	0	0	0.0357502127988857	0.000928576955815213	0	0	0.0213959606902422	0.00564884314787588	0.000928576955815213	0.00139286543372282	0.00255358662849184	0.000928576955815213	0.00069643271686141	0.000928576955815213	0.00305656581289174	0	0	0	0.00646134798421419	0.00646134798421419	0	0.00286311228043024	0	0.000657742010369109	0	0.00413990559467616	0.0101369651009827	0.00363692641027625	0.00205060744409193	0.000232144238953803	0.00135417472723052	0.000386907064923005	0.00208929815058423	0.000541669890892208	0.00154762825969202	0	0	0.00812504836338311	0.000812504836338312	0.00634527586473729	0.000232144238953803	0.00340478217132245	0	0	0.0566818850112203	0	0	0.22502514895922	0	0.00228275168304573	0	0	0.00773814129846011	0.0277799272614718	0.00119941190126132	0	0.000116072119476902	0.000386907064923005	0.00158631896618432	0	0.00336609146483015	0	0	0.000619051303876809	0.000580360597384508	0	0	0	0.000928576955815213	0	0.00657742010369109	0	0	0.00611313162578349	0	0	0	0	0	0.0140834171631974	0.00123810260775362	0	0.000154762825969202	0.00413990559467616	0	0	0	0	0	0	0	0	0	0	0	0	0.000154762825969202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-RE	0	0.00901939509019395	0	0	0.0692052081920521	0	0.00457751254577513	0	0	0.0008137800081378	0	0	0	0.176420724264207	0.00878204258782043	0.000237352502373525	0	0.00145802251458023	0.00220398752203988	0	0	0	0	0	0	0	0.0141055201410552	0.00403499254034993	0	0	0.0005425200054252	0	0	0.0099009900990099	0	0.00193272751932728	0	0.0202766852027669	0	0	0.0004068900040689	0.0001356300013563	0	0.0052895700528957	0	0.00332293503322935	0	0.00952800759528008	0.00386545503865455	0.00237352502373525	0.00111894751118948	0.00088159500881595	0.0409263529092635	0.0024413400244134	0.0675776481757765	0.00471314254713143	0.0326868303268683	0.0117998101179981	0	0	0.0325851078258511	0.000847687508476875	0	0	0.0176997151769972	0.00532347755323478	0.00118676251186763	0.00200054252000543	0.00254306252543063	0.000847687508476875	0.0006781500067815	0.00088159500881595	0.00627288756272888	0	0	0	0.00579818255798183	0.00756137257561373	0	0.00261087752610878	0	0.00088159500881595	0	0.0046114200461142	0.00912111759121118	0.00278041502780415	0.00172928251729283	0.000372982503729825	0.00142411501424115	0.0006781500067815	0.00213617252136173	0.0004068900040689	0.0018988200189882	0	0	0.00888376508883765	0.000712057507120575	0.00396717753967178	0.00047470500474705	0.00278041502780415	0	0	0.05425200054252	0.0001356300013563	0	0.219822324698223	0.000101722501017225	0.00193272751932728	0	0.000101722501017225	0.0074596500745965	0.0306862878068629	0.00128848501288485	0	0	0.00020344500203445	0.00128848501288485	0	0.00322121253221213	0	0	0.0012206700122067	0.000576427505764275	0	0	0	0.00152583751525838	0	0.0078665400786654	0	0	0.00562864505628645	0	0	0	0	0	0.0147497626474976	0.0018988200189882	0	6.781500067815e-05	0.00535738505357385	0	0	0	0	0	0	0	0	0	0	0	0	0.000237352502373525	0	0	0	0	0	0	0.000101722501017225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
