2025-02-17 13:03:37.252202 INFO::Writing function arguments to log file
2025-02-17 13:03:37.25746 DEBUG::Function arguments
2025-02-17 13:03:37.259601 DEBUG::Output folder: ../intermediate_files/maaslin/Q2/genus/rPSC vs Grouphealthy
2025-02-17 13:03:37.261694 DEBUG::Min Abundance: 0.000000
2025-02-17 13:03:37.263902 DEBUG::Min Prevalence: 0.000000
2025-02-17 13:03:37.26607 DEBUG::Normalization: TSS
2025-02-17 13:03:37.268117 DEBUG::Transform: LOG
2025-02-17 13:03:37.269804 DEBUG::Analysis method: LM
2025-02-17 13:03:37.271495 DEBUG::Max significance: 0.050000
2025-02-17 13:03:37.273435 DEBUG::Random effects: Patient
2025-02-17 13:03:37.275796 DEBUG::Fixed effects: Group,Country
2025-02-17 13:03:37.278112 DEBUG::Correction method: BH
2025-02-17 13:03:37.28155 DEBUG::Standardize: TRUE
2025-02-17 13:03:37.283658 DEBUG::Cores: 1
2025-02-17 13:03:37.285524 INFO::Verifying options selected are valid
2025-02-17 13:03:37.290252 INFO::Determining format of input files
2025-02-17 13:03:37.294542 INFO::Input format is data samples as columns and metadata samples as rows
2025-02-17 13:03:37.306491 DEBUG::Transformed data so samples are rows
2025-02-17 13:03:37.310285 DEBUG::A total of 248 samples were found in both the data and metadata
2025-02-17 13:03:37.312153 DEBUG::Reordering data/metadata to use same sample ordering
2025-02-17 13:03:37.317123 INFO::Formula for random effects: expr ~ (1 | Patient)
2025-02-17 13:03:37.321574 INFO::Formula for fixed effects: expr ~  Group + Country
2025-02-17 13:03:37.326009 INFO::Factor detected for categorial metadata 'Group'. Provide a reference argument or manually set factor ordering to change reference level.
2025-02-17 13:03:37.330759 INFO::Filter data based on min abundance and min prevalence
2025-02-17 13:03:37.334617 INFO::Total samples in data: 248
2025-02-17 13:03:37.338955 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-02-17 13:03:37.34955 INFO::Total filtered features: 0
2025-02-17 13:03:37.353802 INFO::Filtered feature names from abundance and prevalence filtering:
2025-02-17 13:03:37.367643 INFO::Total filtered features with variance filtering: 0
2025-02-17 13:03:37.371599 INFO::Filtered feature names from variance filtering:
2025-02-17 13:03:37.375288 INFO::Running selected normalization method: TSS
2025-02-17 13:03:37.391204 INFO::Applying z-score to standardize continuous metadata
2025-02-17 13:03:37.401462 INFO::Running selected transform method: LOG
2025-02-17 13:03:37.419816 INFO::Running selected analysis method: LM
2025-02-17 13:03:37.432286 INFO::Fitting model to feature number 1, Actinomyces
2025-02-17 13:03:37.561456 INFO::Fitting model to feature number 2, Bifidobacterium
2025-02-17 13:03:37.66966 INFO::Fitting model to feature number 3, Rothia
