feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-2.90695251668641	0.244247402501981	424	420	2.94894252066672e-25	5.3080965372001e-24
Proteobacteria	Country	NO	0.951114584261148	0.226798377712972	424	423	4.07679397342891e-05	0.0002529304914845
Patescibacteria	Country	NO	-0.781720565739598	0.186315377921317	424	71	4.21550819140833e-05	0.0002529304914845
Fusobacteriota	Group	non-rPSC	1.56554767093706	0.453445506860884	424	171	0.000669937041878247	0.00301471668845211
Desulfobacterota	Group	non-rPSC	-1.23805264731863	0.415555668286339	424	317	0.0032273015642946	0.0116182856314606
Proteobacteria	Group	non-rPSC	0.640400411786958	0.219743629758041	424	423	0.00395390428680366	0.011861712860411
Bacteroidota	Group	non-rPSC	-0.689340677786858	0.249481926010572	424	419	0.00623554821054094	0.0140299834737171
Verrucomicrobiota	Group	non-rPSC	-1.55956937844477	0.557890136647073	424	194	0.00566354253882238	0.0140299834737171
Cyanobacteria	Group	non-rPSC	-0.913075876579442	0.423536247832088	424	150	0.0322357582786546	0.0644715165573092
Desulfobacterota	Country	NO	-0.755901058306897	0.428989953519892	424	317	0.0795228335281871	0.143141100350737
Verrucomicrobiota	Country	NO	0.990033795126876	0.576923746730287	424	194	0.0876350327866035	0.143402780923533
Bacteroidota	Country	NO	-0.415132997838122	0.258034668623776	424	419	0.109166266387524	0.163749399581286
Firmicutes	Group	non-rPSC	-0.0759384998133595	0.054215404843072	424	424	0.162830806555215	0.225458039845682
Cyanobacteria	Country	NO	0.586724492115843	0.438011038156681	424	150	0.181858215368016	0.233817705473164
Actinobacteriota	Group	non-rPSC	-0.210965171762401	0.236620700531066	424	420	0.37363757523432	0.448365090281184
Firmicutes	Country	NO	-0.0452042724819177	0.0558962101150552	424	424	0.419637230812151	0.472091884663669
Fusobacteriota	Country	NO	-0.269759021714307	0.467646471680252	424	171	0.564664575083712	0.564664575083712
Patescibacteria	Group	non-rPSC	0.108725207159059	0.183744319629584	424	71	0.55469429048739	0.564664575083712
