feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Patescibacteria
Cah8-297-CE	-3.24295264408252	-2.02013638683689	-6.2328989794186	-7.67010785969606	-0.699632874557342	-15.6803595235137	-7.18650607393415	-7.15043681922662	-16.253348924675
Cah8-297-RE	-3.10808168628944	-2.12876041705726	-6.60043563144931	-9.20811820867054	-0.675808671543979	-15.6803595235137	-7.17417087674721	-6.57806781842085	-16.253348924675
Cah8-298-RE	-4.17604624847227	-2.59270248008463	-14.7872904265596	-14.6439125439491	-0.378343823139453	-15.6803595235137	-6.70507872103471	-15.5083312572928	-16.253348924675
Cah8-299-CE	-3.80505326659837	-1.74116523829956	-14.7872904265596	-7.70576528727776	-0.734958817612624	-13.99116750614	-5.47546766785597	-10.1331865110124	-11.8212425046977
Cah8-300-CE	-3.27104551844579	-1.83399210872845	-8.68455909760735	-7.4264069131533	-0.797709095546875	-11.8940124632363	-4.97514922596171	-11.434580844599	-16.253348924675
Cah8-301-RE	-4.96704788496523	-1.47023245365089	-8.31590430725959	-8.83946626331661	-0.856353894514534	-15.6803595235137	-4.33829253901045	-15.5083312572928	-16.253348924675
Cah8-302-CE	-6.81090576149022	-1.52254719929656	-14.7872904265596	-9.64740702920734	-1.02211566282694	-15.6803595235137	-2.74292293130591	-15.5083312572928	-16.253348924675
Cah8-302-RE	-5.76727231140176	-1.58257361998213	-14.7872904265596	-8.18116798629105	-0.998365075400887	-15.6803595235137	-2.79844820728494	-15.5083312572928	-16.253348924675
Cah8-303-CE	-3.67759480323476	-2.25715377954161	-14.7872904265596	-10.8589245679493	-0.531612526760637	-15.6803595235137	-6.01164346147896	-7.68899956650701	-16.253348924675
Cah8-303-RE	-3.53752335387005	-2.27807234824142	-14.7872904265596	-10.8555011762772	-0.54694882963757	-15.6803595235137	-5.91005733989925	-7.36364807994749	-16.253348924675
Cah8-304-CE	-5.81657598632094	-1.82303100845824	-14.7872904265596	-7.63371192917113	-0.98681652477187	-3.22744183438212	-3.80962992070807	-6.39044077815876	-16.253348924675
Cah8-304-RE	-5.65618599749436	-1.86224379299504	-14.7872904265596	-8.065394417971	-0.935114490903988	-3.41596438337169	-3.79719830702143	-6.29167027379468	-16.253348924675
Cah8-305-CE	-2.6808560414474	-1.48118768777231	-14.7872904265596	-11.1373571389859	-1.04611067363955	-15.6803595235137	-9.77478705960117	-15.5083312572928	-16.253348924675
Cah8-305-RE2	-5.92216445692906	-1.27709387731757	-11.2696276439236	-8.79158034711891	-1.00552020342453	-15.6803595235137	-3.83678751200123	-12.7550544710938	-16.253348924675
Cah8-308-CE	-6.01675543803617	-1.54863958534645	-11.736486494786	-9.01402047031493	-0.793678788543249	-15.6803595235137	-3.98159899262256	-11.5989829710361	-16.253348924675
run02-102	-3.71163585558132	-1.7931774102429	-10.3530855476489	-5.78154356269011	-0.932774391806166	-10.9380480483701	-3.44485974135661	-15.5083312572928	-16.253348924675
run02-103	-3.89417020424369	-2.08094729614412	-7.06304021840617	-5.61052801370866	-0.647298450116076	-15.6803595235137	-5.16630948901787	-8.88470297714765	-16.253348924675
run02-104	-3.28973396495568	-1.87970720205047	-14.7872904265596	-14.6439125439491	-0.72622545035727	-15.6803595235137	-5.53810032100064	-15.5083312572928	-16.253348924675
run02-106	-3.94254308968963	-1.7900419949666	-8.01833357729407	-6.63072930813834	-0.777313601068874	-9.68459618011708	-4.40564177105287	-15.5083312572928	-16.253348924675
run02-107	-2.51123046462244	-2.74076692001678	-14.7872904265596	-14.6439125439491	-0.985902340879553	-3.22966385118327	-4.00863697187105	-15.5083312572928	-9.53518278636689
run02-109	-3.79278356398933	-1.79602082012137	-6.96370387077701	-5.72856671072054	-0.905661712658739	-9.53973324672816	-3.72381631116713	-8.83518913025433	-16.253348924675
run02-110	-4.57970645073126	-2.14020133630178	-14.7872904265596	-7.21240156223652	-0.633795165262745	-8.85130287006848	-4.22736913783449	-5.34759068987049	-16.253348924675
run02-111	-4.98194582355945	-1.52742969533627	-9.53776197862109	-8.82406616377773	-0.780605353013009	-15.6803595235137	-4.80440763800727	-15.5083312572928	-16.253348924675
run02-112	-1.51185725313766	-2.865446542929	-14.7872904265596	-5.20779958830636	-1.27246702463392	-10.3204997210557	-7.36940932153667	-3.96294771643764	-12.6424278159431
run02-113	-2.3081050714357	-2.24845208049555	-14.7872904265596	-7.29491014160929	-0.885920195433188	-12.2835948283815	-4.6725700310741	-12.2835948283815	-10.9616667334941
run02-115	-3.16758003881871	-2.21303535354747	-14.7872904265596	-6.58794209277741	-0.733382961256409	-9.03640259359371	-4.07736664418032	-15.5083312572928	-16.253348924675
run02-117	-5.89126436045912	-2.0904402176155	-4.55120581234496	-6.87446911791614	-0.863759718502212	-15.6803595235137	-4.91511110241349	-3.12652481601287	-16.253348924675
run02-118	-3.9804988204981	-2.33974515967097	-14.7872904265596	-7.128040920406	-1.08628282414687	-5.54307841968485	-2.06169232240624	-15.5083312572928	-16.253348924675
run02-119	-3.98902363791268	-2.15329201280698	-4.80925985126702	-7.88223929662412	-0.763102405095988	-15.6803595235137	-3.64365429928158	-8.48087673424236	-11.8028048291297
run02-120	-3.28567671727736	-1.98260764964132	-14.7872904265596	-6.12141344070479	-0.782153328265023	-10.3598181800299	-4.38683839396358	-15.5083312572928	-16.253348924675
run02-121	-6.24234497448615	-2.15981442877804	-14.7872904265596	-7.38181939340721	-0.637213140244808	-15.6803595235137	-3.13674926858018	-15.5083312572928	-11.4371018289084
run02-122	-5.08460027339804	-2.4442170353934	-11.3779076903456	-14.6439125439491	-0.940452835790056	-15.6803595235137	-1.91409142126346	-15.5083312572928	-16.253348924675
run02-124	-3.95569291319011	-2.20404115798311	-14.7872904265596	-7.72457368743308	-0.595652293510661	-10.0980320829605	-4.28950661719499	-15.5083312572928	-16.253348924675
run02-125	-2.3696501302833	-2.44820436321404	-14.7872904265596	-8.13750352374993	-0.851407868180806	-15.6803595235137	-3.94866745071941	-10.4594316186373	-16.253348924675
run02-126	-4.85929339784283	-4.82790648099858	-14.7872904265596	-14.6439125439491	-0.507531619752246	-5.59344122736156	-2.28672373966073	-15.5083312572928	-9.62906513709228
run02-127	-4.56516085950567	-1.78671862936331	-14.7872904265596	-9.40251052186111	-0.696776504050507	-8.81754802113996	-4.40251052186111	-15.5083312572928	-16.253348924675
run02-128	-1.94065704318533	-2.51096693421602	-14.7872904265596	-14.6439125439491	-0.891824450099366	-15.6803595235137	-5.31432546856333	-15.5083312572928	-16.253348924675
run02-129	-8.90280576972531	-14.3016033642667	-14.7872904265596	-14.6439125439491	-0.00532042031400717	-15.6803595235137	-9.29512319250407	-15.5083312572928	-16.253348924675
run02-130	-2.96609851609604	-2.22828588577357	-14.7872904265596	-8.77114450988132	-0.749273692336063	-15.6803595235137	-4.07651375287346	-8.85995377683917	-16.253348924675
run02-131	-4.91230119144188	-2.22172394751159	-14.7872904265596	-8.90534843080011	-0.618998006158816	-11.3833957276048	-3.3390016082463	-15.5083312572928	-16.253348924675
run02-132	-3.94407507117702	-2.01201664814872	-14.7872904265596	-14.6439125439491	-0.821154784086169	-15.6803595235137	-3.04555506217605	-15.5083312572928	-16.253348924675
run02-133	-2.96256995937108	-1.93310508092386	-14.7872904265596	-9.24458158903255	-0.886781805102414	-15.6803595235137	-3.89149690447049	-15.5083312572928	-16.253348924675
run02-134	-2.34335248407871	-2.18326794085987	-14.7872904265596	-8.51167359981843	-0.877515993475005	-13.1555297895932	-4.81567978670854	-15.5083312572928	-13.1555297895932
run02-135	-3.79188269993667	-1.76519927489515	-14.7872904265596	-14.6439125439491	-0.839118006719066	-4.0873865908848	-5.98362279402865	-15.5083312572928	-16.253348924675
run02-136	-3.25361309523382	-2.20012665931185	-14.7872904265596	-14.6439125439491	-0.59635615954845	-15.6803595235137	-5.95590741581683	-15.5083312572928	-16.253348924675
run02-137	-2.95772541698332	-2.85694200710305	-14.7872904265596	-9.41809354655313	-0.626186473293556	-15.6803595235137	-3.57511471476481	-15.5083312572928	-16.253348924675
run02-138	-3.80544669208702	-1.98800550798105	-14.7872904265596	-9.21740698783686	-0.611646893520216	-15.6803595235137	-6.20110517550776	-7.22837810565786	-16.253348924675
run02-145	-3.26035927428692	-2.90793808712702	-14.7872904265596	-9.6505282304871	-0.492970759546962	-9.1062077142633	-4.35743981847972	-15.5083312572928	-16.253348924675
run02-146	-3.93611826737269	-2.64962845325284	-7.46899225694539	-7.484422297515	-0.428906604933124	-15.6803595235137	-5.55597555854003	-15.5083312572928	-16.253348924675
run02-147	-3.75744379773158	-1.7472180661534	-14.7872904265596	-14.6439125439491	-0.683649723677653	-15.6803595235137	-7.48211409312941	-15.5083312572928	-16.253348924675
run02-148	-3.90477365459642	-2.24828063914377	-10.8589699649833	-9.99647348873323	-0.846472395978899	-12.3184015836206	-4.70001608136198	-2.98356965550259	-16.253348924675
run02-150	-3.17852553131713	-1.85231714472305	-10.9357964720549	-5.93902037292918	-0.871919930711563	-11.5732263926702	-4.34976093666851	-15.5083312572928	-16.253348924675
run02-151	-3.9894781942982	-1.98384423160896	-7.73913343084892	-6.12199052437861	-0.634938676239985	-15.6803595235137	-5.73642414359093	-8.66513284940514	-16.253348924675
run02-152	-3.19099134849073	-1.98559373875532	-14.7872904265596	-14.6439125439491	-0.692818490481824	-15.6803595235137	-5.69177871022717	-15.5083312572928	-16.253348924675
run02-154	-3.8768447071914	-2.37372913296161	-8.00090658158971	-6.52498684016384	-0.586841052327341	-9.92028812138142	-4.1230495285568	-15.5083312572928	-16.253348924675
run02-155	-3.15838580888923	-2.60090404459018	-14.7872904265596	-14.6439125439491	-0.752496172346396	-3.40152364037455	-4.87552642469918	-15.5083312572928	-10.1378450304484
run02-157	-4.14774028647842	-1.65145751154387	-7.72894086840337	-5.97672750053823	-0.88016146194266	-15.6803595235137	-4.05722290327414	-9.59143734465344	-16.253348924675
run02-158	-4.41278152533848	-1.78709846409856	-14.7872904265596	-7.23720996075502	-0.85523448219772	-10.6846689377262	-3.94197673253308	-4.70947232872682	-16.253348924675
run02-159	-4.26494492414118	-1.89818629958698	-9.95843188164051	-9.45593154111132	-0.574907577319752	-15.6803595235137	-7.39364726285698	-15.5083312572928	-16.253348924675
run02-160	-1.42021896508414	-3.12551538115134	-14.7872904265596	-5.64573303297595	-1.21056211420006	-11.7246843743708	-7.01318946772068	-4.27512299975753	-16.253348924675
run02-161	-3.07770745561809	-2.39611639021747	-14.7872904265596	-6.45981106553486	-0.621657656108911	-15.6803595235137	-5.07514721529953	-10.6297360669772	-16.253348924675
run02-163	-3.32806672963998	-1.91280743083101	-14.7872904265596	-6.99517827171501	-0.775303907081075	-9.7221597773086	-4.58861892636047	-15.5083312572928	-16.253348924675
run02-165	-5.36117971683196	-2.24740394933314	-5.18197690180164	-6.68310781171933	-0.946433112813887	-15.6803595235137	-5.47239719543051	-2.42389608124786	-16.253348924675
run02-166	-4.02368125366954	-1.77240651315354	-14.7872904265596	-7.2250045573004	-0.766222362505211	-5.37146338628481	-5.2107906980807	-15.5083312572928	-16.253348924675
run02-169	-3.76013320773479	-2.49850562311524	-4.98457236825601	-7.2365379049758	-0.735607656934358	-13.0524548405368	-3.47439670167719	-5.61782661290011	-16.253348924675
run02-170	-4.55075721132599	-1.78620023188685	-14.7872904265596	-7.55467226132938	-0.686856355071243	-10.9083092159441	-4.63115099117674	-15.5083312572928	-16.253348924675
run02-171	-5.38563146892042	-2.10056497133604	-14.7872904265596	-7.96797802143456	-0.714695745089407	-10.7911002593505	-2.96064599629765	-15.5083312572928	-10.7911002593505
run02-172	-4.33091687811462	-1.7564467512111	-10.8544788341716	-14.6439125439491	-0.682676545488647	-15.6803595235137	-5.03429987175644	-11.8544788341716	-16.253348924675
run02-174	-3.80400284739403	-1.76055599992837	-14.7872904265596	-7.19664582473603	-1.04141992737998	-9.16285751127975	-2.84829524601543	-15.5083312572928	-16.253348924675
run02-175	-2.38126426057096	-2.36039506852336	-14.7872904265596	-8.22219777460334	-0.888329794189646	-12.1450299140809	-3.85808717714285	-10.8231018191935	-16.253348924675
run02-177	-3.83284279242306	-1.71080680262529	-14.7872904265596	-10.0915770608232	-0.840179188894604	-8.89893198288083	-4.01018873398257	-15.5083312572928	-10.5066145601021
run02-178	-2.46364085545478	-2.1321209177706	-14.7872904265596	-14.6439125439491	-0.812651554194212	-15.6803595235137	-5.55606994959847	-15.5083312572928	-16.253348924675
run02-180	-2.68663131914446	-2.12767467694234	-14.7872904265596	-8.78290723020111	-0.799596892954009	-15.6803595235137	-4.74703898224626	-9.09485123651585	-16.253348924675
run02-181	-3.92922301814007	-1.74250613219977	-14.7872904265596	-6.369662390537	-0.791465177903144	-11.5244804995891	-4.46378456790155	-15.5083312572928	-16.253348924675
run02-182	-3.76926224785393	-1.81148018471523	-14.7872904265596	-14.6439125439491	-0.705923549903021	-15.6803595235137	-5.12220593237317	-15.5083312572928	-16.253348924675
run02-183	-3.88876538444062	-1.64480094160541	-14.7872904265596	-5.95863019131519	-0.844530248501894	-9.93315950379907	-4.6959017328987	-15.5083312572928	-12.9920531928526
run02-184	-2.4395658609164	-2.04838705439557	-14.7872904265596	-7.13269434033191	-0.971612858054729	-13.5839054521642	-4.14096195631551	-15.5083312572928	-13.5839054521642
run02-185	-4.11066870092159	-1.69333866176595	-14.7872904265596	-14.6439125439491	-0.861518046208569	-3.97862634920743	-5.71039035891517	-15.5083312572928	-16.253348924675
run02-186	-3.01402583323767	-1.92444429725321	-14.7872904265596	-14.6439125439491	-0.765368863131712	-15.6803595235137	-5.35315397606616	-15.5083312572928	-16.253348924675
run02-97	-3.41692117078571	-2.25708416666453	-14.7872904265596	-10.8382847485895	-0.674425454695935	-8.11946650113354	-3.93039262913589	-15.5083312572928	-10.1753197358671
run02-98	-4.06593789848446	-2.89039273005584	-6.58486163764279	-8.41171273532619	-0.988847028096917	-15.6803595235137	-1.79490136856569	-15.5083312572928	-16.253348924675
run02-99	-3.75472703333055	-1.30339214344993	-14.7872904265596	-14.6439125439491	-0.955129389027284	-15.6803595235137	-7.65837196943541	-15.5083312572928	-16.253348924675
