feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-2.70674183635619	0.295933863319958	248	246	1.24853911041627e-15	2.49707822083254e-14
Desulfobacterota	Group	rPSC	-3.71448145913355	0.535398820801982	248	180	1.92638701473221e-10	1.92638701473221e-09
Proteobacteria	Group	rPSC	1.45678866984752	0.311397912582983	248	247	7.39367536479497e-06	4.92911690986331e-05
Bacteroidota	Group	rPSC	-1.25723275837134	0.308337587052467	248	242	7.96872951408427e-05	0.000398436475704213
Cyanobacteria	Group	rPSC	-1.80035749267745	0.462375359928831	248	81	0.000159690906741762	0.000638763626967047
Fusobacteriota	Group	rPSC	2.18794152109578	0.615399024890956	248	84	0.000532492032484925	0.00177497344161642
Firmicutes	Group	rPSC	-0.362066650273963	0.103709128052658	248	248	0.000660352439976121	0.00188672125707463
Campylobacterota	Group	rPSC	0.601613626950768	0.203557416873166	248	20	0.00375622542842868	0.00939056357107169
Patescibacteria	Country	NO	-0.528487592458263	0.212532694133372	248	37	0.0143171389176732	0.0318158642614961
Cyanobacteria	Country	NO	0.817432486359533	0.433028198587728	248	81	0.0613712521248799	0.111584094772509
Proteobacteria	Country	NO	0.552198303654497	0.292291155131846	248	247	0.0611523171098656	0.111584094772509
Verrucomicrobiota	Group	rPSC	-1.27801429891998	0.797499494494584	248	132	0.111573479635617	0.185955799392695
Actinobacteriota	Group	rPSC	-0.419506997245581	0.314834092712444	248	246	0.185138602036754	0.284828618518084
Campylobacterota	Country	NO	-0.228865226299668	0.191584090274681	248	20	0.234541082791863	0.335058689702661
Desulfobacterota	Country	NO	-0.367022754553269	0.502301089584416	248	180	0.466330588398539	0.582913235498174
Patescibacteria	Group	rPSC	0.163874263130869	0.22410276384914	248	37	0.466173775433041	0.582913235498174
Bacteroidota	Country	NO	-0.113407356464713	0.289272939869755	248	242	0.695675450196855	0.732289947575637
Firmicutes	Country	NO	0.0412079797451846	0.0974728575899071	248	248	0.673165256088446	0.732289947575637
Verrucomicrobiota	Country	NO	0.295200627404544	0.747574425460116	248	132	0.6936038047186	0.732289947575637
Fusobacteriota	Country	NO	0.0738966242347372	0.57790918967564	248	84	0.898453824172615	0.898453824172615
