feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Patescibacteria
Cah8-297-CE	2431	5674	306	113	14171	0	158	162	0	0
Cah8-297-RE	2881	5680	256	42	15550	0	172	260	0	0
Cah8-298-RE	1189	3563	0	0	16535	0	206	0	0	0
Cah8-299-CE	2330	9742	0	156	19568	2	732	29	0	9
Cah8-300-CE	3154	8540	74	177	17515	8	968	11	0	0
Cah8-301-RE	703	7936	69	48	12145	0	1087	0	0	0
Cah8-302-CE	250	9770	0	35	13821	0	4193	0	0	0
Cah8-302-RE	421	7656	0	79	11478	0	3296	0	0	0
Cah8-303-CE	2032	5439	0	14	17987	0	403	126	0	0
Cah8-303-RE	2553	6112	0	16	20291	0	493	180	0	0
Cah8-304-CE	518	8251	0	147	14731	3117	2082	348	0	0
Cah8-304-RE	494	6852	0	93	13029	2334	1792	318	0	0
Cah8-305-CE	2459	5648	0	7	7636	0	18	0	0	0
Cah8-305-RE2	570	14262	14	78	17216	0	2419	5	0	0
Cah8-308-CE	527	11664	10	66	19684	0	2160	11	0	0
run02-105	513	0	0	0	6683	0	13218	0	0	0
run02-108	5482	2887	0	0	24169	33	4247	0	0	0
run02-114	2801	5499	0	39	13926	0	2874	0	0	0
run02-116	3948	7613	0	144	12062	0	2538	0	0	0
run02-153	924	14	0	0	6752	0	12038	0	0	0
run02-156	2678	7387	0	0	25437	0	1553	83	0	0
run02-162	1767	5384	0	21	13682	0	2136	0	0	0
run02-164	3539	6096	0	151	12918	0	1291	0	0	0
run03-104	334	2674	0	0	7908	0	4133	0	0	7
run03-108	715	6220	0	28	12698	17	1580	16	0	2
run03-110	259	0	0	0	13958	65	2043	5043	10	0
run03-115	643	6219	188	712	14342	5292	3284	262	0	0
run03-123	6968	5214	0	56	21301	15	3804	0	0	0
run03-124	1967	6710	0	0	12825	0	2486	0	0	0
run03-126	5151	5961	0	0	18423	3	1688	0	0	5
run03-129	2252	12822	0	2	25620	0	1274	0	0	2
run03-131	1375	10100	0	677	16201	111	2593	0	4	25
run03-138	2508	8680	0	0	16960	0	625	0	0	8
run03-147	62	138	0	0	1129	0	12525	0	0	0
run03-149	710	4009	0	0	12743	0	6496	0	0	31
run03-153	939	8063	0	23	19720	15	1951	12	0	7
run03-155	369	0	0	0	17939	143	4376	10115	13	0
run03-160	537	9030	201	1091	14579	4188	2206	287	0	0
run03-170	6035	4922	0	85	16002	50	1811	2	6	0
run03-171	2340	8012	0	0	12204	4	3041	0	0	0
run03-173	4861	7258	0	0	13826	0	1010	0	0	0
run03-176	2323	9032	0	4	19404	0	628	0	0	0
run03-178	1231	7445	0	1271	13427	47	2969	0	11	7
run03-185	2732	8093	0	0	15238	0	607	0	0	8
run04-102	71	9622	0	0	2887	741	13950	5547	0	9
run04-108	10296	3102	173	0	22181	0	2220	8	0	5
run04-109	1162	2541	0	354	8937	8380	9182	933	0	0
run04-147	1492	921	0	0	6162	37	3501	15	17	27
run04-148	950	4721	0	0	13515	0	1569	0	2	0
run04-149	3927	4414	0	161	12929	23	326	0	22	0
run04-155	476	5099	3	0	3424	530	7011	5567	0	0
run04-163	5242	3940	66	0	16116	184	3244	1713	0	0
run04-165	847	3217	0	297	10223	6582	4448	1073	0	0
run04-97	1354	6472	0	0	19433	0	2464	0	0	0
run04-98	3137	4878	0	155	13291	6	879	0	23	0
run05-127	495	353	0	0	6902	5	21573	0	0	0
run06-128	577	3273	0	0	5239	0	2530	5	0	5
run06-129	1609	949	0	64	9961	284	605	76	37	23
run06-130	2630	3096	0	83	11847	0	146	0	0	0
run06-131	1280	2935	0	39	8548	7	1421	37	0	0
run06-132	2561	3963	13	19	18650	0	720	5	0	0
run06-133	650	2512	0	28	10341	11	2223	102	0	15
run06-134	2431	2676	0	19	7601	0	305	6	0	0
run06-135	1611	1858	0	13	10452	0	1783	0	0	8
run06-181	1307	2221	0	154	11578	27	506	158	11	3
run06-182	1610	3022	0	46	8391	0	129	2	0	0
run06-183	479	5158	0	0	4869	0	4642	0	0	4
run06-184	728	2899	0	77	5406	2	1405	29	0	0
run06-186	1389	4478	18	21	10711	0	530	10	0	0
run06-187	448	2874	0	18	7332	0	1698	86	0	0
run06-188	2104	4293	0	46	7361	0	498	7	0	0
run06-189	1811	2697	0	25	10064	0	1700	0	0	0
run07-Cah7-101	1963	6353	0	30	6744	0	183	0	0	0
run07-Cah7-102	433	4427	0	25	14686	0	2297	0	0	6
run07-Cah7-103	221	5435	0	0	8194	0	59	0	0	0
run07-Cah7-106	1054	5219	0	232	11178	0	785	10	0	0
run07-Cah7-107	1521	4978	0	16	15868	0	230	0	0	0
run07-Cah7-109	262	8074	0	71	11501	0	749	0	0	0
run07-Cah7-110	335	6668	0	31	10610	0	135	101	0	0
run07-Cah7-113	1443	7294	152	76	9896	131	788	216	0	3
run07-Cah7-114	753	10103	150	58	10940	0	921	124	0	4
run07-Cah7-115	353	12235	0	76	8293	0	485	26	0	0
run07-Cah7-116	429	4399	94	72	9943	3	388	237	0	0
run07-Cah7-117	383	6821	18	94	15011	0	0	0	0	0
run07-Cah7-121	707	4155	0	71	22645	0	487	4309	0	0
run07-Cah7-122	1876	5093	32	221	13181	6	366	168	0	0
run07-Cah7-123	1080	11239	12	187	4477	0	6120	0	0	0
run07-Cah7-124	1914	4789	19	158	14585	0	268	0	0	2
run07-Cah7-125	799	8030	0	176	13617	0	1310	16	0	0
run07-Cah7-126	3934	4061	158	0	18707	0	453	0	0	0
run07-Cah7-127	1219	7387	0	5	9797	0	1851	27	0	0
run07-Cah7-129	1392	6897	0	80	22143	0	1281	22	0	3
run07-Cah7-130	1997	7908	0	25	15674	0	740	8	0	14
run07-Cah7-131	1624	4849	0	30	18468	6	542	0	0	0
run07-Cah7-132	2432	9495	0	34	24349	0	1237	6	0	0
run07-Cah7-133	1570	7493	18	82	18209	0	733	271	0	0
run07-Cah7-134	3982	1800	0	2	16904	0	133	0	0	0
run07-Cah7-135	3534	3689	0	63	17335	0	140	0	0	11
run07-Cah7-136	203	3160	3	9	16489	0	172	31	0	0
run07-Cah7-137	909	8809	732	173	19594	0	1179	17	0	0
run07-Cah7-147	595	4211	0	41	8279	0	1809	0	0	0
run07-Cah7-148	1400	7969	0	106	12673	0	188	57	0	0
run07-Cah7-149	3118	6362	0	49	8925	0	237	0	0	0
run07-Cah7-150	595	4047	0	26	17291	0	2013	0	0	13
run07-Cah7-151	335	6640	0	4	15677	0	71	0	0	0
run07-Cah7-152	730	2490	0	39	8709	2	833	6	0	0
run07-Cah7-153	1223	5997	34	65	13044	3	482	3414	0	0
run07-Cah7-154	1104	5934	0	681	9574	0	1037	2	0	0
run07-Cah7-155	1255	3323	11	31	17602	0	745	3	0	0
run07-Cah7-156	1300	8071	46	142	12262	0	1888	0	0	0
run07-Cah7-159	359	8016	0	71	15807	0	604	0	0	0
run07-Cah7-160	1456	8747	0	37	17050	0	148	299	0	0
run07-Cah7-162	254	7771	0	6	9524	0	6096	0	0	0
run07-Cah7-163	1783	6941	258	120	16703	27	1372	934	0	0
run07-Cah7-164	536	5000	146	101	8880	0	675	315	0	0
run07-Cah7-165	443	15145	6	127	11749	0	509	99	0	0
run07-Cah7-166	450	4061	100	65	12033	0	473	656	0	0
run07-Cah7-167	419	7951	23	109	19833	0	4	0	0	2
run07-Cah7-168	1244	9990	0	154	11780	15	1255	0	0	0
run07-Cah7-169	692	4652	0	72	22310	0	510	2655	0	0
run07-Cah7-170	2265	5785	23	292	12369	9	513	231	0	0
run07-Cah7-171	631	9575	26	401	4368	0	8509	2	0	0
run07-Cah7-172	1466	3426	24	127	11308	0	209	0	0	0
run07-Cah7-173	855	8077	0	96	8910	0	1077	7	0	0
run07-Cah7-174	4739	4234	147	2	15890	0	583	6	0	0
run07-Cah7-175	1502	7619	0	53	11304	0	1709	82	0	0
run07-Cah7-176	1237	7867	0	8	14424	0	603	0	0	0
run07-Cah7-177	1438	6143	0	43	18250	0	1968	10	0	0
run07-Cah7-178	1806	8747	0	24	11461	0	769	10	0	4
run07-Cah7-179	1611	4753	0	26	15968	4	624	0	0	0
run07-Cah7-180	2100	6982	0	40	16015	0	1049	4	0	0
run07-Cah7-181	1107	8962	9	87	11722	0	540	132	0	0
run07-Cah7-182	3254	2169	0	5	13367	0	287	0	0	0
run07-Cah7-183	2497	5551	0	47	13549	0	217	0	0	0
run07-Cah7-184	1107	4755	4	61	14192	0	403	114	0	0
run07-Cah7-185	667	5174	350	93	12981	0	797	9	0	0
run03-99	139	4934	3	0	10112	77	2919	0	0	0
run03-143	6018	5376	0	0	17719	141	1003	0	6	0
run04-146	7384	3150	0	0	14017	0	190	0	0	0
run02-123	1586	1349	0	0	8750	0	3802	0	0	0
run02-173	695	7	0	0	7741	0	1570	0	0	0
run06-111	421	3052	0	20	13878	175	4197	674	2	0
run06-166	201	2780	3	15	7755	16	713	875	0	0
4004.III.2.lib30	542	13891	0	0	26523	86	6485	0	0	0
4004.V.3.lib30	204	5007	0	0	9110	28	1502	0	0	0
4004.VI.4.lib30	337	2205	0	0	7295	27	916	0	0	0
4011.3.rerun.lib32	3442	0	0	0	26150	0	38520	36	0	0
4011.4.rerun.lib32	4979	0	0	0	13558	0	18397	0	0	0
4011.III.2.lib30	604	0	0	0	2319	0	9080	5	0	0
4029.2.lib29	13	177	0	6	542	0	29247	0	0	0
4029.3.lib29	60	303	0	0	1420	0	18413	0	0	0
4029.4.lib29	24	337	0	0	2701	0	46451	0	0	0
4034.2.lib29	205	3838	0	0	16091	0	1195	0	0	0
4034.3.lib29	89	3863	0	0	11617	0	761	38	0	0
4034.4.lib29	93	7924	0	0	12312	0	705	0	0	0
4041.2.lib29	1515	4017	0	0	12014	0	297	61	0	0
4041.3.lib29	1367	2842	0	0	9779	0	175	46	0	0
4041.4.lib29	1584	6599	0	0	16709	0	370	74	0	0
4061.2.lib29	65	7575	0	0	13757	22	8067	0	0	0
4061.3.lib29	89	10744	0	0	16252	13	6822	0	0	0
4061.4.lib29	132	19025	0	0	18237	22	7824	0	0	0
4082.2.lib29	147	7156	0	41	25051	8188	1273	262	0	0
4082.3.lib29	209	17706	0	118	37417	7686	2505	1599	0	0
4082.4.lib29	144	24521	0	99	29688	10696	3069	1968	0	0
4084.2.lib29	400	7615	0	865	22390	3	1364	45	0	0
4084.3.lib29	343	13317	0	949	24146	10	2647	40	6	4
4084.4.lib29	538	15605	0	908	27572	0	3142	67	0	0
4135.2.lib29	66	6598	0	0	10691	0	907	0	0	0
4135.3.lib29	77	8828	0	0	14454	0	1039	0	0	0
4135.4.lib29	38	11420	0	0	14719	0	1355	0	0	0
4136.2.lib29	14	11204	0	0	35455	0	4719	0	0	0
4136.3.lib29	110	15329	0	0	39032	0	9153	0	0	0
4136.4.lib29	20	12120	0	0	32056	0	4722	0	0	0
4160.2.lib29	200	45112	0	0	31535	0	445	0	0	0
4160.3.lib29	0	31628	0	0	23498	0	342	0	0	0
4160.4.lib29	0	38604	0	0	30725	0	440	0	0	0
4161.2.lib29	79	963	0	0	29699	38	21738	0	2	0
4161.3.lib29	61	1021	0	0	18768	63	9290	0	0	0
4161.4.lib29	63	775	0	0	16316	44	3682	0	2	0
4191.2.lib29	221	9859	0	118	15016	30	7433	37	0	0
4191.3.lib29	240	18026	0	111	15468	3	7477	107	0	0
