feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Patescibacteria
Cah8-297-CE	0.105626765153161	0.24653486856398	0.0132956767325657	0.00490984140777754	0.615728872474473	0	0.00686508798609602	0.00703888768194656	0	0
Cah8-297-RE	0.115977617648243	0.228654240972586	0.0103055432551025	0.00169075319029025	0.625981240690793	0	0.00692403687452196	0.0104665673684634	0	0
Cah8-298-RE	0.0553203368538594	0.165774903456939	0	0	0.769320243800307	0	0.00958451588889406	0	0	0
Cah8-299-CE	0.0715426185212479	0.299127978383689	0	0.00478997789240973	0.600835175632523	6.14099729796119e-05	0.022476050110538	0.000890444608204372	0	0.000276344878408254
Cah8-300-CE	0.103589844648077	0.280487404341971	0.0024304529181857	0.00581338062863336	0.575261930567872	0.000262751666830886	0.0317929516865373	0.000361283541892469	0	0
Cah8-301-RE	0.0319719847189376	0.36092414044024	0.00313807531380753	0.00218300891395307	0.552346734582499	0	0.0494360560305621	0	0	0
Cah8-302-CE	0.00890662296483665	0.348070825465816	0	0.00124692721507713	0.492393743988029	0	0.14938188036624	0	0	0
Cah8-302-RE	0.0183602267771478	0.33388573920628	0	0.00344526820758831	0.500566942869603	0	0.143741822939381	0	0	0
Cah8-303-CE	0.0781508403522941	0.209184262143764	0	0.000538440829198877	0.691781085342871	0	0.015499403869082	0.00484596746278989	0	0
Cah8-303-RE	0.0861190757294653	0.206173047731489	0	0.000539720020239501	0.684466183167482	0	0.0166301231236296	0.00607185022769438	0	0
Cah8-304-CE	0.0177433719257382	0.282626567102829	0	0.00503528122216894	0.504589984243338	0.106768514078235	0.0713160238405152	0.0119202575871754	0	0
Cah8-304-RE	0.0198298008991651	0.27504816955684	0	0.00373314065510597	0.523000963391137	0.0936897880539499	0.0719332048811818	0.0127649325626204	0	0
Cah8-305-CE	0.155948756976154	0.358193810248605	0	0.000443937087772704	0.484271943176053	0	0.00114155251141553	0	0	0
Cah8-305-RE2	0.0164911468580025	0.41262585348918	0.000405045712301817	0.00225668325425298	0.498090498784863	0	0.0699861127184354	0.000144659182964935	0	0
Cah8-308-CE	0.0154445812086044	0.341832248988922	0.000293066057089268	0.00193423597678917	0.576871226774515	0	0.0633022683312819	0.000322372662798195	0	0
run02-105	0.0251298128735182	0	0	0	0.327373371215832	0	0.64749681591065	0	0	0
run02-108	0.148894562442284	0.0784127329023847	0	0	0.656445217013417	0.000896300722472704	0.115351186919442	0	0	0
run02-114	0.111420502008831	0.218743784557858	0	0.00155137435856637	0.553959982497315	0	0.114324356577429	0	0	0
run02-116	0.150085535069378	0.289412659190268	0	0.00547424444022049	0.458544003041247	0	0.0964835582588861	0	0	0
run02-153	0.0468369829683698	0.000709651257096513	0	0	0.342254663422547	0	0.610198702351987	0	0	0
run02-156	0.0721094296946524	0.1989067801174	0	0	0.684931875706823	0	0.0418170068393559	0.00223490764176854	0	0
run02-162	0.0768595041322314	0.234188777729448	0	0.000913440626359287	0.595128316659417	0	0.0929099608525446	0	0	0
run02-164	0.147489060220879	0.254052927693269	0	0.00629297770368827	0.53836215878308	0	0.0538028755990831	0	0	0
run03-104	0.0221838469713071	0.177603613177471	0	0	0.525239107332625	0	0.274508501594049	0	0	0.000464930924548353
run03-108	0.0336059409663471	0.292348185749201	0	0.00131603684903177	0.596822711035909	0.000799022372626434	0.0742620793382215	0.000752021056589585	0	9.40026320736981e-05
run03-110	0.0121152586771447	0	0	0	0.652914210870989	0.00304050893441856	0.0955655346618019	0.235896716250351	0.000467770605295163	0
run03-115	0.0207808157197337	0.200988947062245	0.00607588391183505	0.0230107943895029	0.463512377997544	0.171029668411867	0.106134057268438	0.00846745523883395	0	0
run03-123	0.18651962096472	0.139568499384335	0	0.00149900958295412	0.570185770116173	0.000401520424005568	0.101825579527812	0	0	0
run03-124	0.0819993329998333	0.279723194930799	0	0	0.53464232116058	0	0.103635150908788	0	0	0
run03-126	0.164932278825526	0.190868047773046	0	0	0.589894655950818	9.60584035093337e-05	0.0540488617079184	0	0	0.000160097339182223
run03-129	0.0536548174973792	0.305489373868293	0	4.76508148289336e-05	0.610406937958639	0	0.0303535690460307	0	0	4.76508148289336e-05
run03-131	0.0442321302193914	0.324905101975166	0	0.0217782924789294	0.521167084861352	0.00357073923952905	0.0834137553882777	0	0.000128675287910957	0.000804220549443479
run03-138	0.0871408220701157	0.30158785309753	0	0	0.589277648448629	0	0.0217157152287968	0	0	0.000277961154928599
run03-147	0.00447524180742024	0.00996102208748376	0	0	0.0814927096867331	0	0.904071026418363	0	0	0
run03-149	0.0295968985785152	0.167118262536996	0	0	0.531201800825378	0	0.270790779107091	0	0	0.00129225895201968
run03-153	0.0305564594858445	0.262382037097299	0	0.000748454279205988	0.641718190693134	0.000488122356003905	0.0634884477709079	0.000390497884803124	0	0.000227790432801822
run03-155	0.0111970869367319	0	0	0	0.544348353815809	0.00433925049309665	0.132787133970566	0.306933697466242	0.000394477317554241	0
run03-160	0.0167190759363617	0.28114200317569	0.00625797814377783	0.0339674336062767	0.453905787851427	0.130390111771848	0.0686820884834522	0.00893552103116535	0	0
