feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Patescibacteria
Cah8-297-CE	-3.24295264408252	-2.02013638683689	-6.2328989794186	-7.67010785969606	-0.699632874557342	-15.3637013070884	-7.18650607393415	-7.15043681922662	-15.6805518260777	-15.3571395900055
Cah8-297-RE	-3.10808168628944	-2.12876041705726	-6.60043563144931	-9.20811820867054	-0.675808671543979	-15.3637013070884	-7.17417087674721	-6.57806781842085	-15.6805518260777	-15.3571395900055
Cah8-298-RE	-4.17604624847227	-2.59270248008463	-13.8474489039824	-15.3571395900055	-0.378343823139453	-15.3637013070884	-6.70507872103471	-15.5083312572928	-15.6805518260777	-15.3571395900055
Cah8-299-CE	-3.80505326659837	-1.74116523829956	-13.8474489039824	-7.70576528727776	-0.734958817612624	-13.99116750614	-5.47546766785597	-10.1331865110124	-15.6805518260777	-11.8212425046977
Cah8-300-CE	-3.27104551844579	-1.83399210872845	-8.68455909760735	-7.4264069131533	-0.797709095546875	-11.8940124632363	-4.97514922596171	-11.434580844599	-15.6805518260777	-15.3571395900055
Cah8-301-RE	-4.96704788496523	-1.47023245365089	-8.31590430725959	-8.83946626331661	-0.856353894514534	-15.3637013070884	-4.33829253901045	-15.5083312572928	-15.6805518260777	-15.3571395900055
Cah8-302-CE	-6.81090576149022	-1.52254719929656	-13.8474489039824	-9.64740702920734	-1.02211566282694	-15.3637013070884	-2.74292293130591	-15.5083312572928	-15.6805518260777	-15.3571395900055
Cah8-302-RE	-5.76727231140176	-1.58257361998213	-13.8474489039824	-8.18116798629105	-0.998365075400887	-15.3637013070884	-2.79844820728494	-15.5083312572928	-15.6805518260777	-15.3571395900055
Cah8-303-CE	-3.67759480323476	-2.25715377954161	-13.8474489039824	-10.8589245679493	-0.531612526760637	-15.3637013070884	-6.01164346147896	-7.68899956650701	-15.6805518260777	-15.3571395900055
Cah8-303-RE	-3.53752335387005	-2.27807234824142	-13.8474489039824	-10.8555011762772	-0.54694882963757	-15.3637013070884	-5.91005733989925	-7.36364807994749	-15.6805518260777	-15.3571395900055
Cah8-304-CE	-5.81657598632094	-1.82303100845824	-13.8474489039824	-7.63371192917113	-0.98681652477187	-3.22744183438212	-3.80962992070807	-6.39044077815876	-15.6805518260777	-15.3571395900055
Cah8-304-RE	-5.65618599749436	-1.86224379299504	-13.8474489039824	-8.065394417971	-0.935114490903988	-3.41596438337169	-3.79719830702143	-6.29167027379468	-15.6805518260777	-15.3571395900055
Cah8-305-CE	-2.6808560414474	-1.48118768777231	-13.8474489039824	-11.1373571389859	-1.04611067363955	-15.3637013070884	-9.77478705960117	-15.5083312572928	-15.6805518260777	-15.3571395900055
Cah8-305-RE2	-5.92216445692906	-1.27709387731757	-11.2696276439236	-8.79158034711891	-1.00552020342453	-15.3637013070884	-3.83678751200123	-12.7550544710938	-15.6805518260777	-15.3571395900055
Cah8-308-CE	-6.01675543803617	-1.54863958534645	-11.736486494786	-9.01402047031493	-0.793678788543249	-15.3637013070884	-3.98159899262256	-11.5989829710361	-15.6805518260777	-15.3571395900055
run02-105	-5.31445626139151	-11.4822317430232	-13.8474489039824	-15.3571395900055	-1.6109911181494	-15.3637013070884	-0.627054996576527	-15.5083312572928	-15.6805518260777	-15.3571395900055
run02-108	-2.74763702653346	-3.67276824712325	-13.8474489039824	-15.3571395900055	-0.607253477433901	-10.1237295200008	-3.11589524601183	-15.5083312572928	-15.6805518260777	-15.3571395900055
run02-114	-3.16591337365441	-2.19268607046788	-13.8474489039824	-9.33223742286667	-0.852146333663279	-15.3637013070884	-3.12879529527158	-15.5083312572928	-15.6805518260777	-15.3571395900055
run02-116	-2.73614315516575	-1.78880006675792	-13.8474489039824	-7.51312442817984	-1.12486790976212	-15.3637013070884	-3.37357307578105	-15.5083312572928	-15.6805518260777	-15.3571395900055
run02-153	-4.41620804298678	-10.4606021623452	-13.8474489039824	-15.3571395900055	-1.54685789569565	-15.3637013070884	-0.71264898300151	-15.5083312572928	-15.6805518260777	-15.3571395900055
