feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-3.45828453281822	0.316339643541397	350	344	6.05810861873095e-21	1.21162172374619e-19
Patescibacteria	Country	NO	-1.08110305325598	0.227603037451285	350	62	5.48174547932887e-06	5.48174547932887e-05
Desulfobacterota	Group	rPSC	-2.27801529933776	0.689837823464216	350	197	0.001189397175433	0.00792931450288668
Firmicutes	Group	rPSC	-0.286183828536206	0.0986979193946993	350	350	0.00428174002447705	0.0214087001223853
Proteobacteria	Group	rPSC	0.849733131737511	0.300798710850063	350	350	0.00535412329086696	0.0214164931634678
Proteobacteria	Country	NO	0.740860955651286	0.274124299273266	350	350	0.00765742882082421	0.0255247627360807
Cyanobacteria	Group	rPSC	-1.20156794458076	0.502076424928572	350	83	0.0178911117901859	0.0511174622576741
Desulfobacterota	Country	NO	-1.36211854665499	0.629044976666535	350	197	0.0318917607921748	0.0727775785327087
Campylobacterota	Country	NO	-0.553322851710153	0.256431995996214	350	57	0.0327499103397189	0.0727775785327087
Firmicutes	Country	NO	-0.17277056795292	0.0898403505029632	350	350	0.0563384655969964	0.108348290622398
Fusobacteriota	Country	NO	-1.16207354573104	0.612281647102057	350	171	0.059591559842319	0.108348290622398
Bacteroidota	Group	rPSC	-0.775049437332034	0.484815036673011	350	339	0.111925855144929	0.186543091908214
Verrucomicrobiota	Country	NO	0.810359247158984	0.687318462198272	350	126	0.240194641943754	0.369530218375006
Fusobacteriota	Group	rPSC	0.701066158552861	0.672779069338262	350	171	0.299012372142449	0.427160531632071
Bacteroidota	Country	NO	-0.342419828090067	0.442527308391168	350	339	0.440237398032188	0.550296747540235
Cyanobacteria	Country	NO	-0.364960998118821	0.458208628696665	350	83	0.426960581681433	0.550296747540235
Actinobacteriota	Group	rPSC	-0.208373209752151	0.347549638795379	350	344	0.549675599717805	0.646677176138594
Verrucomicrobiota	Group	rPSC	0.326858148528654	0.753422731684953	350	126	0.665009382332205	0.738899313702451
Patescibacteria	Group	rPSC	0.0833937416732428	0.253048489332688	350	62	0.742251644734784	0.750548867903975
Campylobacterota	Group	rPSC	0.0901825988798592	0.283100448158052	350	57	0.750548867903975	0.750548867903975
