feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinobacteriota	Country	NO	-2.85658092675029	0.328575433673793	106	106	5.84906039291346e-14	1.28679328644096e-12
Desulfobacterota	Group	healthy	2.33190646927609	0.518241695958419	106	84	1.79411582551742e-05	0.000197352740806917
Cyanobacteria	Group	healthy	2.18636775327148	0.596950036822924	106	42	0.000396302718564316	0.00290621993613832
Bacteroidota	Group	healthy	1.51974965041537	0.433179336182356	106	104	0.000669819687848633	0.00368400828316748
Patescibacteria	Country	NO	-0.928497428396004	0.303797408586808	106	27	0.0028541551587185	0.0125582826983614
Fusobacteriota	Group	healthy	-1.80448462786867	0.669555804921997	106	42	0.00822035003672117	0.0258353858296951
Proteobacteria	Group	healthy	-0.931241862525547	0.339618517838256	106	106	0.00720154654811364	0.0258353858296951
Synergistota	Country	NO	0.197732535140781	0.0892084869985714	106	5	0.0288550001058746	0.0793512502911552
Cyanobacteria	Country	NO	1.19463612906491	0.559223236860274	106	42	0.0350286383666806	0.085625560451886
Patescibacteria	Group	healthy	0.666134490365445	0.324292451187818	106	27	0.0424969097310966	0.0924805676117932
Proteobacteria	Country	NO	0.641889670050322	0.318154879182185	106	106	0.0462402838058966	0.0924805676117932
Synergistota	Group	healthy	-0.155419650179199	0.0952267468313735	106	5	0.105711966349172	0.193805271640149
Campylobacterota	Group	healthy	-0.309686105571368	0.224011101948909	106	7	0.169821188748934	0.287389704036657
Firmicutes	Group	healthy	0.146043596523393	0.111900517453611	106	106	0.194760117365765	0.306051613003344
Verrucomicrobiota	Group	healthy	0.853748717453941	0.702538198240783	106	51	0.227054901807751	0.333013855984701
Firmicutes	Country	NO	0.0969102364564125	0.104828487673434	106	106	0.357405202637564	0.491432153626651
Bacteroidota	Country	NO	0.292675650551407	0.405802723139357	106	104	0.47240413186451	0.611346523589365
Actinobacteriota	Group	healthy	0.227330342890735	0.350742072757765	106	106	0.518335977358484	0.633521750104813
Verrucomicrobiota	Country	NO	0.162425512316197	0.658138304721699	106	51	0.805557780889679	0.886113558978647
Campylobacterota	Country	NO	-0.0612565538298273	0.209853766307189	106	7	0.770949321402529	0.886113558978647
Fusobacteriota	Country	NO	0.103337567531772	0.627240374219349	106	42	0.869464010944505	0.91086705908472
Desulfobacterota	Country	NO	0.00294491465571295	0.485489204812284	106	84	0.995171898273996	0.995171898273996
