feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota	Synergistota
Cah8-300-IL	2817	8140	64	148	14734	0	6	778	23	0	0
Cah8-301-IL	458	6915	21	26	11804	4	2	726	0	0	0
Cah8-302-IL	257	7664	0	19	10672	0	5	3966	7	0	0
Cah8-303-IL	1584	3738	0	28	14007	0	0	263	68	0	0
Cah8-305-IL	2233	8706	0	11	12832	0	0	26	0	0	0
Cah8-307-IL	599	9054	0	103	12674	3620	0	2200	303	0	0
Cah8-308-IL	239	6249	4	44	11188	0	0	1392	0	0	0
Cah8-309-IL	1985	4600	0	0	13914	0	0	413	0	0	0
run02-57	773	2	0	0	5604	0	0	11632	0	0	0
run02-60	2940	3013	0	0	16198	24	0	643	0	0	0
run02-66	2237	4957	0	12	14290	0	0	2407	0	0	0
run02-68	3267	4449	0	85	10838	0	0	1046	0	0	0
run02-91	1005	5131	0	0	3066	1235	0	7829	2400	0	0
run03-51	884	679	0	0	14067	0	0	1900	0	0	0
run03-53	3568	1615	0	0	20285	0	7	411	0	0	11
run03-59	937	9411	0	22	19583	31	11	2015	13	0	0
run03-61	288	0	0	0	21598	81	0	2129	8849	15	0
run03-72	5328	4302	0	61	13259	19	0	2545	0	0	0
run03-73	1683	6454	0	0	10779	3	0	2572	0	0	0
run03-75	5886	5850	0	0	16354	0	0	1087	0	0	0
run03-78	1356	8453	0	8	14511	3	24	713	0	0	0
run03-80	584	7886	0	1196	13152	23	0	1556	0	0	0
run03-86	6726	47	0	0	6667	0	3	29	0	0	0
run03-92	1214	3036	0	111	10131	124	0	629	20	76	0
run04-52	3057	2918	0	77	10874	17	0	170	0	14	0
run04-72	6437	3121	113	0	19762	0	0	1250	0	0	0
run04-74	655	2164	0	201	6603	5152	3	4452	589	0	0
run05-73	423	5640	150	546	12970	4100	0	2233	101	0	0
run06-90	1444	2877	0	27	8303	0	0	106	0	0	0
run06-93	1021	2358	6	30	8168	0	0	344	6	0	0
run06-94	413	1756	0	2	5921	3	5	2011	55	0	0
run06-95	1757	2664	0	21	6068	5	11	286	4	0	0
run06-96	1552	2838	0	8	8671	24	9	2491	0	0	0
run07-Cah7-55	555	4355	0	11	15783	0	8	2367	0	0	0
run07-Cah7-56	260	13297	3	47	6975	0	0	331	51	0	0
run07-Cah7-59	1336	6136	0	480	13448	0	0	912	6	0	0
run07-Cah7-60	1232	4465	0	26	20358	0	0	532	0	0	0
run07-Cah7-61	1102	5217	60	137	12356	0	5	1738	0	0	0
run07-Cah7-62	300	6181	0	61	10801	0	0	671	0	0	0
run07-Cah7-63	694	6607	0	18	9465	0	11	71	98	0	0
run07-Cah7-66	1167	4138	80	41	6982	58	5	480	218	0	0
run07-Cah7-69	553	3974	139	103	14332	0	0	459	696	0	0
run07-Cah7-72	396	3329	0	55	17000	0	0	368	1967	0	0
run07-Cah7-73	1869	5010	41	228	10259	4	0	312	152	0	0
run07-Cah7-75	2289	6178	34	139	14848	15	23	1224	0	0	0
run07-Cah7-77	2637	2785	130	0	10601	0	0	341	6	0	0
run07-Cah7-78	1403	9860	0	35	10191	0	0	1981	83	0	0
run07-Cah7-79	1018	7458	0	5	11901	3	0	600	0	0	0
run07-Cah7-80	98	402	0	4	1413	0	0	15800	0	0	0
run07-Cah7-81	1672	6213	0	12	11418	0	18	557	0	0	0
run07-Cah7-82	1585	3516	0	23	12537	2	5	479	0	0	0
run07-Cah7-83	2050	4289	0	14	12747	4	26	480	0	12	0
run07-Cah7-84	1797	6328	19	157	15496	0	4	745	284	0	0
run07-Cah7-85	3555	2201	0	4	13259	0	0	199	0	0	0
run07-Cah7-86	2966	2758	0	40	11965	0	0	128	0	0	0
run07-Cah7-87	198	5036	7	19	14819	0	0	185	42	0	0
run07-Cah7-88	566	4681	591	140	9835	0	0	905	13	0	0
run04-51	697	3777	0	0	14026	0	0	1074	0	0	0
run03-91	1891	2006	12	0	12091	5	0	572	0	0	0
run02-75	923	0	0	0	10107	4	0	5949	0	0	0
run06-81	252	1091	0	2	12944	3	0	1069	249	0	0
4004.I.1.lib30	184	6623	0	0	13356	49	0	1985	0	0	0
4029.1.rerun.lib32	895	1146	0	0	1390	0	0	10962	0	0	0
4082.1.lib29	54	3863	0	14	14846	3862	0	554	237	0	36
4084.1.lib29	267	6478	0	465	21881	0	2	3742	16	0	16
4135.1.lib29	310	10686	0	0	26214	0	0	1191	0	0	0
4136.1.lib29	6	6630	0	0	22748	0	0	3257	0	0	0
4160.1.lib29	10	15066	0	0	21124	0	0	195	0	0	0
4161.1.lib29	105	1418	0	0	30639	85	0	21915	0	0	0
4191.1.lib29	299	14591	0	117	22321	7	0	11615	72	4	0
M001.TI	302	6867	244	0	15361	0	0	2011	0	0	0
M002.TI	238	10426	0	716	14883	22280	0	1469	22	0	0
M003.TI	25	3532	32	69	6997	0	0	5796	0	0	0
M004.TI	414	3121	5	74	7492	0	0	222	0	7	0
M005.TI	98	4887	4	287	9596	0	0	733	2151	0	0
M006.TI	435	4031	0	47	18475	0	16	2444	0	0	0
M007.TI	5	3665	0	43	6683	2706	0	762	0	0	0
M008.TI	115	14892	0	173	34758	22	0	10107	2095	0	0
M010.TI	119	4745	8	8	14652	0	0	3900	10	0	0
M011.TI	78	3382	48	12	17239	0	0	374	32	0	0
M012.TI	357	9821	73	57	27840	15	0	6328	27	0	0
M013.TI	573	3379	3	10	35599	0	0	530	8	0	0
M014.TI	368	4990	0	28	16164	0	0	871	0	0	0
M015.TI	324	4198	81	203	20792	0	0	654	54	0	0
M016.TI	52	4201	21	45	13760	4	4	1108	19	0	0
M017.TI	1536	8590	639	101	27980	0	6	670	1425	0	0
M022.TI	1141	14141	0	76	37275	13	0	2636	0	0	0
M023.TI	355	5380	73	8	28263	0	0	2329	0	0	0
P301TI1R.lib20	513	5766	67	85	8670	2	0	963	142	0	0
P302TI1R.lib21	596	2497	362	77	13544	0	0	715	3	0	0
P304TI1R.lib21	643	3395	0	31	29244	0	0	2131	0	15	0
P305TI1R.lib20	77	8363	0	26	5595	0	2	2101	0	0	0
P306TI1R.lib21	189	11521	19	193	18340	278	0	1836	22	0	0
P307TI1R.lib21	561	7081	91	68	23404	6	0	2833	29	0	13
P308TI1R.lib20	86	3166	28	29	10152	0	0	292	2131	0	0
P310TI1R.lib21	511	8894	136	4	19852	0	0	4084	93	0	0
P314TI1R.lib21	1144	8890	211	9	21821	0	0	3189	0	0	0
