feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota	Synergistota
Cah8-300-IL	-3.24514850714754	-1.71427927636886	-8.70509235552247	-7.49563898989352	-0.858230828235766	-14.2599638873753	-12.1201298548013	-5.10146601053628	-10.1815303994655	-14.5812594374085	-12.3564519702218
Cah8-301-IL	-5.44533116591148	-1.52902141797057	-9.89221753122967	-9.58409523586733	-0.757546748576418	-12.2845349540084	-13.2845349540084	-4.78070921601267	-13.5341407363414	-14.5812594374085	-12.3564519702218
Cah8-302-IL	-6.45777210108657	-1.55951480454427	-14.706424068579	-10.2154691368369	-1.08185369909586	-14.2599638873753	-12.1414685553931	-2.5099276880516	-11.6560417282228	-14.5812594374085	-12.3564519702218
Cah8-303-IL	-3.63567232237855	-2.396978088713	-14.706424068579	-9.45767402040055	-0.491168568494814	-14.2599638873753	-15.0043521571528	-6.22610995316586	-8.17756610120782	-14.5812594374085	-12.3564519702218
Cah8-305-IL	-3.41439127528556	-1.45136450632013	-14.706424068579	-11.0797271924707	-0.891700384653111	-14.2599638873753	-15.0043521571528	-9.83871909296694	-13.5341407363414	-14.5812594374085	-12.3564519702218
Cah8-307-IL	-5.57494252106134	-1.65701512260229	-14.706424068579	-8.11485418666691	-1.17177041365628	-2.97958073187956	-15.0043521571528	-3.69806690543811	-6.55818073037718	-14.5812594374085	-12.3564519702218
Cah8-308-IL	-6.32162624426572	-1.61308342748466	-12.2224930522465	-8.76306143360917	-0.772828513770274	-14.2599638873753	-15.0043521571528	-3.77954955639774	-13.5341407363414	-14.5812594374085	-12.3564519702218
Cah8-309-IL	-3.39712013376511	-2.1846252799637	-14.706424068579	-14.0350568092386	-0.587793820428274	-14.2599638873753	-15.0043521571528	-5.66204545437599	-13.5341407363414	-14.5812594374085	-12.3564519702218
run02-57	-4.54226605986656	-13.1365906637914	-14.706424068579	-14.0350568092386	-1.68434942336059	-14.2599638873753	-15.0043521571528	-0.63077910987181	-13.5341407363414	-14.5812594374085	-12.3564519702218
run02-60	-2.95628428462802	-2.92089976675728	-14.706424068579	-14.0350568092386	-0.494356653186653	-9.89292222363059	-15.0043521571528	-5.1492097970238	-13.5341407363414	-14.5812594374085	-12.3564519702218
